"probe_id","gsym","entrez_id"
"200726_at","PPP1CC","5501"
"200727_s_at","ACTR2","10097"
"200728_at","ACTR2","10097"
"200729_s_at","ACTR2","10097"
"200730_s_at","PTP4A1","7803"
"200731_s_at","PTP4A1","7803"
"200732_s_at","PTP4A1","7803"
"200733_s_at","PTP4A1","7803"
"200734_s_at","ARF3","377"
"200735_x_at","NACA","4666"
"200736_s_at","GPX1","2876"
"200737_at","PGK1","5230"
"200738_s_at","PGK1","5230"
"200739_s_at","SUMO3","6612"
"200740_s_at","SUMO3","6612"
"200741_s_at","RPS27","6232"
"200742_s_at","TPP1","1200"
"200743_s_at","TPP1","1200"
"200744_s_at","GNB1","2782"
"200745_s_at","GNB1","2782"
"200746_s_at","GNB1","2782"
"200747_s_at","NUMA1","4926"
"200748_s_at","FTH1","2495"
"200749_at","RAN","5901"
"200750_s_at","RAN","5901"
"200751_s_at","HNRPC","3183"
"200752_s_at","CAPN1","823"
"200753_x_at","SFRS2","6427"
"200754_x_at","SFRS2","6427"
"200755_s_at","CALU","813"
"200756_x_at","CALU","813"
"200757_s_at","CALU","813"
"200758_s_at","NFE2L1","4779"
"200759_x_at","NFE2L1","4779"
"200760_s_at","ARL6IP5","10550"
"200761_s_at","ARL6IP5","10550"
"200762_at","DPYSL2","1808"
"200763_s_at","RPLP1","6176"
"200764_s_at","CTNNA1","1495"
"200765_x_at","CTNNA1","1495"
"200766_at","CTSD","1509"
"200767_s_at","FAM120A","23196"
"200768_s_at","MAT2A","4144"
"200769_s_at","MAT2A","4144"
"200770_s_at","LAMC1","3915"
"200771_at","LAMC1","3915"
"200772_x_at","PTMA","5757"
"200773_x_at","PTMA ","5757 "
"200774_at","FAM120A","23196"
"200775_s_at","HNRPK","3190"
"200776_s_at","BZW1 ","151579 "
"200777_s_at","BZW1 ","151579 "
"200778_s_at","SEPT2","4735"
"200779_at","ATF4","468"
"200780_x_at","FGB ","2244 "
"200781_s_at","RPS15A","6210"
"200782_at","ANXA5","308"
"200783_s_at","STMN1","3925"
"200784_s_at","LRP1","4035"
"200785_s_at","LRP1","4035"
"200786_at","PSMB7","5695"
"200787_s_at","PEA15","8682"
"200788_s_at","PEA15","8682"
"200789_at","ECH1","1891"
"200790_at","ODC1","4953"
"200791_s_at","IQGAP1","8826"
"200792_at","XRCC6","2547"
"200793_s_at","ACO2","50"
"200794_x_at","DAZAP2","9802"
"200795_at","SPARCL1","8404"
"200796_s_at","MCL1","4170"
"200797_s_at","MCL1","4170"
"200798_x_at","MCL1","4170"
"200799_at","HSPA1A","3303"
"200800_s_at","HSPA1A ","3303 "
"200801_x_at","ACTB","60"
"200802_at","SARS","6301"
"200803_s_at","TEGT","7009"
"200804_at","TEGT","7009"
"200805_at","LMAN2","10960"
"200806_s_at","HSPD1","3329"
"200807_s_at","HSPD1","3329"
"200808_s_at","ZYX","7791"
"200809_x_at","RPL12","6136"
"200810_s_at","CIRBP","1153"
"200811_at","CIRBP","1153"
"200812_at","CCT7","10574"
"200813_s_at","PAFAH1B1","5048"
"200814_at","PSME1","5720"
"200815_s_at","PAFAH1B1","5048"
"200816_s_at","PAFAH1B1","5048"
"200817_x_at","RPS10","6204"
"200818_at","ATP5O","539"
"200819_s_at","RPS15","6209"
"200820_at","PSMD8","5714"
"200821_at","LAMP2","3920"
"200822_x_at","TPI1","7167"
"200823_x_at","RPL29","6159"
"200824_at","GSTP1","2950"
"200825_s_at","HYOU1","10525"
"200826_at","SNRPD2","6633"
"200827_at","PLOD1","5351"
"200828_s_at","ZNF207","7756"
"200829_x_at","ZNF207","7756"
"200830_at","PSMD2","5708"
"200831_s_at","SCD","6319"
"200832_s_at","SCD","6319"
"200833_s_at","RAP1B","5908"
"200834_s_at","RPS21","6227"
"200835_s_at","MAP4","4134"
"200836_s_at","MAP4","4134"
"200837_at","BCAP31","10134"
"200838_at","CTSB","1508"
"200839_s_at","CTSB","1508"
"200840_at","KARS","3735"
"200841_s_at","EPRS","2058"
"200842_s_at","EPRS","2058"
"200843_s_at","EPRS","2058"
"200844_s_at","PRDX6","9588"
"200845_s_at","PRDX6","9588"
"200846_s_at","PPP1CA","5499"
"200847_s_at","TMEM66","51669"
"200848_at","AHCYL1","10768"
"200849_s_at","AHCYL1","10768"
"200850_s_at","AHCYL1","10768"
"200851_s_at","KIAA0174","9798"
"200852_x_at","GNB2","2783"
"200853_at","H2AFZ","3015"
"200854_at","NCOR1","9611"
"200855_at","NCOR1 ","149934 "
"200856_x_at","NCOR1 ","149934 "
"200857_s_at","NCOR1","9611"
"200858_s_at","RPS8","6202"
"200859_x_at","FLNA","2316"
"200860_s_at","CNOT1","23019"
"200861_at","CNOT1","23019"
"200862_at","DHCR24","1718"
"200863_s_at","RAB11A","8766"
"200864_s_at","RAB11A","8766"
"200865_at",NA,NA
"200866_s_at","PSAP","5660"
"200867_at","ZNF313","55905"
"200868_s_at","ZNF313","55905"
"200869_at","RPL18A ","390354 "
"200870_at","STRAP","11171"
"200871_s_at","PSAP","5660"
"200872_at","S100A10","6281"
"200873_s_at","CCT8","10694"
"200874_s_at","NOL5A","10528"
"200875_s_at","NOL5A","10528"
"200876_s_at","PSMB1","5689"
"200877_at","CCT4","10575"
"200878_at","EPAS1","2034"
"200879_s_at","EPAS1","2034"
"200880_at","DNAJA1","3301"
"200881_s_at","DNAJA1","3301"
"200882_s_at","PSMD4","5710"
"200883_at","UQCRC2","7385"
"200884_at","CKB","1152"
"200885_at","RHOC","389"
"200886_s_at","PGAM1 ","5223 "
"200887_s_at","STAT1","6772"
"200888_s_at","RPL23","9349"
"200889_s_at","SSR1","6745"
"200890_s_at","SSR1","6745"
"200891_s_at","SSR1","6745"
"200892_s_at","SFRS10","6434"
"200893_at","SFRS10","6434"
"200894_s_at","FKBP4","2288"
"200895_s_at","FKBP4","2288"
"200896_x_at","HDGF","3068"
"200897_s_at","PALLD","23022"
"200898_s_at","MGEA5","10724"
"200899_s_at","MGEA5","10724"
"200900_s_at","M6PR","4074"
"200901_s_at","M6PR","4074"
"200902_at","SEP15","9403"
"200903_s_at","AHCY","191"
"200904_at","HLA-E","3133"
"200905_x_at","HLA-E","3133"
"200906_s_at","PALLD","23022"
"200907_s_at","PALLD","23022"
"200908_s_at","RPLP2","6181"
"200909_s_at","RPLP2","6181"
"200910_at","CCT3","7203"
"200911_s_at","TACC1","6867"
"200912_s_at","EIF4A2","1974"
"200913_at","PPM1G","5496"
"200914_x_at","KTN1","3895"
"200915_x_at","KTN1","3895"
"200916_at","TAGLN2","8407"
"200917_s_at","SRPR","6734"
"200918_s_at","SRPR","6734"
"200919_at","PHC2","1912"
"200920_s_at","BTG1","694"
"200921_s_at","BTG1","694"
"200922_at","KDELR1","10945"
"200923_at","LGALS3BP","3959"
"200924_s_at","SLC3A2","6520"
"200925_at","COX6A1","1337"
"200926_at","RPS23","6228"
"200927_s_at","RAB14","51552"
"200928_s_at","RAB14","51552"
"200929_at","TMED10","10972"
"200930_s_at","VCL","7414"
"200931_s_at","VCL","7414"
"200932_s_at","DCTN2","10540"
"200933_x_at","RPS4X","6191"
"200934_at","DEK","7913"
"200935_at","CALR","811"
"200936_at","RPL8","6132"
"200937_s_at","RPL5","6125"
"200938_s_at","RERE","473"
"200939_s_at","RERE","473"
"200940_s_at","RERE","473"
"200941_at","HSBP1","3281"
"200942_s_at","HSBP1","3281"
"200943_at","HMGN1","3150"
"200944_s_at","HMGN1","3150"
"200945_s_at","SEC31A","22872"
"200946_x_at","GLUD1","2746"
"200947_s_at","GLUD1","2746"
"200948_at","MLF2","8079"
"200949_x_at","RPS20","6224"
"200950_at","ARPC1A","10552"
"200951_s_at","CCND2","894"
"200952_s_at","CCND2","894"
"200953_s_at","CCND2","894"
"200954_at","ATP6V0C","527"
"200955_at","IMMT","10989"
"200956_s_at","SSRP1","6749"
"200957_s_at","SSRP1","6749"
"200958_s_at","SDCBP","6386"
"200959_at","FUS","2521"
"200960_x_at","CLTA","1211"
"200961_at","SEPHS2","22928"
"200962_at","RPL31 ","285260 "
"200963_x_at","RPL31","6160"
"200964_at","UBE1","7317"
"200965_s_at","ABLIM1","3983"
"200966_x_at","ALDOA","226"
"200967_at","PPIB","5479"
"200968_s_at","PPIB","5479"
"200969_at","SERP1","27230"
"200970_s_at","SERP1","27230"
"200971_s_at","SERP1","27230"
"200972_at","TSPAN3","10099"
"200973_s_at","TSPAN3","10099"
"200974_at","ACTA2","59"
"200975_at","PPT1","5538"
"200976_s_at","TAX1BP1","8887"
"200977_s_at","TAX1BP1","8887"
"200978_at","MDH1","4190"
"200979_at","MAP3K15","389840"
"200980_s_at","PDHA1","5160"
"200981_x_at","FGB ","2244 "
"200982_s_at","ANXA6","309"
"200983_x_at","CD59","966"
"200984_s_at","CD59","966"
"200985_s_at","CD59","966"
"200986_at","SERPING1","710"
"200987_x_at","PSME3","10197"
"200988_s_at","PSME3","10197"
"200989_at","HIF1A","3091"
"200990_at","TRIM28","10155"
"200991_s_at","SNX17","9784"
"200992_at","IPO7","10527"
"200993_at","IPO7","10527"
"200994_at","IPO7","10527"
"200995_at","IPO7","10527"
"200996_at","ACTR3","10096"
"200997_at","RBM4","5936"
"200998_s_at","CKAP4","10970"
"200999_s_at","CKAP4","10970"
"201000_at","AARS","16"
"201001_s_at","UBE2V1 ","387522 "
"201002_s_at","UBE2V1 ","387522 "
"201003_x_at","RNPEP ","387521 "
"201004_at","SSR4","6748"
"201005_at","CD9","928"
"201006_at","PRDX2","7001"
"201007_at","HADHB","3032"
"201008_s_at","TXNIP","10628"
"201009_s_at","TXNIP","10628"
"201010_s_at","TXNIP","10628"
"201011_at","RPN1","6184"
"201012_at","ANXA1","301"
"201013_s_at","PAICS","10606"
"201014_s_at","PAICS","10606"
"201015_s_at","JUP","3728"
"201016_at","EIF1AX","1964"
"201017_at","EIF1AX","1964"
"201018_at","EIF1AX","1964"
"201019_s_at","EIF1AX ","1964 "
"201020_at","YWHAH","7533"
"201021_s_at","DSTN","11034"
"201022_s_at","DSTN","11034"
"201023_at","TAF7","6879"
"201024_x_at","EIF5B","9669"
"201025_at","EIF5B","9669"
"201026_at","EIF5B","9669"
"201027_s_at","EIF5B","9669"
"201028_s_at","CD99","4267"
"201029_s_at","CD99","4267"
"201030_x_at","LDHB","3945"
"201031_s_at","HNRPH1","3187"
"201032_at","BLCAP","10904"
"201033_x_at","RPLP0","6175"
"201034_at","ADD3","120"
"201035_s_at","HADH","3033"
"201036_s_at","HADH","3033"
"201037_at","PFKP","5214"
"201038_s_at","ANP32A","8125"
"201039_s_at","RAD23A","5886"
"201040_at","GNAI2","2771"
"201041_s_at","DUSP1","1843"
"201042_at","TGM2","7052"
"201043_s_at","ANP32A","8125"
"201044_x_at","DUSP1","1843"
"201045_s_at","RAB6A","5870"
"201046_s_at","RAD23A","5886"
"201047_x_at","RAB6A","5870"
"201048_x_at","RAB6A","5870"
"201049_s_at","RPS18","6222"
"201050_at","PLD3","23646"
"201051_at","ANP32A","8125"
"201052_s_at","PSMF1","9491"
"201053_s_at","PSMF1","9491"
"201054_at","HNRPA0","10949"
"201055_s_at","HNRPA0","10949"
"201056_at","GOLGB1","2804"
"201057_s_at","GOLGB1","2804"
"201058_s_at","MYL9","10398"
"201059_at","CTTN","2017"
"201060_x_at","STOM","2040"
"201061_s_at","STOM","2040"
"201062_at","STOM","2040"
"201063_at","RCN1","5954"
"201064_s_at","PABPC4","8761"
"201065_s_at","GTF2I ","2969 "
"201066_at","CYC1","1537"
"201067_at",NA,NA
"201068_s_at","PSMC2","5701"
"201069_at","MMP2","4313"
"201070_x_at","SF3B1","23451"
"201071_x_at","SF3B1","23451"
"201072_s_at","SMARCC1","6599"
"201073_s_at","SMARCC1","6599"
"201074_at","SMARCC1","6599"
"201075_s_at","SMARCC1","6599"
"201076_at","NHP2L1","4809"
"201077_s_at","NHP2L1","4809"
"201078_at","TM9SF2","9375"
"201079_at","SYNGR2","9144"
"201080_at","PIP5K2B","8396"
"201081_s_at","PIP5K2B","8396"
"201082_s_at","DCTN1","1639"
"201083_s_at","BCLAF1","9774"
"201084_s_at","BCLAF1","9774"
"201085_s_at","SON","6651"
"201086_x_at","SON","6651"
"201087_at","PXN","5829"
"201088_at","KPNA2 ","3838 "
"201089_at","ATP6V1B2","526"
"201090_x_at","K-ALPHA-1","10376"
"201091_s_at","CBX3 ","11335 "
"201092_at","RBBP7","5931"
"201093_x_at","SDHA","6389"
"201094_at","RPS29","6235"
"201095_at","DAP","1611"
"201096_s_at","ARF4","378"
"201097_s_at","ARF4","378"
"201098_at","COPB2","9276"
"201099_at","USP9X","8239"
"201100_s_at","USP9X","8239"
"201101_s_at","BCLAF1","9774"
"201102_s_at","PFKL","5211"
"201103_x_at","NBPF11 ","200030 "
"201104_x_at","NBPF14 ","200030 "
"201105_at","LGALS1","3956"
"201106_at","GPX4","2879"
"201107_s_at","THBS1","7057"
"201108_s_at","THBS1","7057"
"201109_s_at","THBS1","7057"
"201110_s_at","THBS1","7057"
"201111_at","CSE1L","1434"
"201112_s_at","CSE1L","1434"
"201113_at","TUFM","7284"
"201114_x_at","PSMA7","5688"
"201115_at","POLD2","5425"
"201116_s_at","CPE","1363"
"201117_s_at","CPE","1363"
"201118_at","PGD ","5226 "
"201119_s_at","COX8A","1351"
"201120_s_at","PGRMC1","10857"
"201121_s_at","PGRMC1","10857"
"201122_x_at","EIF5A","1984"
"201123_s_at","EIF5A","1984"
"201124_at","ITGB5","3693"
"201125_s_at","ITGB5","3693"
"201126_s_at","MGAT1","4245"
"201127_s_at","ACLY","47"
"201128_s_at","ACLY","47"
"201129_at","SFRS7","6432"
"201130_s_at","CDH1","999"
"201131_s_at","CDH1","999"
"201132_at","HNRPH2","3188"
"201133_s_at","PJA2","9867"
"201134_x_at","COX7C","1350"
"201135_at","ECHS1","1892"
"201136_at","PLP2","5355"
"201137_s_at","HLA-DPB1","3115"
"201138_s_at","SSB","6741"
"201139_s_at","SSB","6741"
"201140_s_at","RAB5C","5878"
"201141_at","GPNMB","10457"
"201142_at","EIF2S1","1965"
"201143_s_at","EIF2S1","1965"
"201144_s_at","EIF2S1","1965"
"201145_at","HAX1","10456"
"201146_at","NFE2L2","4780"
"201147_s_at","TIMP3","7078"
"201148_s_at","TIMP3","7078"
"201149_s_at","TIMP3","7078"
"201150_s_at","TIMP3","7078"
"201151_s_at","MBNL1","4154"
"201152_s_at","MBNL1","4154"
"201153_s_at","MBNL1","4154"
"201154_x_at","RPL4","6124"
"201155_s_at","MFN2","9927"
"201156_s_at","RAB5C","5878"
"201157_s_at","NMT1","4836"
"201158_at","NMT1","4836"
"201159_s_at","NMT1","4836"
"201160_s_at","CSDA","8531"
"201161_s_at","CSDA","8531"
"201162_at","IGFBP7","3490"
"201163_s_at","IGFBP7","3490"
"201164_s_at","RNF6 ","6049 "
"201165_s_at","PUM1","9698"
"201166_s_at","PUM1","9698"
"201167_x_at","ARHGDIA","396"
"201168_x_at","ARHGDIA ","396 "
"201169_s_at","BHLHB2","8553"
"201170_s_at","BHLHB2","8553"
"201171_at","ATP6V0E1","8992"
"201172_x_at","ATP6V0E1","8992"
"201173_x_at","NUDC","10726"
"201174_s_at","TERF2IP","54386"
"201175_at","TXNDC14","51075"
"201176_s_at","ARCN1","372"
"201177_s_at","SAE2","10054"
"201178_at","FBXO7","25793"
"201179_s_at","GNAI3","2773"
"201180_s_at","GNAI3","2773"
"201181_at","GNAI3","2773"
"201182_s_at","CHD4","1108"
"201183_s_at","CHD4","1108"
"201184_s_at","CHD4","1108"
"201185_at","HTRA1","5654"
"201186_at","LRPAP1","4043"
"201187_s_at","ITPR3","3710"
"201188_s_at","ITPR3","3710"
"201189_s_at","ITPR3","3710"
"201190_s_at","PITPNA","5306"
"201191_at","PITPNA","5306"
"201192_s_at","PITPNA","5306"
"201193_at","IDH1","3417"
"201194_at","SEPW1","6415"
"201195_s_at","SLC7A5","8140"
"201196_s_at","AMD1","262"
"201197_at","AMD1","262"
"201198_s_at","PSMD1","5707"
"201199_s_at","PSMD1","5707"
"201200_at","CREG1","8804"
"201201_at","CSTB","1476"
"201202_at","PCNA","5111"
"201203_s_at","RRBP1","6238"
"201204_s_at","RRBP1","6238"
"201205_at",NA,NA
"201206_s_at","RRBP1","6238"
"201207_at","TNFAIP1","7126"
"201208_s_at","TNFAIP1","7126"
"201209_at","HDAC1","3065"
"201210_at","DDX3X","1654"
"201211_s_at","DDX3X","1654"
"201212_at","LGMN","5641"
"201213_at",NA,NA
"201214_s_at","PPP1R7","5510"
"201215_at","PLS3","5358"
"201216_at","ERP29","10961"
"201217_x_at","RPL3","6122"
"201218_at","CTBP2 ","1488 "
"201219_at","CTBP2 ","1488 "
"201220_x_at","CTBP2","1488"
"201221_s_at","SNRP70","6625"
"201222_s_at","RAD23B","5887"
"201223_s_at","RAD23B","5887"
"201224_s_at","SRRM1","10250"
"201225_s_at","SRRM1","10250"
"201226_at","NDUFB8","4714"
"201227_s_at","NDUFB8","4714"
"201228_s_at","ARIH2","10425"
"201229_s_at","ARIH2","10425"
"201230_s_at","ARIH2","10425"
"201231_s_at","ENO1","2023"
"201232_s_at","PSMD13","5719"
"201233_at","PSMD13","5719"
"201234_at","ILK","3611"
"201235_s_at","BTG2","7832"
"201236_s_at","BTG2","7832"
"201237_at","CAPZA2","830"
"201238_s_at","CAPZA2","830"
"201239_s_at","SPCS2 ","653566 "
"201240_s_at","SPCS2","9789"
"201241_at","DDX1","1653"
"201242_s_at","ATP1B1","481"
"201243_s_at","ATP1B1","481"
"201244_s_at","RAF1","5894"
"201245_s_at","OTUB1","55611"
"201246_s_at","OTUB1","55611"
"201247_at",NA,NA
"201248_s_at","SREBF2","6721"
"201249_at","SLC2A1","6513"
"201250_s_at","SLC2A1","6513"
"201251_at","PKM2","5315"
"201252_at","PSMC4 ","5704 "
"201253_s_at","CDIPT","10423"
"201254_x_at","RPS6","6194"
"201255_x_at","BAT3","7917"
"201256_at","COX7A2L","9167"
"201257_x_at","RPS3A","6189"
"201258_at","RPS16","6217"
"201259_s_at","SYPL1","6856"
"201260_s_at","SYPL1","6856"
"201261_x_at","BGN","633"
"201262_s_at","BGN","633"
"201263_at","TARS","6897"
"201264_at","COPE","11316"
"201265_at",NA,NA
"201266_at","TXNRD1","7296"
"201267_s_at","PSMC3","5702"
"201268_at","NME2 ","4831 "
"201269_s_at","NUDCD3","23386"
"201270_x_at","NUDCD3","23386"
"201271_s_at","RALY","22913"
"201272_at","AKR1B1","231"
"201273_s_at","SRP9","6726"
"201274_at","PSMA5","5686"
"201275_at","FDPS","2224"
"201276_at","RAB5B","5869"
"201277_s_at","HNRPAB","3182"
"201278_at","DAB2","1601"
"201279_s_at","DAB2","1601"
"201280_s_at","DAB2","1601"
"201281_at","ADRM1","11047"
"201282_at","OGDH","4967"
"201283_s_at","TRAK1","22906"
"201284_s_at","APEH","327"
"201285_at","MKRN1","23608"
"201286_at","SDC1","6382"
"201287_s_at","SDC1","6382"
"201288_at","ARHGDIB","397"
"201289_at","CYR61","3491"
"201290_at","SEC11A","23478"
"201291_s_at","TOP2A","7153"
"201292_at","TOP2A","7153"
"201293_x_at","PPIA","5478"
"201294_s_at","WSB1","26118"
"201295_s_at","WSB1 ","26118 "
"201296_s_at","WSB1","26118"
