,logFC,AveExpr,t,P.Value,adj.P.Val,B
KLK10,8.77804925804676,10.5067503201512,111.575473149319,3.80222884620719e-11,1.7603149264591e-07,15.4176397029455
FXYD3,7.74897113701092,10.4595781806295,107.272172065335,4.80904434008159e-11,1.7603149264591e-07,15.2979138719217
KLK7,9.13892437018136,10.59637995366,102.658320721775,6.25298293485186e-11,1.7603149264591e-07,15.157791375786
SPRR1B,9.64635676831598,10.5709845422298,101.278376898172,6.77934824252868e-11,1.7603149264591e-07,15.1133107373575
KLK8,7.41924762670562,8.59242514876449,100.428904126209,7.12908483830951e-11,1.7603149264591e-07,15.0853058605908
SPRR1A,9.0015591897057,10.6923749576999,98.4598388570983,8.02398947558074e-11,1.7603149264591e-07,15.0184984433262
RAB25,7.19097609253624,8.66965359085087,95.9229561818879,9.3775696031396e-11,1.7603149264591e-07,14.9283450999489
CDH1,8.20451928344356,9.14144758873015,94.0464078702104,1.05518652867322e-10,1.7603149264591e-07,14.8585347138446
KRT13,7.45928573612349,8.56496905277706,85.1157966947887,1.91458414707485e-10,2.61279370637097e-07,14.4853118200487
AQP3,6.3236713315844,8.76848742694229,84.79866648629,1.95773543111867e-10,2.61279370637097e-07,14.4706831253281
CLDN1,6.14003742052768,8.80282963104311,81.2123984502653,2.53397463451723e-10,3.04421857142699e-07,14.2978831034813
SPRR3,7.01794203205164,8.73204564835971,80.1697707377408,2.73719637772545e-10,3.04421857142699e-07,14.2449837678527
RBM35B,6.24727400759745,8.56979594675581,76.9319938029396,3.50099874740111e-10,3.59417917560117e-07,14.0724776378825
ANXA3,5.63197722564425,10.3420323431582,74.7571172813501,4.15471511789481e-10,3.90535245738964e-07,13.9491603610414
KRT16,6.55674367763311,11.1915777272768,73.8307559187177,4.47576558358417e-10,3.90535245738964e-07,13.8947038369384
IVL,6.23914750486153,9.03144134709413,72.7963577728317,4.86906232153575e-10,3.90535245738964e-07,13.8324763698364
RBM35A,7.31614479075607,8.82446648319498,71.8275041600642,5.27447368545409e-10,3.90535245738964e-07,13.7727928694687
