	TCGA-2J-AAB1-01A-11D-A40Y-05	TCGA-2J-AAB4-01A-12D-A40Y-05	TCGA-2J-AAB6-01A-11D-A40Y-05	TCGA-2J-AAB8-01A-12D-A40Y-05	TCGA-2J-AAB9-01A-11D-A40Y-05	TCGA-2J-AABA-01A-21D-A40Y-05	TCGA-2J-AABE-01A-12D-A40Y-05	TCGA-2J-AABF-01A-31D-A40Y-05	TCGA-2J-AABH-01A-21D-A40Y-05	TCGA-2J-AABI-01A-12D-A40Y-05	TCGA-2J-AABK-01A-31D-A40Y-05	TCGA-2J-AABO-01A-21D-A40Y-05	TCGA-2J-AABP-01A-11D-A40Y-05	TCGA-2J-AABR-01A-11D-A40Y-05	TCGA-2J-AABT-01A-11D-A40Y-05	TCGA-2J-AABU-01A-11D-A40Y-05	TCGA-2J-AABV-01A-12D-A40Y-05	TCGA-2L-AAQA-01A-21D-A38H-05	TCGA-2L-AAQE-01A-11D-A398-05	TCGA-2L-AAQI-01A-12D-A398-05	TCGA-2L-AAQJ-01A-12D-A398-05	TCGA-2L-AAQL-01A-11D-A38H-05	TCGA-2L-AAQM-01A-11D-A398-05	TCGA-3A-A9I5-01A-11D-A38H-05	TCGA-3A-A9I7-01A-21D-A38H-05	TCGA-3A-A9I9-01A-11D-A38H-05	TCGA-3A-A9IB-01A-21D-A398-05	TCGA-3A-A9IC-01A-11D-A38H-05	TCGA-3A-A9IH-01A-12D-A398-05	TCGA-3A-A9IJ-01A-11D-A398-05	TCGA-3A-A9IL-01A-11D-A38H-05	TCGA-3A-A9IN-01A-11D-A398-05	TCGA-3A-A9IO-01A-11D-A38H-05	TCGA-3A-A9IR-01A-11D-A38H-05	TCGA-3A-A9IS-01A-21D-A398-05	TCGA-3A-A9IU-01A-11D-A398-05	TCGA-3A-A9IV-01A-11D-A40Y-05	TCGA-3A-A9IX-01A-11D-A40Y-05	TCGA-3A-A9IZ-01A-12D-A40Y-05	TCGA-3A-A9J0-01A-11D-A40Y-05	TCGA-3E-AAAY-01A-11D-A38H-05	TCGA-3E-AAAZ-01A-11D-A38H-05	TCGA-F2-6879-01A-11D-2157-05	TCGA-F2-6880-01A-11D-2157-05	TCGA-F2-7273-01A-11D-2157-05	TCGA-F2-7276-01A-11D-2157-05	TCGA-F2-A44G-01A-11D-A26Q-05	TCGA-F2-A44H-01A-11D-A26Q-05	TCGA-F2-A7TX-01A-33D-A38H-05	TCGA-F2-A8YN-01A-11D-A378-05	TCGA-FB-A4P5-01A-11D-A26Q-05	TCGA-FB-A4P6-01A-12D-A26Q-05	TCGA-FB-A545-01A-11D-A26Q-05	TCGA-FB-A5VM-01A-11D-A32S-05	TCGA-FB-A78T-01A-12D-A32S-05	TCGA-FB-A7DR-01A-21D-A33U-05	TCGA-FB-AAPP-01A-12D-A40Y-05	TCGA-FB-AAPQ-01A-11D-A40Y-05	TCGA-FB-AAPS-01A-12D-A398-05	TCGA-FB-AAPU-01A-31D-A40Y-05	TCGA-FB-AAPY-01A-11D-A40Y-05	TCGA-FB-AAPZ-01A-11D-A40Y-05	TCGA-FB-AAQ0-01A-31D-A40Y-05	TCGA-FB-AAQ1-01A-12D-A40Y-05	TCGA-FB-AAQ2-01A-31D-A40Y-05	TCGA-FB-AAQ3-01A-11D-A40Y-05	TCGA-FB-AAQ6-01A-11D-A40Y-05	TCGA-FZ-5919-01A-11D-1744-05	TCGA-FZ-5919-11A-02D-1744-05	TCGA-FZ-5920-01A-11D-1744-05	TCGA-FZ-5920-11A-01D-1744-05	TCGA-FZ-5922-01A-11D-1744-05	TCGA-FZ-5922-11A-01D-1744-05	TCGA-FZ-5923-01A-12D-1744-05	TCGA-FZ-5923-11A-01D-1744-05	TCGA-FZ-5924-01A-13D-1744-05	TCGA-FZ-5924-11A-01D-1744-05	TCGA-FZ-5926-01A-11D-1744-05	TCGA-FZ-5926-11A-01D-1744-05	TCGA-H6-8124-01A-11D-2399-05	TCGA-H6-8124-11A-01D-2399-05	TCGA-H6-A45N-01A-11D-A26Q-05	TCGA-H6-A45N-11A-12D-A26Q-05	TCGA-H8-A6C1-01A-11D-A32S-05	TCGA-HV-A5A3-01A-11D-A26Q-05	TCGA-HV-A5A3-11A-11D-A26Q-05	TCGA-HV-A5A4-01A-11D-A26Q-05	TCGA-HV-A5A5-01A-11D-A26Q-05	TCGA-HV-A5A6-01A-11D-A26Q-05	TCGA-HV-A7OL-01A-11D-A33U-05	TCGA-HV-A7OP-01A-11D-A33U-05	TCGA-HV-AA8V-01A-11D-A40Y-05	TCGA-HV-AA8X-01A-11D-A398-05	TCGA-HZ-7289-01A-11D-2157-05	TCGA-HZ-7918-01A-11D-2157-05	TCGA-HZ-7919-01A-11D-2157-05	TCGA-HZ-7920-01A-11D-2202-05	TCGA-HZ-7922-01A-11D-2157-05	TCGA-HZ-7923-01A-12D-2157-05	TCGA-HZ-7924-01A-11D-2157-05	TCGA-HZ-7925-01A-11D-2157-05	TCGA-HZ-7926-01A-11D-2157-05	TCGA-HZ-8001-01A-11D-2202-05	TCGA-HZ-8002-01A-11D-2202-05	TCGA-HZ-8003-01A-21D-2202-05	TCGA-HZ-8005-01A-11D-2202-05	TCGA-HZ-8315-01A-11D-2399-05	TCGA-HZ-8317-01A-11D-2399-05	TCGA-HZ-8519-01A-11D-2399-05	TCGA-HZ-8636-01A-21D-2399-05	TCGA-HZ-8637-01A-11D-2399-05	TCGA-HZ-8638-01A-11D-2399-05	TCGA-HZ-A49G-01A-11D-A26Q-05	TCGA-HZ-A49H-01A-11D-A26Q-05	TCGA-HZ-A49I-01A-12D-A26Q-05	TCGA-HZ-A4BH-01A-11D-A26Q-05	TCGA-HZ-A4BK-01A-11D-A26Q-05	TCGA-HZ-A77O-01A-11D-A33U-05	TCGA-HZ-A77P-01A-11D-A33U-05	TCGA-HZ-A77Q-01A-11D-A368-05	TCGA-HZ-A8P0-01A-11D-A368-05	TCGA-HZ-A8P1-01A-11D-A378-05	TCGA-HZ-A9TJ-01A-11D-A40Y-05	TCGA-HZ-A9TJ-06A-11D-A40Y-05	TCGA-IB-7644-01A-11D-2157-05	TCGA-IB-7645-01A-22D-2202-05	TCGA-IB-7646-01A-11D-2157-05	TCGA-IB-7647-01A-11D-2157-05	TCGA-IB-7649-01A-11D-2157-05	TCGA-IB-7651-01A-11D-2157-05	TCGA-IB-7652-01A-11D-2157-05	TCGA-IB-7885-01A-11D-2157-05	TCGA-IB-7886-01A-11D-2157-05	TCGA-IB-7887-01A-11D-2157-05	TCGA-IB-7888-01A-11D-2157-05	TCGA-IB-7889-01A-11D-2157-05	TCGA-IB-7890-01A-12D-2202-05	TCGA-IB-7891-01A-11D-2202-05	TCGA-IB-7893-01A-11D-2202-05	TCGA-IB-7897-01A-21D-2202-05	TCGA-IB-8126-01A-11D-2399-05	TCGA-IB-8127-01A-11D-2399-05	TCGA-IB-A5SO-01A-11D-A32S-05	TCGA-IB-A5SP-01A-11D-A32S-05	TCGA-IB-A5SQ-01A-11D-A32S-05	TCGA-IB-A5SS-01A-11D-A32S-05	TCGA-IB-A5ST-01A-11D-A32S-05	TCGA-IB-A6UF-01A-23D-A33U-05	TCGA-IB-A6UG-01A-32D-A33U-05	TCGA-IB-A7LX-01A-12D-A368-05	TCGA-IB-A7M4-01A-11D-A368-05	TCGA-IB-AAUM-01A-11D-A378-05	TCGA-IB-AAUN-01A-12D-A38H-05	TCGA-IB-AAUO-01A-12D-A38H-05	TCGA-IB-AAUP-01A-11D-A378-05	TCGA-IB-AAUQ-01A-22D-A40Y-05	TCGA-IB-AAUR-01A-21D-A38H-05	TCGA-IB-AAUS-01A-12D-A38H-05	TCGA-IB-AAUT-01A-11D-A378-05	TCGA-IB-AAUU-01A-11D-A378-05	TCGA-IB-AAUV-01A-11D-A38H-05	TCGA-IB-AAUW-01A-12D-A38H-05	TCGA-L1-A7W4-01A-12D-A368-05	TCGA-LB-A7SX-01A-11D-A33U-05	TCGA-LB-A8F3-01A-11D-A368-05	TCGA-LB-A9Q5-01A-11D-A398-05	TCGA-M8-A5N4-01A-11D-A26Q-05	TCGA-OE-A75W-01A-12D-A32S-05	TCGA-PZ-A5RE-01A-11D-A32S-05	TCGA-Q3-A5QY-01A-12D-A32S-05	TCGA-Q3-AA2A-01A-11D-A378-05	TCGA-RB-A7B8-01A-12D-A33U-05	TCGA-RB-AA9M-01A-11D-A398-05	TCGA-RL-AAAS-01A-32D-A398-05	TCGA-S4-A8RM-01A-11D-A378-05	TCGA-S4-A8RO-01A-12D-A378-05	TCGA-S4-A8RP-01A-11D-A368-05	TCGA-US-A774-01A-21D-A32S-05	TCGA-US-A776-01A-13D-A33U-05	TCGA-US-A779-01A-11D-A32S-05	TCGA-US-A77E-01A-11D-A32S-05	TCGA-US-A77G-01A-11D-A32S-05	TCGA-US-A77J-01A-11D-A32S-05	TCGA-XD-AAUG-01A-61D-A40Y-05	TCGA-XD-AAUH-01A-42D-A40Y-05	TCGA-XD-AAUI-01A-42D-A40Y-05	TCGA-XD-AAUL-01A-21D-A398-05	TCGA-XN-A8T3-01A-11D-A368-05	TCGA-XN-A8T5-01A-12D-A368-05	TCGA-YB-A89D-01A-12D-A368-05	TCGA-YB-A89D-11A-11D-A368-05	TCGA-YH-A8SY-01A-11D-A378-05	TCGA-YY-A8LH-01A-11D-A368-05	TCGA-Z5-AAPL-01A-12D-A40Y-05
ACSL4	0.0379893	0.042935	0.0452851	0.0270382	0.453169	0.0339232	0.0364931	0.0321184	0.0330244	0.554822	0.0364539	0.0313049	0.393654	0.523373	0.497285	0.032943	0.0416411	0.0357239	0.0259553	0.0285509	0.461492	0.0329635	0.0278796	0.0328846	0.0302202	0.0293819	0.3708	0.499803	0.420321	0.0375623	0.332585	0.468641	0.0233321	0.535145	0.0385448	0.037157	0.18904	0.0336706	0.0300402	0.0414587	0.039003	0.0299138	0.032998	0.0278843	0.0351324	0.0266434	0.517927	0.0305281	0.0298401	0.0277961	0.476864	0.0291023	0.401573	0.0292442	0.460073	0.0358016	0.0401915	0.0492346	0.499334	0.499056	0.0387946	0.0362141	0.0343732	0.0415445	0.441192	0.440311	0.041036	0.51791	0.455141	0.0314083	0.0259375	0.0329913	0.0236524	0.0319011	0.023868	0.0293744	0.0445154	0.422884	0.428804	0.566042	0.518816	0.461502	0.536033	0.0332992	0.0305021	0.0288027	0.497057	0.5168	0.472183	0.031685	0.0287755	0.033327	0.464378	0.0376071	0.0360256	0.501639	0.0336103	0.390802	0.0308617	0.485597	0.030357	0.031913	0.0259597	0.0396154	0.460705	0.0292645	0.518487	0.458325	0.0277695	0.515166	0.541324	0.528538	0.472973	0.484185	0.0295953	0.0300604	0.0344097	0.491787	0.0333915	0.421191	0.0404294	0.0396519	0.049583	0.0332459	0.511939	0.481661	0.0318583	0.0320363	0.454905	0.39584	0.412506	0.439566	0.0338291	0.484664	0.494701	0.48685	0.0290256	0.501252	0.0414696	0.470115	0.542246	0.0370817	0.0331694	0.0351379	0.4319	0.389769	0.437047	0.0441701	0.0409826	0.0368758	0.0380539	0.0284994	0.490373	0.287056	0.0347735	0.0504869	0.0279823	0.504666	0.0242177	0.0309844	0.0253829	0.494873	0.467153	0.315595	0.411664	0.373043	0.454366	0.0322184	0.565048	0.0328633	0.478235	0.468861	0.0298626	0.451929	0.0243096	0.533163	0.471125	0.482981	0.0449494	0.476821	0.0398257	0.0407578	0.509696	0.396979	0.433982	0.404364	0.034696	0.029747	0.417123	0.0401161	0.0355108	0.455655	0.375714	0.458237
ALOX15	0.497874	0.133243	0.430466	0.227668	0.174219	0.335097	0.240321	0.305487	0.49531	0.245886	0.261634	0.335138	0.126799	0.249697	0.276927	0.302354	0.163243	0.498553	0.123205	0.268882	0.412945	0.391235	0.056771	0.409687	0.146354	0.106735	0.287741	0.300278	0.19309	0.188561	0.0560871	0.156582	0.0777653	0.459771	0.279151	0.143968	0.499271	0.157749	0.115713	0.275488	0.149974	0.397493	0.558457	0.155767	0.230374	0.153605	0.137905	0.142347	0.217587	0.107841	0.222096	0.186333	0.553771	0.197937	0.232897	0.260172	0.843467	0.228669	0.210853	0.305018	0.27071	0.514838	0.360849	0.392318	0.286407	0.211708	0.517469	0.373168	0.177762	0.347037	0.203008	0.120641	0.133706	0.386845	0.14641	0.114897	0.142428	0.205953	0.151289	0.264643	0.169418	0.250672	0.177804	0.173075	0.263531	0.131272	0.434851	0.240931	0.0983168	0.226138	0.506737	0.214471	0.453196	0.349208	0.361791	0.195906	0.146065	0.37898	0.176383	0.269755	0.126135	0.266087	0.261874	0.126092	0.180823	0.244936	0.209973	0.148237	0.181614	0.206853	0.192652	0.217137	0.214083	0.127746	0.165637	0.292146	0.181126	0.113302	0.268829	0.150377	0.127044	0.329921	0.351057	0.0971878	0.1359	0.231754	0.440958	0.293418	0.22596	0.378583	0.161042	0.168359	0.100639	0.141537	0.249976	0.296067	0.437829	0.187842	0.138065	0.168893	0.209216	0.309497	0.158258	0.172687	0.247181	0.146725	0.165721	0.481961	0.332223	0.39625	0.256097	0.18756	0.144665	0.255338	0.203271	0.111373	0.237456	0.171712	0.192755	0.136764	0.16502	0.141062	0.130379	0.227648	0.16713	0.169288	0.139299	0.371139	0.207714	0.218241	0.150526	0.198059	0.131027	0.147251	0.292365	0.419615	0.39936	0.144086	0.288127	0.134114	0.173554	0.306372	0.17767	0.154223	0.206548	0.146179	0.146289	0.311202	0.263356	0.182731	0.216289	0.12176	0.252082	0.240327
ATP5G3	0.103513	0.0737028	0.09575	0.0867619	0.103024	0.105923	0.0985776	0.0874312	0.0784039	0.0781985	0.107905	0.0940918	0.0977974	0.113985	0.0771445	0.0809224	0.0771283	0.0908775	0.107389	0.085371	0.07805	0.0987851	0.0811982	0.0842916	0.0837666	0.0970327	0.0744091	0.0761491	0.0960978	0.0869522	0.0852728	0.0993098	0.0896323	0.0785858	0.073679	0.0989	0.0902757	0.0749041	0.0896131	0.0938002	0.0817046	0.121491	0.108627	0.0983753	0.0938335	0.0987803	0.098786	0.0916689	0.0890499	0.0992221	0.0710547	0.0903022	0.100049	0.112092	0.100801	0.110172	0.0767715	0.0947008	0.0941013	0.0830024	0.10465	0.0725954	0.0947844	0.0891102	0.105215	0.114682	0.106803	0.0721624	0.0811923	0.0803577	0.071518	0.082304	0.102421	0.0943873	0.0753376	0.0607309	0.0995996	0.086847	0.0811496	0.0960024	0.122735	0.0787524	0.083682	0.0966059	0.0916457	0.0904172	0.0931026	0.0856318	0.0926171	0.0839387	0.0853033	0.0808982	0.0939073	0.104335	0.109317	0.105334	0.117704	0.107702	0.101798	0.12632	0.103503	0.092381	0.0961971	0.102356	0.0936823	0.0995469	0.100986	0.103705	0.10704	0.0951167	0.102168	0.127074	0.09463	0.0974952	0.0937382	0.0912596	0.0990214	0.0889185	0.113731	0.0944114	0.0981593	0.0865071	0.0813414	0.0996065	0.09894	0.108301	0.11029	0.116108	0.0908803	0.111985	0.107778	0.107707	0.099172	0.0905612	0.0969088	0.102112	0.110735	0.0987838	0.0992348	0.0960839	0.0982908	0.113578	0.0936265	0.0680202	0.0660248	0.0762748	0.0610276	0.10718	0.11137	0.105547	0.0798656	0.087672	0.073022	0.0934159	0.106185	0.108306	0.0920864	0.100861	0.0951409	0.105173	0.0796861	0.104254	0.105683	0.0699342	0.102526	0.0897703	0.0862128	0.102486	0.078773	0.0886203	0.102076	0.0955571	0.105953	0.0799404	0.106909	0.101538	0.0862672	0.0676379	0.0944158	0.0692126	0.0936675	0.0914473	0.0924105	0.129765	0.100006	0.0895414	0.0897934	0.117574	0.111355	0.0979394	0.110934	0.100482	0.0923813	0.088601
CARS	0.0516617	0.0218817	0.0366559	0.0385777	0.0780735	0.0482005	0.0436768	0.0431668	0.0411423	0.0485784	0.0349395	0.0384225	0.029199	0.0400209	0.0312108	0.03665	0.0355426	0.0202528	0.0219081	0.0265938	0.0294746	0.0211156	0.0272378	0.0248879	0.0282712	0.0217009	0.0262958	0.0204481	0.0427265	0.0274044	0.04031	0.0296834	0.0281377	0.0196721	0.0311363	0.0320663	0.0298801	0.0334019	0.0345152	0.0301019	0.0252331	0.0204707	0.0267694	0.0300857	0.0269928	0.0368141	0.024461	0.0258874	0.02537	0.0363496	0.0245486	0.0319417	0.0274048	0.0235725	0.0259957	0.0312223	0.0341496	0.0288827	0.0295144	0.0249684	0.0284269	0.0215911	0.0295276	0.0302364	0.0449522	0.0342902	0.0413885	0.0191041	0.0218113	0.0262296	0.0175329	0.0258908	0.0229418	0.0194833	0.0158625	0.0180509	0.0229157	0.0230562	0.018597	0.0269059	0.0263674	0.0248922	0.0292351	0.0260617	0.0292299	0.0216112	0.0249887	0.0311708	0.0232157	0.0326093	0.023021	0.0408615	0.0242691	0.0275732	0.0299023	0.0331943	0.0306087	0.0301394	0.0269608	0.0243436	0.0284316	0.0324011	0.0284006	0.0268582	0.0228389	0.0289573	0.0290441	0.0284867	0.0234984	0.0292335	0.0268275	0.0272892	0.020097	0.0274263	0.0268998	0.0276959	0.0249275	0.0276607	0.0288386	0.0290418	0.0302404	0.0284604	0.0310253	0.0347923	0.0250219	0.0263048	0.0258122	0.0271513	0.0384796	0.0248607	0.0324852	0.0251238	0.0384187	0.027149	0.0278337	0.0276777	0.0264859	0.0238361	0.0331563	0.026356	0.0318344	0.0289995	0.0294411	0.0291586	0.0279484	0.0225698	0.0284778	0.0288659	0.0239953	0.0260122	0.0337812	0.0290184	0.0195915	0.0171053	0.0377673	0.0402141	0.0305599	0.025479	0.0304106	0.0425062	0.0225399	0.0283623	0.0280854	0.02372	0.0314135	0.0293664	0.0284881	0.0254677	0.0272669	0.0421569	0.0334305	0.0429516	0.0343027	0.0263204	0.0275755	0.0320274	0.0242524	0.0304777	0.0278729	0.0199262	0.026311	0.0331966	0.029512	0.0431268	0.0357924	0.0346807	0.028294	0.0249011	0.0333447	0.0289602	0.0274629	0.0353504	0.031467	0.0270225
CDKN1A	0.21698	0.211009	0.15613	0.237199	0.193431	0.201779	0.171756	0.208014	0.154523	0.15723085	0.267344	0.115098	0.180158	0.2466685	0.307418	0.208694	0.305365	0.101278	0.188545	0.180744	0.0985675	0.224044	0.115585	0.19851	0.177903	0.130186	0.108023	0.130927	0.243971	0.369192	0.0923525	0.299345	0.485476	0.285667	0.211782	0.218075	0.123981	0.34077	0.132114	0.152859	0.268584	0.139786	0.231845	0.191113	0.261179	0.306404	0.090447	0.188209	0.23195	0.178977	0.286007	0.245066	0.0964942	0.265254	0.101045	0.264161	0.0797762	0.145947	0.201563	0.130713	0.338413	0.191058	0.137638	0.206927	0.294658	0.232729	0.123741	0.305261	0.145869	0.141287	0.379072	0.176967	0.236406	0.239923	0.411876	0.126195	0.260359	0.211506	0.226606	0.215068	0.247878	0.304457	0.257355	0.115688	0.127715	0.245904	0.128142	0.322915	0.108109	0.179894	0.0981782	0.205237	0.208585	0.131098	0.362065	0.238745	0.3897	0.166631	0.330049	0.137367	0.160714	0.230757	0.37139	0.183313	0.359007	0.287461	0.164454	0.187508	0.462306	0.149284	0.282336	0.226533	0.229528	0.346668	0.111774	0.265014	0.175768	0.249829	0.24271	0.207037	0.0905981	0.14964	0.17693	0.136847	0.279434	0.220332	0.214716	0.262907	0.213814	0.254415	0.154633	0.222906	0.211772	0.0746439	0.305564	0.355311	0.221941	0.209412	0.212328	0.385498	0.341804	0.241552	0.237906	0.136074	0.333223	0.151571	0.250304	0.173654	0.271897	0.100618	0.205266	0.302064	0.180892	0.153012	0.26646	0.183469	0.322613	0.245085	0.27292	0.21844	0.308866	0.191394	0.241161	0.217453	0.174264	0.153226	0.106037	0.107044	0.179476	0.338078	0.136663	0.18606	0.299517	0.258817	0.107909	0.0939593	0.224505	0.191874	0.115869	0.0943476	0.0930927	0.172798	0.266776	0.222589	0.382753	0.249337	0.125812	0.133851	0.264936	0.195272	0.220949	0.130978	0.137806	0.279502
CISD1	0.0573145	0.0449003	0.0435	0.0473261	0.0462176	0.0443893	0.0440189	0.0395674	0.0350687	0.0455263	0.0444127	0.0482561	0.0362376	0.0540398	0.0411965	0.0528148	0.0425607	0.0394375	0.0430905	0.0434848	0.0433102	0.0378877	0.0418831	0.040728	0.0344005	0.0331996	0.0349685	0.0392228	0.0386283	0.0343691	0.0366324	0.0419968	0.0310417	0.0346848	0.0416197	0.0419482	0.0498082	0.0438754	0.0410081	0.0295926	0.0448168	0.0363062	0.0545389	0.0578922	0.0381432	0.04348	0.0580571	0.0481348	0.0333129	0.0470976	0.0405499	0.0525075	0.0649498	0.0404017	0.0436002	0.0449681	0.0501704	0.0515465	0.0348915	0.0344017	0.0389732	0.0375847	0.0482189	0.0455599	0.043524	0.0408215	0.0398169	0.0326428	0.0272848	0.0277698	0.0414746	0.0411983	0.0360719	0.0271272	0.03305	0.0292758	0.0306551	0.0327555	0.0289915	0.047963	0.0630862	0.0444529	0.0475389	0.0468784	0.0368427	0.0420745	0.0494879	0.0467671	0.0485708	0.0443768	0.04988	0.0438706	0.043128	0.0448773	0.0472639	0.0496365	0.0537422	0.0496449	0.0554783	0.0481136	0.0460465	0.0412841	0.0518477	0.0514035	0.0450375	0.0475509	0.0517409	0.0558891	0.0569294	0.0573525	0.0529211	0.0561796	0.0320134	0.0472631	0.0397958	0.0483884	0.0498754	0.0518352	0.0497559	0.053628	0.0568607	0.0495452	0.0466476	0.03942	0.0540702	0.0514349	0.0353473	0.0557304	0.0374689	0.0413145	0.0460302	0.0502688	0.0396261	0.0422277	0.0444775	0.0542265	0.0428371	0.0430322	0.0585752	0.0494032	0.0520628	0.039662	0.0483208	0.0529441	0.0443796	0.0375173	0.0370402	0.0494693	0.0465919	0.0491321	0.0507045	0.0495732	0.0355251	0.0312623	0.0392655	0.0425171	0.0494192	0.0380269	0.0434589	0.0594457	0.0396893	0.0425431	0.0399889	0.0423473	0.0449448	0.0362802	0.0448633	0.0464865	0.0424147	0.0349058	0.0529361	0.0517051	0.0418632	0.0414475	0.0472532	0.04303	0.0540123	0.0333387	0.0481443	0.0428077	0.041628	0.0460492	0.0375094	0.0455783	0.0473808	0.0399293	0.040124	0.0544024	0.0444118	0.0651514	0.0504576	0.0649857	0.0554759	0.0455753
CS	0.1278955	0.0723759	0.0986453	0.110911	0.1182435	0.09809705	0.08561635	0.09500495	0.112443	0.114248	0.1032541	0.0998922	0.1110749	0.11759875	0.0952858	0.07811635	0.1043839	0.06789355	0.0730881	0.07311645	0.0683143	0.08612705	0.03887725	0.08962315	0.10706295	0.11089	0.07187675	0.10762555	0.0631459	0.07251585	0.07229865	0.08861865	0.08909425	0.07323385	0.04150385	0.073161	0.0833396	0.0974337	0.13926445	0.09117695	0.0979496	0.08217865	0.0952639	0.1054264	0.11665575	0.0974417	0.128347	0.0811318	0.0957187	0.11858945	0.10431855	0.1189349	0.0760719	0.1022774	0.09572255	0.1564425	0.0865265	0.0782834	0.0949701	0.09746595	0.134304	0.0843216	0.0689376	0.129766	0.178184	0.0816959	0.0728224	0.08691165	0.06008725	0.11875415	0.058273	0.080736	0.11337785	0.09692	0.0639316	0.08382375	0.0872573	0.07747845	0.0908628	0.0565417	0.12330035	0.0932196	0.1146212	0.09677235	0.07838985	0.1052679	0.083865	0.10728285	0.1253545	0.12736775	0.1008452	0.09697535	0.07529995	0.10577285	0.1252355	0.09737485	0.12820535	0.10556305	0.0983762	0.0961889	0.1112175	0.093164	0.1128725	0.15071605	0.10369195	0.08370985	0.06901775	0.0681841	0.07698315	0.07987545	0.12506245	0.08564495	0.09608105	0.109405	0.0804003	0.10252645	0.07193725	0.1228804	0.09199565	0.1100188	0.1136213	0.12603825	0.1091044	0.0983671	0.06774225	0.11981615	0.0922311	0.11043655	0.09492945	0.117457	0.09543605	0.1030745	0.10160895	0.10323685	0.1089015	0.1120608	0.06906895	0.1216874	0.08713485	0.11185575	0.106951	0.0863031	0.105359	0.0771994	0.119314	0.0854248	0.110091	0.120007	0.09392885	0.08453	0.09793055	0.11932345	0.1049505	0.0961599	0.1023508	0.102338	0.10044775	0.146621	0.13967285	0.1400794	0.156431	0.1038475	0.118207	0.111067	0.0570417	0.0825078	0.1116341	0.10455725	0.1011613	0.0920862	0.12537935	0.10857045	0.10475125	0.08355935	0.1003276	0.100229	0.06859045	0.09727315	0.0754307	0.0874467	0.0891406	0.080145	0.193284	0.0970667	0.09122615	0.130259	0.09138015	0.0609778	0.11441335	0.0799922	0.1100704	0.1502145	0.06682515	0.099012
DPP4	0.436586	0.527127	0.44965	0.764022	0.621349	0.776745	0.645732	0.620127	0.393714	0.909111	0.453445	0.64939	0.525626	0.725514	0.746346	0.764784	0.232275	0.466969	0.5325	0.45126	0.548718	0.573294	0.144498	0.770171	0.593555	0.425282	0.679771	0.638538	0.484222	0.837552	0.151862	0.716501	0.68693	0.688099	0.232553	0.782656	0.656033	0.652629	0.535861	0.696684	0.635697	0.618647	0.504877	0.415398	0.66862	0.710211	0.737486	0.472078	0.674017	0.591574	0.798784	0.614192	0.43799	0.619239	0.260731	0.792126	0.335209	0.487312	0.746583	0.443511	0.63379	0.462588	0.485299	0.794288	0.79033	0.630336	0.429242	0.783467	0.421004	0.525905	0.401538	0.542167	0.631592	0.460828	0.377968	0.747868	0.437066	0.406969	0.347866	0.57373	0.749326	0.685363	0.710691	0.516713	0.804846	0.627442	0.539099	0.752168	0.420545	0.686394	0.392048	0.739846	0.555661	0.437498	0.699831	0.568453	0.789357	0.562811	0.769781	0.506756	0.706899	0.747871	0.8121	0.579551	0.55057	0.666243	0.80503	0.426766	0.538096	0.664674	0.746968	0.549659	0.512543	0.492587	0.558002	0.561421	0.447182	0.464565	0.671249	0.782285	0.592649	0.614114	0.383132	0.515902	0.352407	0.814988	0.594351	0.714965	0.651891	0.610661	0.384106	0.808627	0.479603	0.726634	0.795127	0.52346	0.566565	0.696464	0.72801	0.780783	0.70202	0.554428	0.780876	0.161438	0.779889	0.760359	0.64972	0.410839	0.722898	0.900755	0.712235	0.506087	0.4184	0.79033	0.767839	0.781702	0.727269	0.744342	0.59007	0.380893	0.7228	0.621047	0.631644	0.678826	0.395977	0.442613	0.756888	0.463985	0.589333	0.836018	0.604356	0.736893	0.717196	0.708456	0.489874	0.709685	0.573779	0.569104	0.610702	0.348748	0.583638	0.413	0.717911	0.796511	0.775102	0.791211	0.662079	0.717987	0.779872	0.561609	0.78336	0.626288	0.36489	0.79932
