	TCGA-2H-A9GF-01A-11D-A37D-05	TCGA-2H-A9GG-01A-11D-A37D-05	TCGA-2H-A9GH-01A-11D-A37D-05	TCGA-2H-A9GI-01A-11D-A37D-05	TCGA-2H-A9GJ-01A-11D-A37D-05	TCGA-2H-A9GK-01A-11D-A37D-05	TCGA-2H-A9GL-01A-12D-A37D-05	TCGA-2H-A9GM-01A-11D-A37D-05	TCGA-2H-A9GN-01A-11D-A37D-05	TCGA-2H-A9GO-01A-11D-A37D-05	TCGA-2H-A9GQ-01A-11D-A37D-05	TCGA-2H-A9GR-01A-12D-A37D-05	TCGA-IC-A6RE-01A-11D-A33F-05	TCGA-IC-A6RE-11A-12D-A33F-05	TCGA-IG-A3I8-01A-11D-A249-05	TCGA-IG-A3I8-11A-11D-A249-05	TCGA-IG-A3QL-01A-11D-A249-05	TCGA-IG-A3Y9-01A-12D-A249-05	TCGA-IG-A3YA-01A-11D-A249-05	TCGA-IG-A3YB-01A-11D-A249-05	TCGA-IG-A3YC-01A-11D-A249-05	TCGA-IG-A4P3-01A-11D-A265-05	TCGA-IG-A4QS-01A-11D-A265-05	TCGA-IG-A4QT-01A-21D-A265-05	TCGA-IG-A50L-01A-11D-A265-05	TCGA-IG-A51D-01A-11D-A265-05	TCGA-IG-A5B8-01A-11D-A28C-05	TCGA-IG-A5S3-01A-11D-A28C-05	TCGA-IG-A625-01A-11D-A31V-05	TCGA-IG-A6QS-01A-12D-A33F-05	TCGA-IG-A7DP-01A-31D-A33F-05	TCGA-IG-A8O2-01A-11D-A36K-05	TCGA-IG-A97H-01A-11D-A388-05	TCGA-IG-A97I-01A-11D-A388-05	TCGA-JY-A6F8-01A-11D-A33F-05	TCGA-JY-A6FA-01A-11D-A33F-05	TCGA-JY-A6FB-01A-11D-A33F-05	TCGA-JY-A6FD-01A-11D-A33F-05	TCGA-JY-A6FE-01A-11D-A33F-05	TCGA-JY-A6FG-01A-11D-A33F-05	TCGA-JY-A6FH-01A-11D-A33F-05	TCGA-JY-A938-01A-11D-A37D-05	TCGA-JY-A939-01A-12D-A37D-05	TCGA-JY-A93C-01A-11D-A388-05	TCGA-JY-A93D-01A-11D-A388-05	TCGA-JY-A93E-01A-11D-A37D-05	TCGA-JY-A93F-01A-21D-A37D-05	TCGA-KH-A6WC-01A-11D-A33F-05	TCGA-L5-A43C-01A-11D-A249-05	TCGA-L5-A43C-11A-11D-A249-05	TCGA-L5-A43E-01A-11D-A249-05	TCGA-L5-A43H-01A-11D-A249-05	TCGA-L5-A43I-01A-11D-A249-05	TCGA-L5-A43J-01A-12D-A249-05	TCGA-L5-A43M-01A-11D-A249-05	TCGA-L5-A4OE-01A-11D-A265-05	TCGA-L5-A4OE-11A-11D-A265-05	TCGA-L5-A4OF-01A-11D-A265-05	TCGA-L5-A4OF-11A-12D-A265-05	TCGA-L5-A4OG-01A-11D-A265-05	TCGA-L5-A4OG-11A-12D-A265-05	TCGA-L5-A4OH-01A-11D-A265-05	TCGA-L5-A4OH-11A-11D-A265-05	TCGA-L5-A4OI-01A-11D-A265-05	TCGA-L5-A4OI-11A-11D-A265-05	TCGA-L5-A4OJ-01A-11D-A265-05	TCGA-L5-A4OJ-11A-12D-A265-05	TCGA-L5-A4OM-01A-11D-A265-05	TCGA-L5-A4OM-11A-11D-A265-05	TCGA-L5-A4ON-01A-11D-A265-05	TCGA-L5-A4ON-11A-21D-A265-05	TCGA-L5-A4OO-01A-11D-A265-05	TCGA-L5-A4OP-01A-11D-A265-05	TCGA-L5-A4OP-11A-11D-A265-05	TCGA-L5-A4OQ-01A-11D-A265-05	TCGA-L5-A4OQ-11A-12D-A265-05	TCGA-L5-A4OR-01A-11D-A265-05	TCGA-L5-A4OS-01A-11D-A28C-05	TCGA-L5-A4OT-01A-11D-A28C-05	TCGA-L5-A4OU-01A-11D-A28C-05	TCGA-L5-A4OW-01A-11D-A28C-05	TCGA-L5-A4OX-01A-21D-A28C-05	TCGA-L5-A88S-01A-11D-A36K-05	TCGA-L5-A88V-01A-11D-A357-05	TCGA-L5-A88W-01A-11D-A357-05	TCGA-L5-A88Y-01A-11D-A357-05	TCGA-L5-A88Z-01A-11D-A36K-05	TCGA-L5-A891-01A-11D-A36K-05	TCGA-L5-A893-01A-11D-A36K-05	TCGA-L5-A8NE-01A-11D-A37D-05	TCGA-L5-A8NF-01A-11D-A37D-05	TCGA-L5-A8NG-01A-11D-A37D-05	TCGA-L5-A8NH-01A-11D-A37D-05	TCGA-L5-A8NI-01A-11D-A37D-05	TCGA-L5-A8NJ-01A-11D-A36K-05	TCGA-L5-A8NK-01A-21D-A37D-05	TCGA-L5-A8NL-01A-12D-A37D-05	TCGA-L5-A8NM-01A-11D-A37D-05	TCGA-L5-A8NN-01A-11D-A37D-05	TCGA-L5-A8NQ-01A-11D-A36K-05	TCGA-L5-A8NR-01A-11D-A37D-05	TCGA-L5-A8NS-01A-12D-A37D-05	TCGA-L5-A8NT-01A-11D-A37D-05	TCGA-L5-A8NU-01A-11D-A36K-05	TCGA-L5-A8NV-01A-11D-A37D-05	TCGA-L5-A8NW-01A-11D-A37D-05	TCGA-L7-A56G-01A-21D-A265-05	TCGA-L7-A6VZ-01A-12D-A33F-05	TCGA-LN-A49K-01A-11D-A249-05	TCGA-LN-A49L-01A-11D-A249-05	TCGA-LN-A49M-01A-21D-A265-05	TCGA-LN-A49N-01A-11D-A249-05	TCGA-LN-A49O-01A-11D-A249-05	TCGA-LN-A49P-01A-11D-A249-05	TCGA-LN-A49R-01A-11D-A249-05	TCGA-LN-A49S-01A-11D-A249-05	TCGA-LN-A49U-01A-31D-A265-05	TCGA-LN-A49V-01A-11D-A249-05	TCGA-LN-A49W-01A-11D-A265-05	TCGA-LN-A49X-01A-31D-A265-05	TCGA-LN-A49Y-01A-11D-A265-05	TCGA-LN-A4A1-01A-21D-A265-05	TCGA-LN-A4A2-01A-31D-A265-05	TCGA-LN-A4A3-01A-11D-A265-05	TCGA-LN-A4A4-01A-11D-A265-05	TCGA-LN-A4A5-01A-21D-A265-05	TCGA-LN-A4A6-01A-11D-A265-05	TCGA-LN-A4A8-01A-32D-A265-05	TCGA-LN-A4A9-01A-11D-A28C-05	TCGA-LN-A4MQ-01A-11D-A28C-05	TCGA-LN-A4MR-01A-11D-A28C-05	TCGA-LN-A5U5-01A-21D-A28C-05	TCGA-LN-A5U6-01A-11D-A28C-05	TCGA-LN-A5U7-01A-11D-A31V-05	TCGA-LN-A7HV-01A-21D-A357-05	TCGA-LN-A7HW-01A-22D-A357-05	TCGA-LN-A7HX-01A-11D-A33F-05	TCGA-LN-A7HY-01A-12D-A357-05	TCGA-LN-A7HZ-01A-31D-A357-05	TCGA-LN-A8HZ-01A-11D-A36K-05	TCGA-LN-A8I0-01A-11D-A36K-05	TCGA-LN-A8I1-01A-11D-A36K-05	TCGA-LN-A9FO-01A-11D-A388-05	TCGA-LN-A9FP-01A-31D-A388-05	TCGA-LN-A9FQ-01A-31D-A388-05	TCGA-LN-A9FR-01A-11D-A388-05	TCGA-M9-A5M8-01A-11D-A28C-05	TCGA-Q9-A6FU-01A-11D-A31V-05	TCGA-Q9-A6FW-01A-31D-A31V-05	TCGA-R6-A6DN-01B-11D-A31V-05	TCGA-R6-A6DQ-01B-11D-A31V-05	TCGA-R6-A6KZ-01A-11D-A31V-05	TCGA-R6-A6L4-01A-11D-A31V-05	TCGA-R6-A6L6-01B-11D-A33F-05	TCGA-R6-A6XG-01B-11D-A33F-05	TCGA-R6-A6XQ-01B-11D-A33F-05	TCGA-R6-A6Y0-01B-11D-A33F-05	TCGA-R6-A6Y2-01B-11D-A33F-05	TCGA-R6-A8W5-01B-11D-A37D-05	TCGA-R6-A8W8-01B-11D-A37D-05	TCGA-R6-A8WC-01A-11D-A37D-05	TCGA-R6-A8WG-01A-11D-A37D-05	TCGA-RE-A7BO-01A-11D-A33F-05	TCGA-S8-A6BV-01A-21D-A31V-05	TCGA-S8-A6BW-01A-11D-A31V-05	TCGA-V5-A7RB-01A-11D-A357-05	TCGA-V5-A7RC-01B-11D-A409-05	TCGA-V5-A7RC-06A-11D-A409-05	TCGA-V5-A7RE-01A-11D-A357-05	TCGA-V5-A7RE-11A-11D-A357-05	TCGA-V5-AASV-01A-11D-A388-05	TCGA-V5-AASW-01A-11D-A409-05	TCGA-V5-AASX-01A-11D-A388-05	TCGA-V5-AASX-11A-11D-A388-05	TCGA-VR-A8EO-01A-11D-A36K-05	TCGA-VR-A8EP-01A-31D-A409-05	TCGA-VR-A8EQ-01A-11D-A36K-05	TCGA-VR-A8ER-01A-11D-A36K-05	TCGA-VR-A8ET-01A-11D-A409-05	TCGA-VR-A8EU-01A-11D-A36K-05	TCGA-VR-A8EW-01A-11D-A36K-05	TCGA-VR-A8EX-01A-11D-A36K-05	TCGA-VR-A8EY-01A-11D-A36K-05	TCGA-VR-A8EZ-01A-11D-A36K-05	TCGA-VR-A8Q7-01A-11D-A37D-05	TCGA-VR-AA4D-01A-11D-A37D-05	TCGA-VR-AA4G-01A-11D-A37D-05	TCGA-VR-AA7B-01A-31D-A409-05	TCGA-VR-AA7D-01A-11D-A409-05	TCGA-VR-AA7I-01A-11D-A409-05	TCGA-X8-AAAR-01A-11D-A409-05	TCGA-XP-A8T6-01A-11D-A36K-05	TCGA-XP-A8T7-01A-11D-A36K-05	TCGA-XP-A8T8-01A-11D-A36K-05	TCGA-Z6-A8JD-01A-11D-A36K-05	TCGA-Z6-A8JE-01A-11D-A37D-05	TCGA-Z6-A9VB-01A-21D-A37D-05	TCGA-Z6-AAPN-01A-11D-A409-05	TCGA-ZR-A9CJ-01B-11D-A388-05
ACSL4	0.0333877	0.0280693	0.0349986	0.0262251	0.0400612	0.0275735	0.0341312	0.0265189	0.0278092	0.0334116	0.0323756	0.0286029	0.0277904	0.0393053	0.466714	0.447146	0.0298696	0.0319995	0.0310654	0.0492841	0.0338033	0.0306598	0.030316	0.0332743	0.025901	0.0249576	0.0359813	0.425434	0.0244127	0.0365607	0.493465	0.0326366	0.0387979	0.0365209	0.0397906	0.0295081	0.0306125	0.527212	0.0308757	0.0320214	0.0416744	0.0286577	0.0330873	0.0316179	0.0399198	0.0285896	0.492652	0.0335753	0.029288	0.0339756	0.0312403	0.037293	0.0456329	0.0300944	0.489605	0.0294388	0.0252161	0.0262553	0.0213423	0.555506	0.469171	0.0282419	0.0464853	0.0300248	0.0279865	0.478539	0.495608	0.487155	0.474309	0.0224054	0.0275972	0.0272542	0.461433	0.48984	0.0371203	0.0282034	0.0319927	0.400533	0.034138	0.0309298	0.379106	0.0321327	0.0297909	0.0285038	0.0326532	0.0402201	0.255596	0.0478951	0.498767	0.0444018	0.0301274	0.0303202	0.0232326	0.0353714	0.0384804	0.319344	0.0486736	0.364976	0.268928	0.0322131	0.243727	0.0558214	0.0290879	0.0343535	0.0289048	0.0215367	0.0224906	0.0378849	0.0346879	0.0320441	0.0283163	0.0393085	0.0376111	0.028364	0.0360538	0.0304434	0.03479	0.0472288	0.0298099	0.036117	0.0282202	0.0311077	0.0279819	0.0352766	0.0398595	0.0244748	0.0282928	0.0219124	0.0258853	0.0672231	0.0266931	0.0322817	0.0344832	0.0272832	0.0375631	0.0373572	0.0313478	0.0280911	0.0312695	0.0251946	0.0337816	0.294271	0.0247502	0.43777	0.0382506	0.0347136	0.497967	0.522848	0.0329978	0.0308949	0.327512	0.0354413	0.0259513	0.0285403	0.0453459	0.0238106	0.0312082	0.0280744	0.0251451	0.0342898	0.0309951	0.0365912	0.362109	0.0292318	0.0272636	0.0307639	0.0299342	0.0275246	0.0363074	0.0301369	0.0391044	0.0288311	0.029299	0.0337942	0.0361129	0.0321872	0.0410217	0.0310057	0.0273504	0.027816	0.0313203	0.0339778	0.440767	0.0328206	0.0316728	0.0257666	0.437897	0.450844	0.0277594	0.0307514	0.0270581	0.0294019	0.448393	0.0382086	0.0380711	0.0391272	0.033235	0.0274553	0.0279164
ALOX15	0.166021	0.583726	0.296094	0.531973	0.0740439	0.170488	0.509772	0.116935	0.364623	0.202195	0.356643	0.470629	0.258112	0.173816	0.464166	0.216779	0.0640905	0.372582	0.201242	0.683658	0.274772	0.14348	0.202612	0.225516	0.176429	0.232135	0.202882	0.199792	0.151516	0.124283	0.300413	0.178214	0.384177	0.347973	0.565153	0.5638	0.327969	0.362807	0.208575	0.715982	0.431904	0.398884	0.221295	0.706661	0.221555	0.366752	0.337583	0.265034	0.42023	0.206008	0.536796	0.419255	0.283883	0.54506	0.570875	0.336943	0.200493	0.204838	0.135206	0.508755	0.156606	0.349732	0.170207	0.661383	0.18906	0.528742	0.150545	0.458494	0.19528	0.438737	0.14826	0.330282	0.197489	0.164778	0.152015	0.116285	0.2855	0.212599	0.413275	0.517586	0.539036	0.448713	0.175657	0.570298	0.3567	0.515529	0.155006	0.267183	0.409571	0.493438	0.310688	0.300426	0.216132	0.309381	0.523908	0.130214	0.244784	0.394809	0.112242	0.200312	0.605409	0.36722	0.506306	0.339963	0.375778	0.583273	0.156295	0.508664	0.375786	0.669354	0.384749	0.267533	0.431809	0.517605	0.287233	0.248212	0.111011	0.857064	0.499056	0.301057	0.251172	0.501618	0.58588	0.207411	0.0999826	0.309158	0.15507	0.114968	0.237377	0.503983	0.259516	0.503739	0.622977	0.433586	0.171675	0.627326	0.171621	0.626766	0.154882	0.17672	0.352653	0.58081	0.139398	0.160803	0.603157	0.39717	0.263302	0.122079	0.413228	0.577186	0.385206	0.191273	0.437575	0.148432	0.233377	0.259039	0.266304	0.257355	0.338329	0.610068	0.33566	0.113919	0.384822	0.464553	0.0680336	0.614848	0.377541	0.472445	0.371416	0.290354	0.105406	0.504199	0.136931	0.199033	0.163056	0.177058	0.218775	0.602812	0.308401	0.598259	0.157218	0.227372	0.534431	0.663361	0.189812	0.42748	0.185262	0.324697	0.454162	0.411582	0.587434	0.49422	0.230265	0.105168	0.477402	0.320863	0.450507	0.381812	0.259721
ATP5G3	0.0882311	0.0708071	0.0962034	0.0977227	0.0790822	0.0802283	0.0874256	0.0931455	0.0590052	0.0861627	0.0975415	0.108083	0.0711171	0.0984123	0.103051	0.107778	0.112552	0.107141	0.11826	0.503246	0.0855959	0.0752458	0.0945308	0.156751	0.0850027	0.0713449	0.105007	0.096551	0.0557899	0.0841863	0.098271	0.0818445	0.0879606	0.0669317	0.0890485	0.0996176	0.101021	0.0891819	0.0702107	0.071163	0.0776882	0.0833165	0.109549	0.0883146	0.0938122	0.0677105	0.0821682	0.118185	0.116906	0.105666	0.0971996	0.0984888	0.103601	0.113499	0.137893	0.0979341	0.0729168	0.0660163	0.0826766	0.0839958	0.0963226	0.0853296	0.0813177	0.0661065	0.087521	0.090411	0.0966178	0.205556	0.0853983	0.104976	0.0810833	0.0896563	0.0783404	0.0843616	0.0958431	0.0871449	0.0841372	0.118022	0.108207	0.0956811	0.080738	0.106935	0.0995302	0.10515	0.0946312	0.108717	0.062201	0.0909469	0.0804586	0.0593937	0.107695	0.0797901	0.0597849	0.0846743	0.0695114	0.0721367	0.0853139	0.0788116	0.0775237	0.0844695	0.0719807	0.112153	0.0822155	0.266336	0.065213	0.0778864	0.0751603	0.101627	0.11596	0.110109	0.069053	0.0995104	0.104162	0.115767	0.101568	0.0977008	0.0888959	0.108426	0.101205	0.0835458	0.089615	0.0790872	0.0740573	0.377422	0.0820629	0.0741075	0.0923369	0.0827533	0.104765	0.0881994	0.101733	0.0915827	0.0943057	0.111855	0.0707476	0.0877033	0.0982931	0.0932954	0.0650858	0.085368	0.0923814	0.077492	0.0877111	0.0936883	0.0850348	0.0820685	0.112614	0.0809005	0.0886855	0.0724941	0.0867926	0.0843624	0.0713503	0.0918932	0.0946056	0.0875223	0.100235	0.0869535	0.181639	0.0823038	0.0755704	0.0771469	0.0800124	0.127618	0.0855691	0.0997942	0.0786713	0.0998981	0.0785729	0.0730244	0.0917971	0.0947123	0.0890506	0.0996537	0.11477	0.0940867	0.064824	0.0778706	0.0934154	0.0986703	0.0719418	0.0856863	0.0870315	0.0884898	0.0695679	0.0787257	0.0780594	0.0900903	0.098916	0.082121	0.0885014	0.284612	0.0794347	0.0796951	0.106092	0.0860299	0.0752533	0.0993973	0.0832937
CARS	0.0454262	0.0209286	0.0312041	0.0229042	0.0281486	0.0222772	0.0316799	0.0280002	0.0257446	0.0299416	0.0257305	0.0327268	0.0273029	0.0294607	0.0305947	0.0312713	0.0311451	0.0328173	0.033218	0.032544	0.0282207	0.0377786	0.0275881	0.0275244	0.0292534	0.0287652	0.0301145	0.0251607	0.0289436	0.0318173	0.0450414	0.0264697	0.030349	0.0238522	0.0284527	0.0287512	0.0298702	0.0300782	0.0251646	0.0216473	0.0206744	0.0269147	0.0207458	0.0265516	0.0260036	0.0359552	0.0286594	0.0364667	0.0326913	0.0327115	0.0343036	0.0318456	0.0315697	0.0382388	0.0285465	0.0226646	0.0290889	0.0222551	0.0240569	0.0279137	0.0235069	0.0224637	0.0246137	0.0328171	0.0310996	0.0274614	0.0304806	0.0309493	0.0327707	0.025551	0.0246734	0.0268909	0.0314189	0.0255325	0.0263892	0.0257858	0.0234825	0.0323124	0.0289134	0.0355222	0.0266987	0.038329	0.0269726	0.0309016	0.0381718	0.0261339	0.0260639	0.0311188	0.0334138	0.0339349	0.0314178	0.0302037	0.0174743	0.0216724	0.0335807	0.0201577	0.0879004	0.0315049	0.0255721	0.0304678	0.0280923	0.053436	0.0240695	0.0293911	0.0657815	0.021966	0.0250047	0.0211934	0.0313929	0.0280683	0.0391977	0.0240756	0.0272674	0.0287999	0.0230253	0.0288717	0.0222616	0.0296801	0.029281	0.0241087	0.0242105	0.0241701	0.0229954	0.0371436	0.0262426	0.0243431	0.0298045	0.0221864	0.0294202	0.0373377	0.0258942	0.024034	0.0250899	0.0226807	0.0306508	0.024086	0.0276108	0.0264585	0.0226522	0.0236295	0.0206362	0.0340782	0.0220623	0.0353834	0.0335457	0.0289676	0.0264982	0.0285413	0.0275232	0.0223569	0.0254626	0.0188204	0.0240833	0.0298629	0.0303611	0.0259699	0.0327497	0.0262944	0.0242347	0.0412911	0.0383165	0.0291509	0.044847	0.0269854	0.0210391	0.02975	0.0249384	0.0228197	0.026476	0.0232153	0.027108	0.0229222	0.0285123	0.0286046	0.0362657	0.0237002	0.0230169	0.0369838	0.0257623	0.0361723	0.0320268	0.0357369	0.0250247	0.0389889	0.0346173	0.0285841	0.0286069	0.0258909	0.0233694	0.0251026	0.0225103	0.0277358	0.0322951	0.0293868	0.0318601	0.0267557	0.0316283	0.0301495	0.032662
CDKN1A	0.0748997	0.0912577	0.094367	0.133819	0.107025	0.259493	0.153369	0.228715	0.11965	0.134586	0.108354	0.26083	0.167237	0.136045	0.135373	0.297424	0.188187	0.261419	0.1664041	0.216449	0.1808322	0.190253	0.0753562	0.234032	0.289957	0.150555	0.180692	0.137331	0.1027	0.197238	0.393176	0.141033	0.146041	0.117794	0.0581708	0.115561	0.077795	0.307991	0.0909063	0.118597	0.112919	0.418731	0.263584	0.230609	0.251119	0.285095	0.151988	0.268671	0.219899	0.145385	0.110067	0.207485	0.168668	0.158965	0.242456	0.0890542	0.20354	0.293	0.134751	0.270766	0.13525	0.408769	0.116276	0.062206	0.0783428	0.157818	0.151492	0.176249	0.102064	0.0602681	0.126672	0.350633	0.137032	0.0958363	0.144376	0.268304	0.260385	0.141219	0.118039	0.180814	0.0707869	0.125134	0.204568	0.0481319	0.107992	0.131155	0.143705	0.059036	0.17138	0.11508	0.0990853	0.0884283	0.118946	0.119496	0.115239	0.0865814	0.143873	0.0991715	0.228677	0.259706	0.238943	0.28942	0.0975408	0.296915	0.125573	0.100493	0.108989	0.0598311	0.275049	0.157545	0.121928	0.245462	0.327885	0.16034305	0.170425	0.114024	0.0876727	0.082889	0.224332	0.215801	0.0547012	0.103633	0.148752	0.131796	0.158871	0.184289	0.149097	0.0987735	0.119435	0.19945	0.0957888	0.186602	0.228752	0.115959	0.113444	0.158194	0.130069	0.270586	0.143922	0.165126	0.167125	0.142418	0.134806	0.301973	0.168273	0.133826	0.0755908	0.0640762	0.177268	0.292025	0.084742	0.221534	0.0818204	0.186366	0.212191	0.082154	0.178808	0.114309	0.267856	0.188359	0.0742718	0.192224	0.101725	0.280496	0.0996134	0.142425	0.166006	0.173991	0.129535	0.18162	0.0885503	0.0918517	0.143969	0.0603356	0.0861796	0.15125	0.130711	0.164158	0.206003	0.255082	0.147767	0.208958	0.139646	0.172697	0.162535	0.183144	0.140045	0.15753	0.148856	0.150604	0.217583	0.216522	0.0943109	0.196741	0.243909	0.153176	0.164667	0.233891	0.109961
CISD1	0.049814	0.047206	0.0456042	0.0461831	0.0515598	0.0411852	0.0518046	0.0419353	0.0417702	0.0451847	0.0460649	0.057577	0.0435692	0.0399915	0.0379068	0.0433924	0.044411	0.0496541	0.041414	0.0440918	0.0410316	0.039354	0.0348446	0.037516	0.0382323	0.0390323	0.0562281	0.0546022	0.0425312	0.0438497	0.0380256	0.0416959	0.048626	0.0408984	0.0445262	0.0529228	0.0403587	0.0367167	0.038208	0.0405904	0.0421969	0.0422431	0.0526803	0.0606364	0.0388538	0.0510733	0.0422445	0.0395136	0.0593161	0.0388312	0.0431393	0.0461803	0.0458115	0.0397485	0.0506585	0.0427138	0.0392064	0.0354481	0.0354486	0.042956	0.044194	0.0362732	0.0403301	0.0382033	0.036741	0.0398357	0.0515459	0.0499461	0.0338793	0.0421311	0.0534499	0.0370219	0.0314827	0.0369413	0.0408294	0.0396202	0.0463383	0.0490362	0.0570524	0.0660574	0.0559669	0.0532143	0.0385782	0.0437143	0.0409139	0.040926	0.0446186	0.0405753	0.0432777	0.0752367	0.0481669	0.0468187	0.0391754	0.0401467	0.0447055	0.0316507	0.0597298	0.0389514	0.0419074	0.0464934	0.0545116	0.0557059	0.053932	0.0432083	0.0394483	0.0420964	0.0372617	0.0369235	0.0386797	0.0402716	0.0331453	0.0445969	0.0398628	0.0449899	0.0436203	0.033617	0.0405132	0.0463357	0.0363623	0.0345209	0.0341369	0.0417396	0.0356369	0.0404047	0.0405774	0.0443989	0.0405231	0.040284	0.0636064	0.0430741	0.052705	0.047987	0.0667512	0.0454325	0.0427473	0.0445969	0.0427081	0.0434932	0.0390269	0.0421295	0.0410268	0.0433279	0.0371188	0.0373663	0.0525281	0.0566294	0.066055	0.037408	0.0518653	0.0421228	0.0373273	0.0454425	0.0455722	0.0376002	0.0414974	0.037407	0.0478507	0.0381702	0.056412	0.0348399	0.0543202	0.0477406	0.0482008	0.0348388	0.0374295	0.0411682	0.041826	0.0552102	0.0433467	0.0384513	0.0517979	0.0412724	0.0368968	0.0460311	0.0454021	0.045814	0.0463638	0.033372	0.0509227	0.0365736	0.0320161	0.0367982	0.0365989	0.0460891	0.0462367	0.0531972	0.0466235	0.0433971	0.0459102	0.0471205	0.0402537	0.0397344	0.0443944	0.0444177	0.046578	0.0687536	0.0404816	0.0469357	0.0437802
CS	0.1024832	0.06133425	0.08204275	0.120581	0.0871835	0.0987181	0.07259465	0.1116055	0.108084	0.1104095	0.0715685	0.11134275	0.1083623	0.11452845	0.07142015	0.11262365	0.0761067	0.081306	0.10682935	0.1011302	0.10316575	0.0918033	0.1096277	0.1190013	0.06613215	0.07907145	0.12113175	0.06462505	0.0845668	0.1241923	0.12452255	0.0794513	0.1264315	0.105251	0.09138295	0.0866556	0.0736869	0.12608265	0.09626585	0.07806875	0.09156395	0.22432	0.141128	0.085798	0.163251	0.144506	0.104177	0.13553105	0.1235992	0.0686312	0.087385	0.10134675	0.0728928	0.07675775	0.09075885	0.0840054	0.07591445	0.08262105	0.076698	0.08961865	0.0664204	0.07041995	0.09844475	0.078139	0.0665936	0.08412805	0.07851765	0.06999465	0.0772405	0.0572889	0.10912865	0.1057327	0.11025115	0.0595259	0.1023612	0.1147985	0.0664667	0.12104845	0.0741437	0.1221949	0.1000904	0.08647875	0.109076	0.063567	0.08730205	0.11102785	0.0735201	0.06879975	0.114938	0.0968254	0.09401285	0.1267795	0.098758	0.09357025	0.042199	0.106671	0.144181	0.1568095	0.10499755	0.08929765	0.1421547	0.144763	0.0840726	0.08110465	0.09993755	0.0688251	0.0610884	0.11735115	0.0811839	0.07040765	0.0598359	0.0842958	0.09132865	0.0994808	0.0687054	0.07432495	0.0568461	0.05317345	0.10933955	0.1213142	0.0535704	0.0746519	0.06015355	0.1299389	0.05924585	0.09314995	0.07587305	0.066105	0.10658865	0.0742225	0.09825825	0.08768	0.0606308	0.097997	0.10723045	0.07183005	0.07612985	0.1144977	0.0766021	0.06073155	0.0751887	0.08520135	0.1047339	0.10980635	0.110702	0.12527	0.1205971	0.12817325	0.1162535	0.09598205	0.10745185	0.07063625	0.10477935	0.06853415	0.1080725	0.08203675	0.0988276	0.1023283	0.1799355	0.149863	0.074643	0.09159445	0.10708015	0.1331505	0.0697351	0.083678	0.1113309	0.0764767	0.0885958	0.1135303	0.134661	0.09678255	0.177976	0.08383705	0.0691085	0.0875718	0.0950047	0.05682975	0.10091285	0.0684812	0.0739909	0.08092745	0.0958397	0.0566992	0.0977239	0.0950398	0.162122	0.0997029	0.0784118	0.07349025	0.1108503	0.082198	0.06894435	0.09818125	0.0889637	0.106697	0.105092	0.11967965	0.135597
DPP4	0.263908	0.489646	0.341336	0.310146	0.198928	0.502334	0.186606	0.23595	0.114271	0.522869	0.720074	0.601053	0.307103	0.687909	0.667528	0.812643	0.333946	0.811746	0.649921	0.806383	0.705794	0.619004	0.162537	0.841854	0.799609	0.77559	0.824987	0.754897	0.688358	0.839458	0.79406	0.294505	0.723931	0.425216	0.21442	0.356685	0.409159	0.540784	0.743468	0.455067	0.458911	0.739517	0.584304	0.417626	0.61662	0.562565	0.342966	0.657539	0.775963	0.455918	0.302392	0.602243	0.157926	0.869242	0.558593	0.574219	0.41622	0.328228	0.468763	0.451589	0.344239	0.26501	0.408816	0.200413	0.457901	0.187465	0.39555	0.529462	0.519427	0.276871	0.794469	0.677781	0.638164	0.36025	0.318414	0.773605	0.259113	0.653784	0.447048	0.669295	0.430449	0.259753	0.628115	0.338989	0.422584	0.423311	0.704338	0.638794	0.565896	0.232464	0.277032	0.53386	0.260089	0.374496	0.408985	0.671523	0.605279	0.417076	0.347922	0.776073	0.544669	0.421392	0.773603	0.722219	0.592475	0.488012	0.828138	0.262275	0.476826	0.499282	0.43613	0.58042	0.80652	0.666885	0.389648	0.644616	0.714866	0.923905	0.766317	0.609142	0.376137	0.785383	0.724677	0.823572	0.603838	0.848953	0.398599	0.320922	0.870598	0.74541	0.400724	0.876157	0.910692	0.823857	0.615338	0.659188	0.375482	0.797509	0.578434	0.577668	0.675866	0.814583	0.70493	0.596405	0.87914	0.609998	0.346211	0.477737	0.323841	0.608651	0.369741	0.407389	0.355938	0.455825	0.233053	0.230285	0.563223	0.396992	0.553668	0.331573	0.0763347	0.291947	0.36531	0.556373	0.334359	0.40633	0.812304	0.780642	0.183935	0.235293	0.189464	0.289749	0.323489	0.159909	0.396588	0.337777	0.568207	0.698973	0.659307	0.827314	0.314606	0.468532	0.720228	0.378141	0.764495	0.257335	0.54158	0.694088	0.849232	0.68455	0.463174	0.413427	0.759787	0.612126	0.628273	0.567843	0.389039	0.806368	0.752662
