	TCGA-06-0125-01A-01D-A45W-05	TCGA-06-0125-02A-11D-2004-05	TCGA-06-0152-01A-02D-A45W-05	TCGA-06-0152-02A-01D-2004-05	TCGA-06-0171-01A-02D-A45W-05	TCGA-06-0171-02A-11D-2004-05	TCGA-06-0190-01A-01D-A45W-05	TCGA-06-0190-02A-01D-2004-05	TCGA-06-0210-01A-01D-A45W-05	TCGA-06-0210-02A-01D-2004-05	TCGA-06-0211-01A-01D-A45W-05	TCGA-06-0211-02A-02D-2004-05	TCGA-06-0221-01A-01D-A45W-05	TCGA-06-0221-02A-11D-2004-05	TCGA-06-0650-01A-02D-1697-05	TCGA-06-1804-01A-01D-1697-05	TCGA-06-1806-01A-02D-1844-05	TCGA-06-5408-01A-01D-1697-05	TCGA-06-5410-01A-01D-1697-05	TCGA-06-5411-01A-01D-1697-05	TCGA-06-5412-01A-01D-1697-05	TCGA-06-5413-01A-01D-1697-05	TCGA-06-5414-01A-01D-1481-05	TCGA-06-5415-01A-01D-1481-05	TCGA-06-5416-01A-01D-1481-05	TCGA-06-5417-01A-01D-1481-05	TCGA-06-5418-01A-01D-1481-05	TCGA-06-5856-01A-01D-1697-05	TCGA-06-5858-01A-01D-1697-05	TCGA-06-5859-01A-01D-1697-05	TCGA-06-6388-01A-12D-1844-05	TCGA-06-6389-01A-11D-1697-05	TCGA-06-6390-01A-11D-1697-05	TCGA-06-6693-01A-11D-1844-05	TCGA-06-6694-01A-12D-1844-05	TCGA-06-6695-01A-11D-1844-05	TCGA-06-6697-01A-11D-1844-05	TCGA-06-6698-01A-11D-1844-05	TCGA-06-6699-01A-11D-1844-05	TCGA-06-6700-01A-12D-1844-05	TCGA-06-6701-01A-11D-1844-05	TCGA-06-A5U0-01A-11D-A33U-05	TCGA-06-A5U1-01A-11D-A33U-05	TCGA-06-A6S0-01A-11D-A33U-05	TCGA-06-A6S1-01A-11D-A33U-05	TCGA-06-A7TK-01A-21D-A392-05	TCGA-06-A7TL-01A-11D-A392-05	TCGA-06-AABW-11A-31D-A368-05	TCGA-12-5295-01A-01D-1481-05	TCGA-12-5299-01A-02D-1481-05	TCGA-12-5301-01A-01D-1481-05	TCGA-14-0736-01A-01D-A45W-05	TCGA-14-0736-02A-01D-2004-05	TCGA-14-0740-01B-01D-1844-05	TCGA-14-0781-01B-01D-1697-05	TCGA-14-0862-01B-01D-1844-05	TCGA-14-1034-02B-01D-2004-05	TCGA-14-1043-01B-11D-1844-05	TCGA-14-1395-01B-11D-1844-05	TCGA-14-1402-01A-01D-A45W-05	TCGA-14-1402-02A-01D-2004-05	TCGA-14-1450-01B-01D-1844-05	TCGA-15-1444-01A-02D-1697-05	TCGA-19-0957-01C-01D-A45W-05	TCGA-19-0957-02A-11D-2004-05	TCGA-19-1389-01A-01D-A45W-05	TCGA-19-1389-02A-21D-2004-05	TCGA-19-4065-01A-01D-2004-05	TCGA-19-4065-02A-11D-2004-05	TCGA-19-5947-01A-11D-1697-05	TCGA-19-5950-01A-11D-1697-05	TCGA-19-5951-01A-11D-1697-05	TCGA-19-5952-01A-11D-1697-05	TCGA-19-5953-01B-12D-1844-05	TCGA-19-5954-01A-11D-1697-05	TCGA-19-5955-01A-11D-1697-05	TCGA-19-5956-01A-11D-1697-05	TCGA-19-5958-01A-11D-1697-05	TCGA-19-5959-01A-11D-1697-05	TCGA-19-5960-01A-11D-1697-05	TCGA-19-A60I-01A-12D-A33U-05	TCGA-19-A6J4-01A-11D-A33U-05	TCGA-19-A6J5-01A-21D-A33U-05	TCGA-26-1442-01A-01D-1697-05	TCGA-26-5132-01A-01D-1481-05	TCGA-26-5133-01A-01D-1481-05	TCGA-26-5134-01A-01D-1481-05	TCGA-26-5135-01A-01D-1481-05	TCGA-26-5136-01B-01D-1481-05	TCGA-26-5139-01A-01D-1481-05	TCGA-26-6173-01A-11D-1844-05	TCGA-26-6174-01A-21D-1844-05	TCGA-26-A7UX-01B-11D-A392-05	TCGA-28-2501-01A-01D-1697-05	TCGA-28-2510-01A-01D-1697-05	TCGA-28-5204-01A-01D-1481-05	TCGA-28-5207-01A-01D-1481-05	TCGA-28-5208-01A-01D-1481-05	TCGA-28-5209-01A-01D-1481-05	TCGA-28-5211-01C-11D-1844-05	TCGA-28-5213-01A-01D-1481-05	TCGA-28-5214-01A-01D-1481-05	TCGA-28-5215-01A-01D-1481-05	TCGA-28-5216-01A-01D-1481-05	TCGA-28-5218-01A-01D-1481-05	TCGA-28-5219-01A-01D-1481-05	TCGA-28-5220-01A-01D-1481-05	TCGA-28-6450-01A-11D-1697-05	TCGA-32-1979-01A-01D-1697-05	TCGA-32-1980-01A-01D-1697-05	TCGA-32-5222-01A-01D-1481-05	TCGA-41-5651-01A-01D-1697-05	TCGA-41-6646-01A-11D-1844-05	TCGA-4W-AA9R-01A-11D-A392-05	TCGA-4W-AA9S-01A-11D-A392-05	TCGA-4W-AA9T-01A-11D-A392-05	TCGA-74-6573-01A-12D-1844-05	TCGA-74-6573-11A-02D-1844-05	TCGA-74-6575-01A-11D-1844-05	TCGA-74-6577-01A-11D-1844-05	TCGA-74-6578-01A-11D-1844-05	TCGA-74-6581-01A-11D-1844-05	TCGA-74-6584-01A-11D-1844-05	TCGA-76-4925-01A-01D-1481-05	TCGA-76-4926-01B-01D-1481-05	TCGA-76-4927-01A-01D-1481-05	TCGA-76-4928-01B-01D-1481-05	TCGA-76-4929-01A-01D-1481-05	TCGA-76-4931-01A-01D-1481-05	TCGA-76-4932-01A-01D-1481-05	TCGA-76-4934-01A-01D-1481-05	TCGA-76-4935-01A-01D-1481-05	TCGA-76-6191-01A-12D-1697-05	TCGA-76-6192-01A-11D-1697-05	TCGA-76-6193-01A-11D-1697-05	TCGA-76-6280-01A-21D-1844-05	TCGA-76-6282-01A-11D-1697-05	TCGA-76-6283-01A-11D-1844-05	TCGA-76-6285-01A-11D-1697-05	TCGA-76-6286-01A-11D-1844-05	TCGA-76-6656-01A-11D-1844-05	TCGA-76-6657-01A-11D-1844-05	TCGA-76-6660-01A-11D-1844-05	TCGA-76-6661-01B-11D-1844-05	TCGA-76-6662-01A-11D-1844-05	TCGA-76-6663-01A-11D-1844-05	TCGA-76-6664-01A-11D-1844-05	TCGA-81-5910-01A-11D-1697-05	TCGA-81-5911-01A-12D-1844-05	TCGA-87-5896-01A-01D-1697-05	TCGA-OX-A56R-01A-11D-A33U-05	TCGA-RR-A6KA-01A-21D-A33U-05	TCGA-RR-A6KB-01A-12D-A33U-05	TCGA-RR-A6KC-01A-31D-A33U-05
ACSL4	0.475744	0.585428	0.036598	0.0501575	0.0356271	0.0322902	0.0307458	0.0274529	0.475091	0.528833	0.0251495	0.0324574	0.0253857	0.0509656	0.486389	0.515372	0.0394626	0.538254	0.487271	0.0267084	0.469875	0.0604657	0.0357361	0.0377427	0.569985	0.533341	0.358406	0.0336627	0.18392	0.0311223	0.509661	0.372675	0.0304357	0.474678	0.384636	0.0475811	0.0347814	0.210621	0.526207	0.0286617	0.0468498	0.525985	0.531954	0.0305969	0.501037	0.0360131	0.498263	0.432242	0.571186	0.673328	0.0334408	0.024109	0.0350715	0.0451252	0.0264692	0.0396646	0.58246	0.0344853	0.0368541	0.488312	0.528725	0.57773	0.0401472	0.514791	0.506602	0.0312441	0.0312116	0.0355978	0.0399467	0.315141	0.497881	0.58471	0.0324552	0.0479803	0.493543	0.026333	0.0766255	0.0282348	0.483693	0.0326845	0.0426147	0.0350694	0.0310577	0.0386226	0.048025	0.0289773	0.036214	0.592091	0.580129	0.560221	0.0314989	0.520407	0.0312798	0.0413696	0.527617	0.0441226	0.0338381	0.0337889	0.209372	0.0343876	0.0330518	0.0427168	0.508565	0.0360149	0.0383379	0.481406	0.0321851	0.0307826	0.475367	0.030402	0.0366418	0.573617	0.333939	0.0396939	0.0332744	0.41848	0.04126	0.0419493	0.480627	0.0249001	0.0432716	0.0345618	0.494096	0.0352508	0.0376534	0.0412766	0.578106	0.660538	0.495968	0.568143	0.615026	0.616088	0.0277781	0.0265203	0.027207	0.0360614	0.0301676	0.443861	0.181094	0.055174	0.0382295	0.040631	0.0297656	0.0355145	0.0394392	0.508652	0.502098	0.0347253	0.0309235	0.481709	0.0361961	0.487905	0.0428192	0.0382357
ALOX15	0.0843836	0.13734	0.445011	0.356703	0.150622	0.209723	0.211785	0.137618	0.130296	0.127552	0.102527	0.163772	0.10512	0.0815891	0.177242	0.382736	0.141371	0.0603321	0.237289	0.152994	0.169068	0.242962	0.138303	0.591657	0.0631419	0.0710385	0.0720802	0.415147	0.0994736	0.169128	0.132358	0.130589	0.122999	0.128021	0.152098	0.389145	0.174028	0.131338	0.454525	0.182904	0.11748	0.104465	0.11409	0.240301	0.199356	0.132316	0.202239	0.218803	0.0957015	0.153091	0.0695557	0.211043	0.248282	0.0505169	0.125238	0.405082	0.485182	0.356322	0.0722131	0.170246	0.154612	0.133955	0.106351	0.133865	0.213293	0.236546	0.328271	0.28085	0.24677	0.133301	0.0652463	0.309367	0.148536	0.196387	0.439484	0.289786	0.0648256	0.162981	0.103018	0.139174	0.134649	0.157089	0.298413	0.074553	0.119283	0.630438	0.187815	0.103178	0.0600104	0.141851	0.156505	0.31818	0.0458353	0.25856	0.155188	0.182902	0.107588	0.17966	0.12928	0.158069	0.129397	0.239346	0.205545	0.0903371	0.131479	0.106206	0.0667523	0.370903	0.284969	0.130135	0.423617	0.0788993	0.292865	0.0994391	0.245788	0.224394	0.117269	0.284973	0.236731	0.137513	0.270506	0.281378	0.14287	0.145746	0.103571	0.299071	0.234748	0.288061	0.484771	0.067545	0.145035	0.132352	0.104923	0.14425	0.175258	0.207598	0.104681	0.181081	0.0809106	0.0931994	0.472609	0.347836	0.138769	0.216293	0.345541	0.199218	0.418173	0.177715	0.360789	0.393192	0.443461	0.146031	0.186538	0.0844561
ATP5G3	0.091855	0.123843	0.490851	0.41581	0.0780573	0.105171	0.0920759	0.0944477	0.0783405	0.0912983	0.0889582	0.0977099	0.0874075	0.116214	0.0755269	0.322344	0.138828	0.0752879	0.0878138	0.0886065	0.0902742	0.0934393	0.0696737	0.0783689	0.072741	0.0670233	0.0710208	0.108788	0.0962109	0.0863126	0.106308	0.0857752	0.0765297	0.126817	0.11297	0.116061	0.109412	0.121478	0.534604	0.0995833	0.11934	0.0537043	0.393192	0.0757675	0.108105	0.0814816	0.0872129	0.0759769	0.327462	0.0729384	0.1047	0.0965385	0.120172	0.111311	0.183662	0.143349	0.556657	0.12054	0.489347	0.0991891	0.141365	0.12272	0.0618036	0.106061	0.0971265	0.0884521	0.105338	0.0937155	0.09402	0.084359	0.0713608	0.375449	0.061783	0.133774	0.481365	0.0680236	0.0643331	0.0909741	0.400671	0.35185	0.0853464	0.302836	0.0798731	0.0638641	0.0552573	0.073699	0.453565	0.0828605	0.076701	0.0544675	0.338351	0.344349	0.090391	0.0775252	0.0709652	0.0698229	0.0831194	0.0710267	0.0813001	0.120573	0.0487038	0.0793522	0.0732727	0.289545	0.100625	0.073857	0.0762304	0.199622	0.398022	0.099694	0.0849576	0.082045	0.435824	0.0799147	0.369291	0.0846813	0.1092	0.130608	0.12215	0.125966	0.095998	0.759447	0.436122	0.508352	0.0829513	0.0650926	0.253956	0.467493	0.375996	0.0565054	0.0769953	0.337843	0.087974	0.0670805	0.0802574	0.303402	0.06411	0.428015	0.0710173	0.112728	0.447426	0.115871	0.109323	0.396831	0.368243	0.121084	0.105311	0.0688741	0.122546	0.264506	0.0735663	0.0628324	0.306442	0.388864
CARS	0.0328215	0.0327979	0.0272053	0.0931149	0.0286043	0.0233187	0.0438206	0.0253311	0.0356514	0.0251891	0.029739	0.0259156	0.026268	0.0316293	0.0239996	0.0239577	0.0252327	0.0210377	0.0214978	0.0248805	0.0332964	0.0223891	0.0267836	0.0261993	0.0308618	0.0324248	0.0253149	0.0245481	0.0194207	0.0210789	0.0333442	0.0223698	0.0223381	0.0291481	0.027195	0.0260929	0.0355717	0.0257083	0.0299667	0.0338432	0.0306527	0.0256286	0.0451051	0.0323039	0.0313626	0.0326814	0.0313828	0.0206676	0.0271919	0.0305903	0.0257118	0.0324549	0.029536	0.0360901	0.0330816	0.0328686	0.0263162	0.0494085	0.0333501	0.0223602	0.0289268	0.0298615	0.020201	0.0274966	0.0287322	0.0301508	0.0218368	0.0326759	0.0293026	0.0299397	0.0223259	0.0499975	0.0184885	0.0542227	0.0257297	0.019883	0.0220407	0.0250816	0.0256712	0.0237475	0.025511	0.030486	0.0351033	0.0202017	0.0258386	0.030406	0.0273529	0.0251167	0.0257813	0.0290125	0.036338	0.031909	0.0326648	0.0169908	0.0185733	0.0259042	0.0209745	0.0224159	0.0297786	0.033165	0.0269265	0.0269497	0.0289514	0.0269696	0.0319871	0.018444	0.0340038	0.0230428	0.0404429	0.036948	0.0243572	0.0199114	0.0261919	0.0278721	0.0267444	0.0293257	0.0325829	0.0272019	0.0279791	0.0260607	0.0326592	0.0333349	0.0260852	0.0366294	0.0264743	0.0300982	0.0234052	0.0277305	0.023607	0.0395668	0.0281824	0.0248864	0.0200212	0.0234709	0.02205	0.0287989	0.0250272	0.0236345	0.0209528	0.0348722	0.0316156	0.0338837	0.0363894	0.0318132	0.0419871	0.0785089	0.0339384	0.0203039	0.0291534	0.0180224	0.0262204	0.0253659	0.0304171	0.0264876
CDKN1A	0.059976	0.0781469	0.0824458	0.103356	0.0613317	0.115173	0.0748382	0.0778216	0.0718152	0.0793436	0.0735497	0.102528	0.42588	0.0867254	0.14357	0.0869578	0.16517	0.0488329	0.0909915	0.066501	0.108495	0.100786	0.101509	0.161659	0.0649197	0.101492	0.101543	0.100862	0.0982919	0.165584	0.102045	0.0742571	0.149253	0.0660099	0.0891685	0.0786564	0.127964	0.0916382	0.0730304	0.106082	0.232946	0.0862798	0.108377	0.075786	0.145076	0.138638	0.122256	0.108937	0.0624308	0.09451	0.0760617	0.0679568	0.159246	0.0673339	0.12619	0.115753	0.0559992	0.0975529	0.0671101	0.0871724	0.071778	0.10223	0.15744	0.0806578	0.13413	0.125527	0.0691632	0.118605	0.101016	0.100528	0.06434	0.297645	0.102426	0.149909	0.124744	0.0614598	0.0619316	0.0984129	0.062277	0.120972	0.121279	0.135188	0.06267	0.101843	0.0753397	0.0543095	0.069972	0.108753	0.081428	0.103633	0.110833	0.092866	0.0740196	0.119026	0.122132	0.0806586	0.151076	0.0866206	0.0790024	0.0882419	0.094694	0.124958	0.0701943	0.0707211	0.320688	0.109564	0.0951537	0.079339	0.109572	0.125469	0.123612	0.0803428	0.109113	0.0858738	0.0981151	0.124409	0.149607	0.151136	0.0892944	0.0841523	0.125256	0.0893535	0.0899253	0.0893475	0.0907532	0.0982185	0.0792297	0.07558	0.100416	0.113176	0.0931781	0.105085	0.118015	0.119377	0.111128	0.0724786	0.140765	0.0579681	0.0728827	0.0702949	0.0788234	0.0690288	0.076331	0.154723	0.104898	0.100594	0.101735	0.257422	0.0816821	0.0513463	0.125402	0.12701	0.11458	0.120932
CISD1	0.0435491	0.0384769	0.038836	0.0408895	0.0400092	0.0499663	0.0331742	0.0433606	0.0360948	0.0321511	0.0491445	0.0390125	0.0351135	0.0377395	0.038629	0.0324951	0.0526099	0.0367461	0.031909	0.0308304	0.0469409	0.041036	0.0458709	0.0462958	0.0409217	0.0479065	0.0446774	0.0336254	0.0375266	0.0329693	0.0420299	0.0364132	0.0345754	0.0532785	0.0365655	0.0499852	0.0537371	0.0389656	0.0430257	0.0716674	0.0524872	0.0669349	0.0713728	0.062784	0.0516011	0.0589734	0.0490917	0.0385439	0.0463419	0.0566021	0.048541	0.0424636	0.0488392	0.0484476	0.0623974	0.0495607	0.0516669	0.044204	0.0504349	0.0321758	0.0409763	0.0651487	0.0337069	0.0380077	0.0388369	0.0491324	0.040634	0.0361245	0.0420273	0.0412483	0.0379447	0.0453248	0.0349922	0.0469581	0.0343969	0.0337494	0.0345178	0.0347232	0.0321268	0.0373398	0.0414781	0.0531585	0.0465598	0.0358197	0.0455281	0.0567936	0.0448877	0.0492205	0.0395141	0.0465918	0.0431336	0.0523945	0.0464511	0.0398368	0.0312241	0.0598912	0.0457574	0.0440455	0.0502667	0.0502886	0.0415315	0.0401966	0.0450283	0.0544665	0.0424802	0.0472424	0.0440496	0.0349691	0.04784455	0.029411	0.0520672	0.0358385	0.0606264	0.0480476	0.0447348	0.0522008	0.0520699	0.0539279	0.0422647	0.0489766	0.0496643	0.0482819	0.0475828	0.0443695	0.0445187	0.0488937	0.0469348	0.0582749	0.0690213	0.0625944	0.0553536	0.0652901	0.0380521	0.0368378	0.0333116	0.0435283	0.0288474	0.0515562	0.0413259	0.0521559	0.0484594	0.0497148	0.0498297	0.0516955	0.046062	0.0480136	0.043464	0.0385472	0.0636754	0.0349542	0.047085	0.0514842	0.0465446	0.050885
CS	0.0788189	0.1172041	0.1362879	0.1387613	0.1009502	0.1256336	0.11504655	0.127925	0.0866302	0.1138923	0.10500335	0.1352425	0.1428681	0.1253555	0.08040225	0.1100223	0.13604895	0.0753735	0.10265075	0.1261185	0.0954148	0.065536	0.1369645	0.101813	0.1120015	0.1009875	0.0982174	0.09963135	0.07072115	0.08154995	0.0786817	0.13308965	0.1053996	0.1315436	0.136737	0.14096395	0.1331128	0.149384	0.1276615	0.2458245	0.1883	0.05798645	0.1162095	0.068774	0.07135525	0.0582455	0.0658646	0.06685545	0.10061045	0.1223297	0.09667235	0.1310791	0.125843	0.11067145	0.1679715	0.146731	0.1405145	0.1472385	0.12412215	0.10544335	0.11303665	0.1445646	0.0905171	0.11838545	0.135832	0.1173575	0.10483665	0.0995482	0.134861	0.10740585	0.09658385	0.0824726	0.08544815	0.148793	0.07001565	0.08533835	0.0669669	0.0737904	0.0794651	0.08335185	0.13291925	0.177199	0.14352835	0.0923477	0.1223195	0.1174505	0.08509835	0.09191075	0.1142297	0.07568315	0.1251187	0.11412085	0.06494955	0.08429225	0.09352595	0.1043902	0.1094865	0.0781168	0.1230005	0.1241382	0.1376465	0.114913	0.1067825	0.115015	0.11080265	0.08163575	0.0816518	0.08774505	0.0807487	0.10174835	0.0987597	0.15789945	0.14692875	0.0614399	0.0718358	0.1161943	0.157571	0.148553	0.12595385	0.1152811	0.1096797	0.11582275	0.1533225	0.1228253	0.09904985	0.0948508	0.11140965	0.10190525	0.08454435	0.06707805	0.1000101	0.12331005	0.07988	0.1004966	0.09133875	0.152356	0.07270815	0.12241655	0.06921345	0.216838	0.13607785	0.0701421	0.1701365	0.1468595	0.1454248	0.14028715	0.1392899	0.06850345	0.1427679	0.1181025	0.0724445	0.171867	0.10460275	0.08145055
DPP4	0.48405	0.544486	0.622552	0.876852	0.696243	0.704732	0.512566	0.537711	0.467469	0.555142	0.717351	0.709038	0.717118	0.502963	0.591072	0.783979	0.723278	0.691186	0.775535	0.762144	0.641004	0.824449	0.75306	0.855252	0.259556	0.619175	0.768379	0.695368	0.3211	0.738715	0.524624	0.802882	0.832359	0.691329	0.572689	0.791802	0.642413	0.46647	0.835946	0.824425	0.88633	0.711933	0.611966	0.822122	0.563992	0.842229	0.87164	0.885368	0.805908	0.855044	0.819836	0.300814	0.678078	0.334932	0.822447	0.696335	0.642164	0.819364	0.377611	0.459588	0.687784	0.789214	0.736745	0.759373	0.745655	0.549682	0.732852	0.663341	0.773209	0.643852	0.759243	0.819206	0.814073	0.686803	0.847031	0.650449	0.838648	0.63996	0.757194	0.92634	0.308099	0.795715	0.793301	0.801033	0.718619	0.533048	0.784435	0.825878	0.856247	0.564056	0.553387	0.832699	0.801903	0.901632	0.761381	0.832602	0.541488	0.448577	0.670161	0.683896	0.640875	0.894969	0.638712	0.696369	0.645441	0.483647	0.383129	0.809488	0.763367	0.794129	0.494588	0.844749	0.583703	0.74134	0.662623	0.757155	0.777017	0.852682	0.719194	0.680658	0.654352	0.653664	0.478494	0.88851	0.772765	0.416128	0.710686	0.699251	0.810121	0.699464	0.714339	0.737199	0.694234	0.78707	0.766029	0.65533	0.702146	0.871907	0.545723	0.760855	0.859987	0.734978	0.448222	0.771795	0.81829	0.754307	0.691624	0.774524	0.664175	0.70416	0.582272	0.808562	0.847233	0.412088
FANCD2	0.02526805	0.02895795	0.0302086	0.0216166	0.02299925	0.02026055	0.02591605	0.02415525	0.02374435	0.0233653	0.02957925	0.02624425	0.0218834	0.0201668	0.02265695	0.02060755	0.0301417	0.0190817	0.0201638	0.0188548	0.0183133	0.02129095	0.0260064	0.02330635	0.0261187	0.020534	0.0225739	0.01975945	0.01772225	0.0281567	0.0249443	0.0253127	0.01903985	0.0292729	0.0257084	0.0261204	0.0270068	0.0284498	0.02585885	0.02701295	0.02134695	0.02982555	0.02779825	0.0258496	0.01914585	0.02954925	0.0362988	0.01983615	0.02068355	0.0247252	0.02245525	0.02365745	0.02623505	0.0282881	0.0206018	0.0276729	0.03218595	0.0300678	0.03258505	0.02320455	0.0205589	0.0225095	0.02158695	0.02884685	0.0198954	0.0245322	0.02052915	0.026291	0.0208758	0.0212274	0.02151025	0.0264041	0.02126485	0.0256806	0.01967955	0.0174001	0.0186889	0.01715375	0.0208081	0.02662775	0.02547435	0.0325853	0.0256747	0.01938785	0.02455795	0.02343065	0.0228119	0.0247449	0.02028615	0.0275833	0.0293884	0.0286207	0.0218568	0.0200925	0.0154186	0.0191213	0.016321	0.0235816	0.0208081	0.0336683	0.0248499	0.02339735	0.0210182	0.01980955	0.02634845	0.0268508	0.02226105	0.01764395	0.02338115	0.01926505	0.0205391	0.0235474	0.02968935	0.02497635	0.0187808	0.02834175	0.0296721	0.02839205	0.0286629	0.02819385	0.0230833	0.02846365	0.02674555	0.023775	0.02357655	0.02425005	0.023711	0.02329115	0.02270195	0.02173435	0.0220491	0.02139145	0.01775405	0.01829825	0.02068905	0.0244529	0.01938815	0.02115485	0.01941045	0.02607685	0.0244822	0.02926085	0.0249486	0.024314	0.02575205	0.02244235	0.0213201	0.0188309	0.0292506	0.02240075	0.0251419	0.0261153	0.0302816	0.0245025
FDFT1	0.03613445	0.0336601	0.0412484	0.0410394	0.0352385	0.03887355	0.0413045	0.0354984	0.043081	0.0374791	0.0426151	0.036773	0.03880815	0.03825265	0.0276548	0.0309684	0.0463189	0.0307441	0.0274831	0.03167145	0.0324605	0.03269445	0.03476735	0.0411299	0.04055465	0.033112	0.0333377	0.0318347	0.024991	0.02806865	0.05065935	0.02078535	0.0293243	0.03964325	0.0372662	0.0415074	0.04403735	0.0463217	0.0416125	0.06089545	0.0428033	0.0349583	0.0381538	0.0291533	0.0352364	0.0538794	0.04011585	0.03289985	0.0463258	0.03423375	0.04222685	0.0474723	0.03283085	0.047161	0.0221352	0.03889715	0.05103135	0.0403373	0.0536098	0.04522675	0.0433009	0.03960355	0.02609915	0.0478616	0.04029345	0.0513266	0.0351782	0.0403147	0.0375827	0.0280502	0.02866325	0.0427149	0.0281375	0.0536986	0.03104505	0.0227091	0.0244677	0.02772055	0.034748	0.04207645	0.0300773	0.0354943	0.03581545	0.0259099	0.03159555	0.04172645	0.03771955	0.03532005	0.0367876	0.04314335	0.0447129	0.04547335	0.04621665	0.0257195	0.03164955	0.0238454	0.0351	0.0295276	0.0387896	0.05076445	0.03479675	0.04363735	0.0389556	0.02154805	0.0331025	0.03031855	0.0388525	0.02738785	0.02396625	0.0352911	0.03677065	0.02613995	0.0347518	0.04491045	0.04128715	0.0447971	0.05137595	0.04444695	0.04753775	0.0376886	0.04084885	0.03942005	0.0654724	0.0397395	0.03330515	0.0297882	0.02960465	0.0365063	0.0298109	0.0383626	0.0345519	0.0297705	0.03037525	0.0243936	0.02826985	0.0464114	0.0282743	0.0357003	0.0271388	0.05842695	0.05272235	0.04925075	0.06272705	0.04574545	0.0354681	0.04533365	0.0421892	0.03049775	0.0450078	0.02914005	0.0241878	0.02906985	0.04257395	0.02554535
