,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_175675,135.458,143.774,116.626,119.339,138.61,126.791,115.749,94.214,94.195,90.059,75.856,77.37,123.481,112.264,112.128,92.832,123.186,110,109.648,97.527
NM_172269,130.484,136.306,100.321,111.696,136.583,125.309,93.006,93.304,112.245,104.867,79.824,89.986,176.377,179.046,124.352,130.435,125.607,121.587,97.142,82.247
NM_001163445,133.887,166.765,114.823,116.308,123.501,138.004,97.565,121.593,79.621,88.865,67.111,69.984,165.752,190.508,133.405,149.565,109.134,125.074,93.309,112.208
NM_019750,136.606,195.867,78.647,126.755,115.027,144.546,76.998,105.676,61.599,59.39,39.541,52.479,115.868,102.308,81.013,67.553,146.684,134.936,95.968,97.429
NM_001012236,90.771,75.333,321.126,325.83,126.412,130.751,388.929,469.569,704.927,660.803,958.204,836.919,76.975,72.102,391.103,347.962,114.034,158.841,430.091,531.296
NM_010685,137.519,146.803,131.717,130.231,114.407,141.797,105.05,123.293,123.497,120.028,114.223,100.286,107.265,138.542,98.478,117.998,108.908,144.387,99.841,128.5
NM_026892,139.904,125.203,121.716,103.024,136.612,119.194,101.083,100.24,87.567,100.72,60.605,68.692,137.753,131.767,98.161,114.899,135.123,101.546,92.514,89.638
NM_197991,138.183,137.091,116.378,131.323,124.303,130.757,115.744,118.346,87.056,88.831,83.663,89.899,133.582,146.523,104.652,125.959,91.087,101.968,74.428,86.207
NM_025362,122.88,119.923,92.305,99.866,121.43,133.254,97.272,90.822,69.709,72.36,42.581,66.162,142.802,146.47,106.364,95.948,110.221,129.939,100.857,91.228
NM_027242,151.42,95.508,83.914,80.917,133.103,121.233,98.045,87.063,81.77,66.756,45.556,73.898,118.144,83.185,64.715,62.762,131.7,95.257,92.275,82.863
NM_011609,104.102,106.331,81.032,91.896,127.423,125.953,99.845,98.628,102.38,97.766,85.937,86.137,147.557,128.642,113.092,104.619,112.135,108.075,91.569,94.068
NM_025842,122.102,121.9,107.842,101.999,115.408,137.538,98.155,114.77,86.656,89.526,79.483,83.513,137.847,133.745,117.14,114.554,95.571,84.573,81.238,73.554
NM_030109,117.049,113.489,96.234,99.766,130.642,122.223,116.239,105.839,93.351,85.541,76.803,86.947,124.331,122.213,111.875,109.647,135.348,129.217,113.268,103.738
NM_178111,131.332,164.387,125.38,149.917,116.376,136.416,117.327,116.225,121.839,93.143,104.989,95.36,160.908,159.387,169.947,157.106,114.425,144.695,99.413,130.323
NM_009515,102.523,90.307,87.896,79.33,136.673,114.94,112.479,97.625,87.7,93.091,72.688,77.708,117.083,102.374,92.357,81.605,115.267,101.455,98.334,81.343
NM_001111288,114.445,125.016,99.756,99.869,135.277,116.103,111.154,107.993,99.202,105.058,100.445,106.942,117.337,133.104,79.519,109.803,139.398,120.601,114.362,90.072
NM_001146025,107.974,131.176,95.756,119.756,116.864,132.199,109.517,121.651,94.287,78.718,90.466,89.29,121.525,125.509,106.979,110.726,89.897,113.623,74.535,90.731
NM_001285905,113.02,110.738,82.152,76.402,124.55,123.399,97.533,91.375,88.046,93.239,72.761,83.909,118.316,134.946,86.008,89.553,94.642,94.772,70.862,64.741
