,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_019639,91.811,146.841,78.692,181.514,337.471,425.22,259.284,508.794,209.866,218.799,235.271,189.244,199.424,245.795,235.384,592.098,132.321,203.649,121.656,223.652
NM_009061,228.195,194.487,157.788,321.083,158.25,149.474,53.182,202.718,299.148,306.304,195.152,171.01,329.565,145.985,373.428,359.29,387.253,269.483,215.103,271.782
NM_019566,113.563,132.007,117.675,117.174,132.645,157.877,145.586,132.445,151.321,151.87,146.369,148.493,137.28,137.032,125.072,130.596,138.715,163.988,130.585,141.815
NM_016776,110.071,115.941,98.982,115.948,145.229,141.772,145.967,135.556,140.948,133.388,150.638,130.51,122.613,157.515,118.736,142.121,145.279,128.68,136.337,114.339
NM_010578,152.397,137.444,151.296,128.735,133.512,131.542,133.939,130.182,150.98,145.119,147.883,127.303,142.18,145.239,156.063,143.579,148.668,141.555,147.688,137.938
NM_010234,110.779,79.878,142.671,565.929,131.027,100.662,139.739,423.44,133.319,146.692,45.375,80.612,96.809,54.764,85.439,140.574,189.047,103.072,161.613,261.593
NM_001003908,80.037,108.899,77.677,101.05,90.695,119.805,80.843,107.318,112.379,92.612,106.426,94.267,80.941,107.143,87.398,101.011,100.942,107.866,94.703,98.418
NM_206924,85.356,74.855,77.206,66.298,72.733,64.684,62.487,50.851,63.902,81.533,62.979,70.784,69.738,84.557,57.965,71.5,85.412,65.023,67.726,58.759
NM_007420,64.638,89.709,97.518,100.776,59.977,75.331,51.541,58.72,85.132,83.86,56.788,81.004,108.543,72.648,63.591,66.451,80.955,93.109,106.471,130.985
NM_019873,40.113,39.321,45.713,26.042,53.494,55.483,81.617,41.885,41.726,38.373,56.683,51.997,51.53,36.388,50.218,33.439,39.953,42.522,26.629,26.626
NR_045265,40.461,40.536,33.682,30.428,54.584,45.106,34.872,50.728,34.127,34.99,24.374,52.256,33.037,48.144,35.141,39.505,38.512,56.868,28.749,39.77
NM_010511,25.94,26.34,36.613,30.513,43.921,51.771,80.148,62.012,29.743,29.087,54.066,56.112,45.066,27.642,70.575,37.919,36.035,58.039,52.382,60.559
NM_027715,42.282,43.751,65.129,145.662,35.326,39.583,60.979,117.094,51.46,60.425,55.709,56.874,40.987,25.393,31.155,24.696,23.998,29.048,21.193,52.994
NM_001278534,37.783,48.16,24.84,39.972,26.649,45.039,23.492,36.37,42.532,52.172,47.743,45.931,50.569,33.381,38.257,29.172,49.727,61.731,34.968,46.963
NR_028113,24.2,26.771,29.75,16.965,49.977,19.644,53.023,14.692,11.531,6.306,11.403,18.498,23.058,23.025,22.687,27.211,25.785,23.146,24.015,16.442
NM_013533,6.984,11.457,7.938,12.495,16.148,39.278,12.449,25.932,31.031,14.779,15.398,18.977,40.286,19.074,28.75,16.579,21.253,27.067,16.537,27.282
NM_010929,32.31,0.366,32.761,0.403,1.173,0.703,1.194,0.336,0.226,0.247,0,0.066,9.321,0.137,9.204,0.08,24.519,2.104,21.471,1.301
NM_001190732,3763.068,1.776,3923.559,1.467,0.566,0,0,0,0,0,0,0,1181.991,0,1161.403,0,1676.109,148.259,1444.921,126.285
