ID_REF	BALB_notx	BALB_KLA	C57_notx	C57_KLA	NOD_notx	NOD_KLA	PWK_notx	PWK_KLA	SPRET_notx	SPRET_KLA
TPM_BALB_notx_rep1	1	0	0	0	0	0	0	0	0	0
TPM_BALB_notx_rep2	1	0	0	0	0	0	0	0	0	0
TPM_BALB_KLA_rep1	0	1	0	0	0	0	0	0	0	0
TPM_BALB_KLA_rep2	0	1	0	0	0	0	0	0	0	0
TPM_C57_notx_rep1	0	0	1	0	0	0	0	0	0	0
TPM_C57_notx_rep2	0	0	1	0	0	0	0	0	0	0
TPM_C57_KLA_rep1	0	0	0	1	0	0	0	0	0	0
TPM_C57_KLA_rep2	0	0	0	1	0	0	0	0	0	0
TPM_NOD_notx_rep1	0	0	0	0	1	0	0	0	0	0
TPM_NOD_notx_rep2	0	0	0	0	1	0	0	0	0	0
TPM_NOD_KLA_rep1	0	0	0	0	0	1	0	0	0	0
TPM_NOD_KLA_rep2	0	0	0	0	0	1	0	0	0	0
TPM_PWK_notx_rep1	0	0	0	0	0	0	1	0	0	0
TPM_PWK_notx_rep2	0	0	0	0	0	0	1	0	0	0
TPM_PWK_KLA_rep1	0	0	0	0	0	0	0	1	0	0
TPM_PWK_KLA_rep2	0	0	0	0	0	0	0	1	0	0
TPM_SPRET_notx_rep1	0	0	0	0	0	0	0	0	1	0
TPM_SPRET_notx_rep2	0	0	0	0	0	0	0	0	1	0
TPM_SPRET_KLA_rep1	0	0	0	0	0	0	0	0	0	1
TPM_SPRET_KLA_rep2	0	0	0	0	0	0	0	0	0	1
