,Category,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,C2,ONDER_CDH1_TARGETS_2_DN,ONDER_CDH1_TARGETS_2_DN,285/817,473/21587,3.43806317676833e-295,1.54953507376948e-291,9.96676419875786e-292,KLK10/FXYD3/KLK7/SPRR1B/KLK8/SPRR1A/RAB25/CDH1/KRT13/AQP3/CLDN1/ANXA3/KRT16/IVL/KRT81/SLPI/LCN2/KLK5/ERBB3/TMPRSS11E/NCF2/MAP7/SERPINB2/GPRC5A/TRIM29/S100A14/CD24/SPINT1/ITGB6/C1orf116/LYPD3/IGSF3/SPINT2/CEACAM6/FGFR3/SCNN1A/KRT6A/CDH3/GJB3/VGLL1/DSC2/MAPK13/INPP4B/LSR/IL18/ATP12A/TGFA/SERPINB7/KCNK1/SCEL/HERC6/IL1RN/EPS8L1/IL1A/TNFSF10/ST14/MMP10/CRCT1/CA2/CKMT1B/ZBED2/IRF6/PRRG4/CDS1/KRT18/FGFBP1/COL17A1/CELSR2/SLC5A1/MREG/ZNF185/CXADR/KRT17/RAB38/LAMB3/MALL/SYK/CLDN7/S100A7/NMU/HBEGF/EPN3/SPAG1/PRSS8/TSPAN1/EPHA1/TACSTD2/FLRT3/KLK11/KRT14/MYO1E/CST6/ST6GALNAC5/LRRC1/PRKCZ/ARHGAP8/SDC1/DDR1/FGFR2/ZHX2/MFAP5/SERINC5/HOOK1/CNTNAP2/AP1M2/LAD1/TMEM51/HDAC9/SEMA3F/ANK3/EHF/TSPAN13/DUSP10/ELMO3/BIK/CYB5R1/TMEM40/KRT6B/CLDN4/LAMC2/FRMD4B/SERPINB13/ST6GALNAC2/DSC3/KRT15/TMPRSS4/PKP3/SLC20A2/SERPINB1/ARHGEF5/MYO1D/PSTPIP2/ALDH1A3/KLF5/LAMA3/UPP1/EFNA1/CEACAM1/PRKCH/KRT5/PTPRF/KRT8/GJB5/AMPD3/TFCP2L1/FLNB/IFIH1/MIA/RAPGEF5/VDR/DAPP1/KIAA0040/HES1/DSG3/SFRP1/IL1R2/CORO1A/GRHL2/NDRG1/SOX15/JUP/STAP2/DDX58/IRX4/BMP2/IL1B/PERP/CYP1A1/DSP/CTSC/SEMA3A/CAMK2N1/DUOX1/FST/RIMS3/IL4R/RPS6KA1/ZDHHC13/SIRPA/PTGS2/TNFRSF21/CREG1/SLC7A5/B4GALT4/PI3/P2RY2/GALNT3/TMEM30B/FGD6/MAST4/MMP9/MTUS1/SDC4/PPL/EPB41L4B/WWC1/ABCA12/FZD3/GNA15/ITGA2/SNX10/SLC31A2/IL13RA2/ATP2B4/OVOL2/CASP1/ABLIM1/TPD52L1/SERPINB3/DHRS1/STAC/SOX9/FZD5/TFRC/LYN/CD9/KCNG1/MBP/TINAGL1/NFE2L3/RHOD/CD55/RNF128/TMEM132A/ITGA6/LIMK2/TIAF1/XDH/CYB5R2/CTSH/RIPK4/ANXA8/SLC39A8/MTSS1/BACE2/F11R/GPR87/ISG20/EXPH5/MYO5C/SEMA3C/CSTA/GCH1/ARTN/OAS3/ZNF165/PARP12/GCLC/DMD/PLAU/HOXA1/SFN/PAK6/SLC12A8/HLA-DOB/SAA1/SMPDL3B/PTHLH/PTPN3/RLN2/EDN1/CORO2A/S100P/CDK5R1/MMP1/PTAFR/PLK2/CYP4F11/MST1R/HS3ST1/S100A9/S100A8/HOOK2/VSNL1/HPSE/MAP3K9/ZC3H12A/AKAP1/ARHGEF3/EPS8L2/CXCL1/BIRC3/ARHGAP25/SLC6A8/GNAL,285
2,C2,JAEGER_METASTASIS_DN,JAEGER_METASTASIS_DN,124/817,258/21587,8.54696916680918e-107,1.92605950174045e-103,1.23886068870487e-103,KLK10/FXYD3/KLK7/SPRR1B/KLK8/SPRR1A/RAB25/CDH1/AQP3/KRT16/IVL/SLPI/ZNF750/MAP7/TRIM29/S100A14/CD24/C1orf116/LYPD3/SPINT2/FGFR3/SCNN1A/KRT6A/CDH3/GJB3/DSC2/MAPK13/LSR/SCEL/ST14/CA2/CKMT1B/ZBED2/CALML5/IRF6/CDS1/FGFBP1/COL17A1/ZNF185/CXADR/KRT17/LAMB3/SLC2A1/S100A7/NMU/KRT23/TUFT1/PRSS8/TACSTD2/KLK11/KRT14/CST6/SDC1/FGFR2/CALML3/LAD1/ANK3/EHF/TM4SF1/ELMO3/KRT6B/LAMC2/SERPINB13/DSC3/KRT15/PKP3/TFAP2C/KLF5/LAMA3/KRT5/DSG3/IL1R2/GRHL2/MYO6/KLF4/SOX15/JUP/STAP2/IRX4/BBOX1/PERP/DSP/NLRX1/DUOX1/FST/PKP1/PI3/CTNND1/MAST4/PPL/ABCA12/GNA15/MAF/KRT33A/ABLIM1/TPD52L1/SERPINB3/ALDH3B2/CLTB/BICD2/SSH3/EFS/SPINK5/ANXA8/GPR87/PALMD/EXPH5/CSTA/SFN/PAK6/S100P/PRSS3/SERPINB4/MST1R/CLIC3/LY6D/S100A9/S100A8/VSNL1/CDA/GATA3/DEFB1/F2RL1/COBL,124
3,C2,LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT,LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT,62/817,107/21587,4.68147797769824e-60,7.03314041516199e-57,4.52378608792314e-57,KLK10/SPRR1A/KRT13/SPRR3/ANXA3/IVL/KRT81/LCN2/ERBB3/GPRC5A/CEACAM6/ELF3/VGLL1/DSC2/INPP4B/SCEL/IL1RN/EPS8L1/CRCT1/GDPD3/MALL/CLDN7/KRT23/TUFT1/TRIM2/RAB11FIP1/CST6/SAMD9/VTCN1/ALDH1A3/CEACAM1/DAPP1/MXD1/MYO6/KLK6/KRT7/PSCA/CAMK2N1/RARRES1/MUC16/PTGS2/B4GALT4/PI3/AZGP1/SOX9/EGR3/SLCO3A1/EMP1/TLR1/CRIM1/APOBEC3A/SLC6A14/SYTL2/TMOD3/S100P/GABRP/CLIC3/DAPK1/PINK1/DKK1/GCNT3/SH3TC2,62
4,C2,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,105/817,453/21587,7.07886236655086e-53,7.97610817151118e-50,5.13031235723186e-50,FXYD3/RAB25/CDH1/ERBB3/MAP7/S100A14/CD24/SPINT1/LYPD3/SPINT2/CEACAM6/CDH3/ELF3/LSR/EPS8L1/CRABP2/ST14/CKMT1B/AGR2/IRF6/OCLN/BSPRY/PRRG4/CDS1/MREG/CLDN7/KRT23/DAAM1/TUFT1/EPN3/PCDH1/PRSS8/TSPAN1/EPHA1/GRB7/ARHGAP8/ABCG1/BLNK/DDR1/ZHX2/HOOK1/AP1M2/LAD1/SEMA3F/ANK3/EHF/TSPAN13/ELMO3/BIK/CLDN4/ST6GALNAC2/PKP3/ARHGEF5/MYO1D/TJP3/SYNGR2/KIAA0040/GRHL2/MYO6/IRX5/JUP/TTC9/CAMK2N1/SH3YL1/PPFIBP2/OVOL1/CEBPA/TMEM30B/DLG3/ABCA12/RNF103/ULK1/AZGP1/SULT2B1/RUSC1/OVOL2/EPHB3/TPD52L1/CASZ1/SPTLC2/ALDH3B2/SSH3/LIMK2/LLGL2/PPP1R3D/F11R/EXPH5/MYO5C/ZNF165/RMND5B/SMPDL3B/USP18/S100P/SLC9A3R1/EFNA4/ANXA9/RAB27B/PTPN6/S100A8/HOOK2/RAB3D/PAQR4/EMP2/GATA3/FAM102A,105
5,C2,COLDREN_GEFITINIB_RESISTANCE_DN,COLDREN_GEFITINIB_RESISTANCE_DN,77/817,228/21587,5.73549779563877e-52,5.16997771298879e-49,3.32538124825035e-49,FXYD3/RAB25/CDH1/ERBB3/S100A14/SPINT1/ITGB6/C1orf116/CDH3/ELF3/MAPK13/LSR/SCEL/EPS8L1/ST14/AGR2/IRF6/BSPRY/PRRG4/CDS1/FGFBP1/RAB38/CLDN7/EPN3/PRSS8/TSPAN1/EPHA1/TACSTD2/CST6/BLNK/DDR1/AP1M2/LAD1/EHF/ELMO3/BIK/TMEM40/CLDN4/LAMC2/FRMD4B/KRT15/TMPRSS4/MYO1D/ALDH1A3/TJP3/RNF141/DAPP1/KIAA0040/GRHL2/PSD4/MYO6/STAP2/KLK6/SH3YL1/OVOL1/TJP2/GALNT3/TMEM30B/PPL/GAB1/SLC35A3/ENDOD1/OVOL2/RHOD/ACPP/RIPK4/CNKSR1/GCA/GPR87/EXPH5/SMPDL3B/PRSS22/MST1R/ANXA9/HS3ST1/VAMP8/EPS8L2,77
6,C2,CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP,CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP,59/817,125/21587,3.90711987594399e-50,2.93489821347992e-47,1.88775581374557e-47,FXYD3/RAB25/CDH1/KRT16/SLPI/LCN2/KLK5/TRIM29/S100A14/CD24/SPINT1/ITGB6/C1orf116/SPINT2/SCNN1A/CDH3/GJB3/ELF3/KCNK1/ST14/CKMT1B/IRF6/BSPRY/PRRG4/CDS1/FGFBP1/EPN3/PRSS8/EPHA1/TACSTD2/BLNK/LAD1/EHF/ELMO3/KRT15/PKP3/KRT5/KIAA0040/DSG3/GRHL2/KLK6/SH3YL1/OVOL1/TMEM30B/PPL/MAF/OVOL2/SSH3/RHOD/LIMK2/F11R/ZNF165/LITAF/S100P/PTPN6/S100A8/RNF39/HOOK2/SLC11A2,59
7,C2,ONDER_CDH1_TARGETS_3_DN,ONDER_CDH1_TARGETS_3_DN,42/817,59/21587,1.01883294603364e-46,6.55982869681945e-44,4.21934726823556e-44,KLK10/KLK7/KRT13/IVL/LCN2/TMPRSS11E/SERPINB2/GPRC5A/C1orf116/CEACAM6/VGLL1/DSC2/ATP12A/TGFA/SCEL/MMP10/CRCT1/S100A7/HBEGF/EPN3/SPAG1/KLK11/ST6GALNAC5/MFAP5/EHF/SERPINB13/KRT15/SERPINB1/KRT8/IL1R2/IL1B/FST/PTGS2/PI3/P2RY2/SOX9/CYB5R2/MYO5C/PTHLH/EDN1/CXCL1/ARHGAP25,42
8,C2,WU_CELL_MIGRATION,WU_CELL_MIGRATION,65/817,183/21587,1.49797205154559e-45,8.43920004539497e-43,5.42817767099547e-43,FXYD3/RAB25/CDH1/AQP3/SLPI/TRIM29/S100A14/CD24/SPINT1/SCNN1A/CDH3/GJB3/VGLL1/MAPK13/KCNK1/IL1A/ST14/AGR2/KRT18/CXADR/KRT17/CLDN7/NMU/TACSTD2/CST6/LAD1/EHF/TM4SF1/TSPAN13/CLDN4/PKP3/KLF5/LAMA3/JUP/PERP/KRT7/CSTB/SH3YL1/SIRPA/PTGS2/TNFRSF21/GALNT3/TMEM30B/MTUS1/PPL/SOX9/CD55/RNF128/SLC27A2/CTSH/ANXA8/GPR87/RBPMS/SFN/UGCG/S100P/BST2/RGS20/DAPK1/FABP5/CDA/GATA3/F2RL1/TGM2/CXCL1,65
9,C2,HOLLERN_EMT_BREAST_TUMOR_DN,HOLLERN_EMT_BREAST_TUMOR_DN,55/817,123/21587,3.58407603240333e-45,1.79482563089354e-42,1.15444975359518e-42,FXYD3/RAB25/CDH1/CLDN1/ERBB3/MAP7/CD24/SPINT1/SPINT2/CDH3/DSC2/LSR/KCNK1/EPS8L1/ST14/IRF6/EFNA3/OCLN/BSPRY/CELSR2/ZNF185/CXADR/CLDN7/PRSS8/EPHA1/GRB7/DDR1/AP1M2/CALML3/EHF/ELMO3/CLDN4/KRT15/PKP3/TFAP2C/CEACAM1/SORT1/TJP3/PTPRF/GRHL2/JUP/STAP2/DSP/PPFIBP2/OVOL1/TMEM30B/EPB41L4B/WWC1/LLGL2/RIPK4/C1orf56/CLIC3/PPIF/ARHGEF16/EPS8L2,55
10,C2,ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP,ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP,68/817,223/21587,1.18192501815053e-42,5.32693605680444e-40,3.42633842103848e-40,SPRR1A/CLDN1/SPRR3/LYPD3/IL1RN/IL1A/TNFSF10/MMP10/IRF6/ITGB8/LAMB3/HBEGF/RAB11FIP1/PPARD/HDAC9/TM4SF1/KRT6B/FRMD4B/SERPINB1/EFNA1/IFIH1/DAPP1/C3orf52/STARD5/IL1R2/MXD1/DDX58/SPRR2C/BMP2/IL1B/PLAUR/PI3/MFHAS1/MAST4/IFIT1/SDC4/ABCA12/NEDD4L/CXCL10/LYN/MARCKSL1/TRIM38/SLCO3A1/GLS/N4BP1/IL32/CCL5/ISG20/LIF/GCH1/ZNF165/GCLC/MAFF/B4GALT5/PLAU/OASL/SPSB1/EDN1/USP18/SMAD3/RHOF/PTAFR/RIPK2/ZC3H12A/CXCL1/BIRC3/AMOTL2/TNIP1,68
11,C2,DELYS_THYROID_CANCER_UP,DELYS_THYROID_CANCER_UP,92/817,445/21587,7.31765499216453e-42,2.99824282269868e-39,1.9284996984135e-39,KLK10/KRT13/CLDN1/SLPI/LCN2/ERBB3/NCF2/TRIM29/SPINT1/IGSF3/CEACAM6/KRT6A/CDH3/GJB3/ELF3/DSC2/MAPK13/LSR/TGFA/KCNK1/SCEL/IL1RN/CRABP2/ST14/AGR2/KRT17/LAMB3/MALL/CLDN7/NMU/TACSTD2/KRT14/CST6/GRB7/SDC1/SEMA3F/STX3/LAMC2/DHRS3/KRT15/MYO1D/ALDH1A3/UPP1/PTPRF/SYNGR2/MYO6/IL13RA1/TIAM1/KLK6/ELF4/DSP/DOCK9/CTSC/ANXA1/TNFRSF21/SLC7A5/NRIP1/TMC6/MTUS1/SDC4/PPL/ITGA2/PMAIP1/ENDOD1/SOX4/EPHB3/STAC/RASAL2/LYN/NFE2L3/CD55/PRDM1/CTSH/ANXA8/FSTL3/CTSD/PRSS2/LIF/DMD/UCP2/PLAU/SFN/ACTN4/SLC6A14/PLCD1/PRSS3/MMP1/MAP2/MST1R/VAMP8/ADM/TGM2,92
12,C2,LEI_MYB_TARGETS,LEI_MYB_TARGETS,76/817,323/21587,8.85785119810052e-39,3.32686127915325e-36,2.13987036838323e-36,CDH1/ANXA3/KRT16/KRT81/LCN2/SERPINB2/CD24/CEACAM6/KRT6A/IL1RN/CRABP2/AGR2/IRF6/EFNA3/KRT18/FGFBP1/COL17A1/IFI27/KRT17/SPINK1/CLDN7/S100A7/KRT14/DDR1/SEMA3F/TM4SF1/LAMC2/CRYAB/DHRS3/KRT15/TFAP2C/LAMA3/ISG15/KRT5/TFAP2A/KRT8/SFRP1/CFLAR/SOX15/JUP/HSPB1/IL1B/KRT7/ANXA1/SLC7A5/PI3/OTUB1/PPL/LY6G6C/SERPINB3/GSTP1/TRIO/BICD2/LIMK2/CTSD/ISG20/CRIM1/SFN/LITAF/SAA1/PTHLH/S100P/SMAD3/SERPINB4/MMP1/SLC9A3R1/PLK2/DNAJB1/S100A9/S100A8/EMP2/RASA1/GATA3/BAIAP2/TGM2/TNIP1,76
13,C2,ANDERSEN_CHOLANGIOCARCINOMA_CLASS2,ANDERSEN_CHOLANGIOCARCINOMA_CLASS2,56/817,175/21587,1.53285055088298e-36,5.31427494833045e-34,3.41819466974229e-34,KLK10/FXYD3/KLK7/ANXA3/SERPINB2/GPRC5A/ITGB6/C1orf116/CEACAM6/CDH3/GJB3/KCNK1/SCEL/EPS8L1/ST14/CKMT1B/ZBED2/FGFBP1/KRT17/LAMB3/NMU/TUFT1/TSPAN1/CST6/BIK/KRT6B/CLDN4/LAMC2/KRT15/TMPRSS4/PKP3/KLF5/TJP3/GJB5/TFCP2L1/VDR/DAPP1/PLAUR/KLK6/PSCA/HK2/ITGA2/PMAIP1/NFE2L3/CD55/PTPRR/GPR87/SFN/SLC6A14/SMPDL3B/CORO2A/S100P/CLIC3/SLC39A4/DKK1/GCNT3,56
14,C2,BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP,BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP,67/817,285/21587,3.07448859870961e-34,9.89765722456016e-32,6.36627188033554e-32,KLK10/NCF2/CDH3/HERC6/IL1A/TNFSF10/MMP10/COL17A1/MREG/KRT17/HBEGF/SAMD9/ARNTL2/BIK/LAMC2/HSPB8/CHST11/CEACAM1/HERC5/MX1/AMPD3/IFIH1/VDR/MXD1/KLF4/DDX58/RSAD2/BMP2/IL1B/PLAUR/SERPINB8/OAS1/IL4R/HK2/MMP9/IFIT1/SDC4/PMAIP1/CASP1/CXCL10/CRISPLD2/NFE2L3/CD55/IRF7/ULBP2/XDH/EMP1/OAS3/PARP12/MAFF/PLAU/OASL/LMO2/USP18/LIPG/MMP1/APOL6/PTAFR/MAP2/BST2/CXCL11/ZC3H12A/TGM2/CXCL1/BIRC3/LAMP3/ADAM19,67
15,C2,RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN,RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN,76/817,380/21587,1.31739059294738e-33,3.89571868451129e-31,2.50576512726264e-31,KLK10/KLK7/SPRR1B/KLK8/KRT16/IVL/ZNF750/C1orf116/KRT6A/INPP4B/IL1A/MMP10/ZBED2/KRT17/RAB38/SLC2A1/HBEGF/KLK11/KRT14/PPARD/SDC1/AP1M2/CDSN/TMEM40/KRT6B/UPP1/KRT5/LRRC8E/STARD5/MXD1/PSD4/IL13RA1/JUP/NPEPPS/PERP/PLAUR/HES2/DSP/EGLN3/NLRX1/FST/OVOL1/SLC7A5/MICALL1/MAST4/ABCA12/GNA15/CARD10/SLC31A2/DLGAP4/MYD88/DAPK3/SNRK/BICD2/GIPC1/ULBP2/PRDM1/N4BP1/TICAM1/TINF2/IPPK/HMOX2/SFN/ABHD5/PTHLH/DUSP14/MMP1/CASP4/S100A8/FABP5/RNF39/ADM/RAB3D/HPSE/VLDLR/STK17A,76
16,C2,CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,83/817,455/21587,1.38299309856181e-33,3.89571868451129e-31,2.50576512726264e-31,KLK10/ANXA3/KRT16/SLPI/KLK5/SERPINB2/TRIM29/KRT6A/CDH3/GJB3/IL18/TGFA/IL1A/FGFBP1/ITGB8/IFI27/KRT17/LAMB3/KRT14/MYO1E/SAMD9/ARNTL2/KRT6B/LAMC2/CRYAB/DSC3/KRT15/ALDH1A3/KLF5/LAMA3/UPP1/KRT5/OGFRL1/DSG3/SFRP1/PLSCR1/CFLAR/PERP/PPP4R1/CTSC/DUOX1/ANXA1/FST/SIRPA/PTGS2/MICALL1/MPZL1/PI3/RND3/GNA15/CHMP1B/CASP1/ADD3/GSTP1/LYN/BICD2/MBP/GFOD1/ITGA6/RIPK4/EMP1/ANXA8/DMD/PLAU/HOXA1/SFN/SAA1/MBNL2/LIPG/SMAD3/APOL6/CASP4/RRAS2/TAP2/RGS20/VSNL1/ADM/OSBPL3/F2RL1/STK17A/CXCL1/BIRC3/GNAL,83
17,C2,ONDER_CDH1_TARGETS_1_DN,ONDER_CDH1_TARGETS_1_DN,52/817,170/21587,6.70037233868865e-33,1.77638694885116e-30,1.14258980933427e-30,KLK10/KLK7/KRT13/IVL/LCN2/TMPRSS11E/SERPINB2/GPRC5A/C1orf116/CEACAM6/VGLL1/DSC2/ATP12A/TGFA/SCEL/MMP10/CRCT1/S100A7/HBEGF/EPN3/SPAG1/KRT34/KLK11/ST6GALNAC5/MFAP5/EHF/SERPINB13/KRT15/SERPINB1/KRT8/IL1R2/IL1B/SERPINB8/FST/PTGS2/PI3/P2RY2/SOX9/HCCS/CYB5R2/MYO5C/ZNF365/SCYL2/LGALS8/UGCG/PTHLH/EDN1/PPP2R1B/DKK1/CXCL1/ARHGAP25/NUP98,52
18,C2,SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP,SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP,81/817,452/21587,3.21552919926747e-32,8.0513278339436e-30,5.17869439460971e-30,FXYD3/SPRR1A/RAB25/CDH1/KRT13/AQP3/ANXA3/S100A14/CD24/SPINT1/C1orf116/FGFR3/SCNN1A/ELF3/MAPK13/KCNK1/AGR2/BSPRY/KRT23/TUFT1/TSPAN1/TRIM2/TACSTD2/FGFR2/TMEM51/HDAC9/TSPAN13/TRPV4/TMEM40/CLDN4/DHRS3/KRT15/PKP3/ARHGEF5/TFAP2C/ALDH1A3/CEACAM1/USP6NL/HEBP2/TFCP2L1/KIAA0040/PLSCR1/CDH16/KRT7/PSCA/ANXA1/SH3YL1/PPFIBP2/MICALL1/DLG3/NRIP1/MAF/ENDOD1/SLC31A2/IL13RA2/PDLIM2/TPD52L1/SOX9/CRISPLD2/ALDH3B2/MBP/TINAGL1/RNF128/LLGL2/SPINK5/SLC39A8/LAMP2/GCLC/ID2/EAF2/BDH1/EDN1/CORO2A/PLCD1/DUSP14/ANXA9/VAMP8/ARHGEF16/EMP2/VLDLR/GATA3,81
19,C2,ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF,ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF,57/817,232/21587,2.39808509681195e-30,5.68851027964815e-28,3.65890656876461e-28,CLDN1/ELF3/IL1RN/IL1A/SLC2A1/HBEGF/TACSTD2/CLDN4/FRMD4B/SLC20A2/KIAA0040/C3orf52/HES1/NDRG1/KLF4/IL1B/PLAUR/KLK6/SEMA3A/PTGS2/TJP2/STK38L/KLF3/WWC1/RND3/ITGA2/CHMP1B/CAMSAP1/TFRC/IGF1R/SNRK/MBP/CD55/RASA2/RIPK4/EMP1/MAP3K8/IPPK/FOSL2/MTM1/SEMA3C/MAFF/HOXA1/UGCG/EDN1/MBNL2/DUSP14/PLK2/APOBEC3B/CLDND1/VSNL1/ADM/ZC3H12A/F2RL1/COBL/CXCL1/BIRC3,57
20,C2,MCBRYAN_PUBERTAL_BREAST_4_5WK_UP,MCBRYAN_PUBERTAL_BREAST_4_5WK_UP,61/817,270/21587,3.24184165181984e-30,7.30549016237602e-28,4.69896416269045e-28,FXYD3/RAB25/CDH1/SLPI/LCN2/ERBB3/CD24/SPINT1/KCNK1/ST14/IRF6/OCLN/BSPRY/KRT18/CLDN7/SLC2A1/TACSTD2/KRT14/SDC1/DDR1/FGFR2/WFDC2/LAD1/EHF/TMEM40/CLDN4/TFAP2C/KLF5/CEACAM1/KRT8/HEBP2/SFRP1/GRHL2/IRX5/PERP/DSP/KRT7/GALNT3/TMEM30B/PLA2G7/SDC4/EPB41L4B/WWC1/RND3/SOX4/PDLIM2/SOX9/CD9/MARCKSL1/RNF128/RIPK4/ID2/RBP1/MKRN1/PLK2/LY6D/PAWR/CNN3/GATA3/ARHGEF3/TGM2,61
21,C2,BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP,BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP,46/817,144/21587,3.62337364882765e-30,7.77645001679344e-28,5.00189024003577e-28,SPRR1A/CRCT1/ZBED2/S100A7/HBEGF/KRT6B/SERPINB1/EFNA1/IFIH1/CORO1A/PLSCR1/BMP2/TGM1/IL1B/PLAUR/OAS1/VNN1/PI3/IRF7/PRDM1/XDH/KRT75/IL32/MAP3K8/LIF/OAS3/PARP12/MAFF/SLC6A14/EDN1/S100P/PRSS3/RHOF/MMP1/OAS2/BST2/S100A9/S100A8/P2RY6/ZC3H12A/IKBKE/OTUB2/TGM2/CXCL1/BIRC3/TNIP1,46
22,C2,RICKMAN_METASTASIS_DN,RICKMAN_METASTASIS_DN,60/817,262/21587,4.4271530318521e-30,9.06962668843519e-28,5.83367437785679e-28,FXYD3/SPRR1B/ZNF750/TRIM29/S100A14/IGSF3/KRT6A/GJB3/IL18/KCNK1/CKMT1B/IRF6/PRRG4/KRT17/MALL/SLC2A1/TUFT1/MYO1E/SDC1/LAD1/SEMA3F/DSC3/PKP3/KRT5/AMPD3/DSG3/NDRG1/PSD4/JUP/PERP/AVPI1/PKP1/TSPAN14/PTGS2/SGPL1/SH3GLB2/MTUS1/GNA15/ATP2B4/CASP1/MYD88/DAPK3/BICD2/GFOD1/GIPC1/OSTF1/ANXA8/FOSL2/PALMD/SFN/RHOF/PTAFR/TAP2/LY6D/ABCB9/PPP2R1B/STXBP2/BAIAP2/SLC6A8/TBC1D2,60
23,C2,LIM_MAMMARY_STEM_CELL_DN,LIM_MAMMARY_STEM_CELL_DN,75/817,416/21587,4.7038265002497e-30,9.21745479853278e-28,5.9287588932209e-28,RAB25/CDH1/CLDN1/ZNF750/ERBB3/CD24/SPINT1/LYPD3/ELF3/MAPK13/LSR/ST14/CA2/KRT18/SLC5A1/TPD52/CLDN7/TUFT1/KLK11/RAB11FIP1/PRKCZ/GRB7/ATP1B1/AP1M2/WFDC2/VTCN1/ELMO3/BIK/CLDN4/FRK/ALDH1A3/CEACAM1/TJP3/TFAP2A/PTPRF/KRT8/TFCP2L1/DAPP1/STAP2/PPFIBP2/DBNDD2/DLG3/MTUS1/TMEM62/PPL/SLC35A3/SNX10/SULT2B1/ADD3/CASZ1/ALDH3B2/SSH3/GIPC1/CMAS/PLEKHG3/HDHD3/CTPS2/GCA/ISG20/MYO5C/C1orf56/HOMER2/TLR5/BDH1/CORO2A/DHX32/SLC9A3R1/GABRP/PTPN6/ARHGEF16/STXBP2/GATA3/TGM2/HAGH/COBL,75
24,C2,SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN,SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN,66/817,324/21587,8.94315717761257e-30,1.67945039164583e-27,1.08023924855899e-27,KLK10/KLK7/CLDN1/KRT16/KRT81/SLPI/KLK5/SERPINB2/TRIM29/KRT6A/GJB3/VGLL1/DSC2/FGFBP1/KRT17/MALL/NMU/KRT23/TRIM2/KRT14/TM4SF1/KRT6B/CRYAB/DSC3/TFAP2C/KLF5/CEACAM1/KRT5/PTPRF/TFCP2L1/MIA/SFRP1/IL1R2/BBOX1/PERP/KLK6/RARRES1/MUC16/PKP1/PTGS2/TNFRSF21/SLC7A5/MICALL1/PI3/EPHB3/SOX9/KCNG1/ITGA6/FZD7/IL32/YWHAZ/KLHL24/SLC6A14/RBP1/HLA-DOB/SMPDL3B/EDN1/GABRP/S100A9/KLHL7/S100A8/DKK1/TTYH1/PRKX/LAMP3/RRAGD,66
25,C2,HUPER_BREAST_BASAL_VS_LUMINAL_UP,HUPER_BREAST_BASAL_VS_LUMINAL_UP,30/817,53/21587,3.55660006757083e-29,6.41183860181668e-27,4.12415856256423e-27,SPRR1B/SPRR1A/AQP3/KRT16/IVL/SLPI/TRIM29/KRT6A/IL1A/MMP10/S100A7/FLRT3/SDC1/MFAP5/DSC3/GJB5/NDRG1/IL1B/PKP1/PI3/ITGA6/KRT75/CSTA/SFN/PTHLH/S100P/S100A9/S100A8/FABP5/AMIGO2,30
26,C2,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,42/817,129/21587,5.02738802059764e-28,8.7147837726283e-26,5.6054358739781e-26,SPRR1B/KLK8/SPRR1A/KRT13/SPRR3/KRT16/IVL/KRT81/KLK5/KRT6A/DSC2/ST14/KRT18/KRT17/KRT23/KRT34/PRSS8/KRT14/SPRR2B/CDSN/KRT6B/DSC3/KRT15/PKP3/KRT5/KRT8/DSG3/JUP/TGM1/PERP/DSP/KRT7/PKP1/PI3/PPL/KRT33A/KRT75/SPINK5/FURIN/CSTA/KRT86/CAPN1,42
