,Category,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
3081,C7,GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_DN,GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_DN,33/816,199/20394,3.60464264055793e-12,3.31219050179569e-10,1.9315443583367e-10,AQP3/HERC6/IL1RN/LAMB3/KLF5/ISG15/HERC5/MX1/MIA/CFLAR/ELF4/OAS1/IL4R/TDRD7/SNX10/SLC31A2/ATP2B4/CASP1/TMEM132A/IRF7/LIMK2/SLC39A8/FSTL3/GCH1/ABI1/OAS3/ID2/USP18/RBMS2/RIPK2/MAP3K9/BIRC3/TNIP1,33
3082,C7,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP,33/816,199/20394,3.60464264055793e-12,3.31219050179569e-10,1.9315443583367e-10,IGSF3/IL1A/ITGB8/S100A7/HDAC9/ANK3/EHF/SERPINB1/AMPD3/CFLAR/IL1B/SLAMF7/PLAUR/PTGS2/VNN1/SMPDL3A/PMAIP1/SNN/TFRC/CKB/CYB5R2/MAP3K4/RBPMS/CRIM1/MAFF/RHOF/TUBAL3/ZC3H12A/AMIGO2/SLC11A2/CXCL1/TNIP1/LAMP3,33
3083,C7,GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,33/816,199/20394,3.60464264055793e-12,3.31219050179569e-10,1.9315443583367e-10,SAMD9/IFI6/HSPB8/SYNE2/ISG15/MX1/IFIH1/PLSCR1/KLF4/DDX58/RTP4/IFIT1/PMAIP1/CXCL10/MYD88/STK3/SNRK/TRIO/NFE2L3/TRIM38/IRF7/IL32/FOSL2/ISG20/OAS3/PARP12/MAFF/OASL/APOL6/BST2/CXCL11/TAP2/GCNT3,33
3084,C7,GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN,GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN,33/816,199/20394,3.60464264055793e-12,3.31219050179569e-10,1.9315443583367e-10,IFI27/SERPINB1/ISG15/MX1/CD2AP/KIAA0040/PLSCR1/RSAD2/TGM1/ELF4/OAS1/TDRD7/IFIT1/SFT2D2/CXCL10/STK3/LYN/NFE2L3/IRF7/N4BP1/GCA/ISG20/GCH1/OASL/SMAD3/OAS2/BST2/CXCL11/CLDND1/ADM/DEFB1/AMOTL2/LAMP3,33
3085,C7,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN,33/816,200/20394,4.15563252028965e-12,3.55051410066852e-10,2.07052567677589e-10,TNFSF10/IFI27/PSTPIP2/ISG15/HERC5/MX1/IFIH1/KLF4/PIM1/RSAD2/SLAMF7/RTP4/HLA-F/TDRD7/SFT2D2/SNX10/CXCL10/MYD88/LYN/SOS1/IRF7/LIMK2/N4BP1/IL32/ISG20/GCH1/OAS3/PARP12/NOD2/APOL6/CXCL11/TAP2/TGM2,33
3086,C7,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP,33/816,200/20394,4.15563252028965e-12,3.55051410066852e-10,2.07052567677589e-10,HERC6/TNFSF10/ISG15/MX1/IFIH1/DDX58/RSAD2/SLAMF7/OAS1/RTP4/IFIT1/SNX10/CASP1/CXCL10/LYN/IRF7/CCL5/ISG20/GCH1/OAS3/PARP12/B4GALT5/OASL/ETNK1/USP18/LIPG/OAS2/APOBEC3B/CASP4/UBD/BST2/CXCL11/PRKX,33
3087,C7,GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN,GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN,33/816,200/20394,4.15563252028965e-12,3.55051410066852e-10,2.07052567677589e-10,HERC6/PRRG4/SAMD9/IFI6/CEACAM1/ISG15/HERC5/MX1/CD2AP/IFIH1/PLSCR1/DDX58/RSAD2/OAS1/RTP4/TDRD7/IFIT1/TMEM62/MYD88/IRF7/GTPBP2/DAG1/N4BP1/ISG20/OAS3/PARP12/OASL/MKRN1/USP18/APOL6/OAS2/BST2/LAMP3,33
3088,C7,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN,33/816,200/20394,4.15563252028965e-12,3.55051410066852e-10,2.07052567677589e-10,ANXA3/SLPI/NCF2/TNFSF10/ZNF185/STX3/IFI6/IL1R2/CFLAR/PPP4R1/CTSC/PTGS2/IFIT1/SLC31A2/CLTB/LIMK2/GCA/LAMP2/TMBIM1/CSTA/APOBEC3A/B4GALT5/ID2/ABHD5/LITAF/S100P/SLC9A3R1/CASP4/SEMA4D/S100A9/S100A8/ADM/CXCL1,33
3089,C7,GSE2706_UNSTIM_VS_2H_R848_DC_DN,GSE2706_UNSTIM_VS_2H_R848_DC_DN,32/816,192/20394,6.67052074886918e-12,5.50600610965981e-10,3.21089473335398e-10,CLDN1/HERC6/IL1A/EFNA1/ISG15/CFLAR/RSAD2/IL1B/SLAMF7/PLAUR/PTGS2/SLC7A5/GALNT3/MFHAS1/SDC4/PMAIP1/CXCL10/MARCKSL1/MAP3K8/TICAM1/CCL5/ISG20/GCH1/APOBEC3A/MAFF/B4GALT5/ZBTB43/EDN1/REL/ZC3H12A/CXCL1/BIRC3,32
3090,C7,GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_UP,GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_UP,32/816,192/20394,6.67052074886918e-12,5.50600610965981e-10,3.21089473335398e-10,HERC6/KRT17/SPAG1/SERPINB1/HERC5/PTPRF/AMPD3/IFIH1/DAPP1/STARD5/MXD1/CFLAR/DDX58/SLAMF7/OAS1/TDRD7/PPFIBP2/PTGS2/SDC4/NEDD4L/SNN/LYN/MAP3K8/CCL5/GCH1/OAS3/APOBEC3A/B4GALT5/OASL/USP18/RIPK2/ADM,32
