	GBM	LGG	CESC	LUAD	COAD	BRCA	ESCA	SARC	KIRP	STAD	PRAD	UCEC	HNSC	KIRC	LUSC	THYM	LIHC	THCA	MESO	READ	PAAD	OV	TGCT	PCPG	SKCM	UVM	UCS	BLCA	ACC	KICH	CHOL	DLBC
YTHDC1	0.827312752853109	0.804471579376838	1.02554493813925	1.00505560967958	0.744757040623315	1.18693082844426	1.08585851833507	1.25021805936844	0.677842117045331	0.89140354602484	1.95101438473424	0.537585830127637	0.828139763359144	0.612379286853664	0.885233265966176	0.61323549157297	1.37957828567682	1.06561956595086	1.06822371048613	1.06273648025971	0.954925572476768	0.926160380928337	0.573721012123346	5.59459809250969	1.13148885761031	1.07083708497668	0.890538133958644	0.786223776291423	1.2273258842892	2.25092930909891	0.538052601025307	1.97826664019282
IGF2BP1	1.08420783842988	2.38975835234371	1.03077585037539	1.35637941240648	1.18851810330455	1.20622888696009	1.03077094267305	1.41862133807888	1.37424772143023	1.49617492860348	0.66937055786093	1.35262016023084	1.20935872302915	1.35658763844747	0.835607036139983	0.494014331591354	1.07354852298897	4.61182979622302	1.79918217960904	1.05437348462792	1.5263719379354	1.04716910667471	2.68453131567886	0.715753428342428	3.11284440221482	2.65196625177238	0.529959383659326	0.956037121921777	3.29681868922038	4.62130843395085	0.821269473890613	0.707925670674298
IGF2BP2	1.06830944033432	3.41916050221189	0.963073735999269	1.6203815346678	0.940279929060334	0.955311675544786	1.12839513436235	1.47174832842706	1.31012090643191	0.945861021421863	0.867965364946066	1.37503115077382	1.34575062185872	1.49332598624763	0.85040160247184	0.637936144601861	1.34822160558933	0.781862645388641	1.51057975434202	0.589137363989874	1.79591720421747	0.856057614627032	0.701267574441988	0.927561437193358	0.972643440925789	0.266715156703996	0.643281515056481	1.42123177759028	1.31921978187789	1.92129946425849	0.749818730087108	0.693040675650056
IGF2BP3	1.0579706339748	2.95906069342845	0.930822330673801	1.57037343361972	1.6873125265121	1.11276709587226	1.14309637737951	1.74149080723401	3.4127863351886	1.17899666169843	1.59979151866324	1.67380836935054	1.27558999319409	1.53099748228472	0.875320237876107	3.11720406833429	1.46187915467043	1.90096730006905	2.29535365070771	1.31744328770371	1.44416408158319	1.02509341222994	2.20887983020314	1.96450806647596	1.50711220098704	2.41170172915632	0.86140748934627	1.3516636762108	2.02432726450993	3.58891270528743	0.821425625246788	2.13808445612581
YTHDF1	1.13714323366851	1.4314822941281	1.14265939683641	1.00555941688665	0.915560468092244	1.34539853746622	1.06317146113534	1.19423320550981	0.775507769173325	0.907828741813352	2.52649289109071	1.56181974112852	1.11320305282164	0.716622219090456	1.00263992997998	0.322387400255333	1.80086908899787	2.87886877630626	1.58766015273958	0.279773366051795	0.992811202929363	1.03576048557307	2.76265047405987	2.11117122547243	0.894974825154318	3.39277015514126	1.21246799574777	1.05700908268345	1.59745658136739	1.99381966346639	0.666535795127413	0.864573764593875
YTHDF3	0.939983120852003	1.14381254291843	1.46499440059751	1.16136784311299	0.876857151157353	1.45405477228627	1.0115091199864	1.41729218255624	1.27038543868968	0.993993095296286	1.63731049811618	0.897050996323447	0.806722226277939	0.583797136266913	1.11846954083568	0.553288911492335	1.18678316075263	2.19190831513832	0.831317380489093	0.811548959078853	1.3101689850346	1.13268953942446	1.29942206974483	1.81785641448696	1.51447153610384	2.67989821087738	0.692892937941877	1.01895268825821	0.930348829083588	4.05159755353675	0.79771938156142	2.07542973217462
YTHDC2	0.849994089889007	1.52704667950339	0.908961172356822	0.785183732244236	0.774325299506826	1.20696843464559	1.09224504589673	1.15006225618295	1.37173369996985	0.926225202885496	1.89481777958671	1.21592109670157	0.797941905969169	0.632765750878354	0.990560663107281	1.5175039862952	1.18188468731939	3.17369257719149	1.12614504253363	0.356073271327401	0.877208733442342	1.19289228687448	0.574497365152888	1.2785021822373	1.46258959453475	1.35358121884444	1.34051872084472	0.911181848024948	1.01025851716601	1.96433449576424	0.563836668703638	1.97826664019282
HNRNPA2B1	0.890634581310455	2.0593670589128	1.26305041230201	1.50787349487395	1.01218737281879	1.04458101555189	1.19430518539623	1.65942256116099	0.930106342334563	0.746053925806189	3.07804816683282	0.725919632581426	1.06364881271971	0.768019486299302	0.875166961750959	0.0947398627137766	1.56281066793503	1.3452424613085	1.76564999906708	0.616863546932618	1.10512417262165	0.963344146469906	0.416913280387231	1.25060178922577	1.61448798384053	1.35549426961615	0.980726922052748	0.844841781213124	3.855542964697	10.1388491871423	0.674212989452967	1.31559900129491
YTHDF2	1.04288948846885	1.78803579036974	1.41249880170197	0.888914072947012	0.824293628149488	1.09702399794267	0.636609654724317	1.98374857829924	0.91311113539907	0.998380762336402	1.6467688236329	0.478444029535197	1.00543375830088	0.631724926632469	0.976686940234528	0.809051372335946	1.60157006922578	1.32386012546563	1.03821745401153	0.331585798401745	0.962923938869432	1.17303455915775	0.929969881756908	1.13497868207432	1.64865338121131	1.61137789268213	1.14023457904122	0.903840914056714	2.12999223179709	9.11045103108056	0.790015915601033	1.24274090479555
HNRNPC	0.69979249974232	1.06677976185379	1.5643503502545	1.75084815058074	0.881187091634195	0.969743843872822	1.52204479946831	1.96572829499598	2.85011054090226	0.856854725893361	1.70019292816478	0.539990196276898	1.19401476590123	0.710031113906283	0.898519619574805	0.113029664360068	1.33842478726383	0.657774542268875	1.02631112718569	1.06648401735016	1.78244818675971	0.978485422170533	0.734748116940123	2.37521830318161	1.82863906121059	1.49817486062981	1.06286375023738	1.01276458546641	3.238496356487	3.97798215162368	0.57530049282319	1.62378933278749
