	GBM	LGG	CESC	LUAD	COAD	BRCA	ESCA	SARC	KIRP	STAD	PRAD	UCEC	HNSC	KIRC	LUSC	THYM	LIHC	THCA	MESO	READ	PAAD	OV	TGCT	PCPG	SKCM	UVM	UCS	BLCA	ACC	KICH	CHOL	DLBC
YTHDC1	0.292240055472407	0.228624683615672	0.915499761532835	0.972757120845249	0.234606918373955	0.286177661734189	0.71649078442128	0.271300080954301	0.205490807182181	0.46932163626349	0.284947249819445	0.0795117077560137	0.159923363084969	0.00159416788220279	0.373851312110491	0.496526895913947	0.0651124339216608	0.898708703840771	0.773757327272125	0.903351257262532	0.823555267629261	0.5342548856765	0.587137553900609	0.0755641528621585	0.744421214897189	0.871902658400604	0.724555956774855	0.108742467350011	0.592351030326733	0.236655358270086	0.194116235591943	0.270758357096302
IGF2BP1	0.652303756364942	3.06349455545529e-05	0.897844542490615	0.0398846426442698	0.47187004591492	0.247925957911719	0.894120308413418	0.080909472156813	0.293409415803311	0.0116386899196449	0.555398000911723	0.381066327664689	0.157575936308195	0.0455728076578592	0.187664348255263	0.374563386293313	0.686550198673976	0.00355961092815549	0.0102017028258857	0.915269967513087	0.0369371450703589	0.708872680449663	0.372743605661877	0.758969432079257	0.00252162819448376	0.0159484844882399	0.0438087330606096	0.764069625760983	0.00258073650558877	0.0352471281338191	0.673502980743294	0.581764374940438
IGF2BP2	0.712678399919396	3.33120198092729e-11	0.874670927816856	0.000974701134868416	0.798148587977846	0.778492331929084	0.597618409197217	0.0550471279111777	0.372927947595528	0.725569750303135	0.818169123970623	0.35985768296651	0.0264796261224866	0.00853455846751672	0.236566616010872	0.534578211300372	0.087649957451483	0.624365613838988	0.0682803854603283	0.311106193948581	0.00415903359949243	0.207267776345718	0.716218646095004	0.926377103203652	0.941008940191838	0.000439866435564262	0.172351842868276	0.0199349894398263	0.475163324781294	0.346923241124276	0.548128272255836	0.559397389550312
IGF2BP3	0.752830394078161	7.36138228152328e-09	0.762393556887452	0.00231234955578841	0.0317101606844612	0.51019950656472	0.556373692465695	0.00604437567629634	7.46538357726534e-05	0.298930444991405	0.462270988575229	0.142930633522349	0.0694134074367642	0.00536194623339536	0.330765385280939	0.138586811017421	0.0299892163704698	0.205240746006945	0.000163480325952259	0.575992405472209	0.0764263724466757	0.840710537974742	0.471851671919665	0.425144161234293	0.262741118174206	0.0363149052901142	0.64819556126375	0.0455311848298563	0.0697549351828755	0.0879934578870889	0.675690979479831	0.220621965425726
YTHDF1	0.475681192314627	0.0471397579331562	0.575306855330909	0.970034699722724	0.713930579674202	0.0669555603109762	0.787940312719496	0.381368396027565	0.401238585875065	0.54390840951051	0.159681826968567	0.200861574842388	0.424719666180697	0.0305358077774122	0.984644485062697	0.141770833736746	0.000847529715047535	0.0550041839048394	0.0390669794269912	0.016194906404677	0.972175638543704	0.775760192693419	0.358173446305394	0.375555559412594	0.768579610088853	0.0104425130639183	0.564991557176405	0.712383972331451	0.219370621267755	0.319121444923709	0.395493441375141	0.828033737105057
YTHDF3	0.731629712182191	0.458064364160214	0.107408650725691	0.309432919817656	0.583721868874479	0.0230509470949324	0.960120534851991	0.0866550558368322	0.426622300476803	0.969810390686785	0.434901794298392	0.753366922110603	0.109155237866155	0.000473457502141783	0.415893279852157	0.408237730786092	0.328959223213098	0.135376101838751	0.419765000920585	0.667106572401397	0.193755371038326	0.311908399935107	0.78793557643101	0.482459410205575	0.268868080518845	0.0314068850286735	0.259545380572432	0.900454453282357	0.850906714099657	0.0580879082730126	0.632459643910593	0.239503341716752
YTHDC2	0.367689176588182	0.0169414649719971	0.686495180788777	0.103648251762172	0.294996866948143	0.243088525927856	0.700169825613381	0.489050359566593	0.286003180978036	0.629598484806928	0.30945936200209	0.573953855434887	0.0934755338477015	0.00285379203862623	0.944572867348177	0.561365911704081	0.341609342617212	0.0344068633969844	0.605293844445589	0.0613251812649286	0.525171823742386	0.150811951155237	0.588067582387233	0.75738714468714	0.300844737038535	0.483724562710524	0.38071154455797	0.535531033220459	0.978735656523083	0.3288960152095	0.231779545007472	0.270758357096302
HNRNPA2B1	0.520353954625671	4.6879087475471e-05	0.329518263806807	0.00510296340528682	0.95982273771587	0.788522621946938	0.43444175360908	0.0113085304307505	0.809191967939886	0.065193314513036	0.078913126495085	0.362053593513451	0.646216579320823	0.0857744096963148	0.329668694176334	0.00419033708255023	0.0105441598976072	0.554532997049946	0.00986872697512797	0.361630172293684	0.629090065376199	0.762114704124991	0.422085901676564	0.778442014370515	0.19451826269108	0.480953206327535	0.952532951228138	0.26091708689307	0.000392401395705289	0.00659143853941635	0.397226456693045	0.66328513352851
YTHDF2	0.815023720904739	0.00192579029198037	0.145466378688413	0.424653111161949	0.421036850736849	0.569789515055021	0.0517860007116592	0.000832649546088304	0.763110291365121	0.991859382963337	0.42848490520214	0.0397127396029221	0.967758135367886	0.00287400214497191	0.863429197693513	0.760194918884631	0.00756211452260958	0.576135529453643	0.870418292662559	0.0440356653829234	0.8546624205448	0.193755059383099	0.942089664360309	0.876436708859458	0.174393294524021	0.286547786508909	0.69924053263055	0.500762842309107	0.0499560185846316	0.0111262729548873	0.614740657361089	0.73007925035835
HNRNPC	0.0468483284476541	0.722649203254814	0.0663060536424539	0.000159763503563726	0.596421564607724	0.849628068240924	0.0592632839700835	0.000853012710931966	0.00156364624352512	0.331630301265255	0.400383498376954	0.0815777248312594	0.186989568149641	0.0251185756470595	0.434764504515567	0.0120666061228549	0.0966473898398411	0.40182562632295	0.910152580595608	0.894792208397973	0.00532180764956158	0.859704999220689	0.751946774789865	0.28915720838217	0.119461336611133	0.346285219475522	0.856019362441513	0.932614360660591	0.00283456490844081	0.0620735611055689	0.245931196940022	0.426965828887918
