"Custom pathway"$"Custom pathway"$"Diff"$"Direction of change"$"Interactions"$"P-value"$"FDR corrected p-value"$"Cross-species regulation"
"alanine and aspartate metabolism"$"alanine and aspartate metabolism"$-7.75331229537768e-05$"DOWN"$"species + age + species:age"$0.998594520064326$1$FALSE
"arginine and proline metabolism"$"arginine and proline metabolism"$-0.0444022503516174$"DOWN"$"species + age + species:age"$0.342999345562197$0.636107877224438$FALSE
"beta-alanine metabolism"$"beta-alanine metabolism"$-0.0765591130967155$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0986286482660168$0.331456910476546$FALSE
"butanoate metabolism"$"butanoate metabolism"$-0.0927199234124029$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.029840235158195$0.198502433878428$FALSE
"cholesterol metabolism"$"cholesterol metabolism"$-0.00874185961304358$"DOWN"$"organ + age + organ:age"$0.851496879385425$0.909164987405847$FALSE
"chondroitin sulfate degradation"$"chondroitin sulfate degradation"$0.0458220756657093$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.317229610028706$0.6182946539413$FALSE
"coa synthesis"$"coa synthesis"$-0.0936793958089565$"DOWN"$"age"$0.0349557936642409$0.218295364515463$FALSE
"eicosanoid metabolism"$"eicosanoid metabolism"$-0.110145492796275$"DOWN"$"age"$0.014133067009946$0.116884283920094$FALSE
"fatty acid oxidation"$"fatty acid oxidation"$-0.105367514094245$"DOWN"$"organ + age + organ:age"$0.0102739645881899$0.098244786374566$FALSE
"fatty acid synthesis"$"fatty acid synthesis"$0.0787058114384994$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0919000150114754$0.331013110758814$FALSE
"galactose metabolism"$"galactose metabolism"$0.102523017645877$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0232902309568209$0.169685968399695$FALSE
"glycerophospholipid metabolism"$"glycerophospholipid metabolism"$0.0803388528407144$"UP"$"organ + species + age"$0.0809570967539816$0.319922780457809$FALSE
"glycine, serine, alanine and threonine metabolism"$"glycine, serine, alanine and threonine metabolism"$-0.0812740961363448$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0766918343040624$0.312902683960575$FALSE
"heparan sulfate degradation"$"heparan sulfate degradation"$0.0810802633289602$"UP"$"species + age + species:age"$0.0481561780752861$0.249759160865043$FALSE
"histidine metabolism"$"histidine metabolism"$0.073903603635547$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.092537737641973$0.331013110758814$FALSE
"keratan sulfate degradation"$"keratan sulfate degradation"$0.0941591320072332$"UP"$"age"$0.0452716051137235$0.243037037978937$FALSE
"limonene and pinene degradation"$"limonene and pinene degradation"$0.0199793166211632$"UP"$"species + age + species:age"$0.657359123125505$0.849591090182179$FALSE
"lysine metabolism"$"lysine metabolism"$0.0445282416764174$"UP"$"species + age + species:age"$0.333882007815025$0.626796898106734$FALSE
"methionine and cysteine metabolism"$"methionine and cysteine metabolism"$-0.0356700823789431$"DOWN"$"species + age + species:age"$0.435193059657783$0.712134097621827$FALSE
"nucleotide interconversion"$"nucleotide interconversion"$0.0571370657967828$"UP"$"species + age + species:age"$0.165090238811586$0.443136956810047$FALSE
"propanoate metabolism"$"propanoate metabolism"$0.0376520228344502$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.428358038767854$0.71108805173063$FALSE
"pyruvate metabolism"$"pyruvate metabolism"$-0.0511040196669385$"DOWN"$"species + age + species:age"$0.267521156863939$0.593199086959168$FALSE
"selenoamino acid metabolism"$"selenoamino acid metabolism"$-0.094464418678864$"DOWN"$"age"$0.0377228832490373$0.218557165360285$FALSE
"starch and sucrose metabolism"$"starch and sucrose metabolism"$0.0512057818908154$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.279725626618584$0.607064125853097$FALSE
"steroid metabolism"$"steroid metabolism"$0.0525868406434304$"UP"$"organ + species + age"$0.262917215418006$0.589976146762251$FALSE
"transport, extracellular"$"transport, extracellular"$0.0321907834863904$"UP"$"organ + age + organ:age"$0.428018917404014$0.71108805173063$FALSE
"transport, golgi apparatus"$"transport, golgi apparatus"$-0.055930456570814$"DOWN"$"species + age + species:age"$0.239358627969673$0.565527254753254$FALSE
"triacylglycerol synthesis"$"triacylglycerol synthesis"$0.184533678450283$"UP"$"age"$4.69837536027147e-05$0.00179712857530384$TRUE
"tyrosine metabolism"$"tyrosine metabolism"$0.0729635145197319$"UP"$"organ + species + age"$0.126931096873323$0.386121564692719$FALSE
"unassigned"$"unassigned"$-0.0692273871573946$"DOWN"$"organ + species + age + organ:age + species:age"$0.081548944038265$0.319922780457809$FALSE
"urea cycle"$"urea cycle"$-0.0258524506849153$"DOWN"$"organ + species + age"$0.58374005934411$0.825944520303847$FALSE
"valine, leucine, and isoleucine metabolism"$"valine, leucine, and isoleucine metabolism"$-0.0570498410334598$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.216768166601622$0.539276902277206$FALSE
"vitamin b2 metabolism"$"vitamin b2 metabolism"$-0.0805520689288373$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0661167867920391$0.308621354768831$FALSE
"vitamin c metabolism"$"vitamin c metabolism"$-0.0164612511671335$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.731302502540879$0.87715617146366$FALSE
