,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,avg_logFC,threshold,adj_p_signi,thr_signi
1,3.03565530121681e-104,0.998848517302813,0.895,0.592,4.16309768008873e-100,0,LDHB,0.998848517302813,Up,Highly,Up_Highly
2,1.10182834912345e-81,1.32722183838466,0.432,0.111,1.51104739798791e-77,0,CCR7,1.32722183838466,Up,Highly,Up_Highly
3,4.19643335077244e-79,0.964991656690254,0.848,0.407,5.75498869724932e-75,0,CD3D,0.964991656690254,Up,Highly,Up_Highly
4,2.52523264036909e-48,1.08272336175563,0.336,0.108,3.46310404300217e-44,0,PRKCQ-AS1,1.08272336175563,Up,Highly,Up_Highly
5,3.98952171097368e-41,0.973939179097832,0.316,0.109,5.4712300744293e-37,0,LEF1,0.973939179097832,Up,Highly,Up_Highly
6,0,5.50417092208452,0.994,0.215,0,1,S100A9,5.50417092208452,Up,Highly,Up_Highly
7,0,5.46623930300935,0.967,0.121,0,1,S100A8,5.46623930300935,Up,Highly,Up_Highly
8,0,3.71713140239631,0.9,0.059,0,1,LGALS2,3.71713140239631,Up,Highly,Up_Highly
9,0,3.43292210097583,0.953,0.147,0,1,FCN1,3.43292210097583,Up,Highly,Up_Highly
10,9.72745368509084e-271,4.48981413528934,0.998,0.517,1.33402299837336e-266,1,LYZ,4.48981413528934,Up,Highly,Up_Highly
11,1.61244052617559e-82,1.18460907251035,0.983,0.642,2.2113009375972e-78,2,LTB,1.18460907251035,Up,Highly,Up_Highly
12,1.15939787574946e-77,1.04118338624628,0.944,0.472,1.58999824680281e-73,2,IL32,1.04118338624628,Up,Highly,Up_Highly
13,5.97144809569263e-58,1.09885881627322,0.732,0.333,8.18924391843287e-54,2,IL7R,1.09885881627322,Up,Highly,Up_Highly
14,4.78229163165417e-57,1.21749472230807,0.42,0.113,6.55843474365053e-53,2,AQP3,1.21749472230807,Up,Highly,Up_Highly
15,1.91149045297351e-54,1.17968522633236,0.642,0.249,2.62141800720787e-50,2,CD2,1.17968522633236,Up,Highly,Up_Highly
16,0,4.28945081295113,0.934,0.043,0,3,CD79A,4.28945081295113,Up,Highly,Up_Highly
17,0,3.40446657571113,0.86,0.052,0,3,MS4A1,3.40446657571113,Up,Highly,Up_Highly
18,2.98356907342781e-275,3.46398484165131,0.911,0.143,4.09166662729889e-271,3,CD79B,3.46398484165131,Up,Highly,Up_Highly
19,8.48506346829177e-274,3.58127586710228,0.619,0.022,1.16364160404153e-269,3,TCL1A,3.58127586710228,Up,Highly,Up_Highly
20,3.95393527656058e-234,3.08459780318313,0.862,0.146,5.42242683827518e-230,3,HLA-DQB1,3.08459780318313,Up,Highly,Up_Highly
21,1.5151168853672e-211,3.06048103420963,0.95,0.229,2.07783129659258e-207,4,CCL5,3.06048103420963,Up,Highly,Up_Highly
22,4.28922182916286e-201,3.20076497533587,0.599,0.049,5.88223881651395e-197,4,GZMK,3.20076497533587,Up,Highly,Up_Highly
23,4.07197844468915e-200,2.36679228474607,0.947,0.21,5.5843112390467e-196,4,NKG7,2.36679228474607,Up,Highly,Up_Highly
24,3.37079500982272e-188,2.14345075754559,0.794,0.115,4.62270827647088e-184,4,GZMA,2.14345075754559,Up,Highly,Up_Highly
25,2.44603273065516e-81,2.55078084031099,0.381,0.059,3.35448928682048e-77,4,GZMH,2.55078084031099,Up,Highly,Up_Highly
26,2.79873316752839e-193,2.74746081318314,0.824,0.072,3.83818266594843e-189,5,MS4A7,2.74746081318314,Up,Highly,Up_Highly
27,5.51112660394569e-184,3.33568271435103,0.975,0.135,7.55795902465113e-180,5,FCGR3A,3.33568271435103,Up,Highly,Up_Highly
