,BLCA,BRCA,COAD,ESCA,HNSC,KICH,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,STAD,THCA,UCEC
MMP1,0.0005358975269381,1.14675017758916e+73,1.22265841565772e-18,1.35936709092138e-07,1.43314567253151e-36,0.00263066141303532,0.143387605486569,0.00149461581023693,3.58014053912869e-07,4.81031941567767e-34,1.09675882764518e-35,0.189705636401668,8.71972377950315e-13,6.82151555012852e-19,5.98447938624266e-17
MMP10,0.356929930190968,1.50117405000622e-24,2.31492592760196e-12,4.23963827192968e-07,3.65682104190569e-13,0.533920821406497,0.542771725528416,0.280582886567371,0.00041002403840658,5.52353645659282e-12,1.66901218894635e-20,3.09247557529627e-09,2.20698620605334e-12,8.39553949662837e-10,0.00028457172327825
MMP11,7.86659604336343e-11,2.22964302792324e-288,4.95997946286869e-24,6.01932529410873e-11,3.75900384533889e-39,1,3.06759834463353e-37,6.44108967398037e-14,2.94161432097526e-26,8.86135330372794e+81,1.58241109633364e+75,0.0003474624636226,3.5529131471968e-24,4.53367445948139e-24,1.98151835190235e-06
MMP12,0.345809939852694,3.6457218840893e-05,0.00558970059399523,1.23629008310611e-11,5.21724814180149e-35,0.526048996379897,0.628752711061544,0.521443236034331,2.59529630139107e-07,2.15416138017855e-31,7.96629762844583e+73,0.109774306284381,9.80914911050216e-12,0.032975528138363,5.10915476953223e-17
MMP13,0.00086241545626894,1.7850192957414e+35,8.24211327413605e-16,3.98451378093234e-05,1.09790095104471e-25,0.0054757900527335,0.00021503772186677,0.657041883849487,0.017213124454751,1.30205053004117e-33,6.89190039630914e-17,0.232871569674902,4.87080983341184e-12,2.60931523317897e-07,0.00016278597582141
MMP14,0.00174274845315315,1.07662106681805e-18,0.230144059857008,1.00475420920689e-08,6.49380142047339e-22,0.0572876048490124,5.45356813405803e-19,1.79135050804693e-07,3.26836143136217e-09,1.20907054006684e-11,4.05143275372228e-13,3.71147978834495e-12,1.80912271327046e-11,6.08486563390317e-06,0.0148320036962161
MMP15,0.00084655095624762,0.0650470702080983,4.58378262394963e-11,0.990442288855412,0.00346301720975339,0.00103971856578539,1.50966003755381e-05,0.0409953002576377,0.206152639787874,5.26469911667877e-09,1.81408554890349e-07,0.943372367986817,2.70608120757583e-05,2.204015976145e-05,1.40843346109393e-09
MMP16,0.00120187121267295,0.0370989802734004,0.00971043097873362,0.0490305062821822,1.36970015148033e-06,0.172347105860364,4.96733723003919e-32,0.504382808839691,0.968311853289758,6.01331292279985e-09,0.987372967740741,7.9236102609481e-09,0.0092110582976664,2.40884811613133e-14,4.37852802046528e-12
MMP17,0.781088814856651,0.00104921698527371,0.173728024102475,0.00321072908855463,6.60877267657004e-11,0.0230334387061644,6.95391135160013e-05,0.78625919664095,0.284445251359455,1.01210785361745e-18,5.12934030013199e-05,0.00824929455444188,0.34807784758676,0.145701583096177,0.00588044062750124
MMP19,0.112455106530625,8.20903645650639e-18,0.0148281786714438,0.871636518621377,6.21707430430021e-13,4.38008813721155e-09,0.0238372151109846,0.109844780651157,0.144053545966917,3.4305502354823e-16,4.52138635757868e-36,0.483853237131616,0.00036760074605906,0.817653758078432,1.00805395053652e-18
MMP2,0.00723806589593536,0.0352285142771506,0.0126219566353635,0.0380079478854808,3.78422286088906e-08,0.0762314305935589,0.558419878216651,4.01623884392721e-06,0.8405874542073,0.0534892954528977,0.0132775445262283,7.16398425940587e-08,0.0608116594260592,0.722969827062078,2.30578738539451e-06
MMP20,0.169698358714074,3.69093627057809e-16,6.81598460171077e-07,0.0323718686534287,0.136511937445061,0.243466952714139,3.81684121519967e-05,8.73040049426143e-17,0.0547205074006818,0.00047501734619003,1.11757008134031e-08,0.683305186070683,0.00168646003522368,0.00984159791162229,0.970388689547415
MMP21,0.746359301263727,6.83036088832391e-07,0.012507438316904,1,0.87929012800172,7.24618581020072e-15,0.0418698288062845,0.00272071448488959,0.0229398728249037,0.592124628361046,2.53969711020297e-06,0.916725031988567,0.825846322641202,1.43595018863473e-07,6.30525650559992e-06
MMP23A,0.148674642557477,0.179116268660298,4.6157187508298e-07,0.982094587528964,0.0465371557262871,0.00029535709542164,0.477486573804834,0.774733687570217,0.222720926125155,0.410282509401346,0.0136594555870103,0.0341356960440308,0.851387610034148,0.0484866951185076,0.133734531851951
MMP23B,0.00342266198707499,0.772567968552968,0.00161153441201761,0.193838010536761,1.85859003397262e-06,1.95406394558614e-07,0.805857102141254,0.0371577938622977,1,0.129410865257586,1.40837108175066e-10,0.809258272347078,0.858948046493603,0.854520254114167,4.93292399794269e-07
MMP24,0.698174796557616,2.89366626637195e-22,0.191641847042654,0.858178322078211,0.524902393774563,2.79011713717139e-06,0.938988124780804,0.240749286688366,0.00071408209190728,0.013087108293698,4.39373755324379e+78,6.64251110825486e-08,0.00946530951082727,7.09335416862538e-10,1.32151749407904e-13
MMP25,0.75917392577803,5.96758575367823e-05,2.24132132471026e-16,0.00012363846739112,6.3907399140205e-05,0.263857665566218,9.16072207070223e-41,0.00826339856063809,0.992324553305117,0.0383609144836212,2.08608266629977e-15,0.583101199782884,0.00180314525934833,0.001461462699237,0.627695690848348
MMP26,0.781379695252332,0.622913549833021,0.120863935689527,0.272645031687041,0.0322765850624906,2.26243362750423e-05,0.892710504212647,0.872167823488336,0.235880061693552,0.544136791377731,0.214605924903336,2.27788746279938e-21,0.120840811751541,0.979512675414866,0.0129106471281013
MMP27,8.09905312174291e-39,4.0466805978665e+71,5.15811693839983e+38,0.144248842451858,6.74914197629191e-13,0.450059354238329,0.373636487748924,0.00234824956170976,0.0411505200268678,0.145891785076302,0.0172988285175475,0.917428695971317,2.44636999116609e-07,1.41101456679073e-10,2.19284562713871e-06
MMP28,0.435951986891314,1.46723130818961e-47,2.39064971281132e-38,0.946016217189259,0.00175393761153426,6.09867692914594e-16,0.0157988069915151,0.177294244292709,0.12260636755305,3.38556825703114e-12,1.41797750823509e-31,7.20257009512604e-10,0.00053060182013117,0.00010524221874277,2.35911271214095e-43
MMP3,0.818574673794964,2.04970586839274e-20,1.60664220473436e-23,6.2764773360927e-09,5.23976320215386e-18,0.871196614023075,0.454044375688951,0.164960956110563,0.0812695500500216,2.57370288079158e-18,1.60625159827342e-26,0.957601186979433,5.468560644541e-11,0.00168016786938689,4.32512822928548e-05
