,BLCA,BRCA,COAD,ESCA,HNSC,KICH,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,STAD,THCA,UCEC
MMP1,2.78680557114868,5.04869401685825,3.3839697018228,4.09632981200897,5.49859681510322,-2.02458114807692,0.521581153940808,-1.63971269852941,1.97130620064171,4.77616678141071,4.83414755860524,-0.506514828464621,3.51846807175,2.73641019141312,3.73830672515641
MMP10,1.18488709206044,2.61549187472826,2.44747461870955,4.35699948709315,3.65459105976096,-0.419574646153846,0.152506618515057,-0.454030437067474,1.4279363571123,2.59157362391571,4.76626080589026,1.82989761492215,3.15910922858333,1.80529014962813,2.25030329877477
MMP11,4.01217493490844,5.74519888965067,3.09414235640827,4.99142533277216,4.73429658140166,0.0369228628205125,1.95746824417445,2.04503848475346,3.42110446919786,5.19814068323774,5.0633694110473,0.759378155387699,3.94125272066667,2.50904031176471,1.47824330732534
MMP12,1.04421284398771,1.17319636832676,0.988887238599764,4.93417396352413,4.03887548886273,0.494985751282051,0.184609471619936,-0.465071362456746,2.36621937347594,4.25194112339048,5.34223152410689,0.628260572452598,3.49255493958334,0.951614431643002,3.69946952578207
MMP13,3.0811828292483,6.09928539370672,3.25893678144063,4.8291464023569,5.82027084525534,1.54525975192308,1.16600070695223,-0.221425079152249,0.656210429197861,5.28393713851905,4.41525307767323,-0.531558731308772,3.11292692508333,2.48545680540906,1.36365688240355
MMP14,0.956778591292096,1.03684953736533,0.345154558401948,2.13626807575757,1.57998525470844,-0.679987142948717,1.19280390218588,1.18604562846021,1.30105681914439,1.21565879559193,1.14596117072793,-1.07026797151996,1.40737972408333,0.67809217876944,-0.606842751903022
MMP15,1.07422428560635,0.235869518273857,-1.2215736505981,0.058949090909092,0.505494659453099,0.824411832051283,-0.535886387492209,0.595763114186854,0.230079620748663,1.119478728298,-0.874701566593343,-0.0277554681671077,0.975779409083341,-0.586146067816088,1.18034659767988
MMP16,-1.60621830673582,-0.38856717758112,-0.782168316218738,1.23047858810325,1.47266650036219,0.738557663461539,2.62511049599688,-0.400988478157439,0.0488107908021398,1.26026624906232,0.0226507602346322,-1.2470584500925,0.819414158583335,2.20407898458418,-2.25524387408759
MMP17,-0.284228147265973,0.535569223918654,-0.479935692361869,1.9501546369248,1.40503415402028,-0.964801605769233,0.889071262808928,0.204944663386678,0.490263765026739,2.3459300978443,0.817545462914987,-0.496341002312318,0.304171695000004,-0.442393982893846,-1.11874679796663
MMP19,-0.763385538622101,-1.00856758994325,-0.640507306151934,0.173061857463523,1.59176996034046,-2.93788260769231,0.468936309241953,-0.686378474480968,-0.401342360534759,-1.52668720253592,-2.83863403457982,-0.190064634653926,0.857757562666666,-0.0710796816091932,-2.07989765868092
MMP2,-1.38433268072736,-0.324055718225761,-0.736803296514944,1.2803418013468,1.51501634969214,-0.854671354487182,-0.123753966453792,-1.48884618295848,0.101035165775404,0.402202508999803,-0.610559904073478,-0.949690394519811,0.570749700416668,-0.0960439663285975,-1.46672274043274
MMP20,0.646793190280445,-1.77404593994325,1.47981969903164,1.62747335129069,0.55537147718218,0.748483614102565,-0.785388260944964,-1.86443491944204,0.366994800213904,0.666035431739383,1.74852807185629,-0.16044893012949,1.16072547625,0.584721169168357,-0.0354578987486966
MMP21,-0.182589863567678,-0.596355764837437,-0.469730881549377,0.00510755499438709,0.0411006402571531,-1.9835957025641,0.348608294652129,-0.720940120350345,0.452295702032086,0.119584564003996,-0.842507262902766,-0.0416392837212891,-0.0727193834166671,-0.949679859837727,-0.97429016681439
MMP23A,0.938284225380971,-0.350642958189047,-1.71628058470302,-0.0713243855218857,-0.645119725280696,-1.66941208717949,0.196810464096573,-0.193320003027682,-0.475740440641711,0.298947170171425,-0.775542897979551,0.729619431015878,-0.0668557153333329,-0.616172762609871,-0.599851651590198
MMP23B,-1.21798311929824,-0.0639270134218286,-0.667377671109731,0.709175959034789,1.01324355124955,-1.51155214358974,0.0561843674454816,-0.576934117647058,0.0234848346524072,-0.351262932979958,-1.33471009747851,-0.0974994021119149,0.0663649338333334,-0.0588908526707232,-1.26665189786236
MMP24,-0.288572507209628,-1.25815115644158,-0.414668127813163,0.16748917620651,-0.174457856573705,1.94089002179487,-0.0246656805140208,0.410536918252598,1.03309286149733,-0.597984980937039,-3.58814750114058,-0.841384418837674,0.726824392000002,-0.837216849492902,-1.7712995221585
MMP25,0.246314004750929,0.660006621161987,-1.83573951918078,1.46737305780023,0.870961361915971,-0.386894660897435,1.85471317070613,0.582671653871108,0.0234216183957248,-0.403491254736741,-1.50992276487433,0.120336536496068,0.764537801166671,-0.459213413387421,0.187614349817518
MMP26,0.0860298979382763,0.0679378344034564,0.215689920309668,-0.644927879349046,0.280847898768562,2.96147571538461,0.0299335540550364,0.0650445384948097,0.0822640187165775,0.0908414298672424,0.151687822171983,2.99755932950516,0.41686497475,0.0133573734956052,-1.80487193315954
MMP27,-2.91136187770521,-2.99902314641288,-3.32984458567656,-1.02613197699214,-2.16492750525172,-0.165306981410256,0.132529185176532,-0.35987824199827,-0.321667347379679,-0.202882631291487,0.634803164304045,-0.0356306577385541,-1.38591500933333,-0.869955803515889,-1.1412247355318
MMP28,-0.705204347150723,-1.97844978965788,-3.79665653832013,0.143012778900113,1.05531490881927,-3.14081412371795,-0.43801246391485,-0.549545687175605,0.52431333818182,-2.27542220650255,-3.75179022288484,-1.14456160675197,-1.17640528783333,-0.559075597701147,-3.90906264048488
