,x,y,PAM50,Cohort,Class,color
BRCA-A0FF-01A,-3.80972819355409,3.84606206335339,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0HK-01A,-8.3873555789604,-5.8815080438133,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0AL-01A,15.6114540637256,-9.26764732814258,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0T2-01A,15.1109973304933,0.85910586213927,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A086-01A,-3.83962566588752,5.87575574278851,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0DK-01A,0.426594684977025,-11.4122206146307,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A09V-01A,-17.1163906962267,6.09157445064995,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0H0-01A,-1.72031983018638,17.6315085699663,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0YF-01A,-5.598267692094,6.32757303909358,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0DP-01A,-12.927002105155,-8.85141748323629,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0T0-01A,19.4236110891627,0.231699467640431,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0YE-01A,16.894556200714,0.476721821427222,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0YJ-01A,20.6134652767547,8.44312609638393,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0A2-01A,-14.1626947211885,1.41314388510845,LumA,TCGA,LumA_TCGA,#FB9A99
