,x,y,PAM50,Cohort,Class,color
BRCA-A0X1-01A,25.1719675335581,4.76479097793559,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0WT-01A,-9.53486643633905,4.98825197881895,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0RH-01A,3.60616162860566,1.04899051317761,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A245-01A,-6.72127305350048,13.4470386180184,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1AZ-01A,16.0388584176786,-11.3038326237745,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0CW-01A,10.4876231052141,14.2882635193075,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A5D8-01A,-2.75654052495471,12.5804306106975,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CY-01A,10.8465693863182,15.3879277045118,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0J3-01A,3.7212361874603,22.8340462762996,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A6FP-01A,-6.59515261659142,23.7733119176496,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A15K-01A,-1.91509506358243,4.03299579813433,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A15O-01A,0.22770730735184,12.4870166961622,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A15L-01A,-10.2907745642846,5.68298667657596,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1FV-01A,-12.718837844674,4.88462490947869,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A25B-01A,6.47396015024301,5.13066414980552,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0EU-01A,-5.45085027966772,8.39416003403029,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3XL-01A,29.6738878255439,5.85326121016599,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0HL-01A,-2.40437243472355,23.1395813192143,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A129-01A,22.3510667760259,-5.35843161246447,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A128-01A,22.7653103479051,-12.2370409768673,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A125-01A,-10.0779581690314,22.7552418402445,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5RX-01A,-13.1217374511493,-4.24831487090738,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2P5-01A,1.41383908522413,5.86202223817127,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5RV-01A,-13.623903245071,1.30792726800335,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0SE-01A,-9.49193451195273,0.0604737996095196,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2DH-01A,13.6797361905058,-3.00165949001194,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A12A-01A,-11.7108249904208,-6.37524967988426,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3KC-01A,-8.4698163046576,-8.30363762602843,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A50Y-01A,-6.19654531749931,9.73386611916338,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A574-01A,20.484400831914,12.7642767202853,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A3IZ-01A,-5.80244090616268,15.960788198446,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1KS-01A,-0.48704911599237,4.21684265906928,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0SJ-01A,-2.91751393125281,0.292203194859729,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A03L-01A,1.51004781424986,0.523491055079928,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A12G-01A,-5.96405700472221,-0.636655336956775,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CU-01A,-6.48066808443335,8.08920848943232,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1BD-01A,-9.08746105391641,7.05774886092039,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0SV-01A,10.099020112498,-1.14832750649004,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0ER-01A,-5.2099039792599,12.3964083864546,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5RU-01A,-8.55016502004354,-3.65413335081027,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A15C-01A,-14.5452656463544,0.0422298219955974,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A66H-01A,0.17622387178301,1.67545395032238,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1B6-01A,22.6294678449908,-8.90900811500829,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A66I-01A,20.6782535959383,-13.6993008686856,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0YD-01A,-13.0789598329234,-13.2815279268949,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3XG-01A,-11.5210027949326,-1.15419282348062,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A15I-01A,-17.8005396015006,-3.70843585029355,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A14S-01A,-0.651080972868133,10.0356332394617,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A14U-01A,-15.3060701644504,2.03358329009318,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0D2-01A,24.1168056975377,-4.1857968129485,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A4E4-01A,-4.05885234650922,11.2017133391596,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0GZ-01A,-7.3761393943641,3.53589690601973,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A10F-01A,-7.80636745330196,-8.23916458998836,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1IE-01A,-6.98782351146689,16.4728688269249,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A106-01A,-7.9554710362527,17.4900377893743,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2DI-01A,-5.50860996970017,-16.864892984183,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2DC-01A,-7.83648566325409,14.1946796074047,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3XN-01A,-9.59894268565625,-11.3810043611959,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A10E-01A,-9.08545512479144,3.95112838689624,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0YM-01A,24.4124457856599,-3.33466279486568,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A6HE-01A,0.847928553649041,0.642549434288049,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0ET-01A,-3.92716868524842,14.8122592074723,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3XU-01A,20.5682315827908,15.5118849752364,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A259-01A,-9.77824984561716,-4.33463597809248,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1FX-01A,-1.30096355359147,5.01946561050215,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A66N-01A,-7.1826726934702,-5.38450783516527,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A66L-01A,-7.87090814950225,-7.47122565089917,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CO-01A,-11.2946397596788,-15.0948755952525,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CK-01A,-7.04951536525226,-2.40393795992286,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A03O-01A,10.7007331305177,7.51349032040008,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A126-01A,-8.8558349508161,-2.50723057654904,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CZ-01A,-9.7361547223135,-16.5828551595129,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A0CV-01A,-14.009057656216,-10.9348924559801,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CL-01A,6.82893307485758,-17.8961774110413,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A26F-01A,10.7343127469299,-11.2745291925015,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A13D-01A,17.0409177393412,3.43825568241311,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A26I-01A,14.1904541370909,-5.94601895385405,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A570-01A,-9.95774182114368,-0.17246969772919,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A73Z-01A,4.21732293130368,-10.1033485953801,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A13F-01A,-1.21842757947039,10.8696906864727,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A13E-01A,16.9273734896724,4.0191742825075,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0CE-01A,15.8322074731586,2.17633485205262,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0J5-01A,-9.65598916064879,-5.38315686135078,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A6ZH-01A,2.78472449936636,14.2348337625247,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A54N-01A,19.7110303580776,11.7200180972832,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A15D-01A,-13.8765981572116,-2.25915104322403,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1LG-01A,18.1185882562733,7.27265071897763,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0T4-01A,-5.21576948505549,-9.02589801032914,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1IO-01A,-10.8693557199161,-11.4972496938859,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1L8-01A,-11.9778699647854,-0.847115237884674,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A04V-01A,-5.89688459842386,2.14720057338821,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A04T-01A,24.2872283537878,0.422276204284984,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A04R-01A,-2.68005285464052,15.2079316726073,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A25A-01A,-10.7080623561683,-16.8542040237554,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A2DB-01A,14.1316622695073,2.9014386606155,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A2DD-01A,7.91005077519204,-14.6480833974011,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A10B-01A,-7.66624739813953,2.40886780187986,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1P5-01A,-1.37234834428399,5.851231248774,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2DF-01A,18.9627406841706,-7.71148082662772,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A66P-01A,10.8708073189248,-8.08751840828685,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A3XY-01A,14.3798528253276,-13.9527917451405,Basal,TCGA,Basal_TCGA,#A6CEE3
