"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL8",2.91079546303829e-88,1.4040212287757,0.301,0.031,3.99186489801071e-84,"2","IL8"
"CTSB",5.41891714306652e-86,1.10525238574418,0.518,0.136,7.43150297000142e-82,"2","CTSB"
"CPVL",3.82971438417996e-84,1.03836978111999,0.376,0.063,5.25207030646439e-80,"2","CPVL"
"AP2S1",1.35083885088033e-82,1.00394672171708,0.692,0.285,1.85254040009728e-78,"2","AP2S1"
"CCL3",1.64654544548767e-65,1.37666631156435,0.389,0.09,2.25807242394179e-61,"2","CCL3"
"ATP6V0B",5.05618209665625e-63,1.06327700336668,0.638,0.279,6.93404812735439e-59,"2","ATP6V0B"
"IL1B",1.02479697935315e-60,1.07294568310606,0.267,0.041,1.40540657748491e-56,"2","IL1B"
"BLVRA",6.87820891982103e-57,1.06675572505025,0.441,0.134,9.43277571264255e-53,"2","BLVRA"
"LINC00936",1.81969628851297e-55,1.10874521998587,0.557,0.223,2.49553149006668e-51,"2","LINC00936"
"CD79A",0,2.97227313096274,0.927,0.041,0,"3","CD79A"
"MS4A1",0,2.3507012851763,0.851,0.052,0,"3","MS4A1"
"CD79B",1.06278978404101e-275,2.39393532520883,0.907,0.142,1.45750990983384e-271,"3","CD79B"
"LINC00926",8.43110572215339e-274,1.95168934743757,0.555,0.009,1.15624183873612e-269,"3","LINC00926"
"HLA-DQA1",1.38408698326334e-271,2.11711428569297,0.885,0.116,1.89813688884735e-267,"3","HLA-DQA1"
"TCL1A",3.63715166964719e-268,2.46629005621923,0.608,0.022,4.98798979975415e-264,"3","TCL1A"
"VPREB3",3.7256447005745e-239,1.66600946331521,0.482,0.006,5.10934914236787e-235,"3","VPREB3"
"HLA-DQB1",1.97049384973841e-233,2.12833774014948,0.856,0.145,2.70233526553125e-229,"3","HLA-DQB1"
"CD74",1.21924347225925e-188,2.02683853826525,1,0.818,1.67207049785633e-184,"3","CD74"
"HLA-DRA1",1.04104262340483e-187,1.91364142635658,1,0.489,1.42768585373739e-183,"3","HLA-DRA"
"FCER2",2.15316835136354e-171,1.42959058129984,0.377,0.009,2.95285507705997e-167,"3","FCER2"
"HLA-DPB1",8.78462448529516e-170,1.63274742744126,0.986,0.443,1.20472340191338e-165,"3","HLA-DPB1"
"BANK1",1.26668285400183e-162,1.43746237020752,0.479,0.036,1.73712886597811e-158,"3","BANK1"
"HLA-DRB11",1.11901100127761e-157,1.42674641822513,0.98,0.378,1.53461168715211e-153,"3","HLA-DRB1"
"HLA-DPA11",1.11160025498576e-146,1.38540696597389,0.977,0.417,1.52444858968747e-142,"3","HLA-DPA1"
"HLA-DQA2",7.26767399087526e-140,1.45091481042518,0.518,0.064,9.96688811108633e-136,"3","HLA-DQA2"
"FCRLA",1.69447169785657e-136,1.19236454440293,0.293,0.006,2.3237984864405e-132,"3","FCRLA"
"TSPAN13",8.69210093635743e-134,1.13280666963294,0.301,0.008,1.19203472241206e-129,"3","TSPAN13"
"CD37",1.65184008647711e-130,1.32460631321503,0.963,0.734,2.26533349459471e-126,"3","CD37"
"HLA-DRB51",1.43414589451171e-122,1.30318494372605,0.848,0.272,1.96678767973336e-118,"3","HLA-DRB5"
"HVCN1",6.16079871029341e-120,1.27977459694008,0.485,0.068,8.44891935129639e-116,"3","HVCN1"
"PKIG",4.53745616202758e-119,1.05037030488729,0.276,0.008,6.22266738060462e-115,"3","PKIG"
"HLA-DOB",7.42053978275136e-115,1.03379049693839,0.282,0.011,1.01765282580652e-110,"3","HLA-DOB"
"BLK",1.96574555199611e-107,1.03762181930486,0.287,0.014,2.69582345000747e-103,"3","BLK"
"HLA-DMA1",1.02588441334825e-101,1.33955407753126,0.687,0.198,1.40689788446578e-97,"3","HLA-DMA"
"CD72",1.27842338795047e-95,1.06594762016233,0.256,0.013,1.75322983423528e-91,"3","CD72"
"HLA-DMB1",2.31135284479493e-95,1.28458308804789,0.546,0.123,3.16978929135177e-91,"3","HLA-DMB"
"P2RX5",1.81273120468756e-90,1.09625541394879,0.276,0.02,2.48597957410852e-86,"3","P2RX5"
"EAF2",2.59992405078268e-76,1.14483988445084,0.349,0.055,3.56553584324337e-72,"3","EAF2"
"PPAPDC1B",7.78115790198716e-75,1.05284602999493,0.318,0.044,1.06710799467852e-70,"3","PPAPDC1B"
"IRF8",1.37638359492946e-70,1.19791361161097,0.372,0.07,1.88757246208626e-66,"3","IRF8"
"SMIM14",2.60385483481629e-53,1.02586009820401,0.321,0.069,3.57092652046707e-49,"3","SMIM14"
"SNHG7",2.31335852679276e-36,1.01452805810594,0.499,0.228,3.17253988364359e-32,"3","SNHG7"
"CCL5",8.14051848059793e-227,2.19658646408026,0.973,0.226,1.1163907044292e-222,"4","CCL5"
"GZMK",1.31336496305092e-192,2.12819927465454,0.592,0.05,1.80114871032804e-188,"4","GZMK"
"NKG7",4.87617045457586e-192,1.5588344001253,0.944,0.21,6.68718016140533e-188,"4","NKG7"
"CST7",9.86275052014875e-176,1.43691232509908,0.763,0.117,1.3525776063332e-171,"4","CST7"
"GZMA",3.05488760889198e-171,1.40198680641839,0.769,0.119,4.18947286683447e-167,"4","GZMA"
"CD8A",2.04557758826529e-120,1.34239756126951,0.494,0.065,2.80530510454702e-116,"4","CD8A"
"CTSW",3.98614194516406e-117,1.27618289429648,0.799,0.228,5.466595063598e-113,"4","CTSW"
"KLRG1",9.26162371841061e-110,1.25061419294313,0.467,0.066,1.27013907674283e-105,"4","KLRG1"
"LYAR",2.13947009843546e-93,1.16829225299325,0.565,0.13,2.93406929299439e-89,"4","LYAR"
"GZMH",1.14974303913762e-78,1.76689583425353,0.376,0.06,1.57675760387333e-74,"4","GZMH"
"GZMM",3.18710356960457e-69,1.07791457619972,0.604,0.195,4.3707938353557e-65,"4","GZMM"
"RP11-290F20.31",5.03649967087618e-211,1.59472251938566,0.772,0.06,6.90705564863959e-207,"5","RP11-290F20.3"
"CDKN1C",1.01235855632943e-204,1.10471321886168,0.441,0.007,1.38834852415018e-200,"5","CDKN1C"
"HES4",8.93109730680644e-192,1.12013740753791,0.505,0.017,1.22481068465544e-187,"5","HES4"
"IFITM31",2.01790783719472e-184,2.02534781256217,0.97,0.161,2.76735880792884e-180,"5","IFITM3"
"MS4A7",2.8363610196075e-178,1.75089945336779,0.718,0.068,3.88978550228973e-174,"5","MS4A7"
"FCGR3A",3.34654746852987e-176,2.12713437610234,0.881,0.128,4.58945519834186e-172,"5","FCGR3A"
"LRRC25",1.43894380137e-162,1.29680807231289,0.653,0.056,1.97336752919882e-158,"5","LRRC25"
"LST11",1.29445438254901e-151,2.12904266926857,1,0.303,1.77521474022771e-147,"5","LST1"
"LILRA3",5.27307924502241e-145,1.13949777363062,0.475,0.027,7.23150087662373e-141,"5","LILRA3"
"FCER1G1",1.03457816343158e-143,1.90217098505167,0.995,0.305,1.41882049333006e-139,"5","FCER1G"
"SERPINA11",1.61073273790744e-140,1.58147516628439,0.916,0.19,2.20895887676626e-136,"5","SERPINA1"
"AIF11",7.05031053742773e-140,1.86619470074972,1,0.323,9.66879587102839e-136,"5","AIF1"
"HCK1",7.5918597405283e-135,1.33970329740827,0.733,0.102,1.04114764481605e-130,"5","HCK"
"CD681",8.46681061917988e-133,1.34309573568756,0.886,0.165,1.16113840831433e-128,"5","CD68"
"CFD1",1.32624981160422e-132,1.44255355911091,0.911,0.173,1.81881899163403e-128,"5","CFD"
"PILRA1",5.29735031860785e-131,1.24360467807523,0.639,0.073,7.26478622693881e-127,"5","PILRA"
"IFI301",5.80712044012163e-131,1.38682518058524,0.767,0.114,7.9638849715828e-127,"5","IFI30"
"SPI11",2.86168730827394e-124,1.38706160966854,0.837,0.161,3.92451797456688e-120,"5","SPI1"
"HMOX1",3.34281906658688e-122,1.08638507758876,0.47,0.036,4.58434206791725e-118,"5","HMOX1"
"RHOC",1.71088729990535e-118,1.46448682593987,0.767,0.139,2.34631084309019e-114,"5","RHOC"
"LILRA51",3.37107844923796e-113,1.1258499013686,0.619,0.078,4.62309698528494e-109,"5","LILRA5"
"COTL11",1.38586346647817e-111,1.61047174427239,1,0.595,1.90057315792816e-107,"5","COTL1"
"APOBEC3A1",1.46512964059941e-110,1.42644443565533,0.619,0.084,2.00927878911803e-106,"5","APOBEC3A"
"TIMP11",1.97419562777838e-104,1.58973052593615,0.906,0.279,2.70741188393527e-100,"5","TIMP1"
"SAT11",3.39750190907651e-100,1.56085787205836,0.995,0.555,4.65933411810752e-96,"5","SAT1"
"FTH11",9.59127160531991e-100,1.51494320770486,1,0.987,1.31534698795357e-95,"5","FTH1"
"CST31",3.82020642754604e-99,1.455993457538,1,0.349,5.23903109473664e-95,"5","CST3"
"PSAP1",8.14703604694789e-98,1.35747392232212,0.98,0.467,1.11728452347843e-93,"5","PSAP"
"TYMP1",2.73197282500467e-97,1.20131018073691,0.975,0.297,3.7466275322114e-93,"5","TYMP"
"CEBPB1",3.47675815653283e-97,1.50098379864089,0.891,0.277,4.76802613586913e-93,"5","CEBPB"
"CFP1",5.69796320781861e-97,1.12079772662986,0.787,0.161,7.81418674320244e-93,"5","CFP"
"WARS",9.8610304220296e-97,1.11031129663394,0.619,0.096,1.35234171207714e-92,"5","WARS"
"STXBP21",5.69966710079749e-96,1.31116788181394,0.817,0.195,7.81652346203368e-92,"5","STXBP2"
"CTSS1",4.07520177111267e-93,1.38185008610246,0.995,0.478,5.58873170890392e-89,"5","CTSS"
"NPC21",8.86519970164984e-93,1.18666970721818,0.97,0.37,1.21577348708426e-88,"5","NPC2"
"S100A111",9.0218966446134e-93,1.33564447384097,0.98,0.49,1.23726290584228e-88,"5","S100A11"
"FTL1",2.21846640666821e-92,1.50981991020921,1,0.986,3.04240483010478e-88,"5","FTL"
"TYROBP1",1.20464600246619e-89,1.25414222904736,1,0.348,1.65205152778213e-85,"5","TYROBP"
"ABI3",1.48123048470835e-89,1.18844070571415,0.703,0.135,2.03135948672904e-85,"5","ABI3"
"IFITM2",1.29563596920852e-88,1.3909678782683,0.98,0.681,1.77683516817256e-84,"5","IFITM2"
"BID1",1.89416190917568e-85,1.18568447668,0.723,0.163,2.59765364224353e-81,"5","BID"
"BRI31",3.68842837630207e-84,1.05537885203041,0.738,0.16,5.05831067526066e-80,"5","BRI3"
"FGR1",1.12278721823149e-83,1.03753149197784,0.762,0.169,1.53979039108266e-79,"5","FGR"
"LGALS11",8.00472420987864e-78,1.13329337015974,0.995,0.433,1.09776787814276e-73,"5","LGALS1"
"S100A41",5.04153909139488e-77,1.04215631898708,1,0.797,6.91396670993893e-73,"5","S100A4"
"FAM26F2",2.63531866067682e-76,1.02634913696935,0.748,0.184,3.61407601125219e-72,"5","FAM26F"
"PYCARD1",6.53759118160254e-63,1.04904575106104,0.886,0.328,8.96565254644972e-59,"5","PYCARD"
"GZMB",2.79871003587322e-266,3.31931930320111,0.955,0.07,3.83815094319654e-262,"6","GZMB"
"FGFBP21",1.5045520371646e-224,2.77197716000615,0.853,0.064,2.06334266376753e-220,"6","FGFBP2"
"SPON2",4.45645768497558e-213,2.26087648524591,0.718,0.041,6.11158606917551e-209,"6","SPON2"
"PRF11",2.96289958239836e-198,2.71119993248352,0.936,0.111,4.06332048730111e-194,"6","PRF1"
"XCL2",2.01459578000205e-197,1.76237128466695,0.558,0.02,2.76281665269481e-193,"6","XCL2"
"GNLY",3.60830658298609e-194,3.76290440467142,0.962,0.131,4.94843164790713e-190,"6","GNLY"
"AKR1C3",7.75927301455702e-175,1.60766173631638,0.462,0.013,1.06410670121635e-170,"6","AKR1C3"
"CLIC3",1.51378695576161e-169,1.90175918292901,0.571,0.03,2.07600743113147e-165,"6","CLIC3"
"KLRD1",3.05784547230911e-160,1.59182444641038,0.545,0.029,4.19352928072471e-156,"6","KLRD1"
"GZMA1",2.90062700478858e-151,2.17636640052574,0.936,0.155,3.97791987436707e-147,"6","GZMA"
"CST71",2.85232709879654e-149,2.21750405045514,0.936,0.153,3.91168138328957e-145,"6","CST7"
"XCL1",1.67323913742328e-148,1.31201901955815,0.385,0.01,2.29468015306229e-144,"6","XCL1"
"NKG71",6.96674130309261e-139,2.74932119904513,1,0.259,9.5541890230612e-135,"6","NKG7"
"CCL41",1.36158492096865e-134,2.49288518675382,0.699,0.078,1.8672775606164e-130,"6","CCL4"
"PRSS23",2.56185888546515e-128,1.26430705986758,0.391,0.016,3.5133332755269e-124,"6","PRSS23"
"TTC38",5.37211464169704e-128,1.43037322877281,0.442,0.024,7.36731801962332e-124,"6","TTC38"
"CTSW1",3.25158133694186e-126,2.02307502082511,0.987,0.257,4.45921864548207e-122,"6","CTSW"
"SH2D1B",2.14054145785393e-117,1.01868332736724,0.295,0.007,2.93553855530087e-113,"6","SH2D1B"
"IGFBP7",4.20526751564541e-108,2.01124507356478,0.538,0.057,5.76710387095611e-104,"6","IGFBP7"
"FCGR3A1",1.08689417962704e-107,1.55929861273535,0.821,0.145,1.49056667794052e-103,"6","FCGR3A"
"GZMH1",9.98509021980791e-105,1.54661066417155,0.609,0.068,1.36935527274446e-100,"6","GZMH"
"IL2RB",3.17688926513314e-103,1.34723050625567,0.474,0.042,4.35678593820359e-99,"6","IL2RB"
"CD2471",1.96233438653939e-92,1.919945262845,0.846,0.232,2.69114537770011e-88,"6","CD247"
"HOPX1",2.40660012354914e-90,1.75376319870534,0.667,0.118,3.30041140943529e-86,"6","HOPX"
"S1PR5",4.99657943952355e-88,1.13356099482676,0.365,0.026,6.8523090433626e-84,"6","S1PR5"
"APMAP",1.03078393127191e-86,1.37274256022149,0.603,0.093,1.41361708334629e-82,"6","APMAP"
"GPR56",1.31247720513069e-86,1.07536642393047,0.314,0.018,1.79993123911622e-82,"6","GPR56"
"MATK",3.01745853114398e-82,1.12232409473685,0.442,0.046,4.13814262961085e-78,"6","MATK"
"GZMM1",2.89203916505328e-78,1.44700655348268,0.788,0.213,3.96614251095407e-74,"6","GZMM"
"PLEKHF1",2.21624900048515e-64,1.02512988360155,0.327,0.031,3.03936387926534e-60,"6","PLEKHF1"
"HAVCR2",1.87069845699894e-63,1.29304909479329,0.314,0.03,2.56547586392835e-59,"6","HAVCR2"
"CD71",7.11468112756944e-60,1.33078594283467,0.853,0.337,9.75707369834873e-56,"6","CD7"
"PTGDR",1.6235893788412e-57,1.28899635996061,0.308,0.031,2.22659047414282e-53,"6","PTGDR"
"TPST21",2.39328638842554e-55,1.08493527573288,0.545,0.119,3.28215295308679e-51,"6","TPST2"
"PLAC81",3.29164707191488e-53,1.23073645436654,0.865,0.427,4.51416479442407e-49,"6","PLAC8"
"NCR31",1.7312506725391e-44,1.00421569522323,0.41,0.076,2.37423717232012e-40,"6","NCR3"
"ITGB22",2.03366448134686e-44,1.13604522630357,0.84,0.445,2.78896746971908e-40,"6","ITGB2"
"ID21",2.74048651065582e-44,1.07453587079616,0.821,0.358,3.75830320071338e-40,"6","ID2"
"CD632",5.87792542910017e-43,1.16752964149661,0.737,0.32,8.06098693346797e-39,"6","CD63"
"C12orf751",6.61488039955077e-40,1.01265994445668,0.474,0.118,9.07164697994393e-36,"6","C12orf75"
"SAMD31",5.48300836559485e-36,1.22782383296657,0.417,0.099,7.51939767257677e-32,"6","SAMD3"
"CCL51",5.40362343093314e-33,1.20042397003466,0.692,0.296,7.41052917318171e-29,"6","CCL5"
"ARPC5L1",1.5610924095327e-32,1.17848171010602,0.506,0.167,2.14088213043314e-28,"6","ARPC5L"
"CCL31",2.2772496030183e-25,1.27451323416191,0.404,0.123,3.12302010557929e-21,"6","CCL3"
"ALOX5AP",4.02943874668602e-25,1.03650869597883,0.526,0.217,5.52597229720521e-21,"6","ALOX5AP"
"XBP11",2.71700670598854e-22,1.01932708095145,0.564,0.267,3.72610299659268e-18,"6","XBP1"
"FCER1A",9.00434817044866e-268,2.69183615975499,0.833,0.009,1.23485630809533e-263,"7","FCER1A"
"SERPINF1",1.35411860457414e-188,1.10913013588193,0.444,0.002,1.85703825431298e-184,"7","SERPINF1"
"CLEC10A",2.92632134741867e-160,1.76618212540522,0.694,0.014,4.01315709584996e-156,"7","CLEC10A"
"CD1C",1.27109771919946e-71,1.1937952432476,0.5,0.02,1.74318341211014e-67,"7","CD1C"
"PLD4",1.44607372180633e-41,1.1131901198428,0.528,0.04,1.9831455020852e-37,"7","PLD4"
"HLA-DQA21",1.2646039512397e-37,1.49298073487167,0.806,0.114,1.73427785873012e-33,"7","HLA-DQA2"
"HLA-DQA11",5.41906848653308e-35,2.02517302045396,0.972,0.207,7.43171052243147e-31,"7","HLA-DQA1"
"CPVL2",1.85721635783338e-32,1.14461345285769,0.75,0.106,2.5469865131327e-28,"7","CPVL"
"HLA-DQB11",2.59565461900183e-26,1.61750463995068,0.917,0.23,3.55968074449912e-22,"7","HLA-DQB1"
"IL1B1",5.60375312448549e-26,1.02855582769166,0.556,0.072,7.68498703491941e-22,"7","IL1B"
"HLA-DMA3",5.07696752699223e-25,1.14226635835932,0.972,0.253,6.96255326651715e-21,"7","HLA-DMA"
"HLA-DPA13",5.49822611897879e-24,1.7917887951009,1,0.484,7.54026729956752e-20,"7","HLA-DPA1"
"CST32",1.0619606617236e-23,1.72894408147416,1,0.39,1.45637285148775e-19,"7","CST3"
"HLA-DRB53",2.02238158393407e-23,1.6184800109347,0.972,0.339,2.77349410420718e-19,"7","HLA-DRB5"
"HLA-DPB12",2.27102347052108e-23,1.93504445598187,1,0.508,3.11448158747261e-19,"7","HLA-DPB1"
"HLA-DRB13",6.56498908088023e-23,1.77811428481986,1,0.45,9.00322602551915e-19,"7","HLA-DRB1"
"HLA-DRA3",2.05731634461736e-21,1.71539892526759,1,0.55,2.82140363500825e-17,"7","HLA-DRA"
"ALDH21",4.21855844197482e-19,1.53077748160511,0.583,0.103,5.78533104732427e-15,"7","ALDH2"
"CD741",4.71591373514996e-19,1.54230255207798,1,0.84,6.46740409638466e-15,"7","CD74"
"AP1S22",3.10120736376513e-18,1.01353351244824,0.944,0.288,4.2529957786675e-14,"7","AP1S2"
"CFP2",8.64289411343821e-14,1.01597822286964,0.75,0.2,1.18528649871692e-09,"7","CFP"
"LYZ1",1.09648591893037e-13,1.24911147660028,0.972,0.599,1.50372078922111e-09,"7","LYZ"
"GP9",0,3.48237029191857,0.867,0.001,0,"8","GP9"
"ITGA2B",0,3.08587676033233,0.8,0.002,0,"8","ITGA2B"
"TMEM40",0,2.79923274097992,0.733,0.001,0,"8","TMEM40"
"AP001189.4",0,2.51631164959179,0.8,0.001,0,"8","AP001189.4"
"SEPT5",0,2.37199914557073,0.667,0.001,0,"8","SEPT5"
"LY6G6F",0,2.06294376654537,0.533,0,0,"8","LY6G6F"
"TREML1",5.04577860238535e-280,3.18556241165226,0.733,0.002,6.91978077531127e-276,"8","TREML1"
"PTCRA",1.53416782139517e-238,3.26728563751652,0.733,0.003,2.10395775026134e-234,"8","PTCRA"
"SPARC",6.67891125676854e-216,3.46440717631243,0.933,0.008,9.15945889753237e-212,"8","SPARC"
"SCGB1C1",5.83520321962575e-214,1.74202309311478,0.467,0.001,8.00239769539475e-210,"8","SCGB1C1"
"CLDN5",2.10567220774263e-202,2.49385780355545,0.4,0,2.88771886569824e-198,"8","CLDN5"
"HGD",2.36131956353102e-202,1.90222596539816,0.4,0,3.23831364942645e-198,"8","HGD"
"GNG11",6.13014154667539e-200,4.47892606981713,0.933,0.009,8.40687611711063e-196,"8","GNG11"
"RP11-879F14.2",6.5952103377612e-197,1.80371583289365,0.333,0,9.04467145720571e-193,"8","RP11-879F14.2"
"C2orf88",7.62542388027754e-193,2.27991401366576,0.467,0.001,1.04575063094126e-188,"8","C2orf88"
"PF4",6.19060836195614e-182,4.93889552838147,0.933,0.011,8.48980030758665e-178,"8","PF4"
"SDPR",6.46977319817927e-182,4.24765816118884,0.933,0.011,8.87264696398306e-178,"8","SDPR"
"CMTM5",4.76955440624062e-180,2.55173065850596,0.533,0.002,6.54096691271839e-176,"8","CMTM5"
"GP1BA",7.41893057784379e-168,1.95372229881239,0.533,0.003,1.0174321394455e-163,"8","GP1BA"
"ITGB3",3.33555183925735e-164,1.65493846010714,0.333,0,4.57437579235753e-160,"8","ITGB3"
"CLEC1B",1.23736886723547e-148,2.07441078568355,0.467,0.002,1.69692766452672e-144,"8","CLEC1B"
"AC147651.3",1.42909095380859e-148,1.98501015376038,0.467,0.002,1.95985533405311e-144,"8","AC147651.3"
"MYL9",2.00083483303255e-146,3.14687878222798,0.667,0.006,2.74394489002084e-142,"8","MYL9"
"ACRBP",2.44921652360336e-145,3.18398048087968,0.733,0.008,3.35885554046965e-141,"8","ACRBP"
"CLU",1.59459388173309e-132,4.17354468040956,0.867,0.014,2.18682604940877e-128,"8","CLU"
"PVALB",1.90790116822591e-126,1.39262640724389,0.267,0,2.61649566210502e-122,"8","PVALB"
"SCN1B",1.90790116822591e-126,1.07139772743274,0.267,0,2.61649566210502e-122,"8","SCN1B"
"ARHGAP6",2.12307450699501e-126,1.24255445150402,0.267,0,2.91158437889296e-122,"8","ARHGAP6"
