"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS20",2.05341660559788e-29,0.257675371611673,0.992,0.942,2.81605553291693e-25,"0","RPS20"
"GIMAP5",3.45966590486295e-29,0.757324611551823,0.457,0.233,4.74458582192905e-25,"0","GIMAP5"
"FLT3LG",5.11677526592796e-29,0.42694525336428,0.327,0.128,7.0171455996936e-25,"0","FLT3LG"
"PIK3IP1",1.3496243123943e-28,0.5165386359718,0.418,0.2,1.85087478201754e-24,"0","PIK3IP1"
"TTC39C",1.40557372754813e-28,0.494439060033573,0.269,0.095,1.92760380995951e-24,"0","TTC39C"
"CD3G",9.37484774645246e-28,0.442561955761332,0.391,0.17,1.28566661994849e-23,"0","CD3G"
"RGCC",6.37739193728501e-27,0.454056197685257,0.393,0.184,8.74595530279266e-23,"0","RGCC"
"SIT1",1.29082571634222e-26,0.470576459949877,0.281,0.106,1.77023838739172e-22,"0","SIT1"
"PRDX2",4.08189190143517e-26,0.430958998076268,0.465,0.238,5.59790655362819e-22,"0","PRDX2"
"HINT1",3.20957809934277e-24,0.382304762469313,0.79,0.596,4.40161540543868e-20,"0","HINT1"
"EVL",6.86629518396181e-24,0.363954975295015,0.699,0.483,9.41643721528523e-20,"0","EVL"
"ZFP36L2",4.64981028628848e-23,0.404618995951742,0.792,0.609,6.37674982661602e-19,"0","ZFP36L2"
"CD27",8.5772440018167e-23,0.384533557780538,0.393,0.195,1.17628324240914e-18,"0","CD27"
"HSPA8",5.7906635755479e-22,0.340574786321824,0.809,0.63,7.94131602750638e-18,"0","HSPA8"
"CALM1",1.33480018302201e-21,0.294225473829521,0.816,0.635,1.83054497099639e-17,"0","CALM1"
"TRADD",1.47364774034876e-21,0.46437523576576,0.305,0.141,2.02096051111429e-17,"0","TRADD"
"FYB",6.74117136116486e-21,0.414787769022116,0.513,0.326,9.24484240470148e-17,"0","FYB"
"LEF1",2.11228941927771e-20,0.413997374501061,0.286,0.128,2.89679370959746e-16,"0","LEF1"
"IL2RG",2.12509049725596e-20,0.309585666729794,0.613,0.385,2.91434910793682e-16,"0","IL2RG"
"SUSD3",2.28339247896366e-20,0.481113188819809,0.255,0.108,3.13144444565076e-16,"0","SUSD3"
"DDX5",4.49412166052398e-20,0.293918686833667,0.904,0.784,6.16323844524259e-16,"0","DDX5"
"LEPROTL1",1.23557948151955e-19,0.479023155653059,0.401,0.218,1.69447370095591e-15,"0","LEPROTL1"
"FXYD5",3.01812948608449e-19,0.328661901453953,0.853,0.695,4.13906277721627e-15,"0","FXYD5"
"CD69",1.47451700476259e-18,0.417042244060053,0.514,0.315,2.02215262033142e-14,"0","CD69"
"RHOH",1.52811936117054e-18,0.347510642403848,0.394,0.208,2.09566289190928e-14,"0","RHOH"
"ACAP1",2.51786373520409e-18,0.389207851844672,0.459,0.259,3.45299832645888e-14,"0","ACAP1"
"TMEM123",2.57537379279688e-18,0.338713766402629,0.574,0.383,3.53186761944164e-14,"0","TMEM123"
"TCF7",1.24377374458852e-17,0.397822894408634,0.359,0.195,1.70571131332869e-13,"0","TCF7"
"ARHGAP15",1.12265742877856e-16,0.347983078997572,0.406,0.239,1.53961239782692e-12,"0","ARHGAP15"
"RPSAP58",1.32059486962913e-16,0.270101980742769,0.844,0.697,1.81106380420938e-12,"0","RPSAP58"
"ARL6IP5",3.06000045770534e-16,0.38599571482403,0.596,0.413,4.1964846276971e-12,"0","ARL6IP5"
"GIMAP4",3.42225224935457e-16,0.495827869832584,0.587,0.42,4.69327673476486e-12,"0","GIMAP4"
"CORO1B",3.58534706212347e-16,0.552668992454241,0.266,0.135,4.91694496099612e-12,"0","CORO1B"
"SOD1",5.12699488201569e-16,0.32236522267017,0.653,0.468,7.03116078119632e-12,"0","SOD1"
"LAT",5.32853285335636e-16,0.368471774062106,0.343,0.183,7.30754995509291e-12,"0","LAT"
"PEBP1",1.2639585170365e-15,0.334764256083911,0.514,0.339,1.73339271026385e-11,"0","PEBP1"
"EIF4A2",1.72616152269916e-15,0.281825149818986,0.76,0.604,2.36725791222963e-11,"0","EIF4A2"
"IFITM1",3.25844273015329e-15,0.276715680699982,0.631,0.431,4.46862836013222e-11,"0","IFITM1"
"PRKCQ-AS1",3.96184793517369e-15,0.319634845436504,0.277,0.136,5.4332782582972e-11,"0","PRKCQ-AS1"
"GSTK1",5.30419857804309e-15,0.361268224186324,0.673,0.514,7.2741779299283e-11,"0","GSTK1"
"TRAF3IP3",1.4513936588194e-14,0.252857165274549,0.611,0.443,1.99044126370493e-10,"0","TRAF3IP3"
"PBXIP1",3.7445705888821e-14,0.295251105999293,0.264,0.131,5.13530410559292e-10,"0","PBXIP1"
"TNFAIP8",6.24379728656437e-14,0.429657557195663,0.374,0.22,8.56274359879438e-10,"0","TNFAIP8"
"OCIAD2",7.2182546009934e-14,0.355405382997648,0.343,0.192,9.89911435980234e-10,"0","OCIAD2"
"ANXA1",9.20323879835041e-14,0.263017875934763,0.712,0.556,1.26213216880577e-09,"0","ANXA1"
"DNAJB1",1.08339794789249e-13,0.325683130743668,0.413,0.257,1.48577194573975e-09,"0","DNAJB1"
"PLP2",1.24687702365935e-13,0.328132098339736,0.459,0.308,1.70996715024643e-09,"0","PLP2"
