Variables	Accuracy	Kappa	AccuracySD	KappaSD
1	0.966906474820144	0.813807110319815	0.0127797722728769	0.0752042257618941
2	0.97841726618705	0.881193324686209	0.0131348335133133	0.0694348670961295
3	0.984172661870504	0.913052913378661	0.0106167595305413	0.0573028763474063
4	0.983453237410072	0.908812551143466	0.00900478818010485	0.0470745360211285
5	0.985611510791367	0.920204066283498	0.00897279948866654	0.0474183860984715
6	0.986330935251799	0.924583342378808	0.00925671897631598	0.04890306467773
7	0.986330935251799	0.924583342378808	0.00925671897631598	0.04890306467773
8	0.98705035971223	0.9286848472475	0.0100605165292101	0.0536030323991668
9	0.985611510791367	0.920221684915586	0.00959232613908874	0.051192148393464
10	0.985611510791367	0.920221684915586	0.00959232613908874	0.051192148393464
11	0.98705035971223	0.928172538995024	0.0111452758164242	0.0600700474387981
12	0.98705035971223	0.928172538995024	0.0111452758164242	0.0600700474387981
13	0.98705035971223	0.928172538995024	0.0111452758164242	0.0600700474387981
14	0.987769784172662	0.932481079782763	0.00962225546654144	0.0513709443991105
15	0.987769784172662	0.932481079782763	0.00962225546654144	0.0513709443991105
16	0.987769784172662	0.932481079782763	0.00962225546654144	0.0513709443991105
17	0.98705035971223	0.928172538995024	0.0111452758164242	0.0600700474387981
18	0.987769784172662	0.932481079782763	0.00962225546654144	0.0513709443991105
19	0.988489208633094	0.936540078161193	0.00844451648041199	0.045445829810642
20	0.98705035971223	0.92837957491407	0.00884368772881813	0.0468166548629662
21	0.98705035971223	0.92837957491407	0.00884368772881813	0.0468166548629662
22	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
23	0.98705035971223	0.927432065894342	0.00884368772881813	0.0486262263760181
24	0.988489208633094	0.935871237416514	0.00844451648041199	0.0462295865809343
25	0.987769784172662	0.931533570763034	0.00962225546654144	0.0531066914431928
26	0.98705035971223	0.928172538995024	0.0111452758164242	0.0600700474387981
27	0.987769784172662	0.931533570763034	0.00962225546654144	0.0531066914431928
28	0.98705035971223	0.928172538995024	0.0111452758164242	0.0600700474387981
29	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
30	0.98705035971223	0.927432065894342	0.00884368772881813	0.0486262263760181
31	0.98705035971223	0.927432065894342	0.00884368772881813	0.0486262263760181
32	0.988489208633094	0.935848677547063	0.00695030059769278	0.0381966774015374
33	0.988489208633094	0.935848677547063	0.00695030059769278	0.0381966774015374
34	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
35	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
36	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
37	0.988489208633094	0.935871237416514	0.00844451648041199	0.0462295865809343
38	0.988489208633094	0.935871237416514	0.00844451648041199	0.0462295865809343
39	0.988489208633094	0.935848677547063	0.00695030059769278	0.0381966774015374
40	0.988489208633094	0.935848677547063	0.00695030059769278	0.0381966774015374
41	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
42	0.98705035971223	0.92837957491407	0.00884368772881813	0.0468166548629662
43	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
44	0.98705035971223	0.928164542058443	0.00816757139852585	0.0440521162039295
45	0.989208633093525	0.939476427905892	0.00777067230024924	0.0430783314196722
46	0.988489208633094	0.935848677547063	0.00695030059769278	0.0381966774015374
47	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
48	0.98705035971223	0.927112685225895	0.00884368772881813	0.0500505655285164
49	0.98705035971223	0.926853963571657	0.00947166314538684	0.0540684468605708
50	0.98705035971223	0.927112685225895	0.00884368772881813	0.0500505655285164
51	0.986330935251799	0.922775018572415	0.00985841956407411	0.0557115711076095
52	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
53	0.98705035971223	0.927432065894342	0.00884368772881813	0.0486262263760181
54	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
55	0.98705035971223	0.927432065894342	0.00884368772881813	0.0486262263760181
56	0.985611510791367	0.919169828083037	0.0101741982904539	0.0570211125555048
57	0.988489208633094	0.934796820714514	0.00773358057390751	0.0451820505143002
58	0.987769784172662	0.931214190094587	0.00962225546654144	0.0544406178786548
59	0.987769784172662	0.931769732547821	0.00762122234152073	0.0414837240328737
60	0.986330935251799	0.922775018572415	0.00985841956407411	0.0557115711076095
61	0.985611510791367	0.918153208514665	0.011247999424037	0.0644655643054806
62	0.986330935251799	0.921699170930125	0.00985841956407411	0.0575370973074798
63	0.98705035971223	0.925778115929366	0.00947166314538684	0.0560346962773643
64	0.98705035971223	0.926356218252051	0.00884368772881813	0.0508171451747471
65	0.988489208633094	0.935871237416514	0.00844451648041199	0.0462295865809343
