specificSubtype	otherSubtype	EnrichScore	tissue
hI02_NK-GZMK	hT06_CD4-CXCR5	1.46854352154388	tumor
hI02_NK-GZMK	hT15_CD8-GZMK	0.880555092484849	tumor
hI02_NK-GZMK	hT16_CD8-CD6	1.00309547625347	tumor
hI02_NK-GZMK	hT17_CD8-CD160	0.42359413312281	tumor
hI02_NK-GZMK	hI02_NK-GZMK	-0.889652858681691	tumor
hI02_NK-GZMK	hI04_ILC3-SLC4A10	-1.09822441634449	tumor
hI02_NK-GZMK	hB02_GALTB-IgA	-0.0407621372826083	tumor
hI02_NK-GZMK	hB03_FollicularB-IgD	-0.581979254115207	tumor
hI02_NK-GZMK	hB05_GCBCell-LRMP	-0.454016794624617	tumor
hI02_NK-GZMK	hB01_PlasmaB-IgG	-0.0276552856594099	tumor
hI02_NK-GZMK	hF01_Myofib-ACTA2	-1.61283749593756	tumor
hI02_NK-GZMK	hF02_CAF-FAP	-1.70531649437176	tumor
hI02_NK-GZMK	hM13_TAM-SPP1	-1.07766141025321	tumor
hI02_NK-GZMK	hT07_CD4-GZMK	0.979366169196867	tumor
hI02_NK-GZMK	hT08_CD4-IL23R	1.03175500853555	tumor
hI02_NK-GZMK	hT09_CD4-CXCL13	0.96692784081968	tumor
hI02_NK-GZMK	hT11_CD4-CTLA4	1.20912107232792	tumor
hI02_NK-GZMK	hT18_CD8-LAYN	1.11156423399781	tumor
hI04_ILC3-SLC4A10	hM01_Mast-TPSAB1	0.35956901227288	tumor
hI04_ILC3-SLC4A10	hM02_pDC-LILRA4	1.11053786302291	tumor
hI04_ILC3-SLC4A10	hM03_cDC2-CD1C	0.309593074799766	tumor
hI04_ILC3-SLC4A10	hM04_cDC1-BATF3	0.418319062932508	tumor
hI04_ILC3-SLC4A10	hM08_Macro-NLRP3	-0.311028790241279	tumor
hI04_ILC3-SLC4A10	hM12_TAM-C1QC	-0.12201809731018	tumor
hI04_ILC3-SLC4A10	hT04_CD4-TCF7	0.945912388862137	tumor
hI04_ILC3-SLC4A10	hT05_CD4-CXCR6	0.600411098638878	tumor
hI04_ILC3-SLC4A10	hT06_CD4-CXCR5	1.27773433516796	tumor
hI04_ILC3-SLC4A10	hT15_CD8-GZMK	-0.640241470480809	tumor
hI04_ILC3-SLC4A10	hT16_CD8-CD6	-0.742540415072636	tumor
hI04_ILC3-SLC4A10	hT17_CD8-CD160	-1.408809619893	tumor
hI04_ILC3-SLC4A10	hI02_NK-GZMK	-1.04392275433883	tumor
hI04_ILC3-SLC4A10	hI04_ILC3-SLC4A10	-1.30410330754028	tumor
hI04_ILC3-SLC4A10	hB02_GALTB-IgA	0.0583527517904028	tumor
hI04_ILC3-SLC4A10	hB03_FollicularB-IgD	1.85742165892091	tumor
hI04_ILC3-SLC4A10	hB05_GCBCell-LRMP	1.16975814398979	tumor
hI04_ILC3-SLC4A10	hB01_PlasmaB-IgG	0.289605673105131	tumor
hI04_ILC3-SLC4A10	hF01_Myofib-ACTA2	-1.66810828270435	tumor
hI04_ILC3-SLC4A10	hF02_CAF-FAP	-1.92844272478354	tumor
hI04_ILC3-SLC4A10	hM13_TAM-SPP1	-0.559854817468484	tumor
hI04_ILC3-SLC4A10	hT07_CD4-GZMK	0.340777084329882	tumor
hI04_ILC3-SLC4A10	hT08_CD4-IL23R	0.382979296064841	tumor
hI04_ILC3-SLC4A10	hT09_CD4-CXCL13	0.322464333393214	tumor
hI04_ILC3-SLC4A10	hT11_CD4-CTLA4	1.26141058722199	tumor
hI04_ILC3-SLC4A10	hT18_CD8-LAYN	-0.975776084679821	tumor
hE01_Endothelium-CDH5	hM01_Mast-TPSAB1	1.51890012663377	tumor
hE01_Endothelium-CDH5	hM02_pDC-LILRA4	0.196760292839216	tumor
hE01_Endothelium-CDH5	hM03_cDC2-CD1C	-1.21905562104825	tumor
hE01_Endothelium-CDH5	hM04_cDC1-BATF3	-0.225904360376526	tumor
hE01_Endothelium-CDH5	hM08_Macro-NLRP3	2.46144949800569	tumor
hE01_Endothelium-CDH5	hM12_TAM-C1QC	-0.186298039199422	tumor
hE01_Endothelium-CDH5	hT04_CD4-TCF7	0.542860416222309	tumor
hE01_Endothelium-CDH5	hT05_CD4-CXCR6	0.541565726508613	tumor
hE01_Endothelium-CDH5	hT06_CD4-CXCR5	-0.576437057145457	tumor
hE01_Endothelium-CDH5	hT15_CD8-GZMK	0.408292291686051	tumor
hE01_Endothelium-CDH5	hT16_CD8-CD6	-0.723086122983242	tumor
hE01_Endothelium-CDH5	hT17_CD8-CD160	-0.747711219003493	tumor
hE01_Endothelium-CDH5	hI02_NK-GZMK	0.580359272051487	tumor
hE01_Endothelium-CDH5	hI04_ILC3-SLC4A10	0.102616091019335	tumor
hE01_Endothelium-CDH5	hB02_GALTB-IgA	-0.354870127408305	tumor
hE01_Endothelium-CDH5	hB03_FollicularB-IgD	1.54602451517819	tumor
hE01_Endothelium-CDH5	hB05_GCBCell-LRMP	-2.51037809117644	tumor
hE01_Endothelium-CDH5	hB01_PlasmaB-IgG	-0.129203956864363	tumor
hE01_Endothelium-CDH5	hF01_Myofib-ACTA2	0.340344455057675	tumor
hE01_Endothelium-CDH5	hF02_CAF-FAP	-0.412488802899545	tumor
hE01_Endothelium-CDH5	hM13_TAM-SPP1	0.74904429033159	tumor
hE01_Endothelium-CDH5	hT07_CD4-GZMK	0.813076757269692	tumor
hE01_Endothelium-CDH5	hT08_CD4-IL23R	-0.478938060031954	tumor
hE01_Endothelium-CDH5	hT09_CD4-CXCL13	-0.326480951910981	tumor
