Tumor_Sample_Barcode,Expr_level
TCGA-DD-AAEH,high
TCGA-DD-AAEI,low
TCGA-DD-AAEK,low
TCGA-DD-AAVP,low
TCGA-DD-AAVQ,high
TCGA-DD-AAVR,low
TCGA-DD-AAVS,high
TCGA-DD-AAVU,high
TCGA-DD-AAVV,low
TCGA-DD-AAVW,low
TCGA-DD-AAVX,low
TCGA-DD-AAVY,low
TCGA-DD-AAVZ,high
TCGA-DD-AAW0,high
TCGA-DD-AAW1,low
TCGA-DD-AAW2,low
TCGA-DD-AAW3,low
TCGA-ED-A459,high
TCGA-ED-A4XI,high
TCGA-ED-A5KG,high
TCGA-ED-A627,high
TCGA-ED-A66X,high
TCGA-ED-A66Y,high
TCGA-ED-A7PX,high
TCGA-ED-A7PY,high
TCGA-ED-A7PZ,low
TCGA-ED-A7XO,low
TCGA-ED-A7XP,low
TCGA-ED-A82E,high
TCGA-ED-A8O5,high
TCGA-ED-A8O6,low
TCGA-ED-A97K,high
TCGA-EP-A12J,high
TCGA-EP-A26S,high
TCGA-EP-A2KA,high
TCGA-EP-A2KB,high
TCGA-EP-A2KC,low
TCGA-EP-A3JL,high
TCGA-EP-A3RK,high
TCGA-ES-A2HS,low
TCGA-ES-A2HT,low
TCGA-FV-A23B,high
TCGA-FV-A2QQ,high
TCGA-FV-A2QR,low
TCGA-FV-A3I0,high
TCGA-FV-A3I1,high
TCGA-FV-A3R2,low
TCGA-FV-A3R3,high
TCGA-FV-A495,high
TCGA-FV-A496,low
TCGA-FV-A4ZP,high
TCGA-FV-A4ZQ,high
TCGA-G3-A25S,high
TCGA-G3-A25T,high
TCGA-G3-A25U,high
TCGA-G3-A25V,low
TCGA-G3-A25X,low
TCGA-G3-A25Y,high
TCGA-G3-A25Z,low
TCGA-G3-A3CG,low
TCGA-G3-A3CH,low
TCGA-G3-A3CI,low
TCGA-G3-A3CJ,low
TCGA-G3-A3CK,high
TCGA-G3-A5SI,low
TCGA-G3-A5SJ,high
TCGA-G3-A5SK,low
TCGA-G3-A5SL,high
TCGA-G3-A5SM,low
TCGA-G3-A6UC,low
TCGA-G3-A7M5,low
TCGA-G3-A7M6,high
TCGA-G3-A7M7,high
TCGA-G3-A7M8,low
TCGA-G3-A7M9,low
TCGA-G3-AAUZ,low
TCGA-G3-AAV0,low
TCGA-G3-AAV1,low
TCGA-G3-AAV2,high
TCGA-G3-AAV3,high
TCGA-G3-AAV4,low
TCGA-G3-AAV5,high
TCGA-G3-AAV6,high
TCGA-G3-AAV7,low
TCGA-GJ-A3OU,high
TCGA-GJ-A6C0,low
TCGA-GJ-A9DB,low
TCGA-HP-A5MZ,high
TCGA-HP-A5N0,low
TCGA-K7-A5RF,low
TCGA-K7-A5RG,low
TCGA-K7-A6G5,low
TCGA-K7-AAU7,high
TCGA-KR-A7K0,low
TCGA-KR-A7K2,high
TCGA-KR-A7K7,high
TCGA-KR-A7K8,low
TCGA-LG-A6GG,low
TCGA-LG-A9QC,high
TCGA-LG-A9QD,low
TCGA-MI-A75C,high
TCGA-MI-A75E,low
TCGA-MI-A75G,high
TCGA-MI-A75H,high
TCGA-MI-A75I,low
TCGA-MR-A520,low
TCGA-MR-A8JO,high
TCGA-NI-A4U2,low
TCGA-NI-A8LF,low
TCGA-O8-A75V,low
TCGA-PD-A5DF,low
TCGA-QA-A7B7,high
TCGA-RC-A6M3,low
TCGA-RC-A6M4,low
TCGA-RC-A6M5,high
TCGA-RC-A6M6,low
TCGA-RC-A7S9,low
TCGA-RC-A7SB,low
TCGA-RC-A7SF,low
TCGA-RC-A7SH,high
TCGA-RC-A7SK,low
TCGA-RG-A7D4,high
TCGA-T1-A6J8,low
TCGA-UB-A7MA,high
TCGA-UB-A7MB,high
TCGA-UB-A7MC,high
TCGA-UB-A7MD,low
TCGA-UB-A7ME,high
TCGA-UB-A7MF,high
TCGA-UB-AA0U,high
TCGA-UB-AA0V,low
TCGA-WJ-A86L,low
TCGA-WQ-A9G7,high
TCGA-WQ-AB4B,low
TCGA-WX-AA44,low
TCGA-WX-AA46,low
TCGA-WX-AA47,high
TCGA-XR-A8TC,high
TCGA-XR-A8TD,low
TCGA-XR-A8TE,high
TCGA-XR-A8TF,high
TCGA-XR-A8TG,low
TCGA-YA-A8S7,high
TCGA-ZP-A9CV,high
TCGA-ZP-A9CY,low
TCGA-ZP-A9CZ,high
TCGA-ZP-A9D0,low
TCGA-ZP-A9D1,high
TCGA-ZP-A9D2,high
TCGA-ZP-A9D4,high
TCGA-ZS-A9CD,high
TCGA-ZS-A9CE,low
TCGA-ZS-A9CF,low
TCGA-ZS-A9CG,low
TCGA-DD-AACA,high
TCGA-DD-AACA,high
TCGA-ZS-A9CF,low
