Tumor_Sample_Barcode,Expr_level
TCGA-GJ-A3OU,high
TCGA-G3-A7M9,low
TCGA-ED-A627,high
TCGA-DD-AACB,med
TCGA-CC-5264,low
TCGA-DD-AAW3,med
TCGA-DD-AA3A,high
TCGA-DD-AAEI,low
TCGA-DD-AADF,med
TCGA-UB-A7MA,high
TCGA-EP-A3JL,high
TCGA-DD-AACZ,med
TCGA-2Y-A9HA,low
TCGA-ED-A82E,high
TCGA-ED-A66Y,high
TCGA-DD-AACF,low
TCGA-MI-A75G,med
TCGA-DD-AAEG,med
TCGA-DD-AAD2,high
TCGA-ZS-A9CF,med
TCGA-UB-A7MB,high
TCGA-DD-AACQ,low
TCGA-2Y-A9GW,high
TCGA-G3-A3CG,med
TCGA-DD-AAEH,high
TCGA-G3-A5SI,med
TCGA-BC-4072,med
TCGA-KR-A7K2,high
TCGA-RC-A6M3,med
TCGA-EP-A3RK,high
TCGA-UB-A7MC,high
TCGA-MI-A75H,high
TCGA-DD-AADY,med
TCGA-BC-A10W,high
TCGA-DD-AADN,low
TCGA-DD-AAVX,high
TCGA-QA-A7B7,high
TCGA-G3-A25Z,low
TCGA-DD-A39V,med
TCGA-5C-A9VH,high
TCGA-ZP-A9D4,high
TCGA-G3-AAV6,high
TCGA-DD-A4NG,high
TCGA-BC-A10X,med
TCGA-DD-A1EF,high
TCGA-G3-A5SL,med
TCGA-EP-A12J,high
TCGA-T1-A6J8,low
TCGA-G3-AAV0,med
TCGA-CC-A9FV,med
TCGA-XR-A8TG,low
TCGA-ED-A8O5,high
TCGA-DD-AACO,high
TCGA-DD-A3A3,low
TCGA-2Y-A9H6,high
TCGA-LG-A9QD,med
TCGA-FV-A496,low
TCGA-DD-AAE0,high
TCGA-DD-AACI,med
TCGA-DD-AAD0,med
TCGA-WQ-AB4B,med
TCGA-DD-AACW,high
TCGA-BD-A2L6,med
TCGA-DD-A3A6,high
TCGA-DD-AAW1,med
TCGA-FV-A3I0,high
TCGA-DD-A39X,med
TCGA-3K-AAZ8,high
TCGA-K7-A5RF,med
TCGA-DD-A115,low
TCGA-ED-A7PY,high
TCGA-ED-A66X,high
TCGA-ZP-A9CY,med
TCGA-DD-AACG,low
TCGA-DD-A73B,med
TCGA-RC-A7S9,med
TCGA-BC-A10S,high
TCGA-DD-A4NB,high
TCGA-CC-A5UC,high
TCGA-EP-A26S,high
TCGA-K7-A6G5,med
TCGA-2Y-A9H1,med
TCGA-G3-A25S,high
TCGA-DD-AAE3,med
TCGA-2Y-A9H3,med
TCGA-CC-5261,high
TCGA-BC-A217,high
TCGA-MI-A75C,high
TCGA-DD-AAVY,high
TCGA-DD-AADG,med
TCGA-2Y-A9H7,high
TCGA-BW-A5NO,high
TCGA-MR-A520,med
TCGA-FV-A3R2,low
TCGA-DD-A1EG,high
TCGA-CC-A7IF,low
TCGA-DD-AADC,high
TCGA-EP-A2KA,high
TCGA-DD-A39Z,med
TCGA-DD-AAE7,med
TCGA-YA-A8S7,high
TCGA-CC-5260,high
TCGA-BC-A3KF,med
TCGA-DD-AADI,high
TCGA-DD-A3A5,low
TCGA-FV-A3I1,high
TCGA-G3-A25U,med
TCGA-DD-AADB,high
TCGA-G3-AAV1,med
TCGA-G3-AAUZ,med
TCGA-G3-AAV4,low
TCGA-FV-A3R3,med
TCGA-2Y-A9H4,low
TCGA-CC-A3M9,high
TCGA-DD-A4NJ,med
TCGA-DD-AACH,low
