Tumor_Sample_Barcode,Expr_level
TCGA-2V-A95S,high
TCGA-2Y-A9GS,high
TCGA-2Y-A9GT,high
TCGA-2Y-A9GU,high
TCGA-2Y-A9GV,high
TCGA-2Y-A9GW,high
TCGA-2Y-A9GX,high
TCGA-2Y-A9GY,high
TCGA-2Y-A9GZ,high
TCGA-2Y-A9H0,high
TCGA-2Y-A9H1,high
TCGA-2Y-A9H2,high
TCGA-2Y-A9H3,high
TCGA-2Y-A9H4,high
TCGA-2Y-A9H5,high
TCGA-2Y-A9H6,high
TCGA-2Y-A9H7,high
TCGA-2Y-A9H8,high
TCGA-2Y-A9H9,high
TCGA-2Y-A9HA,high
TCGA-2Y-A9HB,high
TCGA-3K-AAZ8,high
TCGA-4R-AA8I,high
TCGA-5C-A9VG,high
TCGA-5C-A9VH,high
TCGA-5C-AAPD,high
TCGA-5R-AA1C,high
TCGA-5R-AA1D,high
TCGA-5R-AAAM,high
TCGA-BC-4072,high
TCGA-BC-4073,high
TCGA-BC-A10Q,high
TCGA-BC-A10R,high
TCGA-BC-A10S,high
TCGA-BC-A10T,high
TCGA-BC-A10U,high
TCGA-BC-A10W,high
TCGA-BC-A10X,high
TCGA-BC-A10Y,high
TCGA-BC-A10Z,high
TCGA-BC-A110,high
TCGA-BC-A112,high
TCGA-BC-A216,high
TCGA-BC-A217,high
TCGA-BC-A3KF,high
TCGA-BC-A3KG,high
TCGA-BC-A5W4,high
TCGA-BC-A69H,high
TCGA-BC-A69I,high
TCGA-BC-A8YO,high
TCGA-BD-A2L6,high
TCGA-BD-A3EP,high
TCGA-BD-A3ER,high
TCGA-BW-A5NO,high
TCGA-BW-A5NP,high
TCGA-BW-A5NQ,high
TCGA-CC-5258,high
TCGA-CC-5259,high
TCGA-CC-5260,high
TCGA-CC-5261,high
TCGA-CC-5262,high
TCGA-CC-5263,high
TCGA-CC-5264,high
TCGA-CC-A123,high
TCGA-CC-A1HT,high
TCGA-CC-A3M9,high
TCGA-CC-A3MA,high
TCGA-CC-A3MB,high
TCGA-CC-A3MC,high
TCGA-CC-A5UC,high
TCGA-CC-A5UD,high
TCGA-CC-A5UE,high
TCGA-CC-A7IE,high
TCGA-CC-A7IF,high
TCGA-CC-A7IG,high
TCGA-CC-A7IH,high
TCGA-CC-A7II,high
TCGA-CC-A7IJ,high
TCGA-CC-A7IK,high
TCGA-CC-A7IL,high
TCGA-CC-A8HS,high
TCGA-CC-A8HT,high
TCGA-CC-A8HU,high
TCGA-CC-A8HV,high
TCGA-CC-A9FS,high
TCGA-CC-A9FU,high
TCGA-CC-A9FV,high
TCGA-CC-A9FW,high
TCGA-DD-A113,high
TCGA-DD-A114,high
TCGA-DD-A115,high
TCGA-DD-A116,high
TCGA-DD-A118,high
TCGA-DD-A119,high
TCGA-DD-A11A,high
TCGA-DD-A11B,high
TCGA-DD-A11C,high
TCGA-DD-A11D,high
TCGA-DD-A1EA,high
TCGA-DD-A1EB,high
TCGA-DD-A1EC,high
TCGA-DD-A1ED,high
TCGA-DD-A1EE,high
TCGA-DD-A1EF,high
TCGA-DD-A1EG,high
TCGA-DD-A1EH,high
TCGA-DD-A1EI,high
TCGA-DD-A1EJ,high
TCGA-DD-A1EK,high
TCGA-DD-A1EL,high
TCGA-DD-A39V,high
TCGA-DD-A39W,high
TCGA-DD-A39X,high
TCGA-DD-A39Y,high
TCGA-DD-A39Z,high
TCGA-DD-A3A1,high
TCGA-DD-A3A2,high
TCGA-DD-A3A3,high
TCGA-DD-A3A4,high
TCGA-DD-A3A5,high
TCGA-DD-A3A6,high
TCGA-DD-A3A7,high
TCGA-DD-A3A8,high
TCGA-DD-A3A9,high
TCGA-DD-A4NA,high
TCGA-DD-A4NB,high
TCGA-DD-A4ND,high
TCGA-DD-A4NE,high
TCGA-DD-A4NF,high
TCGA-DD-A4NG,high
TCGA-DD-A4NH,high
TCGA-DD-A4NI,high
TCGA-DD-A4NJ,high
TCGA-DD-A4NK,high
TCGA-DD-A4NL,high
TCGA-DD-A4NN,high
TCGA-DD-A4NO,high
TCGA-DD-A4NP,high
TCGA-DD-A4NQ,high
TCGA-DD-A4NR,high
TCGA-DD-A4NS,high
TCGA-DD-A4NV,high
TCGA-DD-A73A,high
TCGA-DD-A73B,high
TCGA-DD-A73C,high
TCGA-DD-A73D,high
TCGA-DD-A73E,high
TCGA-DD-A73F,high
TCGA-DD-A73G,high
TCGA-DD-AA3A,high
TCGA-DD-AAC8,high
TCGA-DD-AAC9,high
TCGA-DD-AACA,high
TCGA-DD-AACB,high
TCGA-DD-AACC,high
