Drug	Subtype	AUC
Cisplatin	Subtype2	0.872821276
Cisplatin	Subtype2	0.880592837
Cisplatin	Subtype2	0.85646342
Cisplatin	Subtype2	0.834191632
Cisplatin	Subtype2	0.839604875
Cisplatin	Subtype2	0.867334663
Cisplatin	Subtype2	0.857727013
Cisplatin	Subtype2	0.845225365
Cisplatin	Subtype2	0.863788599
Cisplatin	Subtype2	0.82437058
Cisplatin	Subtype2	0.900387209
Cisplatin	Subtype2	0.846837656
Cisplatin	Subtype2	0.885545063
Cisplatin	Subtype2	0.880337236
Cisplatin	Subtype2	0.875259669
Cisplatin	Subtype2	0.815144106
Cisplatin	Subtype2	0.812485758
Cisplatin	Subtype2	0.8966989
Cisplatin	Subtype2	0.886140069
Cisplatin	Subtype2	0.830852601
Cisplatin	Subtype2	0.861324729
Cisplatin	Subtype2	0.890078454
Cisplatin	Subtype2	0.853949866
Cisplatin	Subtype2	0.846156765
Cisplatin	Subtype2	0.873765406
Cisplatin	Subtype2	0.845372538
Cisplatin	Subtype2	0.869466342
Cisplatin	Subtype2	0.865809871
Cisplatin	Subtype2	0.872122637
Cisplatin	Subtype2	0.774643028
Cisplatin	Subtype2	0.880970774
Cisplatin	Subtype2	0.850329173
Cisplatin	Subtype2	0.910364515
Cisplatin	Subtype2	0.90433181
Cisplatin	Subtype2	0.864779008
Cisplatin	Subtype2	0.866877837
Cisplatin	Subtype2	0.846610518
Cisplatin	Subtype2	0.943656052
Cisplatin	Subtype2	0.751579627
Cisplatin	Subtype2	0.87294625
Cisplatin	Subtype2	0.842178557
Cisplatin	Subtype2	0.908344147
Cisplatin	Subtype2	0.875630812
Cisplatin	Subtype2	0.882028047
Cisplatin	Subtype2	0.832854773
Cisplatin	Subtype2	0.890383761
Cisplatin	Subtype2	0.807899121
Cisplatin	Subtype2	0.837501014
Cisplatin	Subtype2	0.832266296
Cisplatin	Subtype2	0.876972581
Cisplatin	Subtype2	0.834518273
Cisplatin	Subtype2	0.845496509
Cisplatin	Subtype2	0.894484703
Cisplatin	Subtype2	0.871858605
Cisplatin	Subtype2	0.86066757
Cisplatin	Subtype2	0.873297987
Cisplatin	Subtype2	0.857138436
Cisplatin	Subtype2	0.876767259
Cisplatin	Subtype2	0.876510016
Cisplatin	Subtype2	0.876733792
Cisplatin	Subtype2	0.8747189
Cisplatin	Subtype2	0.850915712
Cisplatin	Subtype2	0.857658332
Cisplatin	Subtype2	0.853114487
Cisplatin	Subtype2	0.897890622
Cisplatin	Subtype2	0.885734651
Cisplatin	Subtype2	0.87588099
Cisplatin	Subtype2	0.798133447
Cisplatin	Subtype2	0.830457961
Cisplatin	Subtype2	0.817645251
Cisplatin	Subtype2	0.827801378
Cisplatin	Subtype2	0.89342811
Cisplatin	Subtype2	0.904956933
Cisplatin	Subtype2	0.807777542
Cisplatin	Subtype2	0.790036005
Cisplatin	Subtype2	0.840768972
Cisplatin	Subtype2	0.767500408
Cisplatin	Subtype2	0.909210945
Cisplatin	Subtype2	0.865295322
Cisplatin	Subtype2	0.877432358
Cisplatin	Subtype2	0.901203773
Cisplatin	Subtype2	0.867711352
Cisplatin	Subtype2	0.83995574
Cisplatin	Subtype2	0.874572254
Cisplatin	Subtype2	0.853892725
Cisplatin	Subtype2	0.836198652
Cisplatin	Subtype2	0.864067789
Cisplatin	Subtype2	0.863726878
Cisplatin	Subtype2	0.839022855
Cisplatin	Subtype2	0.891020496
Cisplatin	Subtype2	0.880952927
Cisplatin	Subtype2	0.879697858
Cisplatin	Subtype2	0.891805798
Cisplatin	Subtype2	0.891562756
Cisplatin	Subtype2	0.906720111
Cisplatin	Subtype2	0.872085774
Cisplatin	Subtype2	0.868757472
Cisplatin	Subtype2	0.840531313
Cisplatin	Subtype2	0.853208811
Cisplatin	Subtype2	0.89489705
Cisplatin	Subtype2	0.882659795
Cisplatin	Subtype2	0.889520944
Cisplatin	Subtype3	0.887420127
Cisplatin	Subtype3	0.771443501
Cisplatin	Subtype3	0.883628941
Cisplatin	Subtype3	0.836111284
Cisplatin	Subtype3	0.854640131
Cisplatin	Subtype3	0.817418559
Cisplatin	Subtype3	0.764313259
Cisplatin	Subtype3	0.80696109
Cisplatin	Subtype3	0.801395514
Cisplatin	Subtype3	0.869648273
Cisplatin	Subtype3	0.858630021
Cisplatin	Subtype3	0.85443324
Cisplatin	Subtype3	0.831267785
Cisplatin	Subtype3	0.843671032
Cisplatin	Subtype3	0.855536035
Cisplatin	Subtype3	0.821097335
Cisplatin	Subtype3	0.862828711
Cisplatin	Subtype3	0.865567862
Cisplatin	Subtype3	0.820799599
Cisplatin	Subtype3	0.792398616
Cisplatin	Subtype3	0.917201848
