GeneSymbol	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
jgi|Copci_AmutBmut1|100336|	4.94204930291853	5.85625174035301	5.4907016109807	5.50703709963571	0.53750672761734	2.072794094821	5.70423875849074	1.40306687383473	0.916079508202501
jgi|Copci_AmutBmut1|10085|	5.73565996817369	5.09969796220144	4.38738448173973	4.71929962920721	5.20896506315535	5.17729655211348	4.39410425826636	6.90571455520338	5.35310963975849
jgi|Copci_AmutBmut1|102355|	6.91129096613519	5.44500901587379	4.45435274266522	4.79047353367002	1.28178748230995	3.00449333618301	6.0779767502997	6.23937688270004	9.88653872915304
jgi|Copci_AmutBmut1|104036|	4.10327383106299	4.58674062472495	4.39242257209219	4.10921679059417	2.55811640640692	3.4264310494357	3.59972541689991	4.47632731059882	3.41066380669884
jgi|Copci_AmutBmut1|104072|	3.76586246410173	3.53659346264136	4.3100777228488	4.3172541569139	5.95924810056655	4.63079620375174	4.26641090954037	2.03216492230436	2.64008491276232
jgi|Copci_AmutBmut1|104367|	2.06888457659463	2.41034344762838	2.55088677742751	2.39994944441996	2.20316285131445	2.32832311294327	3.43204420822418	4.86342781659525	3.27063485042278
jgi|Copci_AmutBmut1|104532|	4.09691960727139	4.94996537835496	5.39215306578232	5.31277568157043	3.54023652037291	6.94194768268232	3.64420959514829	6.18801967377933	5.39822153687953
jgi|Copci_AmutBmut1|104742|	2.58733710965467	5.25596197475641	2.31774040617656	2.67099316815061	5.99132309553626	5.26063649387888	2.28854075362853	6.09496649652934	4.48680657233819
jgi|Copci_AmutBmut1|104827|	2.35669826216741	2.16168008055464	2.93011588894335	2.94095719347487	3.23242599055278	4.17118696371284	3.71049711721357	2.5274840774906	2.2999536932477
jgi|Copci_AmutBmut1|105298|	1.93131983623885	1.47418429820984	2.49876973975514	2.17721122255729	4.59382560843464	3.66977277468	2.77640566649465	3.26201704008671	1.59524550993462
jgi|Copci_AmutBmut1|105528|	2.6573375691487	4.0148703482536	4.30885173745347	3.91604702571569	5.54951907168118	6.10699764143234	4.97107995819614	7.17193994330404	6.87970049427131
jgi|Copci_AmutBmut1|105825|	3.36569958563276	2.39135527704604	3.08142151497171	2.4610753434016	3.45951043002859	5.34629617211741	4.82366038486097	3.52210854101399	1.72908260113946
jgi|Copci_AmutBmut1|107221|	2.48423505943057	2.18900132849389	2.60959504114241	2.39549989409974	2.48420798145016	1.47466853481439	1.74871445971766	5.5664466947561	3.14302445790134
jgi|Copci_AmutBmut1|107495|	2.11534464014558	4.34136764474684	3.49294809907215	3.27646202848764	1.76707028449114	5.12615623958085	0.681401865014557	3.96512181442735	6.51545724595825
jgi|Copci_AmutBmut1|107502|	2.89238552156407	5.44033726203527	4.592870212656	3.75570620247183	2.2698579078392	5.37914619475871	3.00442291074274	4.09216742634668	3.56371378937254
jgi|Copci_AmutBmut1|107831|	3.59083212496614	3.9284236323906	4.35399684337749	3.75263236961326	2.90247740522319	3.66758906082735	2.61770450126763	4.39575085976391	2.2800478269541
jgi|Copci_AmutBmut1|108326|	5.69993880289764	5.83458418616174	4.35581700548663	4.63494214130928	4.82359933191106	3.76797493206238	4.27689045506889	4.32965700576999	3.99677323225726
jgi|Copci_AmutBmut1|10880|	4.97020787409357	2.80615222859808	5.4311843475343	4.95912726842717	5.88292591610654	7.38763441878096	7.80760611789895	3.02914278521924	2.41252961864227
jgi|Copci_AmutBmut1|110032|	3.46065675834511	3.49785614647743	3.3114610520748	3.72778395875	3.79109016564597	6.79204436993453	4.65683353835873	8.16030686705977	9.6430657170291
jgi|Copci_AmutBmut1|110072|	6.67362359186976	11.8134289203766	3.35433591087879	4.77534731388133	6.64651062299279	5.64689386322661	4.92895815031981	6.39459389697847	9.33576244885237
jgi|Copci_AmutBmut1|110284|	2.3875717556093	5.8429625585251	8.31229423075706	7.31427466133677	5.46178899308667	5.51383768580297	3.37364126016334	2.57610212396955	4.26141662619863
jgi|Copci_AmutBmut1|110605|	6.99215332541236	4.81246185460502	4.31252288506958	5.22847796980149	2.51275578395081	5.26262664928015	6.26031603508874	3.95175217750833	6.12111194583402
