GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|414480|	ID_1637	36	0.00	0.02	-0.39	-0.03	-0.73	-2.27	-0.37	-1.18	-0.59
JGI|COPCI_AMUTBMUT1|414638|	ID_1638	11	0.00	-0.35	-0.98	-0.62	-1.99	-0.87	0.47	1.43	2.71
JGI|COPCI_AMUTBMUT1|414640|	ID_1639	39	0.00	0.91	1.07	0.73	2.02	2.34	0.90	5.66	5.18
JGI|COPCI_AMUTBMUT1|414734|	ID_1640	43	0.00	5.32	4.85	4.15	3.58	4.03	3.56	6.86	8.14
JGI|COPCI_AMUTBMUT1|414807|	ID_1641	11	0.00	-1.18	-1.19	-1.03	-3.06	-1.61	-0.75	-0.74	-1.00
JGI|COPCI_AMUTBMUT1|414904|	ID_1643	37	0.00	0.28	1.27	1.45	1.57	1.98	3.49	0.61	1.90
JGI|COPCI_AMUTBMUT1|414925|	ID_1644	2	0.00	-0.33	-2.06	-0.71	-2.00	-2.01	-0.28	1.01	-0.28
JGI|COPCI_AMUTBMUT1|414994|	ID_1645	11	0.00	-0.79	-1.87	-1.22	-3.45	-1.24	-0.78	-1.40	0.94
JGI|COPCI_AMUTBMUT1|41515|	ID_1646	38	0.00	3.09	3.23	2.93	1.91	5.34	0.58	1.89	4.97
JGI|COPCI_AMUTBMUT1|415166|	ID_1647	11	0.00	-0.34	-0.83	-0.48	-1.33	-1.84	0.02	-0.59	0.36
JGI|COPCI_AMUTBMUT1|415203|	ID_1648	10	0.00	0.20	0.21	-0.02	-0.29	-0.91	0.54	-1.30	-3.01
JGI|COPCI_AMUTBMUT1|415302|	ID_1649	25	0.00	-1.04	-1.19	-0.20	-1.44	-1.45	-1.32	-2.41	-0.67
JGI|COPCI_AMUTBMUT1|415387|	ID_1650	2	0.00	-0.97	-0.86	-0.83	-2.33	-0.75	-0.75	-0.30	-0.85
JGI|COPCI_AMUTBMUT1|415515|	ID_1652	11	0.00	-0.88	-0.99	-0.87	-2.12	-1.97	-0.77	-0.56	1.37
JGI|COPCI_AMUTBMUT1|41562|	ID_1653	29	0.00	0.36	0.53	0.58	2.20	2.57	0.59	-1.12	-1.96
JGI|COPCI_AMUTBMUT1|415669|	ID_1654	39	0.00	1.97	1.69	1.44	1.79	3.12	3.00	5.40	5.26
JGI|COPCI_AMUTBMUT1|415807|	ID_1655	39	0.00	1.12	2.16	1.85	3.84	5.01	3.24	4.53	5.20
JGI|COPCI_AMUTBMUT1|415831|	ID_1656	22	0.00	0.61	-0.04	-0.19	-0.02	-1.97	-2.33	1.78	-2.98
JGI|COPCI_AMUTBMUT1|415882|	ID_1657	29	0.00	0.58	1.78	1.46	3.74	2.86	2.36	0.65	1.44
JGI|COPCI_AMUTBMUT1|415914|	ID_1658	10	0.00	-0.67	-0.56	-0.79	-0.92	-1.14	-0.45	-2.38	-2.73
JGI|COPCI_AMUTBMUT1|415953|	ID_1659	48	0.00	1.75	2.15	1.90	3.77	4.04	2.26	1.97	2.54
JGI|COPCI_AMUTBMUT1|415955|	ID_1660	46	0.00	0.77	1.70	1.29	2.28	0.70	0.26	0.67	-0.46
JGI|COPCI_AMUTBMUT1|415957|	ID_1661	27	0.00	-0.59	-0.04	-0.30	0.81	-0.06	-0.08	-2.23	-1.07
JGI|COPCI_AMUTBMUT1|416401|	ID_1662	9	0.00	-0.38	0.02	0.14	-1.12	0.00	0.49	-2.37	-1.57
JGI|COPCI_AMUTBMUT1|416468|	ID_1663	48	0.00	1.12	1.72	1.03	2.28	2.94	1.36	1.45	3.20
JGI|COPCI_AMUTBMUT1|416700|	ID_1664	43	0.00	3.24	0.67	0.20	-0.21	0.45	0.03	2.22	2.71
