GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|100336|	ID_0	36	0.00	1.17	0.86	0.86	-1.58	-2.58	1.05	-3.09	-3.41
JGI|COPCI_AMUTBMUT1|10085|	ID_1	2	0.00	-0.26	-0.88	-0.56	-0.26	-0.02	-0.88	2.52	0.06
JGI|COPCI_AMUTBMUT1|102355|	ID_2	11	0.00	-0.48	-1.40	-1.07	-3.29	-2.67	0.22	0.38	3.92
JGI|COPCI_AMUTBMUT1|104036|	ID_3	20	0.00	-0.03	-0.53	-0.62	-2.24	-1.40	-1.27	-0.34	-1.51
JGI|COPCI_AMUTBMUT1|104072|	ID_4	29	0.00	-0.84	-0.41	-0.40	1.24	-0.09	-0.46	-2.57	-2.15
JGI|COPCI_AMUTBMUT1|104367|	ID_5	26	0.00	0.30	0.66	0.40	0.28	0.10	1.21	2.59	1.05
JGI|COPCI_AMUTBMUT1|104532|	ID_6	6	0.00	-0.42	-0.08	-0.06	-1.83	0.85	-1.73	-0.72	0.04
JGI|COPCI_AMUTBMUT1|104742|	ID_7	41	0.00	2.39	-0.55	-0.19	2.29	2.39	-0.44	3.23	1.67
JGI|COPCI_AMUTBMUT1|104827|	ID_8	29	0.00	-0.15	0.50	0.51	0.81	1.74	1.20	-0.47	-0.27
JGI|COPCI_AMUTBMUT1|105298|	ID_9	14	0.00	-0.15	0.46	0.81	2.43	2.05	1.15	1.64	0.08
JGI|COPCI_AMUTBMUT1|105528|	ID_10	39	0.00	1.22	1.35	1.07	2.21	3.15	2.01	4.22	3.51
JGI|COPCI_AMUTBMUT1|105825|	ID_11	37	0.00	-0.34	-0.31	-0.59	0.06	1.54	1.37	0.78	-0.95
JGI|COPCI_AMUTBMUT1|107221|	ID_12	24	0.00	-0.21	0.32	-0.00	0.09	-1.25	-0.65	2.76	1.14
JGI|COPCI_AMUTBMUT1|107495|	ID_13	24	0.00	2.23	1.42	1.80	-0.32	3.37	-1.54	1.85	4.48
JGI|COPCI_AMUTBMUT1|107502|	ID_14	38	0.00	1.50	1.62	1.49	0.01	2.45	-0.23	1.16	0.52
JGI|COPCI_AMUTBMUT1|10880|	ID_17	29	0.00	-0.39	2.01	1.53	3.28	3.96	4.17	-0.43	-1.01
JGI|COPCI_AMUTBMUT1|110032|	ID_18	39	0.00	-0.28	-0.48	-0.26	-0.52	2.96	0.83	3.49	5.00
JGI|COPCI_AMUTBMUT1|110072|	ID_19	43	0.00	2.92	-0.27	-1.43	-1.81	-0.66	-1.89	0.23	2.52
JGI|COPCI_AMUTBMUT1|110284|	ID_20	47	0.00	3.46	5.39	5.17	2.12	2.90	0.99	0.15	1.87
JGI|COPCI_AMUTBMUT1|110605|	ID_21	11	0.00	-1.32	-2.14	-1.27	-3.61	-1.19	-0.19	-2.09	0.17
JGI|COPCI_AMUTBMUT1|111284|	ID_22	8	0.00	-0.08	0.50	0.15	0.65	1.25	1.87	-1.81	-1.59
JGI|COPCI_AMUTBMUT1|111349|	ID_23	41	0.00	1.96	1.03	0.55	2.37	2.89	0.11	0.12	0.66
JGI|COPCI_AMUTBMUT1|111662|	ID_24	10	0.00	-1.55	-3.70	-2.29	-6.35	-6.24	-6.94	-6.82	-7.41
JGI|COPCI_AMUTBMUT1|111837|	ID_25	47	0.00	0.75	3.31	1.61	-0.68	-0.65	-0.72	0.56	-0.95
JGI|COPCI_AMUTBMUT1|113190|	ID_26	22	0.00	-0.03	0.01	-0.28	-0.02	-0.59	-0.95	1.19	-0.52
JGI|COPCI_AMUTBMUT1|113984|	ID_27	21	0.00	1.50	0.40	0.55	-2.09	-0.77	-1.81	-0.15	1.36
JGI|COPCI_AMUTBMUT1|114194|	ID_28	24	0.00	0.09	-1.23	-0.44	-1.55	-1.72	-3.08	1.71	1.10
JGI|COPCI_AMUTBMUT1|114948|	ID_29	32	0.00	-0.52	-1.19	-0.91	-0.62	-0.63	2.94	-1.38	-0.17
JGI|COPCI_AMUTBMUT1|115401|	ID_30	48	0.00	1.62	2.01	1.83	4.06	3.98	2.44	2.23	3.16
JGI|COPCI_AMUTBMUT1|11580|	ID_31	14	0.00	1.03	1.09	0.50	1.64	1.98	0.55	2.20	0.51
JGI|COPCI_AMUTBMUT1|116409|	ID_32	35	0.00	2.00	2.03	1.75	2.82	4.43	4.26	1.50	3.34
JGI|COPCI_AMUTBMUT1|116639|	ID_33	28	0.00	-0.44	-0.45	-0.26	1.01	-1.01	-1.79	-1.22	0.37
JGI|COPCI_AMUTBMUT1|11671|	ID_34	24	0.00	0.59	0.93	1.01	2.91	0.97	-0.04	5.09	3.32
JGI|COPCI_AMUTBMUT1|116727|	ID_35	46	0.00	0.52	1.11	0.81	1.75	-0.16	0.37	0.83	-1.07
JGI|COPCI_AMUTBMUT1|116926|	ID_36	3	0.00	-0.92	-1.63	-1.42	-1.32	-1.59	-2.71	-0.76	-1.93
JGI|COPCI_AMUTBMUT1|117415|	ID_37	12	0.00	0.59	1.83	1.81	3.92	0.48	2.87	1.74	-1.98
JGI|COPCI_AMUTBMUT1|118376|	ID_38	29	0.00	0.54	0.98	1.02	0.61	0.99	0.81	-0.21	-1.31
JGI|COPCI_AMUTBMUT1|118807|	ID_39	22	0.00	-0.96	-1.51	-1.01	-1.62	-2.37	-2.52	-0.79	-2.22
JGI|COPCI_AMUTBMUT1|118945|	ID_40	14	0.00	0.18	-0.40	-0.38	0.96	1.23	0.14	1.82	0.39
JGI|COPCI_AMUTBMUT1|119922|	ID_41	39	0.00	2.57	1.73	1.86	4.45	4.89	4.06	3.33	4.96
JGI|COPCI_AMUTBMUT1|120101|	ID_42	33	0.00	0.34	-1.05	-0.48	0.11	0.97	-0.76	-0.49	-0.19
JGI|COPCI_AMUTBMUT1|120497|	ID_43	10	0.00	-0.38	-0.37	-0.12	-0.63	-0.65	0.49	-1.10	-3.51
JGI|COPCI_AMUTBMUT1|120659|	ID_44	35	0.00	0.47	0.24	0.17	-0.63	0.81	0.76	-1.70	0.18
JGI|COPCI_AMUTBMUT1|120762|	ID_45	23	0.00	-0.05	-0.62	-0.28	-0.78	-0.53	-2.22	-0.24	-2.73
JGI|COPCI_AMUTBMUT1|12095|	ID_46	17	0.00	-0.36	-0.69	-0.31	-1.54	-2.07	0.06	-0.16	-1.01
JGI|COPCI_AMUTBMUT1|121686|	ID_47	29	0.00	0.06	0.92	0.80	0.50	0.49	1.86	-1.49	-1.91
JGI|COPCI_AMUTBMUT1|122298|	ID_48	31	0.00	-0.63	-1.21	-1.13	-1.37	-1.38	0.64	-0.31	3.15
JGI|COPCI_AMUTBMUT1|122307|	ID_49	11	0.00	-0.31	-0.75	-0.53	-1.31	-0.67	-0.92	0.12	2.73
JGI|COPCI_AMUTBMUT1|123181|	ID_50	45	0.00	1.03	1.24	1.04	1.26	0.01	3.80	1.89	1.86
JGI|COPCI_AMUTBMUT1|123183|	ID_51	36	0.00	0.87	2.20	1.77	0.99	0.39	2.49	-0.46	0.81
JGI|COPCI_AMUTBMUT1|124161|	ID_52	40	0.00	-1.00	-1.49	-1.16	-2.56	-2.92	-1.20	-4.26	-0.32
JGI|COPCI_AMUTBMUT1|12424|	ID_53	24	0.00	-0.32	-0.49	-0.60	1.27	-1.39	-0.88	3.34	3.68
JGI|COPCI_AMUTBMUT1|124287|	ID_54	2	0.00	-0.86	-0.53	-0.72	-1.91	-1.35	-0.98	0.82	-0.14
JGI|COPCI_AMUTBMUT1|124402|	ID_55	22	0.00	-0.11	0.00	0.05	1.22	-1.88	-0.98	2.05	0.45
JGI|COPCI_AMUTBMUT1|124633|	ID_56	11	0.00	-0.88	-0.51	-0.35	-1.62	-1.07	-0.89	-0.77	0.47
JGI|COPCI_AMUTBMUT1|124967|	ID_57	21	0.00	-0.60	-1.28	-0.92	-3.39	-3.84	-2.35	-1.85	-2.15
JGI|COPCI_AMUTBMUT1|125515|	ID_58	39	0.00	1.50	1.66	1.66	2.21	2.34	1.23	3.15	5.39
JGI|COPCI_AMUTBMUT1|126201|	ID_59	36	0.00	0.24	0.60	0.39	-0.93	-2.52	-0.38	-0.82	-0.74
JGI|COPCI_AMUTBMUT1|126826|	ID_60	36	0.00	-0.85	-0.39	-0.41	-1.38	-4.94	-0.62	-5.41	-4.13
JGI|COPCI_AMUTBMUT1|127373|	ID_61	11	0.00	-0.45	-0.73	-0.88	-2.25	-2.29	-0.42	-1.47	-0.14
JGI|COPCI_AMUTBMUT1|12737|	ID_62	22	0.00	-0.08	0.13	0.06	0.10	-0.49	0.50	1.69	-0.51
JGI|COPCI_AMUTBMUT1|127786|	ID_63	34	0.00	1.05	-0.34	-0.89	0.34	2.12	0.14	2.24	1.63
JGI|COPCI_AMUTBMUT1|128107|	ID_64	11	0.00	-0.93	-1.63	-1.30	-3.12	-2.26	-1.84	-1.26	-2.29
JGI|COPCI_AMUTBMUT1|128649|	ID_66	39	0.00	0.42	2.01	2.33	3.05	3.59	2.59	1.89	3.33
JGI|COPCI_AMUTBMUT1|128900|	ID_67	22	0.00	-0.10	-1.73	-1.27	-0.88	-1.73	-3.64	3.58	-1.61
JGI|COPCI_AMUTBMUT1|129845|	ID_69	24	0.00	0.69	0.34	0.69	1.15	1.19	-0.02	2.92	2.10
JGI|COPCI_AMUTBMUT1|130009|	ID_70	29	0.00	0.61	1.71	1.42	1.89	2.71	1.85	-1.69	-0.52
JGI|COPCI_AMUTBMUT1|130704|	ID_71	3	0.00	-2.48	-3.30	-2.52	-1.90	-3.47	-4.88	-2.89	-4.00
JGI|COPCI_AMUTBMUT1|130867|	ID_72	46	0.00	0.49	0.36	0.31	1.25	-1.60	-1.46	-1.04	-0.72
JGI|COPCI_AMUTBMUT1|131148|	ID_74	36	0.00	-0.91	-1.09	-0.88	-2.13	-4.92	-0.64	-6.91	-2.46
JGI|COPCI_AMUTBMUT1|133336|	ID_75	39	0.00	0.36	0.30	-0.10	2.26	1.19	1.64	2.01	2.15
JGI|COPCI_AMUTBMUT1|13357|	ID_76	8	0.00	0.29	0.08	0.11	-0.13	1.09	0.04	-3.89	-3.26
JGI|COPCI_AMUTBMUT1|134989|	ID_77	11	0.00	-0.76	-0.73	-1.15	-2.94	-1.82	-1.00	-2.06	-0.68
JGI|COPCI_AMUTBMUT1|137121|	ID_78	29	0.00	0.97	2.31	2.17	1.98	1.53	2.01	-0.10	0.05
JGI|COPCI_AMUTBMUT1|137157|	ID_79	29	0.00	0.46	1.92	2.26	1.06	3.11	1.71	-0.39	0.58
JGI|COPCI_AMUTBMUT1|137979|	ID_80	37	0.00	0.31	0.76	0.61	-0.00	1.12	1.51	-0.44	-1.34
JGI|COPCI_AMUTBMUT1|138654|	ID_81	24	0.00	0.11	-0.01	-0.02	1.18	0.21	-0.38	3.31	3.79
JGI|COPCI_AMUTBMUT1|139271|	ID_82	26	0.00	0.64	0.19	0.03	0.56	-0.73	0.70	1.57	0.04
JGI|COPCI_AMUTBMUT1|139363|	ID_83	12	0.00	-0.14	0.51	0.32	0.84	-0.10	1.65	-0.76	-0.50
JGI|COPCI_AMUTBMUT1|139883|	ID_84	39	0.00	0.24	0.38	0.55	1.31	2.17	4.18	3.02	3.64
JGI|COPCI_AMUTBMUT1|141048|	ID_85	25	0.00	-1.96	-2.81	-2.42	-4.62	-2.47	-1.44	-4.99	1.14
JGI|COPCI_AMUTBMUT1|141981|	ID_86	25	0.00	-0.01	0.13	-0.36	-0.96	-0.45	-1.04	-2.85	0.52
JGI|COPCI_AMUTBMUT1|142072|	ID_87	22	0.00	-0.86	-1.99	-1.73	-1.74	-2.86	0.69	0.34	-1.65
JGI|COPCI_AMUTBMUT1|14228|	ID_88	22	0.00	-0.17	-0.70	-0.56	-0.74	-1.72	-0.24	1.36	0.02
JGI|COPCI_AMUTBMUT1|142517|	ID_89	39	0.00	0.72	0.26	0.28	1.19	1.75	1.03	6.28	3.30
JGI|COPCI_AMUTBMUT1|143616|	ID_90	21	0.00	-1.36	-2.04	-1.55	-3.16	-3.44	-3.22	-1.52	-1.69
JGI|COPCI_AMUTBMUT1|144455|	ID_91	24	0.00	0.56	-0.80	-0.92	-0.98	-1.23	-3.56	2.56	3.35
JGI|COPCI_AMUTBMUT1|144518|	ID_92	24	0.00	1.21	-0.50	-0.69	-0.87	-2.05	-3.24	3.17	3.95
JGI|COPCI_AMUTBMUT1|145047|	ID_93	40	0.00	3.31	0.15	-0.11	-0.34	-1.02	-0.67	-1.49	-0.08
JGI|COPCI_AMUTBMUT1|14533|	ID_94	40	0.00	0.41	0.07	-0.07	-3.33	-2.41	-0.03	-2.66	-1.31
JGI|COPCI_AMUTBMUT1|145627|	ID_95	36	0.00	-0.72	-0.41	-0.12	0.24	-1.95	-0.18	-4.88	-2.69
JGI|COPCI_AMUTBMUT1|145914|	ID_96	29	0.00	1.07	1.39	0.82	2.10	1.48	0.63	-0.07	-0.86
JGI|COPCI_AMUTBMUT1|145939|	ID_97	48	0.00	5.88	6.84	6.20	7.86	6.64	5.38	6.43	7.95
JGI|COPCI_AMUTBMUT1|146434|	ID_98	3	0.00	-0.57	-0.99	-0.75	3.03	0.06	-0.91	1.68	0.94
JGI|COPCI_AMUTBMUT1|14676|	ID_100	10	0.00	-0.58	-1.42	-1.14	-2.06	-1.71	-0.89	-1.95	-1.79
JGI|COPCI_AMUTBMUT1|147525|	ID_101	18	0.00	0.16	0.62	0.59	3.40	0.80	-0.54	1.76	0.97
JGI|COPCI_AMUTBMUT1|147911|	ID_102	16	0.00	-0.49	-0.52	-0.50	2.34	-0.19	-0.64	1.00	1.28
JGI|COPCI_AMUTBMUT1|148189|	ID_103	14	0.00	0.77	0.99	0.94	2.15	3.27	1.09	3.40	0.79
JGI|COPCI_AMUTBMUT1|148645|	ID_104	14	0.00	1.34	0.63	0.74	1.66	3.17	0.91	2.31	2.17
JGI|COPCI_AMUTBMUT1|14892|	ID_105	36	0.00	0.77	1.51	1.20	0.68	-0.59	1.38	-0.29	-2.10
JGI|COPCI_AMUTBMUT1|14894|	ID_106	36	0.00	-0.26	1.11	1.03	-0.05	-0.54	0.06	-1.84	-2.21
JGI|COPCI_AMUTBMUT1|149173|	ID_107	12	0.00	-2.09	-3.30	-1.26	-1.45	-2.44	-0.28	-1.57	-3.44
JGI|COPCI_AMUTBMUT1|149335|	ID_108	11	0.00	-1.26	-1.11	-0.21	-3.33	-2.05	-1.56	-0.58	1.04
JGI|COPCI_AMUTBMUT1|149780|	ID_109	10	0.00	1.30	1.63	0.93	-1.09	-3.13	-2.57	-2.01	-4.01
JGI|COPCI_AMUTBMUT1|150694|	ID_110	32	0.00	-0.20	-0.15	-0.18	-0.83	-0.17	1.63	-0.35	-0.11
JGI|COPCI_AMUTBMUT1|151105|	ID_111	33	0.00	-0.53	0.05	0.02	1.77	0.81	0.20	-0.20	0.35
JGI|COPCI_AMUTBMUT1|151330|	ID_112	31	0.00	-0.13	-0.85	-0.67	0.14	-0.65	0.80	0.90	2.18
JGI|COPCI_AMUTBMUT1|151523|	ID_113	36	0.00	-0.56	-0.54	-0.24	-1.47	-4.01	0.96	-6.03	-0.44
JGI|COPCI_AMUTBMUT1|151777|	ID_114	29	0.00	0.95	2.09	1.79	4.01	2.90	0.97	1.45	0.59
JGI|COPCI_AMUTBMUT1|152042|	ID_115	11	0.00	1.05	-1.15	-1.27	-0.95	-1.88	-1.66	0.82	3.38
JGI|COPCI_AMUTBMUT1|152514|	ID_116	20	0.00	-0.59	-0.80	-0.72	-0.83	-0.02	0.99	-1.00	-2.10
JGI|COPCI_AMUTBMUT1|15263|	ID_117	9	0.00	-1.61	-1.37	-1.01	-2.76	-2.39	-1.04	-2.18	-1.38
JGI|COPCI_AMUTBMUT1|152702|	ID_118	10	0.00	0.71	-0.18	-0.41	-2.09	-0.60	-2.73	-1.98	-5.43
JGI|COPCI_AMUTBMUT1|153190|	ID_119	33	0.00	-0.24	0.36	0.58	1.95	2.94	1.35	0.61	0.97
JGI|COPCI_AMUTBMUT1|153454|	ID_120	21	0.00	-1.31	-2.23	-1.21	-2.44	-3.97	-3.78	-1.64	-1.59
JGI|COPCI_AMUTBMUT1|153536|	ID_121	39	0.00	-0.65	0.54	0.31	3.45	1.94	-0.32	1.48	6.79
JGI|COPCI_AMUTBMUT1|15356|	ID_122	47	0.00	3.25	2.09	1.77	0.54	1.27	0.48	0.80	-0.56
JGI|COPCI_AMUTBMUT1|154165|	ID_123	10	0.00	-0.34	-0.56	-0.43	-1.04	-1.60	-0.06	-2.34	-2.59
JGI|COPCI_AMUTBMUT1|154673|	ID_124	28	0.00	0.05	0.33	0.32	0.25	-0.25	-0.25	-2.28	0.50
JGI|COPCI_AMUTBMUT1|154974|	ID_125	11	0.00	-0.68	-0.92	-0.64	-2.29	-2.47	-0.12	-0.55	1.16
JGI|COPCI_AMUTBMUT1|155423|	ID_126	39	0.00	1.52	1.31	0.99	1.96	2.36	1.06	4.62	4.18
JGI|COPCI_AMUTBMUT1|1569|	ID_128	24	0.00	0.52	-0.04	-0.04	-0.12	0.40	-0.85	2.57	1.08
JGI|COPCI_AMUTBMUT1|15706|	ID_129	28	0.00	0.70	0.48	0.32	-1.48	1.63	-2.60	-2.22	-0.02
JGI|COPCI_AMUTBMUT1|159481|	ID_130	40	0.00	-0.75	-1.43	-1.31	-2.31	-2.15	0.64	-2.84	-0.17
JGI|COPCI_AMUTBMUT1|160418|	ID_131	47	0.00	2.85	2.10	1.83	-0.65	-1.06	0.98	-0.84	-1.65
JGI|COPCI_AMUTBMUT1|160790|	ID_132	10	0.00	-0.45	0.07	0.06	-1.05	-0.52	-0.60	-2.97	-1.81
JGI|COPCI_AMUTBMUT1|160990|	ID_133	29	0.00	-0.04	1.24	1.15	1.73	1.45	0.52	-2.35	-2.22
JGI|COPCI_AMUTBMUT1|161438|	ID_134	3	0.00	-2.00	-2.13	-1.59	-0.76	-1.53	-1.67	-0.68	-1.23
JGI|COPCI_AMUTBMUT1|161543|	ID_135	11	0.00	-2.24	-3.69	-2.22	-3.74	-3.62	-0.45	-1.12	0.83
JGI|COPCI_AMUTBMUT1|162048|	ID_136	22	0.00	0.68	-0.81	-0.57	-1.66	-1.82	-1.15	0.33	-0.95
JGI|COPCI_AMUTBMUT1|162076|	ID_137	17	0.00	-1.44	-1.55	-1.13	-3.44	-4.84	-0.85	-1.29	-2.11
JGI|COPCI_AMUTBMUT1|163053|	ID_138	14	0.00	-0.14	0.21	0.01	1.84	2.30	0.59	4.41	2.46
JGI|COPCI_AMUTBMUT1|163064|	ID_139	11	0.00	-0.18	-0.66	-0.66	-2.22	-1.89	-0.42	0.13	-0.52
JGI|COPCI_AMUTBMUT1|163947|	ID_140	21	0.00	-0.87	-1.60	-1.47	-4.44	-4.13	-3.73	-1.81	-2.84
JGI|COPCI_AMUTBMUT1|164224|	ID_141	2	0.00	-1.13	-1.47	-0.62	-1.05	-0.02	-1.91	0.39	-1.01
JGI|COPCI_AMUTBMUT1|164466|	ID_142	29	0.00	-0.21	0.75	0.70	2.03	0.49	-0.62	0.85	-1.69
JGI|COPCI_AMUTBMUT1|164761|	ID_143	39	0.00	-1.02	-0.74	-0.78	-1.10	0.19	0.32	1.60	2.95
JGI|COPCI_AMUTBMUT1|164922|	ID_144	46	0.00	0.48	0.02	0.00	-0.13	-0.63	-1.71	0.90	-0.80
JGI|COPCI_AMUTBMUT1|165685|	ID_145	24	0.00	-0.55	-0.70	-0.79	-1.05	0.49	-2.65	1.60	1.69
JGI|COPCI_AMUTBMUT1|166359|	ID_146	39	0.00	-0.29	0.73	0.29	2.68	2.46	1.26	4.52	3.41
JGI|COPCI_AMUTBMUT1|166533|	ID_147	29	0.00	0.23	0.53	0.85	1.09	0.38	0.29	-2.31	-1.76
JGI|COPCI_AMUTBMUT1|16680|	ID_148	29	0.00	0.00	2.77	2.79	2.44	1.47	0.27	0.49	-0.73
JGI|COPCI_AMUTBMUT1|167060|	ID_149	10	0.00	-1.09	-2.10	-1.91	-3.94	-1.92	-3.08	-3.77	-2.36
JGI|COPCI_AMUTBMUT1|167773|	ID_150	11	0.00	2.31	-0.59	-0.04	-1.90	-0.76	0.41	1.96	2.26
JGI|COPCI_AMUTBMUT1|167940|	ID_151	31	0.00	1.91	-0.48	-0.37	-0.21	-0.49	0.66	-1.36	4.00
JGI|COPCI_AMUTBMUT1|168414|	ID_152	36	0.00	-0.72	-0.29	-0.24	-0.49	-1.71	0.72	-2.72	-2.09
JGI|COPCI_AMUTBMUT1|168803|	ID_153	3	0.00	-2.56	-3.30	-2.86	-1.71	-2.94	-5.61	-2.53	-4.60
JGI|COPCI_AMUTBMUT1|169411|	ID_154	12	0.00	-0.22	-0.14	-0.01	2.05	0.48	1.21	1.16	-0.78
JGI|COPCI_AMUTBMUT1|169583|	ID_155	29	0.00	0.57	1.55	1.36	0.64	0.42	2.03	-0.56	-2.16
JGI|COPCI_AMUTBMUT1|169778|	ID_156	14	0.00	0.10	0.82	0.50	2.70	6.00	1.70	1.13	1.11
JGI|COPCI_AMUTBMUT1|17063|	ID_157	29	0.00	1.07	3.22	3.30	2.88	5.44	3.17	0.02	1.00
JGI|COPCI_AMUTBMUT1|170740|	ID_158	24	0.00	0.07	-0.39	-0.51	0.04	-0.88	-0.65	0.42	2.27
JGI|COPCI_AMUTBMUT1|170780|	ID_159	31	0.00	0.60	-2.18	-0.58	-0.04	-1.81	-1.24	0.37	3.87
JGI|COPCI_AMUTBMUT1|171014|	ID_161	27	0.00	-1.01	-0.41	-0.43	1.44	-1.28	-1.29	-2.78	2.09
JGI|COPCI_AMUTBMUT1|171058|	ID_162	10	0.00	-0.14	-1.15	-1.10	-2.19	-2.31	-2.08	-1.26	-3.49
JGI|COPCI_AMUTBMUT1|171101|	ID_163	39	0.00	1.35	1.81	1.68	1.84	5.74	4.97	4.67	5.45
JGI|COPCI_AMUTBMUT1|173387|	ID_165	10	0.00	0.28	0.19	-0.01	-0.06	-0.95	-1.83	-0.92	-1.92
JGI|COPCI_AMUTBMUT1|173436|	ID_166	28	0.00	2.19	2.61	2.60	0.77	3.67	-2.26	1.07	2.97
JGI|COPCI_AMUTBMUT1|173636|	ID_167	12	0.00	-0.06	-0.07	0.07	0.84	-0.51	0.37	-0.14	-2.24
JGI|COPCI_AMUTBMUT1|173869|	ID_168	41	0.00	0.42	0.82	0.70	2.40	1.21	-0.39	0.56	-0.76
JGI|COPCI_AMUTBMUT1|173922|	ID_169	36	0.00	-0.21	0.28	0.48	-0.08	-1.38	0.99	-0.73	-0.05
JGI|COPCI_AMUTBMUT1|174389|	ID_171	10	0.00	-0.43	-0.41	-0.18	-1.06	-1.75	-1.50	-2.07	-1.93
JGI|COPCI_AMUTBMUT1|174763|	ID_173	10	0.00	0.80	0.60	0.67	-0.18	1.41	-0.54	-1.80	-1.53
JGI|COPCI_AMUTBMUT1|175263|	ID_174	27	0.00	0.83	1.17	0.69	0.92	0.42	1.67	-1.35	2.24
JGI|COPCI_AMUTBMUT1|17623|	ID_175	31	0.00	-0.40	-0.86	-0.59	-0.59	-1.67	0.65	-1.31	1.65
JGI|COPCI_AMUTBMUT1|176369|	ID_176	10	0.00	-0.66	-1.25	-1.41	-3.02	-2.16	-4.64	-2.20	-4.65
JGI|COPCI_AMUTBMUT1|17650|	ID_177	29	0.00	0.14	1.83	1.16	4.01	3.65	2.00	-0.19	0.97
JGI|COPCI_AMUTBMUT1|176564|	ID_178	18	0.00	0.08	0.46	0.69	3.26	0.28	-1.96	2.53	1.11
JGI|COPCI_AMUTBMUT1|176811|	ID_179	38	0.00	0.19	1.19	1.13	1.43	3.83	0.89	1.37	1.93
JGI|COPCI_AMUTBMUT1|178093|	ID_181	29	0.00	-0.07	1.42	1.58	2.78	1.04	-0.14	-1.45	-0.66
JGI|COPCI_AMUTBMUT1|178247|	ID_182	24	0.00	-0.13	0.53	0.32	2.11	0.99	0.01	2.20	2.27
JGI|COPCI_AMUTBMUT1|178549|	ID_183	10	0.00	1.30	0.34	0.85	-4.50	0.78	-3.73	-7.68	-6.34
JGI|COPCI_AMUTBMUT1|178687|	ID_184	10	0.00	-0.05	-0.64	0.76	-2.88	-4.34	-5.48	-4.17	-5.77
JGI|COPCI_AMUTBMUT1|179248|	ID_185	32	0.00	0.07	0.22	0.32	-0.81	-1.04	1.42	-0.74	0.51
JGI|COPCI_AMUTBMUT1|179399|	ID_186	35	0.00	1.32	1.41	1.03	0.12	1.68	0.85	-0.40	1.34
JGI|COPCI_AMUTBMUT1|179552|	ID_187	48	0.00	3.67	4.18	3.71	5.74	4.76	3.84	5.61	5.19
JGI|COPCI_AMUTBMUT1|180494|	ID_188	28	0.00	2.55	2.32	2.37	2.02	3.01	0.48	1.49	4.27
JGI|COPCI_AMUTBMUT1|180630|	ID_189	43	0.00	1.93	-1.05	-0.56	-0.24	0.74	-0.15	-0.01	2.24
JGI|COPCI_AMUTBMUT1|181076|	ID_190	11	0.00	-0.26	-2.62	-1.54	-3.81	-2.98	-2.78	-0.57	-1.03
JGI|COPCI_AMUTBMUT1|181958|	ID_191	19	0.00	1.42	-2.17	-1.59	-2.78	-0.56	-1.81	-2.81	-3.09
JGI|COPCI_AMUTBMUT1|182625|	ID_192	29	0.00	0.11	0.74	0.40	2.64	0.08	0.34	-0.54	-1.95
JGI|COPCI_AMUTBMUT1|182737|	ID_193	48	0.00	1.32	1.46	1.36	4.16	2.41	3.10	2.12	1.62
JGI|COPCI_AMUTBMUT1|183282|	ID_194	24	0.00	0.74	1.15	0.39	1.17	1.25	0.19	2.82	4.20
JGI|COPCI_AMUTBMUT1|183599|	ID_195	7	0.00	-0.79	-0.65	-0.40	-0.19	-0.60	3.60	-0.60	0.57
JGI|COPCI_AMUTBMUT1|183763|	ID_196	29	0.00	-0.16	0.55	0.44	0.19	0.61	0.85	-1.57	-1.32
JGI|COPCI_AMUTBMUT1|184345|	ID_197	39	0.00	2.62	2.19	2.01	3.51	4.51	1.31	5.40	5.26
JGI|COPCI_AMUTBMUT1|184469|	ID_198	24	0.00	-0.19	0.69	0.12	-0.92	2.97	-2.88	1.18	3.40
JGI|COPCI_AMUTBMUT1|185510|	ID_199	9	0.00	-0.21	0.26	0.24	0.20	-0.21	0.85	-1.27	-1.23
JGI|COPCI_AMUTBMUT1|185577|	ID_200	11	0.00	-0.40	-0.83	-0.55	-1.43	-1.83	0.65	-0.49	0.11
JGI|COPCI_AMUTBMUT1|185751|	ID_201	24	0.00	-0.93	-1.29	-1.30	-0.35	-1.59	-2.50	0.45	-0.49
JGI|COPCI_AMUTBMUT1|185785|	ID_202	11	0.00	0.15	-1.02	-1.08	-1.87	-1.15	-0.57	1.41	1.12
JGI|COPCI_AMUTBMUT1|18671|	ID_203	39	0.00	-1.18	-1.13	-1.03	1.38	1.00	0.39	1.14	3.15
JGI|COPCI_AMUTBMUT1|187053|	ID_204	29	0.00	-0.29	1.09	1.26	1.27	-0.08	0.01	-0.06	-1.40
JGI|COPCI_AMUTBMUT1|187072|	ID_205	10	0.00	-0.84	-2.38	-3.01	-5.18	-5.28	-3.34	-6.08	-4.08
JGI|COPCI_AMUTBMUT1|187165|	ID_206	24	0.00	0.59	0.24	0.11	0.79	1.06	-0.35	3.87	4.17
JGI|COPCI_AMUTBMUT1|187635|	ID_207	14	0.00	-0.05	0.22	-0.06	1.43	2.74	0.07	1.09	1.22
JGI|COPCI_AMUTBMUT1|188235|	ID_209	24	0.00	-1.03	0.07	0.03	-1.61	-1.78	-2.50	2.02	0.10
JGI|COPCI_AMUTBMUT1|188284|	ID_210	24	0.00	-0.22	0.11	-0.00	-1.61	-1.43	-2.15	2.20	2.41
