GeneSymbol	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
jgi|Copci_AmutBmut1|100336|	4.55071281165609	5.82493480377267	5.51168825165306	5.35307648520902	3.07251853793412	1.20120386385629	6.0579734833842	1.55763169152105	1.24577657935029
jgi|Copci_AmutBmut1|10085|	4.79590748220132	4.5477161634057	4.39819214885966	4.79338422744772	4.83442861297797	6.04775639738795	4.51794496368625	8.65918666357001	5.24695737714735
jgi|Copci_AmutBmut1|102355|	5.85573378440099	4.64490737219222	3.81259891744233	5.16368366686553	3.03901996186299	4.40711938606061	6.21723371429538	5.78322560222384	9.77489334071844
jgi|Copci_AmutBmut1|104036|	5.06258621890754	4.88826246884338	4.48612870522244	4.30180507759225	3.14248810807257	3.89472268334704	3.73568311848247	4.58465516091755	3.53321200303702
jgi|Copci_AmutBmut1|104072|	4.72142976577255	4.02876899194312	4.36267287551076	3.8743617175059	5.62689023967263	4.16628256104248	4.14832772291785	2.31991181134875	2.57137568976143
jgi|Copci_AmutBmut1|104367|	2.54980465389889	3.0869881590117	2.88427376937075	2.64523796400058	2.49889930792882	1.95777175459413	3.5393127785685	4.60149177838843	3.29041353854733
jgi|Copci_AmutBmut1|104532|	5.37367491914942	4.40934703839163	5.29797595625232	5.10040178819521	3.55248834997969	5.41092884460862	4.16817779373186	4.56871285370954	5.40915523250365
jgi|Copci_AmutBmut1|104742|	3.29701144037524	2.58136521368071	3.17431895743484	2.74364127171749	5.1594471103911	6.20067780285244	2.42604662138545	6.28985119153405	4.53664249431892
jgi|Copci_AmutBmut1|104827|	2.51312322826301	2.27461698717579	3.12904738612012	2.68025753601873	3.14935586975902	3.79899023984958	3.62672732303413	1.67876737782833	1.88962861179594
jgi|Copci_AmutBmut1|105298|	1.57400464768056	1.2967501807552	1.89987987817081	2.43524154351313	4.05795698278574	4.97727575042981	1.99655834168289	3.30849628430919	1.7062446433037
jgi|Copci_AmutBmut1|105528|	3.28777578792888	4.18369183004618	4.56977168883895	4.0271159996995	5.16797345730093	7.02760207177033	4.59967970080669	7.52374813985159	6.46510117566102
jgi|Copci_AmutBmut1|105825|	3.39607575103861	3.53164943149307	3.19137400228788	2.81084555587429	3.34165117761465	3.24053155755104	4.76327186721618	4.28657172856381	2.44833620115689
jgi|Copci_AmutBmut1|107221|	2.31195599225681	3.21730606579513	2.71737913667539	2.3727434650972	2.48294062862878	0.779055975414254	1.87428542471022	5.02478033867279	3.53698172785251
jgi|Copci_AmutBmut1|107495|	2.11579836718284	1.9822885971307	3.59905341009293	3.91734741125586	1.79204398139361	6.07440527947694	0.327295708385028	4.03330232621406	6.59969151881588
jgi|Copci_AmutBmut1|107502|	3.02404831471149	4.22787278271387	4.54752664395613	4.41982086027873	3.16471825291411	5.67363152298882	2.69650867663299	4.1396919889882	3.45068681219506
jgi|Copci_AmutBmut1|107831|	3.9324780768958	4.50257530406343	4.37126750968486	3.98574326854661	3.72494921814132	2.41885188749978	2.42971460719611	4.25266232868588	2.54266071493416
jgi|Copci_AmutBmut1|108326|	4.96741405385151	4.51459441329989	3.97682309501456	4.88783169862762	4.50344845836362	4.23768708862543	4.29761137022105	4.57272145601314	3.79311194862027
jgi|Copci_AmutBmut1|10880|	3.42516141095094	3.03622908666138	5.69785249811365	4.79707959284107	7.07158778413951	7.24330147399203	7.38145028619581	2.99598571380637	2.4906524598398
jgi|Copci_AmutBmut1|110032|	3.83338112875386	3.54908143752205	3.35103074957521	3.57282519059775	3.31118141683212	8.20271882481004	4.58596753216718	7.32309440012566	8.82449681213638
jgi|Copci_AmutBmut1|110072|	6.81844196262719	4.02023632393343	6.55336001444145	8.3171462575956	5.01283459350628	9.59706940846594	4.90277563310026	8.03679326573564	9.57486886970917
jgi|Copci_AmutBmut1|110284|	2.20905178659345	6.31344056739895	7.77817629066991	7.56159836816802	4.03793180606931	4.28592112895193	3.26471284478656	2.54159324490352	4.38646748269926
jgi|Copci_AmutBmut1|110605|	6.32298550916854	5.13439976856429	4.07382161200857	5.18033991352419	3.87618802044029	5.94925062021099	6.4569204161073	4.36597598219231	6.62051115520905
jgi|Copci_AmutBmut1|111284|	2.1922953097344	1.73471780199423	2.9796607014812	2.22875355630176	2.73132267001225	2.97948694848002	3.48255748530217	0.55800363197966	0.487156619312693
jgi|Copci_AmutBmut1|111349|	5.02921051052071	6.17341867354824	6.41359454681548	6.72680477015148	7.75559177660032	9.98617572070709	5.09133801390127	5.72486810993316	6.08487264449764
jgi|Copci_AmutBmut1|111662|	7.96798903358663	6.28332514462728	3.55259837027549	4.27614489633471	1.72795537448332	1.63155089855461	0.590821422494708	1.11876533375473	0.425372637558446
jgi|Copci_AmutBmut1|111837|	2.33911367039364	3.17405750692552	6.40357368863402	4.03012919605655	1.74515021362784	1.30780982947646	1.81392563400638	2.98913731855988	1.47844451303156
jgi|Copci_AmutBmut1|113190|	1.43435857594721	1.40145509823258	1.2747423499935	0.895173142339245	1.19974241520577	3.74162865943341	0.479914389336125	2.14481807797541	0.909759715060527
jgi|Copci_AmutBmut1|113984|	2.33903331755501	3.50486443150479	2.61864340907287	3.69705742675743	0.0135822783976476	2.76562411673445	0.503064711928882	1.63330475893736	3.70328162831193
jgi|Copci_AmutBmut1|114194|	4.89250657298815	5.22113030914585	3.79842486445624	4.68586647326671	3.96514817826808	3.48173094227711	1.4918922663925	6.84100039985582	6.08115531432737
jgi|Copci_AmutBmut1|114948|	2.01655926985682	1.47319844724117	0.481996566716253	1.08763035713392	1.37522655139673	0.395884964384172	4.93361398716294	1.3313260264389	1.70793799074316
jgi|Copci_AmutBmut1|115401|	1.47325639742458	4.03932237803824	3.59287068973647	3.60478505254493	5.38469041324826	5.33839420288489	3.70591039022333	3.81501638576403	4.57573683472753
jgi|Copci_AmutBmut1|11580|	4.46964941095607	5.54502429326468	5.3208529740807	4.72514948259116	5.86403244493918	6.2109589680847	4.57377838831354	6.91633841374319	4.74118324710595
jgi|Copci_AmutBmut1|116409|	3.28033866883392	5.74081631095681	5.76690800983996	5.65884407075865	6.55848392807619	9.59799164101225	7.73820681372314	5.12504256938538	6.92561377201009
jgi|Copci_AmutBmut1|116639|	3.54599040141369	3.10556885180857	2.77649863011968	3.14040673838289	4.29191265741584	2.30286160114619	1.31198204923695	2.51257914094439	3.91904981734436
jgi|Copci_AmutBmut1|11671|	4.89843763689174	5.34151459673534	6.00454504051506	6.29099017380315	7.79526384820222	6.13038629708219	4.70888237275297	9.37802546258033	7.99986602493329
jgi|Copci_AmutBmut1|116727|	2.94661861092904	3.53933695549605	3.99582164772687	3.54382840486375	4.19039518554207	2.47974068072449	3.3574134842518	4.069274060941	1.7284126270376
