GeneSymbol	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
jgi|Copci_AmutBmut1|100336|	4.6510307568179	5.3367425176283	5.92423956655869	5.73004600770486	3.43460867927448	2.39615168668885	5.12509031126749	1.92497515304357	1.69731895968992
jgi|Copci_AmutBmut1|10085|	5.2750722229034	5.01447425099242	4.80320840887159	4.43813247400496	5.01908944865042	5.25220741969258	4.21501943084418	7.79738503013634	5.33627059971806
jgi|Copci_AmutBmut1|102355|	5.76488028480476	5.37366973235692	4.76842739026196	4.01777488137741	2.56844673264987	3.18448931173206	5.5711715957215	6.34440060578922	8.95342880029959
jgi|Copci_AmutBmut1|104036|	4.92324267878652	5.45297333688372	4.36124094196716	4.5476071210098	2.68766762589448	3.52561889370468	3.65471128438017	4.59381433935732	3.02112469085352
jgi|Copci_AmutBmut1|104072|	4.87984290285235	3.87705207591844	4.04013415477127	4.53814222417043	6.44341127226583	5.07897255219372	4.49822230284335	2.14971713797638	1.98492327437338
jgi|Copci_AmutBmut1|104367|	2.2233998629811	2.52129211160401	3.11896908948381	2.61853384875862	2.59927060381985	2.35948280542561	1.8243483252441	4.81152503729284	2.886256077683
jgi|Copci_AmutBmut1|104532|	5.68675525676368	5.05871317770398	4.55590439551739	5.54718748396597	2.33234836838703	6.22839994833513	3.28904083802601	4.65496663687188	6.5605131369056
jgi|Copci_AmutBmut1|104742|	2.86594326452617	5.62760112412993	2.14629768095448	2.60879529791493	4.78963971061646	5.03388466266518	3.13911818451472	5.22268785845961	4.97212067032037
jgi|Copci_AmutBmut1|104827|	2.42702804919394	2.81935431332223	2.6418106515096	3.18215492850252	3.23352036359852	4.19285520721788	2.84620351474815	1.95353507470686	2.15834497522363
jgi|Copci_AmutBmut1|105298|	1.62391616181986	2.1538610935619	2.08455015829595	2.60753279737688	3.93103059350809	3.63064526858301	3.99633408976528	2.58603971473208	2.75214822236674
jgi|Copci_AmutBmut1|105528|	2.95901659915988	4.23870349820058	4.01879607468516	4.61472097913871	4.66105824948502	5.87083522444303	7.12440758248296	7.17894561313499	5.82770368028206
jgi|Copci_AmutBmut1|105825|	3.48755734279343	3.05871033827758	2.97994120293116	3.09401403653475	3.63311800185812	4.94015089168334	3.93677432498053	4.17878436346472	2.49896219046233
jgi|Copci_AmutBmut1|107221|	2.39563641318624	2.14435288014576	2.81087224869102	2.86196693555192	2.56084867665445	1.1413548560253	1.39898776167835	5.15130501211663	4.13405629394557
jgi|Copci_AmutBmut1|107495|	1.80133445141872	4.62406839876135	3.53890655087804	3.98600900260175	2.11556079105523	5.48732802458336	0.57939348806859	3.36395447451836	6.75643266890689
