Gene ID #2	Gene ID #1	Class	type
GAMT	ID688	2	proliferation class
CYP4A11	ID689	2	proliferation class
ST3GAL6	ID690	2	proliferation class
GRHPR	ID691	2	proliferation class
flabee	ID692	2	proliferation class
EPHX1	ID693	2	proliferation class
MYO1B	ID694	2	proliferation class
GPLD1	ID695	2	proliferation class
GPT	ID696	2	proliferation class
LOC440286	ID697	2	proliferation class
CYP27A1	ID698	2	proliferation class
AADAC	ID699	2	proliferation class
LOC134147	ID700	2	proliferation class
PDK4	ID701	2	proliferation class
CDO1.shed4	ID702	2	proliferation class
tAKR	ID703	2	proliferation class
CAT	ID704	2	proliferation class
NAT2	ID705	2	proliferation class
lyta	ID706	2	proliferation class
RGN	ID707	2	proliferation class
CYP3A43	ID708	2	proliferation class
RWDD3.shed2	ID709	2	proliferation class
CA5A	ID710	2	proliferation class
GNE	ID711	2	proliferation class
CYP2C9	ID712	2	proliferation class
ANGPTL3	ID713	2	proliferation class
PNPO	ID714	2	proliferation class
F8	ID715	2	proliferation class
AASS	ID716	2	proliferation class
NUDT6	ID717	2	proliferation class
nehu	ID718	2	proliferation class
TM6SF2andHAPL	ID719	2	proliferation class
CYP2J2	ID720	2	proliferation class
AOX1	ID721	2	proliferation class
TST	ID722	2	proliferation class
KLF9	ID723	2	proliferation class
shorgor	ID724	2	proliferation class
NR1I3	ID725	2	proliferation class
POR	ID726	2	proliferation class
CYP4A22	ID727	2	proliferation class
CUTL2	ID728	2	proliferation class
HFE2	ID729	2	proliferation class
MLYCD	ID730	2	proliferation class
LOC201895	ID731	2	proliferation class
ALAS1	ID732	2	proliferation class
ITIH1	ID733	2	proliferation class
TAT	ID734	2	proliferation class
CYP4F3	ID735	2	proliferation class
TTPA	ID736	2	proliferation class
remeru	ID737	2	proliferation class
SLC2A2	ID738	2	proliferation class
AGXT	ID739	2	proliferation class
AGXT2	ID740	2	proliferation class
RCL1	ID741	2	proliferation class
HADHSC	ID742	2	proliferation class
CYP2B6	ID743	2	proliferation class
fersweeby	ID744	2	proliferation class
CDC14B	ID745	2	proliferation class
KNG1	ID746	2	proliferation class
RBP5	ID747	2	proliferation class
RORC	ID748	2	proliferation class
CCL14	ID749	2	proliferation class
BOK	ID750	2	proliferation class
WNK3	ID751	2	proliferation class
MYRIP	ID752	2	proliferation class
SERPING1	ID753	2	proliferation class
ABCA8	ID754	2	proliferation class
AKR7A3	ID755	2	proliferation class
BLOC1S1	ID756	2	proliferation class
HIBADH	ID757	2	proliferation class
ABCG8	ID758	2	proliferation class
CYP2C8	ID759	2	proliferation class
FAM79B	ID760	2	proliferation class
seyura	ID761	2	proliferation class
RDH16	ID762	2	proliferation class
SULT1B1	ID763	2	proliferation class
ADH4	ID764	2	proliferation class
SLC38A4	ID765	2	proliferation class
PLG.shed1	ID766	2	proliferation class
RHOB	ID767	2	proliferation class
ALDH5A1	ID768	2	proliferation class
GPT2	ID769	2	proliferation class
SELO	ID770	2	proliferation class
LECT2	ID771	2	proliferation class
CIDEB	ID772	2	proliferation class
COL18A1	ID773	2	proliferation class
ADH6	ID774	2	proliferation class
EFCBP2	ID775	2	proliferation class
jarswerby	ID776	2	proliferation class
ALDH3A2	ID777	2	proliferation class
ECHDC3	ID778	2	proliferation class
LOC442096	ID779	2	proliferation class
CLDN14	ID780	2	proliferation class
FLJ21986	ID781	2	proliferation class
FLJ20366	ID782	2	proliferation class
PRAP1	ID783	2	proliferation class
CYP1A2.1	ID784	2	proliferation class
CPB2	ID785	2	proliferation class
UGT1A10	ID786	2	proliferation class
SLC38A3	ID787	2	proliferation class
rawna	ID788	2	proliferation class
MGC35366	ID789	2	proliferation class
florborbo	ID790	2	proliferation class
LOC255167	ID791	2	proliferation class
SYTL4	ID792	2	proliferation class
DHRS1	ID793	2	proliferation class
TFR2	ID794	2	proliferation class
SLC22A1	ID795	2	proliferation class
SLC16A2	ID796	2	proliferation class
SERPINA10	ID797	2	proliferation class
NAGS	ID798	2	proliferation class
OASL	ID799	2	proliferation class
OGDHL	ID800	2	proliferation class
STAT1	ID801	3	interferon class
FCGR2B	ID802	3	interferon class
CALCRL	ID803	3	interferon class
KLRB1	ID804	3	interferon class
ALOX5AP	ID805	3	interferon class
ISG15	ID806	3	interferon class
KMO	ID807	3	interferon class
MS4A4A	ID808	3	interferon class
GPR65	ID809	3	interferon class
IFI6	ID810	3	interferon class
SLC38A4	ID811	3	interferon class
SERPINA7	ID812	3	interferon class
APOF	ID813	3	interferon class
PLA2G2A	ID814	3	interferon class
zawobo	ID815	3	interferon class
HPGD	ID816	3	interferon class
ACSL4	ID817	3	interferon class
KCNT2	ID818	3	interferon class
TDO2	ID819	3	interferon class
FCGR3A	ID820	3	interferon class
SLC12A2	ID821	3	interferon class
EVI2A	ID822	3	interferon class
MOXD1	ID823	3	interferon class
GOT1	ID824	3	interferon class
HLA-DQA1.1	ID825	3	interferon class
NNMT	ID826	3	interferon class
PRAMEF10	ID827	3	interferon class
IFI27	ID828	3	interferon class
yoha	ID829	3	interferon class
CDC14B.shed1	ID830	3	interferon class
HSDL2.shed2	ID831	3	interferon class
ONECUT2	ID832	3	interferon class
barzu	ID833	3	interferon class
blerky	ID834	3	interferon class
FLJ39653	ID835	3	interferon class
narroby	ID836	3	interferon class
dusmaby	ID837	3	interferon class
karara	ID838	3	interferon class
kerswerby	ID839	3	interferon class
baflybu	ID840	3	interferon class
ZNRF3	ID841	3	interferon class
ACOX1.shed2	ID842	3	interferon class
BTNL9.shed2	ID843	3	interferon class
swabley	ID844	3	interferon class
TRPM7.shed1	ID845	3	interferon class
yurero	ID846	3	interferon class
C20orf155.shed2	ID847	3	interferon class
Transposase_22.2	ID848	3	interferon class
yayuro	ID849	3	interferon class
hutura	ID850	3	interferon class
LOC284058.shed1	ID851	3	interferon class
ACPL2	ID852	3	interferon class
smeesnorby	ID853	3	interferon class
kehe	ID854	3	interferon class
polor	ID855	3	interferon class
zf-BED.0	ID856	3	interferon class
teesar	ID857	3	interferon class
sposkuby	ID858	3	interferon class
GRB10.shed1	ID859	3	interferon class
SLAC2-B	ID860	3	interferon class
LOC440994.shed5	ID861	3	interferon class
ADM	ID862	3	interferon class
USP54	ID863	3	interferon class
plybla	ID864	3	interferon class
LGR5	ID865	3	interferon class
porza	ID866	3	interferon class
DAAM1	ID867	3	interferon class
FLJ32009	ID868	3	interferon class
KIAA0888	ID869	3	interferon class
PHYHIPL	ID870	3	interferon class
SLC16A10	ID871	3	interferon class
stersmawby	ID872	3	interferon class
AMACR	ID873	3	interferon class
GABPB2.1.shed1	ID874	3	interferon class
RHBG	ID875	3	interferon class
rotiri	ID876	3	interferon class
CKB	ID877	3	interferon class
ZBTB20.2	ID878	3	interferon class
FLJ22763	ID879	3	interferon class
NKD1.shed1	ID880	3	interferon class
Transposase_22.4	ID881	3	interferon class
bawgler	ID882	3	interferon class
HLF	ID883	3	interferon class
SLC16A11	ID884	3	interferon class
sperpeebo	ID885	3	interferon class
RASAL2.2	ID886	3	interferon class
NKD1	ID887	3	interferon class
ASPSCR1	ID888	3	interferon class
FLJ14299	ID889	3	interferon class
WBSCR14	ID890	3	interferon class
LOC441027	ID891	3	interferon class
ZNF533	ID892	3	interferon class
SLC6A8	ID893	3	interferon class
zuwobu	ID894	3	interferon class
nakuru	ID895	3	interferon class
ESM1	ID896	3	interferon class
roywaw	ID897	3	interferon class
shoynaw	ID898	3	interferon class
NR2F1	ID899	3	interferon class
sheemaw	ID900	3	interferon class
feedoy	ID901	3	interferon class
NEK3	ID902	3	interferon class
PAGE4	ID903	3	interferon class
SLC5A6	ID904	3	interferon class
DNM1	ID905	3	interferon class
DKFZp761P0423	ID906	3	interferon class
torero	ID907	3	interferon class
ATP6V0E2L	ID908	3	interferon class
ODZ2	ID909	3	interferon class
mitaru	ID910	3	interferon class
FADS1	ID911	3	interferon class
IGF2	ID912	3	interferon class
MOGAT1	ID913	3	interferon class
zartey	ID914	3	interferon class
SLC13A3	ID915	3	interferon class
shobleeby	ID916	3	interferon class
chawmyby	ID917	3	interferon class
C6orf97	ID918	3	interferon class
TRIB2	ID919	3	interferon class
MME	ID920	3	interferon class
TNFRSF19	ID921	3	interferon class
APIN	ID922	3	interferon class
COBL	ID923	4	chromosome 7 polysomy class
FNDC5	ID924	4	chromosome 7 polysomy class
ARMC6	ID925	4	chromosome 7 polysomy class
CLDN15	ID926	4	chromosome 7 polysomy class
MAD1L1	ID927	4	chromosome 7 polysomy class
MGC50844	ID928	4	chromosome 7 polysomy class
POLD2	ID929	4	chromosome 7 polysomy class
GARNL3	ID930	4	chromosome 7 polysomy class
TM6SF2andHAPL	ID931	4	chromosome 7 polysomy class
rylar	ID932	4	chromosome 7 polysomy class
zorko	ID933	4	chromosome 7 polysomy class
smeymoy	ID934	4	chromosome 7 polysomy class
ADCY1	ID935	4	chromosome 7 polysomy class
EPHA1	ID936	4	chromosome 7 polysomy class
lyry	ID937	4	chromosome 7 polysomy class
ZNF38	ID938	4	chromosome 7 polysomy class
GCGR	ID939	4	chromosome 7 polysomy class
GLCCI1	ID940	4	chromosome 7 polysomy class
PRKAG2	ID941	4	chromosome 7 polysomy class
LAMB3	ID942	4	chromosome 7 polysomy class
TRIM35	ID943	4	chromosome 7 polysomy class
DKFZP586B1621	ID944	4	chromosome 7 polysomy class
noyfu	ID945	4	chromosome 7 polysomy class
MFSD2	ID946	4	chromosome 7 polysomy class
PEPD	ID947	4	chromosome 7 polysomy class
WNK3	ID948	4	chromosome 7 polysomy class
MAGEB2	ID949	4	chromosome 7 polysomy class
ICA1	ID950	4	chromosome 7 polysomy class
LOC388227	ID951	4	chromosome 7 polysomy class
FBXO2	ID952	4	chromosome 7 polysomy class
LOC255167	ID953	4	chromosome 7 polysomy class
ADAMTS17	ID954	4	chromosome 7 polysomy class
PRSS8	ID955	4	chromosome 7 polysomy class
sanera	ID956	4	chromosome 7 polysomy class
C14orf68	ID957	4	chromosome 7 polysomy class
FLJ90586	ID958	4	chromosome 7 polysomy class
CRYAA	ID959	4	chromosome 7 polysomy class
POR	ID960	4	chromosome 7 polysomy class
TMEM16A	ID961	4	chromosome 7 polysomy class
moyaru	ID962	4	chromosome 7 polysomy class
POT1	ID963	4	chromosome 7 polysomy class
CLDN3	ID964	4	chromosome 7 polysomy class
FLJ14981	ID965	4	chromosome 7 polysomy class
CHN2	ID966	4	chromosome 7 polysomy class
RHOU	ID967	4	chromosome 7 polysomy class
ELAVL1	ID968	4	chromosome 7 polysomy class
FCGRT	ID969	4	chromosome 7 polysomy class
C22orf1.1	ID970	4	chromosome 7 polysomy class
CROT	ID971	4	chromosome 7 polysomy class
MOGAT3	ID972	4	chromosome 7 polysomy class
CYP2A7	ID973	4	chromosome 7 polysomy class
poyker	ID974	4	chromosome 7 polysomy class
remeru	ID975	4	chromosome 7 polysomy class
PYGL	ID976	4	chromosome 7 polysomy class
TLE2	ID977	4	chromosome 7 polysomy class
LOC401393	ID978	4	chromosome 7 polysomy class
TUBE1	ID979	4	chromosome 7 polysomy class
LOC201651	ID980	4	chromosome 7 polysomy class
MNS1	ID981	4	chromosome 7 polysomy class
parzar	ID982	4	chromosome 7 polysomy class
GCK	ID983	4	chromosome 7 polysomy class
DHRS1	ID984	4	chromosome 7 polysomy class
SLC16A2	ID985	4	chromosome 7 polysomy class
LOC388177	ID986	4	chromosome 7 polysomy class
LOC440941	ID987	4	chromosome 7 polysomy class
HAAO	ID988	4	chromosome 7 polysomy class
NALP11	ID989	4	chromosome 7 polysomy class
snawsabo	ID990	4	chromosome 7 polysomy class
LRRC31	ID991	4	chromosome 7 polysomy class
FLJ23834	ID992	4	chromosome 7 polysomy class
PILRB	ID993	4	chromosome 7 polysomy class
CLDN14	ID994	4	chromosome 7 polysomy class
DAO	ID995	4	chromosome 7 polysomy class
CYP2A6	ID996	4	chromosome 7 polysomy class
MGC4504	ID997	4	chromosome 7 polysomy class
PTK6	ID998	4	chromosome 7 polysomy class
GPR88	ID999	4	chromosome 7 polysomy class
RaLP	ID1000	4	chromosome 7 polysomy class
PEMT	ID1001	4	chromosome 7 polysomy class
FOLH1	ID1002	4	chromosome 7 polysomy class
SYTL4	ID1003	4	chromosome 7 polysomy class
MAP1LC3A	ID1004	4	chromosome 7 polysomy class
lorjar	ID1005	4	chromosome 7 polysomy class
RAPGEF4	ID1006	4	chromosome 7 polysomy class
SLC22A1	ID1007	4	chromosome 7 polysomy class
CIDEB	ID1008	4	chromosome 7 polysomy class
IGFALS	ID1009	4	chromosome 7 polysomy class
ADSSL1	ID1010	4	chromosome 7 polysomy class
ABCB4	ID1011	4	chromosome 7 polysomy class
SLC28A1	ID1012	4	chromosome 7 polysomy class
zuwarbo	ID1013	4	chromosome 7 polysomy class
PFKFB1	ID1014	4	chromosome 7 polysomy class
SRD5A1	ID1015	4	chromosome 7 polysomy class
RCN1	ID1016	4	chromosome 7 polysomy class
SERPINB1	ID1017	4	chromosome 7 polysomy class
MOBKL1A	ID1018	4	chromosome 7 polysomy class
GPX2	ID1019	4	chromosome 7 polysomy class
PHACTR2	ID1020	4	chromosome 7 polysomy class
ROBO1	ID1021	4	chromosome 7 polysomy class
GNL3	ID1022	4	chromosome 7 polysomy class
BAMBI	ID1023	4	chromosome 7 polysomy class
PLOD2	ID1024	4	chromosome 7 polysomy class
zoly	ID1025	4	chromosome 7 polysomy class
C10orf38	ID1026	4	chromosome 7 polysomy class
AACS	ID1027	4	chromosome 7 polysomy class
LASS6	ID1028	4	chromosome 7 polysomy class
CARD6	ID1029	4	chromosome 7 polysomy class
SLC38A1	ID1030	4	chromosome 7 polysomy class
FLJ11259	ID1031	4	chromosome 7 polysomy class
LOC152831	ID1032	4	chromosome 7 polysomy class
P2RX5	ID1033	4	chromosome 7 polysomy class
DDEF1	ID1034	4	chromosome 7 polysomy class
nawsnoybu	ID1035	4	chromosome 7 polysomy class
PAG1	ID1036	4	chromosome 7 polysomy class
LOC401466	ID1037	4	chromosome 7 polysomy class
dukarbo	ID1038	4	chromosome 7 polysomy class
STOX2.1	ID1039	4	chromosome 7 polysomy class
SLC16A7	ID1040	4	chromosome 7 polysomy class
sleybo	ID1041	4	chromosome 7 polysomy class
munira	ID1042	4	chromosome 7 polysomy class
RHOBTB1	ID1043	4	chromosome 7 polysomy class
AKR1B10	ID1044	4	chromosome 7 polysomy class
starzarby	ID1045	4	chromosome 7 polysomy class
HOMER1	ID1046	4	chromosome 7 polysomy class
LOC201895.shed1	ID1047	5	unannotated class
Transposase_22.4	ID1048	5	unannotated class
sahore	ID1049	5	unannotated class
gorwey	ID1050	5	unannotated class
romara	ID1051	5	unannotated class
LRP6	ID1052	5	unannotated class
nerere	ID1053	5	unannotated class
meyderbo	ID1054	5	unannotated class
mohure	ID1055	5	unannotated class
MGC2803.shed1	ID1056	5	unannotated class
ACOX1.shed2	ID1057	5	unannotated class
DUSP16.shed1	ID1058	5	unannotated class
smogy	ID1059	5	unannotated class
Transposase_22.2	ID1060	5	unannotated class
dorwarbo	ID1061	5	unannotated class
norshee	ID1062	5	unannotated class
glerloy	ID1063	5	unannotated class
sarure	ID1064	5	unannotated class
kohira	ID1065	5	unannotated class
KIAA0999.shed1	ID1066	5	unannotated class
SFRS4.shed1	ID1067	5	unannotated class
smeesnorby	ID1068	5	unannotated class
NSUN6	ID1069	5	unannotated class
RAPGEF2.shed1	ID1070	5	unannotated class
ARHGEF10L.shed	ID1071	5	unannotated class
UBE2B.shed3	ID1072	5	unannotated class
hukeri	ID1073	5	unannotated class
LMO7.shed3	ID1074	5	unannotated class
F11.shed3	ID1075	5	unannotated class
ARNT.shed1	ID1076	5	unannotated class
vazo	ID1077	5	unannotated class
LRRFIP2.shed3	ID1078	5	unannotated class
suma	ID1079	5	unannotated class
mysar	ID1080	5	unannotated class
smeenobo	ID1081	5	unannotated class
CPEB4.shed5	ID1082	5	unannotated class
slarbly	ID1083	5	unannotated class
ABCA9	ID1084	5	unannotated class
bylarby	ID1085	5	unannotated class
SLC22A3	ID1086	5	unannotated class
PBEF1.shed5	ID1087	5	unannotated class
teku	ID1088	5	unannotated class
TNRC6A.shed4	ID1089	5	unannotated class
rohora	ID1090	5	unannotated class
flachey	ID1091	5	unannotated class
Transposase_22.2	ID1092	5	unannotated class
klawjoy	ID1093	5	unannotated class
zf-BED.0	ID1094	5	unannotated class
skoyflee	ID1095	5	unannotated class
LRRFIP2.shed2	ID1096	5	unannotated class
yahora	ID1097	5	unannotated class
SORL1.shed1	ID1098	5	unannotated class
lawshoby	ID1099	5	unannotated class
ARHGEF1.shed1	ID1100	5	unannotated class
shobleeby	ID1101	5	unannotated class
ZBTB20.2	ID1102	5	unannotated class
slaror	ID1103	5	unannotated class
C20orf94	ID1104	5	unannotated class
reyuro	ID1105	5	unannotated class
duly	ID1106	5	unannotated class
rehora	ID1107	5	unannotated class
KIFC3.shed1	ID1108	5	unannotated class
MAP3K13.shed3	ID1109	5	unannotated class
fogar	ID1110	5	unannotated class
farzy	ID1111	5	unannotated class
blerchy	ID1112	5	unannotated class
gloybeebu	ID1113	5	unannotated class
RREB1.2	ID1114	5	unannotated class
peykee	ID1115	5	unannotated class
spychey	ID1116	5	unannotated class
ARMC8.1	ID1117	5	unannotated class
marfaw	ID1118	5	unannotated class
voysner	ID1119	5	unannotated class
kolar	ID1120	5	unannotated class
mamera	ID1121	5	unannotated class
CDC2L5.shed1	ID1122	5	unannotated class
jeyjoybu	ID1123	5	unannotated class
fleysner	ID1124	5	unannotated class
swarsweyby	ID1125	5	unannotated class
plawlo	ID1126	5	unannotated class
MUC20	ID1127	5	unannotated class
LOC440994.shed5	ID1128	5	unannotated class
baflybu	ID1129	5	unannotated class
steegleyby	ID1130	5	unannotated class
HSDL2.shed2	ID1131	5	unannotated class
chawmyby	ID1132	5	unannotated class
swyjor	ID1133	5	unannotated class
PCGF3.1	ID1134	5	unannotated class
SMURF1.shed3	ID1135	5	unannotated class
varger	ID1136	5	unannotated class
jyko	ID1137	5	unannotated class
tosiru	ID1138	5	unannotated class
LOC284058.shed1	ID1139	5	unannotated class
PITPNB.shed1	ID1140	5	unannotated class
karara	ID1141	5	unannotated class
PIK3R1.shed1	ID1142	5	unannotated class
MARVELD2	ID1143	5	unannotated class
snojaw	ID1144	5	unannotated class
ETS2.shed2	ID1145	5	unannotated class
FTCD	ID1146	5	unannotated class
yosora	ID1147	5	unannotated class
charpee	ID1148	5	unannotated class
glaflarbu	ID1149	5	unannotated class
smazar	ID1150	5	unannotated class
kawtaw	ID1151	5	unannotated class
CYP2C19	ID1152	5	unannotated class
ARGBP2.shed6	ID1153	5	unannotated class
zuwobu	ID1154	5	unannotated class
MBNL2.shed1	ID1155	5	unannotated class
flaporbo.shed1	ID1156	5	unannotated class
RORA	ID1157	5	unannotated class
ZA20D2.shed1	ID1158	5	unannotated class
Ribosomal_S27e.3	ID1159	5	unannotated class
PCSK6.shed3	ID1160	5	unannotated class
barzu	ID1161	5	unannotated class
soygey	ID1162	5	unannotated class
hahu	ID1163	5	unannotated class
sposkuby	ID1164	5	unannotated class
CYP2B7P1	ID1165	5	unannotated class
zustoby	ID1166	5	unannotated class
plawlerby	ID1167	5	unannotated class
B2M.shed1	ID1168	5	unannotated class
yayuro	ID1169	5	unannotated class
HSPD1.shed4	ID1170	5	unannotated class
blarshee	ID1171	5	unannotated class
LEPR.shed7	ID1172	5	unannotated class
SLC20A1	ID1173	5	unannotated class
NPIP.8	ID1174	5	unannotated class
kekoru	ID1175	5	unannotated class
GSDML.shed1	ID1176	5	unannotated class
roywaw	ID1177	5	unannotated class
horu	ID1178	5	unannotated class
PROZ	ID1179	5	unannotated class
ARGBP2.shed1	ID1180	5	unannotated class
MGC11324	ID1181	5	unannotated class
RNF125	ID1182	5	unannotated class
LPA	ID1183	5	unannotated class
reeplu	ID1184	5	unannotated class
PLG.shed1	ID1185	5	unannotated class
DPYS.shed1	ID1186	5	unannotated class
sperla	ID1187	5	unannotated class
LOC200030.shed2	ID1188	5	unannotated class
hosara	ID1189	5	unannotated class
snoydarbu	ID1190	5	unannotated class
klargar	ID1191	5	unannotated class
sparla	ID1192	5	unannotated class
ELL2.shed3	ID1193	5	unannotated class
FIS	ID1194	5	unannotated class
NCOA2.shed1	ID1195	5	unannotated class
LOC169355	ID1196	5	unannotated class
MGC33926	ID1197	5	unannotated class
kerswerby	ID1198	5	unannotated class
B4GALT1.shed1	ID1199	5	unannotated class
SERPINB9.shed2	ID1200	5	unannotated class
DOCK5.shed1	ID1201	5	unannotated class
KIBRA.shed4	ID1202	5	unannotated class
heyaru	ID1203	5	unannotated class
HGFAC	ID1204	5	unannotated class
BACH2.shed1	ID1205	5	unannotated class
CYP2A7	ID1206	5	unannotated class
slarso	ID1207	5	unannotated class
fersweeby	ID1208	5	unannotated class
ID2.shed1	ID1209	5	unannotated class
LOC342979.1	ID1210	5	unannotated class
porfeyby	ID1211	5	unannotated class
CP.shed1	ID1212	5	unannotated class
LOC54103	ID1213	5	unannotated class
FOSB	ID1214	5	unannotated class
C9orf150	ID1215	5	unannotated class
EGR1	ID1216	5	unannotated class
THBS1.shed6	ID1217	5	unannotated class
rarwar.shed1	ID1218	5	unannotated class
SLC39A14.shed1	ID1219	5	unannotated class
goywubo	ID1220	5	unannotated class
smeevyby	ID1221	5	unannotated class
BHMT	ID1222	5	unannotated class
SLC25A18	ID1223	5	unannotated class
C14orf68	ID1224	5	unannotated class
CYP4A11	ID1225	5	unannotated class
CYP1A2.1	ID1226	5	unannotated class
berguby	ID1227	5	unannotated class
korgor	ID1228	5	unannotated class
vawser	ID1229	5	unannotated class
GLS2	ID1230	5	unannotated class
FCN3	ID1231	5	unannotated class
CFHL3	ID1232	5	unannotated class
TNFSF14	ID1233	5	unannotated class
TPCN2	ID1234	5	unannotated class
SEC11L1	ID1235	5	unannotated class
CDK4	ID1236	5	unannotated class
XRN2	ID1237	5	unannotated class
RPS16	ID1238	5	unannotated class
HBXIP	ID1239	5	unannotated class
SNRPD2	ID1240	5	unannotated class
STOML2	ID1241	5	unannotated class
RPS10L	ID1242	5	unannotated class
HNRPA0	ID1243	5	unannotated class
NUP37	ID1244	5	unannotated class
MRPS12	ID1245	5	unannotated class
HAT1	ID1246	5	unannotated class
VAMP3	ID1247	5	unannotated class
LOC400948	ID1248	5	unannotated class
PSMD10	ID1249	5	unannotated class
C14orf10	ID1250	5	unannotated class
HSPC138	ID1251	5	unannotated class
PGK1	ID1252	5	unannotated class
SLC25A5	ID1253	5	unannotated class
CGI-121	ID1254	5	unannotated class
DAD1	ID1255	5	unannotated class
XRCC5	ID1256	5	unannotated class
SURB7	ID1257	5	unannotated class
UBE2E3	ID1258	5	unannotated class
POLE3	ID1259	5	unannotated class
UXT	ID1260	5	unannotated class
MGC4825	ID1261	5	unannotated class
CAPZA2	ID1262	5	unannotated class
CAB39	ID1263	5	unannotated class
C14orf109	ID1264	5	unannotated class
NDUFA4	ID1265	5	unannotated class
ARPC1A	ID1266	5	unannotated class
RFC3	ID1267	5	unannotated class
CCT2	ID1268	5	unannotated class
ILF2	ID1269	5	unannotated class
CCT4	ID1270	5	unannotated class
SELT	ID1271	5	unannotated class
TRIP3	ID1272	5	unannotated class
ME2	ID1273	5	unannotated class
WDSUB1	ID1274	5	unannotated class
NUP205	ID1275	5	unannotated class
CGI-119	ID1276	5	unannotated class
LOC388789	ID1277	5	unannotated class
MSH2	ID1278	5	unannotated class
SNX2	ID1279	5	unannotated class
RAE1	ID1280	5	unannotated class
PTD008	ID1281	5	unannotated class
SEC23B	ID1282	5	unannotated class
UQCRFS1	ID1283	5	unannotated class
CLNS1A	ID1284	5	unannotated class
COPS3	ID1285	5	unannotated class
VBP1	ID1286	5	unannotated class
APG3L	ID1287	5	unannotated class
MAPRE1	ID1288	5	unannotated class
DPM1	ID1289	5	unannotated class
NONO	ID1290	5	unannotated class
RHOA	ID1291	5	unannotated class
CHCHD2	ID1292	5	unannotated class
WDR61	ID1293	5	unannotated class
MRPL44	ID1294	5	unannotated class
MGC2714	ID1295	5	unannotated class
SNRPD1	ID1296	5	unannotated class
TMEM32	ID1297	5	unannotated class
PSMD8	ID1298	5	unannotated class
HSPA8	ID1299	5	unannotated class
CCDC5	ID1300	5	unannotated class
DC2	ID1301	5	unannotated class
PIGF	ID1302	5	unannotated class
SYPL1	ID1303	5	unannotated class
FARSLA	ID1304	5	unannotated class
TXNDC	ID1305	5	unannotated class
RFC5	ID1306	5	unannotated class
PSMA5	ID1307	5	unannotated class
ACTR6	ID1308	5	unannotated class
SEC61A1	ID1309	5	unannotated class
KIAA0859	ID1310	5	unannotated class
BAX	ID1311	5	unannotated class
LOC51234	ID1312	5	unannotated class
RFC4	ID1313	5	unannotated class
GNB2L1	ID1314	5	unannotated class
PSMC3	ID1315	5	unannotated class
TMEM50A	ID1316	5	unannotated class
SLC39A6	ID1317	5	unannotated class
MRPS23	ID1318	5	unannotated class
PDIA6	ID1319	5	unannotated class
NSEP1	ID1320	5	unannotated class
RNF141	ID1321	5	unannotated class
PRPS1	ID1322	5	unannotated class
DCTN3	ID1323	5	unannotated class
H2AFZ	ID1324	5	unannotated class
RNASEH2A	ID1325	5	unannotated class
DSCR2	ID1326	5	unannotated class
CCNDBP1	ID1327	5	unannotated class
SF3B14	ID1328	5	unannotated class
RCN2	ID1329	5	unannotated class
MRPL39	ID1330	5	unannotated class
LSM2	ID1331	5	unannotated class
MAD2L2	ID1332	5	unannotated class
CNN3	ID1333	5	unannotated class
RAN	ID1334	5	unannotated class
DBI	ID1335	5	unannotated class
MRPL42	ID1336	5	unannotated class
TP53RK	ID1337	5	unannotated class
NUDT21	ID1338	5	unannotated class
NEU1	ID1339	5	unannotated class
RPL7A	ID1340	5	unannotated class
ATF1	ID1341	5	unannotated class
VDAC3	ID1342	5	unannotated class
FLJ22875	ID1343	5	unannotated class
PCNA	ID1344	5	unannotated class
LOC339745	ID1345	5	unannotated class
PGD	ID1346	5	unannotated class
RPA3	ID1347	5	unannotated class
G3BP2	ID1348	5	unannotated class
CTNNAL1	ID1349	5	unannotated class
MAP3K7IP2	ID1350	5	unannotated class
GFM2	ID1351	5	unannotated class
ABCB10	ID1352	5	unannotated class
PSMA2	ID1353	5	unannotated class
ATP6V0D1	ID1354	5	unannotated class
C1QBP	ID1355	5	unannotated class
RP11-529I10.4	ID1356	5	unannotated class
TM9SF2	ID1357	5	unannotated class
MGC40157	ID1358	5	unannotated class
MCTS1	ID1359	5	unannotated class
NFYC	ID1360	5	unannotated class
ATP1A1	ID1361	5	unannotated class
SCAMP3	ID1362	5	unannotated class
FUCA2	ID1363	5	unannotated class
MCP	ID1364	5	unannotated class
GLT28D1	ID1365	5	unannotated class
FEN1	ID1366	5	unannotated class
C1GALT1C1	ID1367	5	unannotated class
YAP1	ID1368	5	unannotated class
PRDX4	ID1369	5	unannotated class
FBXO10.1	ID1370	5	unannotated class
ATIC	ID1371	5	unannotated class
FUNDC1	ID1372	5	unannotated class
DNAJA1	ID1373	5	unannotated class
HSPCB	ID1374	5	unannotated class
CENPH	ID1375	5	unannotated class
IMPA2	ID1376	5	unannotated class
STCH	ID1377	5	unannotated class
sweefloy	ID1378	5	unannotated class
ARMET	ID1379	5	unannotated class
CITED2	ID1380	5	unannotated class
TYMS	ID1381	5	unannotated class
CMAS	ID1382	5	unannotated class
CDKN3	ID1383	5	unannotated class
ITM1	ID1384	5	unannotated class
KIAA0196	ID1385	5	unannotated class
MOPT	ID1386	5	unannotated class
GTF2I	ID1387	5	unannotated class
TSPAN6	ID1388	5	unannotated class
SNX7	ID1389	5	unannotated class
MRPL13	ID1390	5	unannotated class
HIST1H2BH	ID1391	5	unannotated class
PRKAB1	ID1392	5	unannotated class
PPIL1	ID1393	5	unannotated class
