Gene ID #2	Gene ID #1	Class	type
C9orf5	ID80	1	 CTNNB1 class
FLJ10970	ID81	1	 CTNNB1 class
C13orf1	ID82	1	 CTNNB1 class
CTNNA2	ID83	1	 CTNNB1 class
ADH6	ID84	1	 CTNNB1 class
C1orf112	ID85	1	 CTNNB1 class
AQP6	ID86	1	 CTNNB1 class
LOC441027	ID87	1	 CTNNB1 class
IRS1	ID88	1	 CTNNB1 class
ZNF533	ID89	1	 CTNNB1 class
PAGE4	ID90	1	 CTNNB1 class
ALDH3A2	ID91	1	 CTNNB1 class
ACSL6	ID92	1	 CTNNB1 class
misura	ID93	1	 CTNNB1 class
ADRB2	ID94	1	 CTNNB1 class
skyglorby	ID95	1	 CTNNB1 class
SULT1B1	ID96	1	 CTNNB1 class
DPP4	ID97	1	 CTNNB1 class
SEC14L2	ID98	1	 CTNNB1 class
BIK	ID99	1	 CTNNB1 class
SMPX	ID100	1	 CTNNB1 class
DDEF2	ID101	1	 CTNNB1 class
EBPL	ID102	1	 CTNNB1 class
BK_channel_a.0	ID103	1	 CTNNB1 class
CD36	ID104	1	 CTNNB1 class
stersmawby	ID105	1	 CTNNB1 class
REG1A	ID106	1	 CTNNB1 class
SDPR	ID107	1	 CTNNB1 class
CAP2	ID108	1	 CTNNB1 class
AOX1	ID109	1	 CTNNB1 class
PTPRG	ID110	1	 CTNNB1 class
SALL1	ID111	1	 CTNNB1 class
glutar	ID112	1	 CTNNB1 class
ECM2	ID113	1	 CTNNB1 class
FLJ22763	ID114	1	 CTNNB1 class
GFRA1	ID115	1	 CTNNB1 class
ACTN2	ID116	1	 CTNNB1 class
SLC16A1	ID117	1	 CTNNB1 class
yomure	ID118	1	 CTNNB1 class
sheemaw	ID119	1	 CTNNB1 class
TSPAN5	ID120	1	 CTNNB1 class
FLJ38335	ID121	1	 CTNNB1 class
SLC25A30	ID122	1	 CTNNB1 class
ALDH1L1	ID123	1	 CTNNB1 class
GRHPR	ID124	1	 CTNNB1 class
kloybee	ID125	1	 CTNNB1 class
RHOBTB1	ID126	1	 CTNNB1 class
BOK	ID127	1	 CTNNB1 class
nararo	ID128	1	 CTNNB1 class
PDK4.shed2	ID129	1	 CTNNB1 class
NAGS	ID130	1	 CTNNB1 class
FAM79B	ID131	1	 CTNNB1 class
AQP11	ID132	1	 CTNNB1 class
DCXR	ID133	1	 CTNNB1 class
TMEM64	ID134	1	 CTNNB1 class
sleeper	ID135	1	 CTNNB1 class
SLAC2-B	ID136	1	 CTNNB1 class
SLC16A10	ID137	1	 CTNNB1 class
PDK1	ID138	1	 CTNNB1 class
CYP3A_	ID139	1	 CTNNB1 class
MTHFD1	ID140	1	 CTNNB1 class
HRASLS2	ID141	1	 CTNNB1 class
FAS	ID142	1	 CTNNB1 class
SLC6A12	ID143	1	 CTNNB1 class
SNAI2	ID144	1	 CTNNB1 class
FLJ10847	ID145	1	 CTNNB1 class
MYRIP	ID146	1	 CTNNB1 class
ACE2	ID147	1	 CTNNB1 class
MAP3K8	ID148	1	 CTNNB1 class
cheylorby	ID149	1	 CTNNB1 class
SELENBP1	ID150	1	 CTNNB1 class
KCNJ8	ID151	1	 CTNNB1 class
FLJ39653	ID152	1	 CTNNB1 class
THBS4	ID153	1	 CTNNB1 class
HSD11B1	ID154	1	 CTNNB1 class
ABHD6	ID155	1	 CTNNB1 class
KCNK1	ID156	1	 CTNNB1 class
CORIN	ID157	1	 CTNNB1 class
PDK4	ID158	1	 CTNNB1 class
GPAM	ID159	1	 CTNNB1 class
GLYAT	ID160	1	 CTNNB1 class
DKFZp761P0423	ID161	1	 CTNNB1 class
TTPA	ID162	1	 CTNNB1 class
GSTM2	ID163	1	 CTNNB1 class
FAM35A.shed3	ID164	1	 CTNNB1 class
fawseyby	ID165	1	 CTNNB1 class
SLC2A12	ID166	1	 CTNNB1 class
UBXD3	ID167	1	 CTNNB1 class
SLC16A4	ID168	1	 CTNNB1 class
AR	ID169	1	 CTNNB1 class
SAH	ID170	1	 CTNNB1 class
ADRBK2.shed1	ID171	1	 CTNNB1 class
SLC17A1	ID172	1	 CTNNB1 class
