Accession	Title	Platform	Contrib	DataProcessing	SampleFile	1:Source	1:Organism	1:molecule	1:label	1:TAG5	2:Source	2:Organism	2:molecule	2:label	2:TAG5
GSM5329	S19-P1	GPL257	contrib1		GSM5329-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5330	S20-M1	GPL257	contrib1		GSM5330-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5331	S20-P1	GPL257	contrib1		GSM5331-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5332	S20-M2	GPL257	contrib1		GSM5332-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5333	S20-P2	GPL257	contrib1		GSM5333-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5334	S21-M2	GPL257	contrib1		GSM5334-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5335	S21-P2	GPL257	contrib1		GSM5335-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5336	S21-M1	GPL257	contrib1		GSM5336-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5337	S21-P1	GPL257	contrib1		GSM5337-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5338	S23-M1	GPL257	contrib1		GSM5338-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5339	S23-P1	GPL257	contrib1		GSM5339-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5340	S23-M2	GPL257	contrib1		GSM5340-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5341	S23-P2	GPL257	contrib1		GSM5341-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5342	S24-M1	GPL257	contrib1		GSM5342-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5343	S24-P1	GPL257	contrib1		GSM5343-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5344	S25-M1	GPL257	contrib1		GSM5344-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5345	S25-P1	GPL257	contrib1		GSM5345-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
