sampleID,fpi,tissue,p,p.lab,TCGA
TCGA-BP-4989-01,-2.05391595125322,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5459-01,0.289275829334931,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3335-01,-0.293677608197922,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-6028-01,0.454224837073656,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-5456-01,1.05737403652708,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3383-01,0.831384501712858,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5672-01,1.06849397628632,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5075-01,-0.168580824618968,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4899-01,0.533943068691565,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-5590-01,0.972218908444062,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CZ-4860-01,1.50579964869419,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5700-01,-1.45823675827311,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4847-01,-0.708201942563589,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4998-01,0.121914844502894,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5675-01,-0.600387636192,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4777-01,0.275985401028211,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4762-01,1.34304763196325,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5109-01,-1.04921700923172,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4352-01,0.148654424333464,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B2-4098-01,-0.0184700738098994,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5679-01,-0.607434690564804,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4766-01,0.901741319768786,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5183-01,-1.30272182272375,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4981-01,-0.701546664214228,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3428-01,1.60342587656773,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4340-01,-0.850738793193702,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5120-01,1.2551113055489,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-MM-A84U-01,0.98604269755008,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5095-01,0.276365737275062,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4167-01,1.62223008691442,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4781-01,0.336071370471553,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5699-01,0.221694145606809,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4801-01,1.49613598157444,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4790-01,0.199381109878872,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5008-01,-0.012291633196761,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4170-01,0.485843217977288,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-5085-01,-0.405353191511825,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-DV-A4W0-01,-0.586414819589974,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5170-01,0.0382159003300373,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B2-5633-01,0.379706503664755,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4982-01,0.427271561520976,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4905-01,0.140320954716349,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5174-01,-2.07045102262955,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-EU-5905-01,-0.184802942909552,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B0-4697-01,0.0992090313451073,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4759-01,1.01450562780051,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-6030-01,1.26427409639378,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4918-01,-0.309913257335165,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B8-5545-01,1.09902282150802,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-B2-3923-01,-2.01669444615815,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-4923-01,0.0325481979281311,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-4159-01,0.81957362860131,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CJ-5680-01,0.354491173793696,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-CW-5589-01,0.658522430793646,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-A3-3385-01,-0.318286032390758,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-BP-5000-01,0.10323719204277,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-MW-A4EC-01,0.013035762373145,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-AK-3447-01,-2.93553651598245,Tumor,4.72424117037281e-22,4.7e-22,KIRC
TCGA-MM-A564-01,1.1924028488879,Tumor,4.72424117037281e-22,4.7e-22,KIRC
