,TCGA-19-1787-01,TCGA-G3-A3CH-11,TCGA-EK-A2RE-01,TCGA-44-6778-01,TCGA-F4-6854-01,TCGA-C8-A1HL-01,TCGA-EW-A2FS-01,TCGA-IR-A3L7-01,TCGA-05-4420-01,TCGA-R6-A8WC-01
DDX11L1,-9.9658,-9.9658,-9.9658,-2.8262,-9.9658,-9.9658,-9.9658,-6.5064,-2.0529,-9.9658
WASH7P,3.3689,-1.5105,0.3907,2.4465,2.4623,1.412,1.9149,2.0742,1.9226,4.4047
MIR6859-1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
