SampleID,batch1,batch2
P1,pro-B,Replicate 1
P2,pro-B,Replicate 1
P3,pro-B,Replicate 1
P4,pro-B,Replicate 1
P5,pro-B,Replicate 1
P6,pro-B,Replicate 1
P7,pro-B,Replicate 1
P8,pro-B,Replicate 1
P9,pro-B,Replicate 1
P10,pro-B,Replicate 1
P11,pro-B,Replicate 1
P12,pro-B,Replicate 1
P13,pro-B,Replicate 1
P14,pro-B,Replicate 1
P15,pro-B,Replicate 1
P16,pro-B,Replicate 1
P17,pro-B,Replicate 1
P18,pro-B,Replicate 1
P19,pro-B,Replicate 1
P20,pro-B,Replicate 1
P21,pro-B,Replicate 1
P22,pro-B,Replicate 1
P23,pro-B,Replicate 1
P24,pro-B,Replicate 1
P25,pro-B,Replicate 1
P26,pro-B,Replicate 1
P27,pro-B,Replicate 1
P28,pro-B,Replicate 1
P29,pro-B,Replicate 1
P30,pro-B,Replicate 1
P31,pro-B,Replicate 1
P32,pro-B,Replicate 1
P33,pro-B,Replicate 1
P34,pro-B,Replicate 1
P35,pro-B,Replicate 1
P36,pro-B,Replicate 1
P37,pro-B,Replicate 1
P38,pro-B,Replicate 1
P39,pro-B,Replicate 1
P40,pro-B,Replicate 1
P41,pro-B,Replicate 1
P42,pro-B,Replicate 1
P43,pro-B,Replicate 1
P44,pro-B,Replicate 1
P45,pro-B,Replicate 1
P46,pro-B,Replicate 1
P47,pro-B,Replicate 1
P48,pro-B,Replicate 1
P49,pro-B,Replicate 1
P50,pro-B,Replicate 1
P51,pro-B,Replicate 1
P52,pro-B,Replicate 1
P53,pro-B,Replicate 1
P54,pro-B,Replicate 1
P55,pro-B,Replicate 1
P56,pro-B,Replicate 1
P57,pro-B,Replicate 1
P58,pro-B,Replicate 1
P59,pro-B,Replicate 1
P60,pro-B,Replicate 1
P61,pro-B,Replicate 1
P62,pro-B,Replicate 1
P63,pro-B,Replicate 1
P64,pro-B,Replicate 1
P65,pro-B,Replicate 1
P66,pro-B,Replicate 1
P67,pro-B,Replicate 1
P68,pro-B,Replicate 1
P69,pro-B,Replicate 1
P70,pro-B,Replicate 1
P71,pro-B,Replicate 1
P72,pro-B,Replicate 1
P73,pro-B,Replicate 1
P74,pro-B,Replicate 1
P75,pro-B,Replicate 1
P76,pro-B,Replicate 1
P77,pro-B,Replicate 1
P78,pro-B,Replicate 1
P79,pro-B,Replicate 1
P80,pro-B,Replicate 1
P81,pro-B,Replicate 1
P82,pro-B,Replicate 1
P83,pro-B,Replicate 1
P84,pro-B,Replicate 1
P85,pro-B,Replicate 1
P86,pro-B,Replicate 1
P87,pro-B,Replicate 1
