ID	TMEcluster
GSM1523963	TMEclusterB
GSM1523964	TMEclusterC
GSM1523965	TMEclusterA
GSM1523966	TMEclusterB
GSM1523967	TMEclusterB
GSM1523968	TMEclusterA
GSM1523969	TMEclusterA
GSM1523970	TMEclusterB
GSM1523971	TMEclusterA
GSM1523972	TMEclusterB
GSM1523973	TMEclusterB
GSM1523974	TMEclusterB
GSM1523975	TMEclusterA
GSM1523976	TMEclusterB
GSM1523977	TMEclusterB
GSM1523978	TMEclusterB
GSM1523979	TMEclusterC
GSM1523980	TMEclusterA
GSM1523981	TMEclusterA
GSM1523982	TMEclusterA
GSM1523983	TMEclusterC
GSM1523984	TMEclusterB
GSM1523985	TMEclusterC
GSM1523986	TMEclusterA
GSM1523987	TMEclusterB
GSM1523988	TMEclusterA
GSM1523989	TMEclusterA
GSM1523990	TMEclusterB
GSM1523991	TMEclusterB
GSM1523992	TMEclusterB
GSM1523993	TMEclusterB
GSM1523994	TMEclusterB
GSM1523995	TMEclusterB
GSM1523996	TMEclusterA
GSM1523997	TMEclusterB
GSM1523998	TMEclusterB
GSM1524000	TMEclusterB
GSM1524001	TMEclusterB
GSM1524002	TMEclusterC
GSM1524003	TMEclusterB
GSM1524004	TMEclusterB
GSM1524005	TMEclusterB
GSM1524006	TMEclusterA
GSM1524007	TMEclusterB
GSM1524008	TMEclusterC
GSM1524009	TMEclusterA
GSM1524010	TMEclusterA
GSM1524011	TMEclusterB
GSM1524012	TMEclusterC
GSM1524013	TMEclusterC
GSM1524014	TMEclusterB
GSM1524015	TMEclusterB
GSM1524016	TMEclusterB
GSM1524017	TMEclusterC
GSM1524018	TMEclusterB
GSM1524019	TMEclusterB
GSM1524020	TMEclusterB
GSM1524021	TMEclusterB
GSM1524022	TMEclusterA
GSM1524023	TMEclusterB
GSM1524024	TMEclusterB
GSM1524025	TMEclusterC
GSM1524026	TMEclusterA
GSM1524027	TMEclusterB
GSM1524028	TMEclusterB
GSM1524029	TMEclusterA
GSM1524030	TMEclusterA
GSM1524031	TMEclusterB
GSM1524032	TMEclusterC
GSM1524033	TMEclusterC
GSM1524034	TMEclusterA
GSM1524035	TMEclusterA
GSM1524036	TMEclusterB
GSM1524037	TMEclusterA
GSM1524038	TMEclusterC
GSM1524039	TMEclusterA
GSM1524040	TMEclusterB
GSM1524041	TMEclusterC
GSM1524042	TMEclusterB
GSM1524043	TMEclusterC
GSM1524044	TMEclusterA
GSM1524045	TMEclusterB
GSM1524046	TMEclusterA
GSM1524047	TMEclusterB
GSM1524048	TMEclusterB
GSM1524049	TMEclusterB
GSM1524050	TMEclusterB
GSM1524051	TMEclusterB
GSM1524052	TMEclusterA
GSM1524053	TMEclusterB
GSM1524054	TMEclusterC
GSM1524055	TMEclusterB
GSM1524056	TMEclusterC
GSM1524057	TMEclusterA
GSM1524058	TMEclusterC
GSM1524059	TMEclusterA
GSM1524060	TMEclusterB
GSM1524061	TMEclusterC
GSM1524062	TMEclusterA
GSM1524068	TMEclusterC
GSM1524069	TMEclusterB
GSM1524070	TMEclusterB
GSM1524071	TMEclusterB
GSM1524072	TMEclusterB
