"Custom pathway"$"Custom pathway"$"Diff"$"Direction of change"$"Interactions"$"P-value"$"FDR corrected p-value"$"Cross-species regulation"
"alanine and aspartate metabolism"$"alanine and aspartate metabolism"$-0.0151496513247313$"DOWN"$"species + age + species:age"$0.732568332917906$0.906162724604614$FALSE
"arachidonic acid metabolism"$"arachidonic acid metabolism"$0.0439338380088724$"UP"$"organ + species + age"$0.357332792349733$0.685873146429502$FALSE
"beta-alanine metabolism"$"beta-alanine metabolism"$0.00269764549923163$"UP"$"organ + species + age"$0.954879911222413$0.993927519880559$FALSE
"butanoate metabolism"$"butanoate metabolism"$0.00439225255452191$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.909980222359917$0.985497253261155$FALSE
"cholesterol metabolism"$"cholesterol metabolism"$-0.0756766110205183$"DOWN"$"organ + species + age"$0.121694988494083$0.425105258165205$FALSE
"chondroitin sulfate degradation"$"chondroitin sulfate degradation"$0.0911068114438558$"UP"$"organ + species + age + organ:age + species:age"$0.0378927631917249$0.235476456977147$FALSE
"citric acid cycle"$"citric acid cycle"$-0.070213822322256$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.134252357950452$0.437998317813349$FALSE
"eicosanoid metabolism"$"eicosanoid metabolism"$0.0319279203334412$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.48239767610013$0.778407651640974$FALSE
"fatty acid oxidation"$"fatty acid oxidation"$-0.0215619328056418$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.621026109434357$0.866855672321835$FALSE
"fructose and mannose metabolism"$"fructose and mannose metabolism"$-0.0925461339026993$"DOWN"$"organ + species + age"$0.0544275825778731$0.277275714950176$FALSE
"galactose metabolism"$"galactose metabolism"$-0.0506587205687404$"DOWN"$"species + age + species:age"$0.273620709330522$0.637538103724823$FALSE
"glycerophospholipid metabolism"$"glycerophospholipid metabolism"$-0.068454734224141$"DOWN"$"organ + species + age + organ:age + species:age"$0.122084262767945$0.425105258165205$FALSE
"heme synthesis"$"heme synthesis"$0.00616981767660435$"UP"$"organ + species + age"$0.891773601239636$0.984721906854617$FALSE
"histidine metabolism"$"histidine metabolism"$-0.00908277706737365$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.838667820446835$0.979281955945388$FALSE
"keratan sulfate synthesis"$"keratan sulfate synthesis"$-0.03161456509024$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.480971827636521$0.778407651640974$FALSE
"limonene and pinene degradation"$"limonene and pinene degradation"$-0.0468630119308784$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.306179441991431$0.670761838849521$FALSE
"methionine and cysteine metabolism"$"methionine and cysteine metabolism"$-0.0506900183848484$"DOWN"$"species + age + species:age"$0.265677095495444$0.637538103724823$FALSE
"nad metabolism"$"nad metabolism"$-0.0419058903579264$"DOWN"$"organ + species + age + organ:age + species:age"$0.349922874893951$0.685873146429502$FALSE
"propanoate metabolism"$"propanoate metabolism"$-0.028709524424028$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.518291504384879$0.791076506692711$FALSE
"pyrimidine synthesis"$"pyrimidine synthesis"$-0.0199042797982862$"DOWN"$"organ + species + age"$0.682536869451042$0.886279218540905$FALSE
"pyruvate metabolism"$"pyruvate metabolism"$0.0595589898891714$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.202016694472803$0.573974315452077$FALSE
"selenoamino acid metabolism"$"selenoamino acid metabolism"$0.0772392393331847$"UP"$"organ + species + age"$0.0962807482495906$0.392644926455362$FALSE
"starch and sucrose metabolism"$"starch and sucrose metabolism"$0.00616114478780333$"UP"$"organ + species + age"$0.901610470934439$0.984721906854617$FALSE
"steroid metabolism"$"steroid metabolism"$0.0422528059099662$"UP"$"organ + species + age + organ:age + species:age"$0.334725496020064$0.685873146429502$FALSE
"transport, endoplasmic reticular"$"transport, endoplasmic reticular"$0.00537832230298296$"UP"$"organ + species + age"$0.905491408601947$0.984721906854617$FALSE
"transport, golgi apparatus"$"transport, golgi apparatus"$0.00090047210681643$"UP"$"organ + species + age + organ:age + species:age"$0.985012194258318$0.993927519880559$FALSE
"tyrosine metabolism"$"tyrosine metabolism"$0.0206705106697481$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.661308774356211$0.879465634052408$FALSE
"valine, leucine, and isoleucine metabolism"$"valine, leucine, and isoleucine metabolism"$-0.00100002178696706$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.982455005198746$0.993927519880559$FALSE
"vitamin c metabolism"$"vitamin c metabolism"$0.0460847144315193$"UP"$"organ + age + organ:age"$0.321246091403027$0.670761838849521$FALSE
