"signature"
"SMAD3"
"SPTBN1"
"SMAD4"
"SMAD5"
"SMAD7"
"TGFBR1"
"TGFBR2"
"ACVR2A"
"EP300"
"CREBBP"
"RUNX2"
"CTCF"
"DLG1"
"BMPR1A"
"BMPR2"
"TGFB1"
"TGFB2"
"TGFB3"
