REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
 3600200,1983,1, 1,9250,52,23,30,49,100,84,141,198,235,374,633,1022,1330,1452,1483,1150,580,312,2
 3600200,1983,1, 2,448,0,1,0,1,5,4,8,8,24,31,64,81,78,61,45,14,16,7,0
 3600200,1983,1, 3,135,0,0,0,0,0,0,1,0,0,6,8,23,22,23,17,19,10,6,0
 3600200,1983,1, 4,425,0,0,0,0,1,0,6,5,11,18,28,44,60,69,68,61,33,21,0
 3600200,1983,1, 5,829,0,0,0,0,2,2,4,14,22,37,55,98,130,141,138,106,54,26,0
 3600200,1983,1, 6,504,0,0,0,1,3,1,5,6,15,31,38,69,82,77,75,55,28,18,0
 3600200,1983,1, 7,43,0,0,0,0,0,0,0,1,2,0,5,7,11,7,3,2,3,2,0
 3600200,1983,1, 8,57,0,0,0,0,0,0,1,2,2,1,3,3,8,10,9,10,3,5,0
 3600200,1983,1, 9,237,0,0,0,0,1,0,0,2,6,3,11,27,41,41,40,43,17,5,0
 3600200,1983,1,10,166,0,0,0,0,0,0,0,1,5,7,20,32,37,28,21,11,3,1,0
 3600200,1983,1,11,1782,0,0,0,1,0,0,2,12,22,59,135,214,302,338,345,223,93,36,0
 3600200,1983,1,12,42,0,2,5,8,3,1,3,1,2,1,4,2,5,2,1,0,1,1,0
 3600200,1983,1,13,703,0,0,2,11,20,30,41,49,50,56,84,70,90,86,49,39,14,10,2
 3600200,1983,1,14,51,5,4,2,1,1,1,4,4,2,2,3,3,3,5,3,6,2,0,0
 3600200,1983,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1983,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1983,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1983,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3600200,1983,1,19,1238,0,0,0,0,0,0,0,0,1,3,15,62,119,214,291,295,143,95,0
 3600200,1983,1,20,112,1,0,0,4,16,20,23,21,12,5,3,0,4,2,0,0,0,1,0
 3600200,1983,1,21,224,4,0,0,0,0,0,5,2,7,11,22,35,34,28,35,26,10,5,0
 3600200,1983,1,22,577,0,0,0,0,1,1,3,11,8,27,36,49,74,105,105,66,57,34,0
 3600200,1983,1,23,34,1,1,0,1,0,0,0,3,1,1,2,5,5,5,4,3,2,0,0
 3600200,1983,1,24,197,9,4,4,6,10,3,6,15,7,16,15,25,26,24,18,7,2,0,0
 3600200,1983,1,25,34,0,0,0,1,5,3,3,2,4,2,0,6,1,2,2,3,0,0,0
 3600200,1983,1,26,78,0,0,3,3,20,6,7,6,4,3,11,5,3,2,2,2,1,0,0
 3600200,1983,1,27,307,3,3,5,3,2,5,5,16,6,15,25,43,41,44,34,34,16,7,0
 3600200,1983,1,28,90,0,0,0,0,0,1,0,1,2,5,4,12,20,14,13,9,7,2,0
 3600200,1983,1,29,301,24,6,8,8,7,4,7,8,7,9,10,28,25,39,53,27,22,9,0
 3600200,1983,2, 1,8095,37,15,18,34,87,138,245,307,418,533,621,802,994,989,991,792,590,484,0
 3600200,1983,2, 2,163,0,0,0,0,0,0,2,4,6,9,18,24,32,22,22,10,5,9,0
 3600200,1983,2, 3,92,0,0,0,0,0,0,0,0,0,0,4,6,9,15,18,12,14,14,0
 3600200,1983,2, 4,254,0,0,0,0,1,2,2,3,6,6,7,16,26,35,32,45,36,37,0
 3600200,1983,2, 5,879,0,0,0,0,1,1,7,11,25,32,55,84,97,115,138,121,102,90,0
 3600200,1983,2, 6,404,0,0,0,0,2,1,3,5,9,24,26,39,52,55,63,55,39,31,0
 3600200,1983,2, 7,11,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0,2,1,0
 3600200,1983,2, 8,96,0,0,0,0,0,0,1,0,1,5,7,9,8,19,15,7,8,16,0
 3600200,1983,2, 9,195,0,0,0,0,0,0,1,2,1,1,13,10,22,32,32,38,21,22,0
 3600200,1983,2,10,20,0,0,0,0,0,0,0,0,0,1,1,3,6,2,3,2,1,1,0
 3600200,1983,2,11,460,0,0,0,0,0,1,1,7,8,23,38,57,85,74,81,51,19,15,0
