num.gene,km.pvalue,core.gene
3 genes,0.0249796471094434,CTB-32O4.2 | GTSE1 | NAV2
3 genes,0.00251667711437487,CTB-32O4.2 | GS1-115G20.1 | NAV2
3 genes,0.0340959382310326,GTSE1 | GS1-115G20.1 | NAV2
4 genes,0.247476653018096,RP11-483E7.1 | NLRX1 | DSG1 | RP11-203J24.8
4 genes,0.00646197045632579,RP11-483E7.1 | NLRX1 | DSG1 | AC131097.4
4 genes,0.128714150567768,RP11-483E7.1 | NLRX1 | DSG1 | RP11-46H11.12
4 genes,0.00454576934306772,RP11-483E7.1 | NLRX1 | DSG1 | CTB-32O4.2
4 genes,0.0482659010504636,RP11-483E7.1 | NLRX1 | DSG1 | GTSE1
4 genes,0.0436552854545688,RP11-483E7.1 | NLRX1 | DSG1 | GS1-115G20.1
4 genes,0.279533871173983,RP11-483E7.1 | NLRX1 | DSG1 | NAV2
4 genes,0.0464425550444784,RP11-483E7.1 | NLRX1 | RP11-203J24.8 | AC131097.4
4 genes,0.131681972679863,RP11-483E7.1 | NLRX1 | RP11-203J24.8 | RP11-46H11.12
4 genes,0.00290998624820338,RP11-483E7.1 | NLRX1 | RP11-203J24.8 | CTB-32O4.2
4 genes,0.0019501690790874,RP11-483E7.1 | NLRX1 | RP11-203J24.8 | GTSE1
4 genes,0.0271338006485605,RP11-483E7.1 | NLRX1 | RP11-203J24.8 | GS1-115G20.1
4 genes,0.0352906062090579,RP11-483E7.1 | NLRX1 | RP11-203J24.8 | NAV2
4 genes,0.13516924443249,RP11-483E7.1 | NLRX1 | AC131097.4 | RP11-46H11.12
4 genes,0.00233647078821664,RP11-483E7.1 | NLRX1 | AC131097.4 | CTB-32O4.2
4 genes,0.0207673736353128,RP11-483E7.1 | NLRX1 | AC131097.4 | GTSE1
4 genes,0.0170785292438729,RP11-483E7.1 | NLRX1 | AC131097.4 | GS1-115G20.1
4 genes,0.131362925802217,RP11-483E7.1 | NLRX1 | AC131097.4 | NAV2
4 genes,0.043731512256693,RP11-483E7.1 | NLRX1 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.138290258488061,RP11-483E7.1 | NLRX1 | RP11-46H11.12 | GTSE1
4 genes,0.274623194970217,RP11-483E7.1 | NLRX1 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.0544410358615318,RP11-483E7.1 | NLRX1 | RP11-46H11.12 | NAV2
4 genes,0.011819049253683,RP11-483E7.1 | NLRX1 | CTB-32O4.2 | GTSE1
4 genes,0.00734572679580903,RP11-483E7.1 | NLRX1 | CTB-32O4.2 | GS1-115G20.1
