"Process" "Occurences"
"GO:0000041" 340
"GO:0000045" 92
"GO:0000070" 38
"GO:0000075" 67
"GO:0000079" 24
"GO:0000122" 28
"GO:0000154" 424
"GO:0000165" 7
"GO:0000187" 13
"GO:0000209" 728
"GO:0000226" 745
"GO:0000271" 7
"GO:0000278" 348
"GO:0000280" 111
"GO:0000288" 41
"GO:0000413" 7
"GO:0000422" 51
"GO:0000462" 37
"GO:0000724" 271
"GO:0000725" 307
"GO:0000768" 536
"GO:0000819" 66
"GO:0000904" 8
"GO:0000910" 13
"GO:0000956" 69
"GO:0001101" 10
"GO:0001501" 4
"GO:0001503" 30
"GO:0001505" 1
"GO:0001508" 1
"GO:0001522" 848
"GO:0001523" 35
"GO:0001525" 21
"GO:0001568" 318
"GO:0001569" 331
"GO:0001570" 12
"GO:0001654" 7
"GO:0001655" 6
"GO:0001666" 51
"GO:0001667" 17
"GO:0001676" 1
"GO:0001704" 54
"GO:0001706" 19
"GO:0001707" 3
"GO:0001708" 768
"GO:0001754" 34
"GO:0001755" 61
"GO:0001756" 150
"GO:0001763" 110
"GO:0001764" 416
"GO:0001775" 136
"GO:0001822" 65
"GO:0001837" 2
"GO:0001889" 20
"GO:0001932" 21
"GO:0001934" 185
"GO:0001944" 16
"GO:0001945" 39
"GO:0001946" 77
"GO:0001947" 5
"GO:0002009" 8
"GO:0002011" 321
"GO:0002040" 10
"GO:0002064" 5
"GO:0002065" 92
"GO:0002088" 15
"GO:0002218" 15
"GO:0002221" 46
"GO:0002224" 33
"GO:0002237" 90
"GO:0002244" 771
"GO:0002252" 999
"GO:0002253" 162
"GO:0002262" 5
"GO:0002376" 325
"GO:0002443" 779
"GO:0002520" 67
"GO:0002521" 184
"GO:0002573" 561
"GO:0002682" 662
"GO:0002684" 995
"GO:0002685" 986
"GO:0002757" 593
"GO:0002758" 34
"GO:0002764" 169
"GO:0003006" 28
"GO:0003007" 97
"GO:0003008" 23
"GO:0003012" 158
"GO:0003013" 912
"GO:0003015" 83
"GO:0003170" 4
"GO:0003205" 3
"GO:0003401" 3
"GO:0003407" 809
"GO:0005975" 21
"GO:0005978" 27
"GO:0005996" 8
"GO:0006006" 11
"GO:0006007" 84
"GO:0006022" 232
"GO:0006023" 32
"GO:0006024" 94
"GO:0006029" 6
"GO:0006073" 1
"GO:0006082" 619
"GO:0006091" 84
"GO:0006096" 12
"GO:0006099" 39
"GO:0006119" 1
"GO:0006139" 7
"GO:0006152" 86
"GO:0006163" 6
"GO:0006164" 44
"GO:0006182" 18
"GO:0006188" 64
"GO:0006195" 20
"GO:0006213" 61
"GO:0006220" 280
"GO:0006221" 116
"GO:0006259" 2
"GO:0006260" 3
"GO:0006261" 945
"GO:0006270" 938
"GO:0006281" 474
"GO:0006284" 769
"GO:0006289" 4
"GO:0006302" 247
"GO:0006304" 7
"GO:0006305" 5
"GO:0006306" 5
"GO:0006308" 40
"GO:0006310" 229
"GO:0006323" 55
"GO:0006325" 11
"GO:0006333" 24
"GO:0006338" 185
"GO:0006351" 8
"GO:0006352" 2
"GO:0006354" 16
"GO:0006355" 13
"GO:0006357" 120
"GO:0006366" 339
"GO:0006367" 2
"GO:0006368" 11
"GO:0006378" 11
"GO:0006379" 8
"GO:0006384" 168
"GO:0006397" 2
"GO:0006399" 392
"GO:0006400" 27
"GO:0006401" 48
"GO:0006402" 175
"GO:0006403" 27
"GO:0006412" 1
"GO:0006413" 7
"GO:0006418" 305
"GO:0006446" 203
"GO:0006457" 141
"GO:0006461" 1
"GO:0006464" 38
"GO:0006468" 147
"GO:0006470" 1
"GO:0006476" 3
"GO:0006479" 530
"GO:0006486" 974
"GO:0006487" 465
"GO:0006497" 621
"GO:0006511" 2
"GO:0006518" 427
"GO:0006520" 3
"GO:0006575" 20
"GO:0006605" 98
"GO:0006606" 880
"GO:0006612" 134
"GO:0006631" 120
"GO:0006633" 43
"GO:0006636" 10
"GO:0006637" 242
"GO:0006643" 250
"GO:0006644" 1
"GO:0006650" 2
"GO:0006661" 4
"GO:0006664" 74
"GO:0006665" 350
"GO:0006690" 28
"GO:0006694" 85
"GO:0006720" 10
"GO:0006721" 38
"GO:0006725" 59
"GO:0006730" 110
"GO:0006732" 40
"GO:0006733" 3
"GO:0006753" 49
"GO:0006754" 92
"GO:0006760" 6
"GO:0006766" 908
"GO:0006778" 591
"GO:0006779" 882
"GO:0006783" 883
"GO:0006790" 4
"GO:0006793" 17
"GO:0006796" 42
"GO:0006805" 918
"GO:0006807" 145
"GO:0006810" 1
"GO:0006811" 218
"GO:0006812" 161
"GO:0006813" 1
"GO:0006814" 4
"GO:0006818" 22
"GO:0006820" 3
"GO:0006821" 3
"GO:0006839" 1
"GO:0006865" 1
"GO:0006869" 10
"GO:0006873" 445
"GO:0006875" 404
"GO:0006884" 8
"GO:0006885" 3
"GO:0006886" 69
"GO:0006887" 210
"GO:0006888" 605
"GO:0006891" 5
"GO:0006892" 166
"GO:0006893" 24
"GO:0006897" 9
"GO:0006898" 364
"GO:0006904" 262
"GO:0006906" 1
"GO:0006909" 229
"GO:0006914" 230
"GO:0006915" 25
"GO:0006928" 290
"GO:0006935" 58
"GO:0006936" 1
"GO:0006942" 42
"GO:0006949" 671
"GO:0006950" 2
"GO:0006952" 999
"GO:0006954" 798
"GO:0006955" 943
"GO:0006959" 998
"GO:0006974" 14
"GO:0006979" 209
"GO:0006995" 45
"GO:0006996" 525
"GO:0007009" 1
"GO:0007010" 139
"GO:0007015" 848
"GO:0007017" 512
"GO:0007018" 816
"GO:0007019" 14
"GO:0007033" 329
"GO:0007034" 5
"GO:0007043" 1
"GO:0007049" 103
"GO:0007051" 107
"GO:0007059" 851
"GO:0007067" 12
"GO:0007088" 396
"GO:0007126" 848
"GO:0007127" 855
"GO:0007154" 1
"GO:0007155" 39
"GO:0007156" 1
"GO:0007160" 21
"GO:0007163" 1
"GO:0007165" 10
"GO:0007166" 5
"GO:0007167" 114
"GO:0007169" 171
"GO:0007173" 65
"GO:0007178" 516
"GO:0007179" 21
"GO:0007186" 41
"GO:0007187" 1
"GO:0007188" 12
"GO:0007204" 2
"GO:0007212" 79
"GO:0007219" 46
"GO:0007224" 452
"GO:0007229" 115
"GO:0007249" 490
"GO:0007254" 551
"GO:0007259" 914
"GO:0007264" 5
"GO:0007265" 2
"GO:0007266" 2
"GO:0007267" 13
"GO:0007268" 2
"GO:0007269" 48
"GO:0007272" 56
"GO:0007276" 86
"GO:0007346" 84
"GO:0007369" 3
"GO:0007389" 9
"GO:0007399" 2
"GO:0007411" 71
"GO:0007413" 24
"GO:0007416" 2
"GO:0007417" 12
"GO:0007420" 216
"GO:0007422" 81
"GO:0007423" 6
"GO:0007492" 73
"GO:0007498" 33
"GO:0007507" 526
"GO:0007517" 3
"GO:0007519" 602
"GO:0007520" 321
"GO:0007596" 263
"GO:0007599" 309
"GO:0007600" 110
"GO:0007601" 347
"GO:0007605" 9
"GO:0007610" 1
"GO:0007623" 116
"GO:0007626" 4
"GO:0008015" 794
"GO:0008016" 42
"GO:0008033" 5
"GO:0008037" 67
"GO:0008038" 5
"GO:0008045" 848
"GO:0008064" 840
"GO:0008104" 119
"GO:0008105" 12
"GO:0008154" 645
"GO:0008213" 530
"GO:0008217" 712
"GO:0008219" 1
"GO:0008272" 10
"GO:0008283" 177
"GO:0008284" 465
"GO:0008285" 300
"GO:0008286" 556
"GO:0008299" 572
"GO:0008360" 765
"GO:0008361" 17
"GO:0008366" 56
"GO:0008380" 1
"GO:0008543" 914
"GO:0008544" 41
"GO:0008589" 120
"GO:0008593" 33
"GO:0008610" 20
"GO:0008630" 9
"GO:0008643" 206
"GO:0008652" 3
"GO:0008654" 50
"GO:0009056" 697
"GO:0009058" 8
"GO:0009059" 3
"GO:0009063" 75
"GO:0009064" 10
"GO:0009069" 316
"GO:0009070" 68
"GO:0009072" 6
"GO:0009100" 951
"GO:0009101" 920
"GO:0009108" 469
"GO:0009112" 978
