"Custom pathway"$"Custom pathway"$"Interactions"$"P-value"$"FDR corrected p-value"
"alanine and aspartate metabolism"$"alanine and aspartate metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.994343131222598$0.994343131222598
"arachidonic acid metabolism"$"arachidonic acid metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.000769573294772563$0.00285828363614646
"arginine and proline metabolism"$"arginine and proline metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.000634246901703621$0.0028541110576663
"beta-alanine metabolism"$"beta-alanine metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.276799498726683$0.343613170833124
"cholesterol metabolism"$"cholesterol metabolism"$"organ + age + organ:age"$0.0699321506053067$0.114434428263229
"chondroitin sulfate degradation"$"chondroitin sulfate degradation"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$2.17525016494535e-07$2.61030019793443e-06
"eicosanoid metabolism"$"eicosanoid metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.040969063026519$0.077625593102878
"fatty acid oxidation"$"fatty acid oxidation"$"organ + species + age + organ:age + species:age"$0.000220759837483689$0.00113533630705897
"fructose and mannose metabolism"$"fructose and mannose metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.106145713415352$0.152849827318107
"glutamate metabolism"$"glutamate metabolism"$"species + age + species:age"$0.00127336479406897$0.00382009438220692
"glutathione metabolism"$"glutathione metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00268639353476378$0.00743924363473047
"glycerophospholipid metabolism"$"glycerophospholipid metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00699741807975788$0.0167938033914189
"glycine, serine, alanine and threonine metabolism"$"glycine, serine, alanine and threonine metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0034673043785486$0.00891592554483927
"histidine metabolism"$"histidine metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0515073300172314$0.0927131940310165
"inositol phosphate metabolism"$"inositol phosphate metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00825659708132028$0.0185773434329706
"keratan sulfate degradation"$"keratan sulfate degradation"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$1.16407805534413e-10$2.09534049961943e-09
"keratan sulfate synthesis"$"keratan sulfate synthesis"$"organ + species + age + organ:age + species:age"$0.809221322430402$0.832341931642699
"limonene and pinene degradation"$"limonene and pinene degradation"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.155458889006299$0.215250769393337
"lysine metabolism"$"lysine metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.000793967676707351$0.00285828363614646
"methionine and cysteine metabolism"$"methionine and cysteine metabolism"$"organ + species + age + organ:age + species:age"$0.43288603877959$0.502590431542269
"n-glycan degradation"$"n-glycan degradation"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$1.07439726442296e-19$3.86783015192265e-18
"n-glycan synthesis"$"n-glycan synthesis"$"organ + species + age + organ:age + species:age"$0.0764419785639231$0.119648314273967
"nad metabolism"$"nad metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0630832003258693$0.108142629130062
"nucleotide interconversion"$"nucleotide interconversion"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00892354066313427$0.0188969096395785
"pentose phosphate pathway"$"pentose phosphate pathway"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.536174426665317$0.584917556362164
"pyruvate metabolism"$"pyruvate metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.374403267318528$0.449283920782234
"selenoamino acid metabolism"$"selenoamino acid metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$5.62276599731577e-06$5.06048939758419e-05
"sphingolipid metabolism"$"sphingolipid metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$2.22411157980149e-05$0.00013344669478809
"starch and sucrose metabolism"$"starch and sucrose metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.765613309802676$0.810649386849892
"steroid metabolism"$"steroid metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0398347491157657$0.077625593102878
"transport, endoplasmic reticular"$"transport, endoplasmic reticular"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.189522659285442$0.252696879047256
"transport, golgi apparatus"$"transport, golgi apparatus"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.260452296166502$0.33486723792836
"triacylglycerol synthesis"$"triacylglycerol synthesis"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.000878950005734021$0.00287656365512952
"tryptophan metabolism"$"tryptophan metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.446747050259795$0.502590431542269
"tyrosine metabolism"$"tyrosine metabolism"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$7.0725764363609e-06$5.09225503417985e-05
"vitamin c metabolism"$"vitamin c metabolism"$"organ + species + age + organ:age + species:age"$0.0967209235948366$0.145081385392255
