,GSM904985,GSM904986,GSM904988,GSM904989
ABL1,9.250699464,9.637440769,8.96586595,8.801114707
ABL2,8.195477724,9.436627966,7.626053006,8.208768878
ABLIM1,10.734418755,10.391189577,10.1339583515,9.777804557
ABLIM2,6.518283149,6.43775568,6.804968688,6.827808978
ABLIM3,8.114799536,8.770727805,8.329695214,9.984673016
ABO,6.066653144,6.021715021,6.805039777,5.844485587
ABR,6.332786308,6.723489859,6.601886547,6.781515303
ABRA,3.5504914595,3.600300481,3.654164437,3.419410054
ABRACL,9.475311157,9.047475454,10.4789218,10.07643675
ABT1,8.468635336,8.703705691,8.573182472,8.945856875
ABTB1,5.860039382,5.970457929,6.194248116,6.032878567
ABTB2,7.562785907,8.3076692405,7.2960157925,6.812756876
ACAA1,11.002314495,9.788927236,11.975606975,10.0928493705
ACAA2,8.454784847,8.97437461,9.126411247,9.387961867
ACACA,7.553240775,7.312895174,7.631823313,7.1110291645
ACACB,8.110664548,7.881588554,8.534866413,7.758089382
ACAD10,6.248595323,6.2464869585,6.763591708,6.493030845
ACAD8,9.758297984,8.496735718,10.10218583,9.438880179
ACAD9,7.6250037075,7.4009078965,7.669672632,8.4132385785
ACADL,8.1446120085,9.1033891335,9.1182000525,9.7622571355
ACADM,11.55740181,10.8879537,12.33885322,11.54653589
ACADS,9.219800921,9.082719137,9.448686531,8.725722907
ACADSB,9.623515495,8.369574648,10.4471661305,8.821697542
ACADVL,12.07602525,12.35823702,11.88432333,12.24697812
ACAN,6.495867775,6.6678523705,6.883128388,7.059604303
ACAP1,6.807114243,6.662697833,6.833181708,6.795997277
ACAP2,5.924251088,6.266980796,5.604401828,6.721463975
ACAP3,7.059052807,7.4102091395,7.0899449715,7.0326798525
ACAT1,6.584574683,5.895045055,7.388884275,6.175826867
ACAT2,8.509213129,7.893870319,8.681317438,7.957497999
ACBD3,8.85589087,9.35458109,8.5191185705,9.7770925865
ACBD4,8.036529218,8.208255493,8.277770612,7.891603651
ACBD5,9.4032924115,8.8348330635,9.480324645,9.0128749405
ACBD6,8.645302703,9.267560997,8.767395666,9.773291825
ACCS,8.932872419,8.599402061,8.854085261,9.411950765
ACD,7.552411941,8.087049247,7.549469628,7.886962787
ACE,6.0095169155,6.4737337885,6.684434309,5.7476380475
ACE2,9.9468218015,10.85663317,11.26811056,9.0020521535
ACER1,5.134305829,5.502585667,5.574825667,5.66638801
ACER2,5.649878793,6.970290843,5.103152973,6.029990222
ACER3,8.414478034,7.9404516635,8.0386792755,8.164258309
ACHE,6.117318743,6.596102592,6.761531545,6.918418801
ACIN1,7.666262476,7.776757738,7.35260954,7.108613998
ACKR1,8.809945451,7.509367352,6.341837566,8.222694074
ACKR2,5.467081455,5.648252091,5.634331337,5.590226653
ACKR3,6.303428007,8.547944369,5.317911187,7.277665774
ACKR4,6.594882072,5.624094562,5.36558302,7.48062864
ACLY,8.965630021,11.05324905,9.60373879,11.06842307
ACMSD,10.38581064,10.41601568,11.5582628,10.86387719
ACO1,7.8480020045,7.6740462595,8.748622883,7.2999403575
ACO2,8.8668938195,8.934811332,9.262769431,8.9187968685
ACOD1,5.280662744,4.98051048,4.989781489,5.278174806
ACOT11,6.169454675,6.023354987,6.990660169,6.587636082
ACOT12,5.345806552,3.892050155,6.756134977,3.592586685
ACOT13,10.31669094,9.827772172,11.4350875,9.750085104
ACOT4,8.458477416,8.802092503,10.22248676,8.410232794
ACOT6,5.149906768,4.638630068,6.242914438,4.73755422
ACOT7,9.1742052225,9.0607742105,10.7604369155,11.19104571
ACOT8,7.519344381,6.670539947,7.5066502075,7.095550603
ACOT9,8.787306564,9.334762648,8.681637596,8.506270213
ACOX1,8.124573741,8.12563778,9.088897195,8.117915088
ACOX2,9.119232948,7.778603342,10.6354813,8.63601741
ACOX3,7.538175015,7.772521205,7.8549609015,8.697322364
ACOXL,4.321672961,4.419272902,4.539193185,4.4221794975
ACP1,9.4532194315,9.5903108565,9.8707781965,10.563150195
ACP2,9.183237857,8.210481564,9.39375792,8.49851632
ACP5,9.4382965,9.838428165,11.3606157,9.628237321
ACP6,7.6927645935,6.893227338,6.938521241,6.898088303
ACPP,9.090771404,4.147150254,8.012924391,4.881536925
ACPT,7.160066237,7.143078173,7.198755378,6.915588794
ACR,6.136466974,6.413725737,6.17206813,6.114270856
ACRBP,5.860882953,5.589374574,6.06730038,5.89060873
ACRC,5.260044323,5.549545564,5.153892382,5.641841178
ACRV1,5.767269222,5.7498609475,5.9703788355,5.865329636
ACSBG1,4.99874611,5.2540447505,5.674840672,5.6574682875
ACSBG2,5.574897836,5.656474978,6.278847177,5.119341131
ACSF2,10.26855196,5.875052032,10.83989587,7.159866579
ACSF3,5.733941603,5.618708877,5.906358606,5.474848811
ACSL1,10.981020405,11.59945084,11.66658655,11.18497173
ACSL3,10.12501625,9.636221345,9.246527756,9.422003443
ACSL4,5.850046159,5.759868149,5.626187791,6.114511993
ACSL5,7.8288291995,8.060233654,6.8810404865,9.0045295015
ACSL6,5.850498846,4.119480172,5.334559635,4.329068357
ACSM1,4.3055989385,4.4152505445,4.8992952455,4.4671952965
ACSM2A,11.04358299,9.019344255,10.6576904905,9.784592685
ACSM2B,8.924220546,8.437183614,10.2484533,8.259267735
ACSM3,9.480287898,8.209096106,10.30035329,9.7233573075
ACSM5,7.808532549,8.764217238,8.11954077,8.462894337
ACSS1,6.282501308,6.247848529,6.426265754,6.500130676
ACSS2,9.440270917,8.692205677,9.908818336,8.265367524
ACSS3,8.5502690385,7.832387515,9.106702494,8.963123447
ACTA1,4.677995478,4.196346324,4.798209916,4.70946209
ACTA2,5.316836197,4.295697709,4.519273055,4.499703141
ACTA2-AS1,6.307689246,5.779651846,6.264890238,5.80984586
ACTB,13.759670585,14.006191245,13.52957955,13.40651847
ACTBP9,8.385665506,8.975440551,8.835855341,8.879364726
ACTC1,7.062477318,7.285538712,7.36270428,6.270764539
ACTG1P17,4.727288011,4.567886216,5.047554346,4.769538155
ACTG2,6.214911304,6.381203121,6.0422670575,7.0506712505
ACTL10,6.384658649,6.953259372,6.471217347,6.32305177
ACTL6A,8.776266211,8.580564755,8.850104557,9.254429138
ACTL6B,5.0788873425,5.30825768,5.864819526,5.7030483
ACTL7A,5.930076793,6.495992851,6.222324235,5.899051959
ACTL7B,5.237484493,5.271914853,5.080624558,5.119341131
ACTL8,7.62515747,7.309888806,8.18665581,7.5629897
ACTL9,4.270298601,4.308236791,3.952000017,4.362720943
ACTN1,9.4162074905,10.28945291,8.0162066965,8.643968254
ACTN2,4.929721221,4.790411447,4.941936221,5.28644423
ACTN3,6.317079441,6.324814774,5.905066179,6.234830106
ACTN4,11.66484017,11.24037734,11.33081248,10.56806944
ACTR10,11.7462223,11.67702023,11.680823,10.99361522
ACTR1A,8.848412266,9.1106854085,8.767723593,8.453371662
ACTR1B,9.798052138,9.972567198,9.509003095,10.08753847
ACTR2,7.968782256,8.182046444,8.089594752,9.155452926
ACTR3,10.94268616,11.05179969,10.7825688,11.62422741
ACTR3B,7.9268108575,7.715941661,7.4758060545,7.11544008
ACTR3BP2,4.988054761,4.811331337,4.857314269,5.411658066
ACTR3C,8.277606134,7.103193042,8.273012109,7.797852767
ACTR5,7.339380796,7.22513633,7.287706748,7.5871535765
ACTR6,7.25155509,7.3971197795,7.3472974995,7.58853198
ACTR8,8.3513108645,7.443489548,8.6524692825,7.848950868
ACTRT2,5.350789738,5.323656197,5.26802821,5.119341131
ACTRT3,7.148421774,5.656474978,6.812695427,6.22216375
ACVR1,9.910084227,10.85375018,10.51066334,9.880507173
ACVR1B,5.8949742665,5.784477391,5.929967352,5.685853773
ACVR1C,4.6954526625,4.255629054,4.75740644,4.25559905
ACVR2A,8.5159448065,8.251996419,8.580510581,8.677648547
ACVR2B,7.315071842,6.744933092,6.755440092,6.205804585
ACVR2B-AS1,6.552595738,5.758522595,6.516662463,6.318920119
ACVRL1,7.838886224,8.79067852,7.211343098,7.821623666
ACY1,6.171307913,6.149622987,5.989986675,5.842898676
ACY3,8.288852639,8.35217829,9.7223700685,8.8559819405
ACYP1,8.654212769,8.17003601,7.881879021,8.146102793
ADA,6.121044186,7.6003580265,6.4769910435,7.7874767035
ADAD1,4.3757876275,4.5506796425,4.484048843,4.671970855
ADAD2,6.390189512,6.609327666,6.793411578,6.548180978
ADAL,6.879536042,5.691473284,6.812694327,5.75713451
