,GSM904985,GSM904986,GSM904988,GSM904989
MIR10A,7.701972643,6.869152168,7.18635859,6.418097436
MIR1244-3,11.54811766,11.77383172,11.51257164,11.75233954
MIR142,6.2083650005,6.7457400975,6.681124671,6.9886720995
MIR146A,5.7734320185,6.2111509565,6.585085948,7.3063533355
MIR194-2,6.684586838,6.441358219,6.337923995,6.858508883
MIR205,4.862115219,4.490956563,4.927482201,4.865351719
MIR302B,8.592306835,8.331864105,8.244062418,8.199266409
MIR34A,6.926090973,7.486822539,6.897312763,7.313829447
MIR3682,5.868430353,5.290719477,5.781069695,6.741919763
MIR3916,4.088536305,4.555182859,4.432687145,5.137936248
MIR4296,5.246710333,4.955618603,5.278877061,5.316954052
MIR4313,5.396931029,5.387906384,5.148512673,5.174372529
MIR4755,6.207320527,6.170137052,6.602337262,5.941581166
MIR5188,4.084884161,4.570749962,4.466137857,3.93996665
MIR622,3.980009925,4.45278468,4.059360469,4.214750004
MIRLET7D,8.196146434,8.096058061,7.550519131,7.725687827
