,GSM904985,GSM904986,GSM904988,GSM904989
KAAG1,5.580361455,5.838076263,5.120252078,5.614570046
KANSL1-AS1,7.472482671,6.5662862235,7.8147575345,7.031498613
KCNIP2-AS1,6.879536042,6.217524505,6.230520151,6.377954475
KCNJ2-AS1,3.353981028,3.945905618,3.070946991,4.097268589
KCNK15-AS1,4.602610267,4.722312724,4.846660633,5.597691972
KCNMA1-AS1,4.927995262,4.56552175,5.318839838,4.769694193
KCNMB2-AS1,3.733752007,3.628410476,3.954455086,3.73320841
KCNQ1-AS1,5.178730625,4.834782413,4.627213621,4.761740685
KCNQ1DN,5.828316317,6.564665897,6.850769981,6.566788241
KIAA0087,3.89933816,3.730793796,3.752134966,3.645410775
KIAA1614-AS1,4.845229226,5.427708479,5.717848785,6.15361953
KIF25-AS1,6.143566587,5.653445564,6.427187787,6.351484332
KIF9-AS1,6.851314061,6.744278742,6.665355602,6.415843526
KIFC1,7.416236559,7.260718966,6.981676781,7.626839156
KIRREL3-AS2,3.871045949,4.748028731,4.071161818,4.060805187
KIRREL3-AS3,4.760854911,5.123904185,4.790177431,4.340578224
KIZ-AS1,3.948173288,3.891254616,4.1823833065,3.8509670095
KLF3-AS1,6.633098688,5.5775430875,5.5520256875,5.719536495
KLHL30-AS1,5.36933271,6.784232803,5.913591095,5.66289428
KMT2E-AS1,6.880368991,7.648101902,7.693701573,7.545714044
KRBOX1-AS1,4.947787489,4.615516238,5.164949093,5.239050165
KRTAP5-AS1,4.464052639,4.6107704365,4.353964079,4.7231601165
L3MBTL4-AS1,6.09330738,6.000479374,5.857878617,5.913095999
LACTB2-AS1,3.131547977,3.147521885,3.365556963,3.222837153
LAMA5-AS1,6.790755582,6.606633905,6.695941219,8.265230687
LAMTOR5-AS1,6.036142712,6.051517534,6.125488774,6.021011412
LARGE-AS1,3.4615978305,3.362901428,3.233248402,3.2614084565
LBX1-AS1,5.796970322,5.730948609,5.651154337,5.703140742
LBX2-AS1,7.62515747,8.04889268,7.860253346,8.222132423
LCAL1,5.648738367,4.698163641,5.709299898,4.519410634
LCMT1-AS2,4.7796604345,5.0936470575,4.7806186915,4.8485425105
LDLRAD4-AS1,4.822278113,4.722382633,5.159598135,4.848901225
LEF1-AS1,4.600797659,4.273233272,4.551829562,4.4845675825
LEMD1-AS1,3.9243172245,3.831945554,3.71230217,4.0930119895
LGALS8-AS1,6.483615072,6.236573633,6.758584515,7.170073345
LHFPL3-AS1,4.391425196,4.117594563,4.322671724,4.145033838
LILRP2,3.862092872,3.984401108,3.863225922,4.154695466
LIMD1-AS1,6.390349597,6.475011977,6.678170544,6.66625276
LIN28B-AS1,6.485512298,6.396744638,7.081696099,6.570685526
LINC-PINT,5.856470947,5.8488752435,5.9333466565,5.829447276
LINC00028,6.588933664,6.917346113,7.106392872,6.235018395
LINC00029,6.227305715,6.148680233,6.300208342,6.165528616
LINC00051,4.191607416,3.768310669,4.309814261,4.313777839
LINC00052,4.69124758,4.582278427,4.911948714,4.796447558
LINC00092,6.034737546,6.312340065,6.12151483,6.089569448
LINC00102,3.123174632,3.470157243,3.243760264,3.097002131
LINC00112,5.574897836,4.896359743,5.717500348,5.31664332
LINC00113,5.577010925,8.393558918,5.783301858,3.664529853
LINC00115,5.605176605,5.617135704,5.279927742,6.154987639
LINC00158,3.71791022,4.488473333,4.068177204,4.082952499
LINC00161,3.745462879,3.572403698,3.852521041,3.7642078835
LINC00163,5.972179477,6.083751538,6.244077625,5.810291256
LINC00165,5.40556614,5.411389668,5.417891655,5.870158114
LINC00173,5.634255986,6.294179475,5.566301582,5.8743162095
LINC00174,6.588933664,6.772489061,6.897312763,6.259013845
LINC00184,4.6939246815,4.932176717,4.975322349,4.689162007
LINC00189,4.198504142,3.921638342,4.211729509,3.869906185
LINC00205,5.364925526,5.146424194,5.628380572,5.373275804
LINC00208,5.721283093,5.985620613,5.348182622,5.71514068
LINC00210,3.903126596,4.014305257,3.994870624,3.616853586
LINC00216,4.030614855,4.591100486,3.784071175,3.849609639
LINC00221,3.36825742,3.455967722,3.427590679,3.501058738
LINC00226,4.321826388,4.3817542335,4.5657075865,4.2026600565
LINC00240,4.191063082,4.829537163,3.917055683,5.523480778
LINC00242,5.053500238,5.204776158,4.531583334,5.090282903
LINC00244,4.694559151,4.753406112,4.139708721,4.695652496
LINC00261,3.958963341,3.508340226,4.033366223,3.926897314
