	TCGA-IC-A6RF-01	TCGA-L5-A88T-01	TCGA-2H-A9GF-01	TCGA-2H-A9GG-01	TCGA-2H-A9GH-01	TCGA-2H-A9GI-01	TCGA-2H-A9GJ-01	TCGA-2H-A9GK-01	TCGA-2H-A9GL-01	TCGA-2H-A9GM-01	TCGA-2H-A9GN-01	TCGA-2H-A9GO-01	TCGA-2H-A9GQ-01	TCGA-2H-A9GR-01	TCGA-IC-A6RE-01	TCGA-IG-A3I8-01	TCGA-IG-A3QL-01	TCGA-IG-A3Y9-01	TCGA-IG-A3YA-01	TCGA-IG-A3YB-01	TCGA-IG-A3YC-01	TCGA-IG-A4P3-01	TCGA-IG-A4QS-01	TCGA-IG-A4QT-01	TCGA-IG-A50L-01	TCGA-IG-A51D-01	TCGA-IG-A5B8-01	TCGA-IG-A5S3-01	TCGA-IG-A625-01	TCGA-IG-A6QS-01	TCGA-IG-A7DP-01	TCGA-IG-A8O2-01	TCGA-IG-A97H-01	TCGA-IG-A97I-01	TCGA-JY-A6F8-01	TCGA-JY-A6FA-01	TCGA-JY-A6FB-01	TCGA-JY-A6FD-01	TCGA-JY-A6FE-01	TCGA-JY-A6FG-01	TCGA-JY-A6FH-01	TCGA-JY-A938-01	TCGA-JY-A939-01	TCGA-JY-A93C-01	TCGA-JY-A93D-01	TCGA-JY-A93E-01	TCGA-JY-A93F-01	TCGA-KH-A6WC-01	TCGA-L5-A43C-01	TCGA-L5-A43E-01	TCGA-L5-A43H-01	TCGA-L5-A43I-01	TCGA-L5-A43J-01	TCGA-L5-A43M-01	TCGA-L5-A4OE-01	TCGA-L5-A4OF-01	TCGA-L5-A4OG-01	TCGA-L5-A4OH-01	TCGA-L5-A4OI-01	TCGA-L5-A4OJ-01	TCGA-L5-A4OM-01	TCGA-L5-A4ON-01	TCGA-L5-A4OO-01	TCGA-L5-A4OP-01	TCGA-L5-A4OQ-01	TCGA-L5-A4OR-01	TCGA-L5-A4OS-01	TCGA-L5-A4OT-01	TCGA-L5-A4OU-01	TCGA-L5-A4OW-01	TCGA-L5-A4OX-01	TCGA-L5-A88S-01	TCGA-L5-A88V-01	TCGA-L5-A88W-01	TCGA-L5-A88Y-01	TCGA-L5-A88Z-01	TCGA-L5-A891-01	TCGA-L5-A893-01	TCGA-L5-A8NE-01	TCGA-L5-A8NF-01	TCGA-L5-A8NG-01	TCGA-L5-A8NH-01	TCGA-L5-A8NI-01	TCGA-L5-A8NJ-01	TCGA-L5-A8NK-01	TCGA-L5-A8NL-01	TCGA-L5-A8NM-01	TCGA-L5-A8NN-01	TCGA-L5-A8NQ-01	TCGA-L5-A8NR-01	TCGA-L5-A8NS-01	TCGA-L5-A8NT-01	TCGA-L5-A8NU-01	TCGA-L5-A8NV-01	TCGA-L5-A8NW-01	TCGA-L7-A56G-01	TCGA-L7-A6VZ-01	TCGA-LN-A49K-01	TCGA-LN-A49L-01	TCGA-LN-A49M-01	TCGA-LN-A49N-01	TCGA-LN-A49O-01	TCGA-LN-A49P-01	TCGA-LN-A49R-01	TCGA-LN-A49S-01	TCGA-LN-A49U-01	TCGA-LN-A49V-01	TCGA-LN-A49W-01	TCGA-LN-A49X-01	TCGA-LN-A49Y-01	TCGA-LN-A4A1-01	TCGA-LN-A4A2-01	TCGA-LN-A4A3-01	TCGA-LN-A4A4-01	TCGA-LN-A4A5-01	TCGA-LN-A4A6-01	TCGA-LN-A4A8-01	TCGA-LN-A4A9-01	TCGA-LN-A4MQ-01	TCGA-LN-A4MR-01	TCGA-LN-A5U5-01	TCGA-LN-A5U6-01	TCGA-LN-A5U7-01	TCGA-LN-A7HV-01	TCGA-LN-A7HW-01	TCGA-LN-A7HX-01	TCGA-LN-A7HY-01	TCGA-LN-A7HZ-01	TCGA-LN-A8HZ-01	TCGA-LN-A8I0-01	TCGA-LN-A8I1-01	TCGA-LN-A9FO-01	TCGA-LN-A9FP-01	TCGA-LN-A9FQ-01	TCGA-LN-A9FR-01	TCGA-M9-A5M8-01	TCGA-Q9-A6FU-01	TCGA-Q9-A6FW-01	TCGA-R6-A6DN-01	TCGA-R6-A6DQ-01	TCGA-R6-A6KZ-01	TCGA-R6-A6L4-01	TCGA-R6-A6L6-01	TCGA-R6-A6XG-01	TCGA-R6-A6XQ-01	TCGA-R6-A6Y0-01	TCGA-R6-A6Y2-01	TCGA-R6-A8W5-01	TCGA-R6-A8W8-01	TCGA-R6-A8WC-01	TCGA-R6-A8WG-01	TCGA-RE-A7BO-01	TCGA-S8-A6BV-01	TCGA-S8-A6BW-01	TCGA-V5-A7RB-01	TCGA-V5-A7RC-01	TCGA-V5-A7RC-06	TCGA-V5-A7RE-01	TCGA-V5-AASV-01	TCGA-V5-AASW-01	TCGA-V5-AASX-01	TCGA-VR-A8EO-01	TCGA-VR-A8EP-01	TCGA-VR-A8EQ-01	TCGA-VR-A8ER-01	TCGA-VR-A8ET-01	TCGA-VR-A8EU-01	TCGA-VR-A8EW-01	TCGA-VR-A8EX-01	TCGA-VR-A8EY-01	TCGA-VR-A8EZ-01	TCGA-VR-A8Q7-01	TCGA-VR-AA4D-01	TCGA-VR-AA4G-01	TCGA-VR-AA7B-01	TCGA-VR-AA7D-01	TCGA-VR-AA7I-01	TCGA-X8-AAAR-01	TCGA-XP-A8T6-01	TCGA-XP-A8T8-01	TCGA-Z6-A8JD-01	TCGA-Z6-A8JE-01	TCGA-Z6-A9VB-01	TCGA-Z6-AAPN-01	TCGA-ZR-A9CJ-01	TCGA-IC-A6RF-11	TCGA-IC-A6RE-11	TCGA-IG-A3I8-11	TCGA-L5-A43C-11	TCGA-L5-A4OF-11	TCGA-L5-A4OG-11	TCGA-L5-A4OJ-11	TCGA-L5-A4OM-11	TCGA-L5-A4OO-11	TCGA-L5-A4OQ-11	TCGA-L5-A4OR-11
ALKBH5	2022.89	2187.73	1908.95031506735	1688.09335811738	2024.25470500789	1796.54721374015	2275.9875829198	1610.09818128139	1500.64488509951	1141.8554276863	1736.82336285367	2162.30364514792	1786.06764282912	1683.63954048019	2375.78608923458	2549.44616385931	2740.79536604962	3285.23818479686	2081.75649872897	3045.68295641582	2019.00521624597	1399.49761919527	775.886493868387	2662.45087018326	2528.25414268367	2864.38637965499	1285.33821940983	1889.9997576699	1762.28483884492	2837.59555068706	2098.03864686666	2675.84143301402	1761.14955199622	3152.25437059716	1667.50294193848	2528.92367082521	2334.61496018318	3380.79634621522	2776.32887408313	1501.36292977305	1840.53230164728	1528.54189099693	2883.23020068204	2854.96446914146	1706.31616753489	1946.73499018546	2219.59196612822	1332.1275628663	1833.41007475034	1413.90702919794	2354.9433870893	1446.48102877973	2724.64906420151	2577.14910362875	973.503061661869	1296.4193953176	1623.70221685293	1598.83264255203	1553.24650908905	2520.54971740279	1879.72395619325	1665.1741484027	1419.32147416864	1680.83528493085	1868.12850504633	2863.52278538547	1875.9881832296	1238.22866684218	840.954925919489	1708.14038913792	1036.75891607762	2277.71477145884	1939.52543353092	2379.8420713094	1688.11276473018	2837.33356141429	2209.69459360114	2020.53833865703	5617.82571338352	2817.11187087856	1918.51777517687	1947.62769437417	1437.68012987574	2184.82501930023	1472.36945025253	1758.77224192844	2040.49803991999	2002.33493585231	1725.24731831954	1438.77660349884	1719.46414770568	1479.2102812639	2020.48011881864	2035.74341978443	1496.87029891026	2090.68354061614	1937.5944755575	1632.35756616093	1662.23404656377	1469.90481042716	2354.14771596458	3359.71106140997	2192.52944458112	2418.732923357	1912.65697811181	2022.12968090648	3044.98431835508	1494.39595577849	2280.29585096101	1646.86400922759	1726.66400105381	4202.782837896	2156.74365058123	2641.88956392356	2077.40941746217	2940.54763158154	1320.02753978662	2080.11663994752	2882.98761802206	1483.57676914349	3373.21806391752	2325.30948934644	3084.02071999867	1761.411541269	3232.52012113054	3522.83334528529	2883.75417922759	1538.72065940959	2306.39774517459	2493.06025037413	5146.6816711751	3004.65737696041	2895.87360892007	2460.14663506837	2553.83205835171	1491.82457958273	1310.46007967711	1125.06870761585	1998.2013273263	1278.0607396105	1099.6848580758	1123.4967719792	1467.16847802261	1900.38229551694	1900.71220793451	1556.09928117039	2241.76402125017	1655.33499571401	2389.46775125731	2278.44251943878	1261.73007494081	1190.41077290741	1277.70171727373	1505.37039531588	1841.64818188318	3852.87190583796	3258.03011365378	1657.38239336422	2192.12190571236	1848.18821039617	1288.53060721513	2801.5283608016	1694.3034742128	3150.86679778209	1288.37535431275	891.714862354474	1236.28800556236	1663.52458631485	2200.17565002362	3270.89669793899	2155.88005631171	2612.08100666552	2149.5437972331	1988.55624076559	1866.65360247366	2206.8515248262	2858.21507678515	1260.69182115611	2193.52888514023	1566.7826215158	2937.06414458426	2116.25175297778	2625.3163165939	1458.48401879541	1273.83980132689	2522.1	1914.9663650348	3683.31632982004	3103.62139892486	1817.82656467338	2182.75821503723	2190.69551967169	2001.84977053236	2445.58197216332	2719.42868535879	2251.83605329244
FTO	935.621999999999	933.731	891.582571008611	1026.60892261799	897.950652822111	680.641011794583	639.990399900045	634.872917286064	859.558024635661	760.128483124972	516.083639823562	423.334446306867	937.271639923542	480.042598475471	834.676471236647	1389.92717104748	596.191040082301	1565.80131491599	1117.87197463195	1542.9069099383	1061.45690767452	1379.09375957681	374.290242238872	786.125601699506	848.739957940438	1134.43665973477	1214.3982846267	1090.3204303039	1256.05167759717	726.821880762821	1064.52586276536	1278.11746470033	439.152608083846	1364.20165499849	551.703467085436	658.953473406366	748.102782601502	1323.44593139209	1822.31992618413	682.107972328006	402.846869359169	461.388722194552	891.237313560891	581.260573565348	915.827316226274	920.776006310258	519.971238684888	628.239370857205	709.540594646283	476.336835203277	1153.22633727846	695.083514452093	1792.03701182523	541.810690350102	319.184084627688	774.04159102931	1202.7669448324	600.773757271703	433.527980641103	428.321498329487	1198.75428605112	519.788635856983	837.937236020669	832.267341490335	577.130527251846	640.912620904843	629.953382275441	586.020522911246	658.374208132969	587.934783649159	678.068460189684	1082.23373363953	913.295428276328	784.476038338177	528.136193704076	1031.91054253742	454.646227859969	590.686869126873	424.268943132028	1280.84116234346	971.620919777806	798.109871329249	879.728731970229	948.956686431928	1143.02973398914	923.254187546114	568.901891414522	690.063471162245	853.044167455346	529.6200334905	1291.45207457005	1024.05401750487	978.11175979494	802.98950992369	808.943282799926	716.186416895503	419.75220847708	1002.46391844078	508.804078348082	942.327743435706	1541.24200180152	650.136365430373	847.458669190011	776.895719263795	818.717904764262	1273.61377310452	620.346018363557	930.742437967772	1366.21949297072	832.965528773503	916.916795283523	1828.15861324446	1066.19844328987	1114.09715987021	1599.04577093755	563.296444941096	1047.14023217573	643.296431771656	877.181499244828	624.185281182201	954.427098881356	786.233015127685	1381.84814677084	534.49967208494	1586.64719237054	935.422594481309	982.101401413036	1166.04689717046	1065.06292990626	869.677904047717	1059.96846445546	1630.25704421143	1573.51206458173	1368.53655406431	1241.75801926157	926.921588879673	1264.65242423926	606.596332317806	726.167426089699	629.510685503587	654.709875754502	438.189723424094	616.878866349676	687.249239343941	767.006011483551	536.947931008661	847.213152782743	1037.61879900639	435.677783682239	500.345270878945	620.612250217687	342.075420650289	605.387931250786	1149.85815906626	443.238154548532	1256.74219249261	1381.7253885672	450.07578649093	1165.66327778411	461.902772172268	635.044011532378	1541.38777716833	579.398485063979	444.778002765362	1088.69388410575	728.261220700427	1482.64797672959	1156.8323595102	657.486512872943	694.463585523742	584.276589180874	967.608260996528	564.12659729317	1173.95712891711	1699.74585985585	924.489441970179	1038.92310492	824.502885110502	1726.422751983	1564.80390451147	1487.78080411902	1687.38564322748	1103.92357374406	508.003081069372	1057.46726605642	892.265	629.260565663683	1849.87147051218	800.457621973744	639.484789548828	920.284973495724	840.96015678515	701.867439680401	1262.73432730748	1844.25528269593	711.018296522523
HNRNPA2B1	8396.78	7467.04	17522.5519893959	20059.7056806566	19963.3545163406	20335.5565359287	15501.7057034206	20508.03354727	35623.0873359496	20558.7372940893	25694.4228964447	33976.4094198546	16886.4376698809	21221.3973425486	18630.449925438	21832.2300154501	23791.4171744069	25488.2370229521	19105.6044281802	12358.7897139403	20375.7262633258	22796.7248337565	21444.2971935246	21379.5480874755	23336.7688961401	22666.8052608814	30373.3534166488	26944.4598678918	17485.4722410294	16992.0587712885	12857.0628779747	21844.0281172031	34640.3335506446	15403.5286424047	23267.2443679529	17357.2381112618	18306.1425808233	13892.655304702	16746.9672527295	9607.62688409604	16279.9590583406	24865.7467018899	19475.6996438839	19132.7119714936	14389.7346132018	18033.9435189508	18280.4395734328	10439.7582370214	17370.7216561224	16005.5127389914	25504.248732474	18914.727996248	16040.2047762889	13243.3243021518	20301.2858594082	20227.1263626751	15827.9793983275	23375.3936340219	14621.7639476772	15257.7378135999	14970.2293101671	22067.6302361406	17295.5789842433	15324.0319091643	23753.3542508943	19333.2797012943	19911.9485015597	19262.3506371841	18593.0892698869	23748.2979215716	20503.8199395011	9963.63460449233	16549.7704091439	17163.1312467068	13236.6246657992	16001.8609455917	17737.5864392033	16822.1099246087	19423.4509075493	21888.9732667383	18218.4995392296	29221.212599033	23553.0674282781	21682.2255788764	20009.4232946141	17429.0098969258	20729.3884087307	22623.5455544538	11462.3867971797	20980.8003389431	15420.2426198881	15893.5712259304	12272.0736660559	19822.4795632662	15487.5198905985	18199.5383042695	19893.9704417456	18934.110591985	17333.6419077559	21377.7221907756	17539.2659668793	20578.8221577879	17072.1173188981	29603.1059164897	26495.9915476861	25507.3387115045	27684.08848493	21143.4455988235	20027.4013544282	26749.6507353752	15896.9421121455	20503.2581251319	24734.7035002764	21492.191868498	16313.5274668997	20153.2477731267	19179.9043785055	12993.8365861539	20807.6210596404	27196.4336124733	24491.0165176403	16473.6445621187	21637.2804293413	19652.3902629941	18172.852121733	18531.7110500529	13414.4950950847	28921.0632722934	23559.1069327469	17392.9133237054	15150.8526298616	27040.3896714309	13691.2588987068	18538.8741832601	17260.044225392	20728.2647799923	13452.6563361119	16609.7440930549	21381.3739841753	19734.8365216726	28388.7441574862	22997.2925635572	12346.1348452743	22031.2527557355	16828.9921506312	13702.4109139352	15236.529321163	20673.7687861809	17743.2045828952	25416.7461444727	26342.7566784896	24431.6046480985	16394.9905504322	14912.7837909175	33943.8241864416	17882.9559072311	19262.771997961	19989.1979773233	26540.5153364444	26179.8305114246	17437.4371124637	30553.836282751	15035.9615913623	11847.004914327	11522.5430707607	27349.3875744852	21011.7001292485	20218.1373327681	18938.3241997539	17399.795549728	20605.0869795475	33645.6412099942	35074.6160580282	23899.145079699	17449.9374821781	22281.8219643942	21876.8942578007	19255.8897719384	16174.3379569329	24305.7582294001	15579.2360863687	41511.6041930192	23294.4923648586	30233.7425459051	26367.7574179185	8531.49	9728.02370341339	12112.518385206	12185.3014367345	14542.6885752137	12220.7097873527	12977.8951034281	11676.3116636079	10494.633455532	11015.7162829554	10987.4148841075
HNRNPC	4393.13	4072.93	8709.09076296145	9211.84406038649	7150.56752624204	9055.01643307124	7121.33838018815	7473.91589081456	11074.2095888121	8543.30412522066	10135.2513623738	9085.53399868465	12657.1229074258	7576.55498851582	7803.34679423787	8616.2496465617	13047.8735929089	11302.7692260228	9841.32690495137	7453.57084707229	7748.37922023904	11507.792733838	11683.0327755562	11204.5946519115	11005.803499175	9007.82432129792	12177.2165847482	7859.12337586709	10478.2556160405	14335.1545491026	8406.68670704261	11059.0781497991	11024.3207849375	11580.2588432499	7637.29048728694	8449.48920333986	7047.22429226987	8282.4590909079	10173.7241696861	8895.40222391793	8263.22268725173	7843.12300273252	7899.30408817694	6712.23520679326	5977.08697672452	5633.57334788314	12049.812864583	7398.7680709241	8299.70293873364	8227.28177419009	8047.32252129451	6803.8777933702	10238.2500190219	6907.68545764871	9847.28959081987	6580.38194466089	6088.64013998296	8104.83697116682	7201.38519072936	7363.93579794856	7304.26399439519	5937.1759336248	6573.56530629364	4294.50092172103	10376.8300297848	7412.26651305355	7915.49922240772	8010.16809678727	9325.62948543993	7035.98807518099	9529.27468395887	6614.57000785668	9896.87876223882	11991.7141314221	5110.56489645253	9186.21050380105	10616.8805716717	8493.68499055614	8958.8194331676	7008.88631956259	6528.74029092038	7891.07917726788	10026.9791745053	9200.15839461405	9569.85990008392	8101.406179549	9496.09038948971	12104.2860450299	8878.62280639854	7838.70342401089	6171.06902854701	6756.58081023739	7861.99984744184	6287.19158675494	5474.54342201846	9070.46248616277	6572.03718076956	10134.9517299181	10172.8102906962	9258.48185211676	7568.7945079131	9238.78101815425	8934.32447991383	10786.3676702405	9610.40017134062	10724.3737151554	13580.7249705093	9559.79224957229	7823.13751793709	14705.4253562383	7757.3232490418	9698.61196629976	7341.86786758599	8880.3756562644	6352.36164587047	7203.85715848892	10898.1905027091	6773.70480508085	9157.04128423831	8735.08387849373	13185.1052576211	9575.92745731192	9061.6233287195	10607.1425168614	8277.18555968751	8149.49718868943	10464.4875047009	17745.631086412	12091.9561694777	11871.486608571	18072.2304631289	16382.0037805049	7388.64049392132	8232.66017676997	9466.80131694467	7499.6543187595	6379.61321771671	8275.56754442672	8095.20378771594	8817.87232600464	9047.33086058244	7866.58422401411	10882.1002398378	14055.5225598172	7838.41877317797	7565.43862440922	7269.67142738421	8482.73342430018	7349.59838494314	9626.22076500177	9012.97799953603	10154.6525638806	8025.91378233449	8261.27507628966	8730.79913437718	9805.38599188972	10092.5087925677	9993.82484328171	11753.2816047959	8256.51092024397	7244.27757676333	14090.5046490206	8233.21449681302	8078.3644437054	8895.47713203187	10437.2509144774	12255.0311334944	11599.6300815112	10092.3889395854	12267.0763582137	16265.8962039198	11981.5116463054	13459.6584767823	7986.61698576896	7401.27000192923	13404.1815276088	10626.0792880619	9825.3265318168	9301.68885222921	10594.4980272307	12098.6679364855	13862.1697361517	10312.7686107554	13071.0501633575	10297.3525209094	4657.46	6339.22276268787	6397.69603641842	5945.23604668322	4870.06490588205	4514.55099718974	4764.78904257059	4844.2365882004	5272.66605498817	5391.32050744679	5368.23382673483
IGF2BP1	545.289	14.0252	202.794517223091	35.9427449500091	8.51206040164332	5.27427221558761	170.387900431388	1.1840942248063	7.68154107228947	756.914938467399	2390.99145164292	36.563579101255	422.698156123279	9.66784318771192	116.800446615434	529.952084815837	466.172510561133	1.72933954328935	1.38891042847011	0.402823374665447	10.521749558248	18.7802485886753	0	21.3086830717067	7.40313151719228	5.88297384034998	0.760333809665535	19.9796925062342	1.35626435391886	0	1.10188039402932	2.6480591474088	16.374097201518	5.0732873360765	0.898181659910043	109.7723613728	0.482722447100163	1383.74431381983	128.790096635832	1.11273581246201	5.57487152306926	19.0898674717665	1.75647808937107	3.64372451159524	3.36244146338352	3.40243090922747	214.086546970682	0.126090023885072	4.50744865027262	0.916140991875888	12.2589357844909	1.71130039207032	133.157806169926	38.6138962577291	1.34892098262616	4651.51261137053	860.289651455335	0.185954463771222	0.73247689030518	6.3068938939971	21.5670579942554	70.2504967139893	13.1014280018219	0.929710264916749	2978.98796213	44.6238071067795	1353.66043729571	0.351898691135629	7.68201998780856	7.87606059229287	0.437784207558959	2.97938886736534	28.8713976721507	2.46367667255946	0.162727061095396	1.80436964127999	604.009984302727	2.94275183015502	0.767757000211418	429.948937082289	3.23624722410352	35.6458971474269	9.65132060230335	92.5792942374978	202.019472274698	0.465082392147044	0.282136663854969	3289.02988726303	0.720982917847039	68.9372305413936	50.6274122348284	9.59632513686127	2.66641757564055	0.88860334952826	3.02544457645109	8.371658335297	62.0991949405848	433.178424066014	36.2210746858531	1.83470095748897	2.77624886801834	1249.93531778631	2.02642680363102	5.92799189914436	1.01535632358053	17.9554762455505	1.90965123622643	400.333599574345	2.83627294641085	7.32411045654256	3.05976685531915	96.9773350878003	265.888444092966	73.0369868425566	10.5323655189211	1.1572749557373	482.38300268977	2.7327473750344	20.4233279154172	142.067231210048	309.010795624289	1.27205504181235	3.89268076226845	29.6648010487751	0	0	677.469239390756	49.6016550121926	421.52481310151	3.38048061460255	8.68997751698496	1365.6173614223	317.050190804733	63.3739882331471	291.705981534532	446.57848029013	0.953097306098939	5.36933694612681	79.6174457133486	921.73451255448	2597.63551620459	7.99882260368606	1496.85617750338	24.8155419602374	490.25797020866	19.8414455597238	92.7062068500565	1485.16265691229	3.55001670836012	247.352018926618	5683.53564538117	2.77824434934788	0.171028263426275	16.8909268658684	0.272638172726367	13.5820995444811	37.1753138576383	13.1698331017985	37.4728800334991	9.36468966412846	17.0246241149475	2775.04977025118	1949.73465620476	2.35033333304168	23.9210874090851	14.9620946127367	0.384864042699603	74.6609893677882	4.82943951760692	370.180280299957	31.7258938044287	1473.78841333392	746.504113274932	161.107315863971	2378.7152505036	1.49259563835292	160.005810170066	5.01158705336718	59.9674621458656	5.28903877742619	737.780667094723	72.9400862691943	3.53556942353427	737.685682183437	514.560538224841	714.916999999999	0.287245096058588	0	0	1.86503227369796	3.27424118861793	4.85969101456272	0.0149018042031959	0	0	1.2363758356402
IGF2BP2	3928.83	303.647	1408.46472079851	344.199500811681	2454.87634179917	445.339974654168	2941.08008182366	1797.97516749357	602.717196799042	642.532971012753	3064.39957982359	1681.48107843455	334.107138320422	874.552438747262	1219.81503904264	1406.17180998242	1857.10204989437	789.946695809133	180.766505682002	42.3035759570146	1188.60301273998	438.903827316928	2492.1583606886	90.7475380226452	2371.67389582949	3105.94747930108	2492.06948817634	379.60808714285	691.786117302432	1481.02023980048	692.772602188422	335.969906177209	840.344520056608	1199.13440544176	1588.01385729984	230.459570907325	1161.4169112423	5196.25562920569	2279.32646834915	1309.87844295812	654.98312125404	1757.32488038982	570.277841102189	794.148588188375	941.030855361491	1567.11992966956	1634.2186764193	325.912203965728	638.181772812929	2033.13183491055	1909.27021458589	1833.19534409877	4625.63188979367	661.852077725944	2326.6599683742	2810.68633184853	3021.20753886945	1213.49620342157	698.247148943103	1087.43943204431	1770.06919864666	761.367073319354	1116.10081724536	188.116262445186	1489.48979021803	1199.03664567828	1984.75852649216	1133.03103082923	3311.60735990185	1451.87005578205	839.002545121613	420.375685962773	763.790626728448	1706.9252786921	643.17196437584	993.874451146123	1370.16955526942	720.847428808612	1201.38288000172	3185.86164231746	1106.80475246387	768.8732457041	1157.90644700838	1195.79279898111	601.010844563816	1170.82851028972	1133.57315315397	2080.98079550666	421.133768492277	2383.29842043196	883.165073909537	1505.13135237426	732.584821501644	1081.65383149675	1080.64957210831	518.550484071434	1341.9080963735	2336.27597419979	1327.52852389123	1815.60747392423	2546.05065211779	3525.71901641772	910.129882851708	866.43215730286	74.4234349723237	1092.66513576469	319.615586472722	2327.10433093545	2200.43433922365	73.8259450724581	283.805296386177	2128.06545249741	4151.92362499171	978.712800556048	1516.58701920346	2519.5666434669	197.298570410992	1727.86364257851	379.786720892475	2955.85069335983	622.148282877669	3664.03130723444	4212.02810502727	246.919648901391	757.039870697838	1492.87583293481	645.342231125018	1367.95662971436	2875.21666299421	1255.19518616989	392.458163689268	1012.56434047257	1029.5478775638	1012.9287177728	2546.71719595968	1803.65412102643	1364.57058699758	1226.11610016126	2641.46418127081	3753.26819678598	2095.87582855998	686.433325889535	1284.49645345915	1656.63232400908	1534.58370293435	439.984517065903	1185.33250428913	1453.8341383028	999.571179181432	1054.36108298437	3770.08287610393	1190.24715421663	571.063474110491	1496.73289996651	1423.43085186163	5652.54488160639	3620.79483002417	2464.28794084658	666.077076958372	1027.62823129917	1072.34887946403	7224.4685548003	1556.597424219	2104.13208494813	3559.20617903401	3144.75810540123	3384.2961876722	2954.92641923242	583.424751839526	5096.80728799646	415.714322695192	3296.74787585343	1524.90548635018	1926.13821741119	5603.39838233141	3246.23273988978	1941.30875525249	739.220043266327	996.01627869138	1874.1922340003	3384.92718250918	1666.69269239593	1576.40710719982	2520.96194190925	1405.35418286971	1630.94	53.8003907593815	118.09183259213	576.871292786114	939.386713884842	608.49835372099	492.998748074058	1431.26052019097	371.430927290607	193.81121303025	703.663039839698
IGF2BP3	22.697	205.119	2098.24184528626	552.859178122335	1204.97113706986	3.96260409560188	829.250681982891	528.724184417257	1948.39595746032	1099.0294537993	674.168811243317	100.895203721634	1751.14732577101	20.9298298866017	992.023426175892	65.0716394637153	1023.28361402093	645.596092889241	1232.89046625176	16.7832231281906	70.0796752951197	929.635108025886	718.969824466381	94.836719144201	1240.06493559325	9.64472468381615	6.71718641103933	25.6252638395557	19.2226412546986	302.366720181315	124.464518113249	38.1038144231843	801.691061772091	228.23710701284	55.2166977098808	132.180029167436	857.818472816816	1352.02804848969	503.617483738182	757.956363909945	3.94782153514553	621.440403599525	397.958640124359	236.791281996918	806.316032186869	1014.24654206195	2.36904407840666	118.200654495875	546.922501843062	4.12629631505527	1098.99003363809	935.886160090863	117.336367461194	496.197623893121	1170.94168289933	2378.87397298973	1136.54759223754	1634.90712538253	191.472879157882	1174.68659821494	22.0846435094522	227.086038305305	162.686306429204	13.1181336390447	1410.12351108317	569.601906095204	1650.83287051418	692.172984375128	173.426329352762	953.387726167159	467.994469550454	254.7264698466	336.644521367514	730.886539202266	413.134416688854	113.923567003836	223.207094441557	61.4581903857635	93.057490167674	1306.86239877537	665.006580272468	867.079254190707	293.846052334272	52.5456861362232	171.492770445071	724.824703911129	100.963203499733	2075.43728202225	438.620536419643	1207.70098323413	177.610779465941	805.207340152643	566.600060818534	753.922695913421	445.037153161732	198.991289405985	898.921874917729	1444.78368783317	15.7919046239874	1176.74630163852	859.147917753857	683.993300922612	286.715930674155	535.444336400717	179.714830570896	1212.06676608891	119.704533646302	1406.12236471965	780.483015037372	2.71850380759493	453.932312540337	1210.00706266532	92.5081702211158	2755.84897470743	201.046065309418	584.135134031863	812.308882195877	397.499395246182	1111.72274571116	1802.96512769069	717.620669448731	572.155347038032	1569.09516623083	994.408345929518	201.927105912617	64.9735818126881	197.086310115176	46.2068256621346	1816.86073451966	973.024879477383	34.8301671349227	961.585148692224	452.774345304589	1516.79446733624	1330.04145357094	713.15436518285	442.423596473049	966.730465235067	1169.55212221643	1603.47940185231	1200.16187740139	721.273932889512	436.308543964269	1710.85006596698	856.116507356273	250.000978020718	627.721020785415	910.363576710949	24.0151473546493	1357.68484162432	1431.67648422854	1325.02523805608	22.5402420227171	2116.0203379951	6528.32883804866	675.687472954201	33.7884893747648	1792.57791521002	1769.55654105932	552.098369010848	393.201612169504	1280.74654196914	2094.1618586003	691.649681734974	3022.47709013857	1038.88414282254	2835.52697556718	1658.96327876517	780.10655249775	302.714603104055	699.784032002091	2993.82848797415	1044.600066199	1078.62952036953	1194.94856108045	443.023768427577	732.0829410952	56.2226016737343	1680.87103336149	1748.70327577556	573.680907277128	2404.20142657162	982.852325668769	2009.20155613747	2033.61249097107	8.2873	150.950924434918	9.43510797654501	0.940457435904382	5.08923230318232	10.7149820608564	9.35932271660543	22.9928840238907	8.17868888815777	13.0269745162305	7.08822867849388
