	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
ALKBH5	1926.45	1987.99	1728.31	2926.24	1231.56	1291.24	1645.45	1625.07	3060.71	2022.12	1025.78	1857.62	1785.01	2170.49	1537.86	2042.58	3299.91	1506.39	1998.24	950.066	1746.43	1800.68	2088.67	1424.44	1930.15	1469.63	1980.26	2108.52	2286.5	1694.75	1868.12	1967.82	1279.75	1899.94	1952.22	2804.13	2935.01	2440.77	2958.87	3048.84	2696.5	2475.05	3004.42	2538.11	2557.56
FTO	1057.16	805.031	971.436000000001	1117.32	692.755	774.055	805.712	1757.73	605.493	868.389	751.346	959.27	1327.63	1391.77	1408.8	805.856	767.955	605.791	820.626000000001	977.506000000001	1107.26	408.624	775.346	611.627	457.509	1080.7	1149.13	914.072	1091.26	538.027	1243.35	812.015	769.769	1154.33	879.835	1014.58	729.56	646.005	749.941	712.252	726.496	675.211	840.29	801.287	778.713
HNRNPA2B1	10052.8	14193.8	12826.1	16027.8	14332.9	13518	10198.4	10549.6	14493.1	13676.1	20655	13478.6	18483.6	16633.9	12138.2	14321	17474.7	12219.2	16555.2	13057.1	12627.9	10960.5	14163.6	11564.2	10459.8	12923.8	14540.3	13207.6	11818.4	14274.9	13514.9	14174.4	12798.4	14018.6	13682.3	13073.4	11753.7	10318.2	10885	12825	11604.7	11763.3	12027.2	10255	11584
HNRNPC	6772.46	7414.52	8645.19	8420.21999999999	7334.62	9439.86000000001	9178.79	7674.88	10218.5	12192.9	12841.2	10840.5	12074	6860.05	6530.89	10515.6	13184.8	7987.97	7263.93	8215.13	7856.67	7373.72	7949.88	8414.75	6963.91	9550.42	8622.66	8329.3	7423.3	9398.33000000001	7548.16	6866.28	8653.15	6906.09	6255.14	8021.44	6980.08	6366.39	5611.76	7787.89	6673.08	6638.67	5979.13	6035.4	6317.68
IGF2BP1	521.502	4.0023	4.862	262.706	12.3983	51.5464	118.487	0	16.2297	266.226	6.9968	0	4.1633	605.327	156.633	7.9946	1895.65	138.085	325.024	2279	60.2753	2.5667	0	121.641	9.3132	9.0058	279.702	0.5767	813.107	1.6866	676.189	609.496	111.41	0.3753	118.519	22.4355	2.0964	57.8512	0	2.2328	0	3.2724	0.9074	0	2.1721
IGF2BP2	1606.97	505.432	511.973	735.795	133.282	1119.42	655.628	590.456	55.5556	524.639	485.468	81.8838	36.0819	528.814	409.137	330.444	398.52	457.906	606.061	800.518	97.7693	796.201	437.212	11.236	286.38	1477.9	432.885	547.289	685.922	445.826	334.95	309.593	362.245	601.557	560.082	1116.79	38.7841	77.135	29.3909	48.0045	153.846	100.355	42.6497	34.5937	58.6478
IGF2BP3	467.61	72.6129	346.663	2651.59	276.895	23.1959	13.3678	130.572	44.9438	121.995	372.443	8.0611	24.0546	21.7918	325.869	14.3903	156.142	422.272	72.3363	204.758	96.3455	14.3737	66.8203	691.744	238.65	276.336	146.909	16.7243	56.7961	10.6818	1217.66	422.481	10.0985	3.7527	403.292	126.137	20.9644	13.7741	11.3771	6.6983	18.1624	26.1794	39.02	24.9397	19.5493
KIAA1429	1299.4	1240.71	986.508	1389.29	1424.25	878.007	875.588999999999	999.999999999999	877.028999999999	878.005	568.353	1058.12	1592.69	1474.58	2028.13	1482.2	908.279000000001	1754.57	1760.02	1436.27	1358.8	986.653	704.493	579.385	778.813	1115.3	1119.33	841.984	886.408	1425.74	1379.11	1244.19	2449.39	1183.23	1207.41	992.646	894.130000000001	818.182	781.228	935.529	939.103	862.831	995.463	944.489	925.333
METTL14	270.55	286.449	278.595	337.376	184.941	197.595	34.6347	161.51	192.26	76.9231	129.171	270.259	245.172	215.496	303.815	229.179	152.06	331.403	262.952	192.169	412.435	201.745	93.318	128.481	208.382	131.769	167.821	251.442	324.272	297.967	220.155	146.318	114.667	425.931	163.786	249.782	383.648	271.35	304.337	409.712	367.521	318.517	480.944	504.425	413.793
METTL3	480.691	379.348	591.812	656.144	313.847	481.461	296.254	441.342	1529.88	546.124	826.265	629.979	984.582	407.768	393.771	427.168	1229.12	501.207	677.322	497.795	644.898	366.689	263.79	356.014	629.86	508.624	657.744	407.37	507.078	477.428	394.816	288.813	773.444	661.615	499.625	490.555	437.736	425	348.272	464.259	550.833	517.862	391.915	370.378	357.719
