	TCGA-02-0047-01	TCGA-02-0055-01	TCGA-02-2483-01	TCGA-02-2485-01	TCGA-02-2486-01	TCGA-06-0125-01	TCGA-06-0125-02	TCGA-06-0129-01	TCGA-06-0130-01	TCGA-06-0132-01	TCGA-06-0138-01	TCGA-06-0141-01	TCGA-06-0152-02	TCGA-06-0156-01	TCGA-06-0157-01	TCGA-06-0158-01	TCGA-06-0168-01	TCGA-06-0171-02	TCGA-06-0174-01	TCGA-06-0178-01	TCGA-06-0184-01	TCGA-06-0187-01	TCGA-06-0190-01	TCGA-06-0190-02	TCGA-06-0210-01	TCGA-06-0210-02	TCGA-06-0211-01	TCGA-06-0211-02	TCGA-06-0219-01	TCGA-06-0221-02	TCGA-06-0238-01	TCGA-06-0644-01	TCGA-06-0645-01	TCGA-06-0646-01	TCGA-06-0649-01	TCGA-06-0686-01	TCGA-06-0743-01	TCGA-06-0744-01	TCGA-06-0745-01	TCGA-06-0747-01	TCGA-06-0749-01	TCGA-06-0750-01	TCGA-06-0878-01	TCGA-06-0882-01	TCGA-06-1804-01	TCGA-06-2557-01	TCGA-06-2558-01	TCGA-06-2559-01	TCGA-06-2561-01	TCGA-06-2562-01	TCGA-06-2563-01	TCGA-06-2564-01	TCGA-06-2565-01	TCGA-06-2567-01	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5408-01	TCGA-06-5410-01	TCGA-06-5411-01	TCGA-06-5412-01	TCGA-06-5413-01	TCGA-06-5414-01	TCGA-06-5415-01	TCGA-06-5416-01	TCGA-06-5417-01	TCGA-06-5418-01	TCGA-06-5856-01	TCGA-06-5858-01	TCGA-06-5859-01	TCGA-08-0386-01	TCGA-12-0616-01	TCGA-12-0618-01	TCGA-12-0619-01	TCGA-12-0821-01	TCGA-12-1597-01	TCGA-12-3650-01	TCGA-12-3652-01	TCGA-12-3653-01	TCGA-12-5295-01	TCGA-12-5299-01	TCGA-14-0736-02	TCGA-14-0781-01	TCGA-14-0787-01	TCGA-14-0789-01	TCGA-14-0790-01	TCGA-14-0817-01	TCGA-14-0871-01	TCGA-14-1034-01	TCGA-14-1034-02	TCGA-14-1402-02	TCGA-14-1823-01	TCGA-14-1825-01	TCGA-14-1829-01	TCGA-14-2554-01	TCGA-15-0742-01	TCGA-15-1444-01	TCGA-16-0846-01	TCGA-16-1045-01	TCGA-19-0957-02	TCGA-19-1389-02	TCGA-19-1390-01	TCGA-19-1787-01	TCGA-19-2619-01	TCGA-19-2620-01	TCGA-19-2624-01	TCGA-19-2625-01	TCGA-19-2629-01	TCGA-19-4065-01	TCGA-19-4065-02	TCGA-19-5960-01	TCGA-26-1442-01	TCGA-26-5132-01	TCGA-26-5133-01	TCGA-26-5134-01	TCGA-26-5135-01	TCGA-26-5136-01	TCGA-26-5139-01	TCGA-27-1830-01	TCGA-27-1831-01	TCGA-27-1832-01	TCGA-27-1834-01	TCGA-27-1835-01	TCGA-27-1837-01	TCGA-27-2519-01	TCGA-27-2521-01	TCGA-27-2523-01	TCGA-27-2524-01	TCGA-27-2526-01	TCGA-27-2528-01	TCGA-28-1747-01	TCGA-28-1753-01	TCGA-28-2499-01	TCGA-28-2509-01	TCGA-28-2510-01	TCGA-28-2513-01	TCGA-28-2514-01	TCGA-28-5204-01	TCGA-28-5207-01	TCGA-28-5208-01	TCGA-28-5209-01	TCGA-28-5213-01	TCGA-28-5215-01	TCGA-28-5216-01	TCGA-28-5218-01	TCGA-28-5220-01	TCGA-32-1970-01	TCGA-32-1980-01	TCGA-32-1982-01	TCGA-32-2615-01	TCGA-32-2616-01	TCGA-32-2632-01	TCGA-32-2634-01	TCGA-32-2638-01	TCGA-32-4213-01	TCGA-32-5222-01	TCGA-41-2571-01	TCGA-41-2572-01	TCGA-41-3915-01	TCGA-41-4097-01	TCGA-41-5651-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-76-4927-01	TCGA-76-4928-01	TCGA-76-4929-01	TCGA-76-4931-01	TCGA-76-4932-01	TCGA-06-0675-11	TCGA-06-0678-11	TCGA-06-0680-11	TCGA-06-0681-11	TCGA-06-AABW-11
ALKBH5	2046.01	1989.11	2145.65	1816	2819.45	2090.69	3073.44	1447.42	2237.95	1998.47	1882.45	1999.3	1896.48	2170.73	1696.63	1934.35	1960.78	2199.96	2131.2	1143	2437.6	2666.64	1953.65	2784.34	2965.91	2464.3	1729.14	1837.25	1324.26	1631.08	1542.48	2748.47	1821.09	1948.15	1790.87	2353.96	2131.29	1319.35	2408.57	1578.02	2435.41	2482.38	2146.95	2450.64	3275.55	2167.95	1906.76	2087.11	1357.61	1993.59	1771.23	2017.5	1786.08	2563.29	2017.46	1727.16	2485.58	2402.01	1634.28	1915.02	1505.08	1562.05	1874.35	2160.33	1436.87	2858.37	2327.17	2247.49	2057.11	2232.85	1919.21	2893.37	2199.22	2079.21	2317.97	1714.04	2602.11	2242.2	1770.04	2334.71	2862.32	2591.64	2314.12	3480.5	1614.88	1856.2	1706.07	3041.5	4317.11	1491.69	2007.25	1630.43	1127.02	1732.66	2456.28	1960.2	1507.64	2336.7	2698.09	2715.15	2873.02	2056.76	2501.54	1980.17	1867.99	3681.58	3011.68	2002.25	2495.09	1966.35	1138.57	3402.98	1585.49	1903.69	2315.55	2200.54	2000.33	2151.43	969.547999999999	2588.08	2081.38	1002.01	1729.73	2567.01	2071.15	1859.39	2811.6	1845.51	1969.49	1890.66	1941.99	2400.43	3306.71	1783.87	2690.58	1951.59	1638.03	1982.4	1569.44	2241.18	1806.36	1351.21	2634.46	3029.88	1700.83	1950.21	2005.81	1574.77	2306.92	4787.33	2175.68	1915.24	1760.88	2118.31	1634.49	3298.02	1928.65	2882.44	2856.41	1785.7	2300.26	1923.12	1926.1	2156.74	3680.63	2240.21	2525.83	2520.7	2861.25	2260.92	2617.61	3569.5
FTO	2255.14	1247.37	1775.62	1930.48	1041.46	2315.75	2603.9	2126.99	1467.25	1620.02	1982.03	1552.36	1840.73	1526.34	2089.67	2055.27	1077.98	1718.21	2318.71	1139.34	1420.79	1832.37	1523.36	1288.26	1860.6	2076.25	1907.81	1748.67	992.333999999999	2170.43	1846.6	1880.95	1385.26	2140.37	3061.38	1619.31	1428.19	1263.28	1993.21	2243.45	1401.02	1888.96	2190.86	1597.09	2680.18	1277.54	2123.23	1784.37	2401.69	1720.11	1991.74	1960.73	2344.39	1611.73	838.702	1689.37	2098.73	1036.56	2393.19	1422.36	2109.6	1852.49	1905.54	1392.41	2116.41	731.033	2391.79	1583.41	1439.11	2071.5	2151.1	1316.58	1474.69	2128.92	1697.09	1655.82	1511.57	2098.62	1117.84	1707.87	1841.04	1903.32	1657.47	1929.25	1875.09	1448.05	1440.89	1989.44	1160.69	1359.83	1200.3	2076.92	1122.74	1710.22	1742.11	2917.08	2001.72	2025.55	2395.86	900.618999999999	2802.08	1004.31	2357.97	2951.47	1701.08	2063.51	3189.18	1492.81	1533.93	3335.63	2285.79	2055.91	1962.88	2172.13	1333.54	1389.14	1551.59	1327.08	698.164	798.013	2090.86	1620.23	2270.27	2244.35	1673.75	1963.82	776.164	1389.89	2190.86	1262.49	1958.2	2021.9	1853.21	2456.53	1968.67	2750.54	989.057000000001	2720.67	2073.75	2159.84	1772.48	2914.09	1974.91	1290.16	2486.56	1813.91	1822.96	1564.85	2015.12	1625.87	1750.76	2428.04	1899.37	1832.17	1800.4	917.952	1570.61	1575.1	2174.21	2164.25	1757.39	2337.1	1660.24	1622.7	3635.96	1979.29	1735.82	3254.63	3338	3177.75	2971.79	2816.08
HNRNPA2B1	10756.3	9861.80999999999	19811.7	22372.9	11047.6	19374.6	9714.43	17323.3	16013.9	6468.03	8446.44	13666.3	19435.8	12136.1	15032.3	13926.2	10853.2	8771.59	16885.5	4585.05	11149.6	8872.15	13499.1	12382	10889.2	14396.8	15963.7	12589.1	5289.19	15653.1	17690.9	13128.1	13498.2	15994.6	11349.6	17853.5	21211.4	18532.2	15048.8	17902.7	12583	14169.4	19412.5	11945.6	20213.3	16065.2	14964.6	19272.3	14785.9	14163	17551.4	19880.6	16317.6	15583.5	9490.03	14410.2	17817.8	11004.3	10914.4	12561.7	19930.4	15074.9	14476	15664.9	17190.8	13155.6	16595.2	16163.6	15185.3	14632.6	16185.5	16881.4	17010	19167.8	10350.2	15477.7	10854.1	15049.3	10841	13390.9	5041.71	12581.6	17723.5	10228.7	16757	8446.21	16964.9	14133.7	13429	6616.75	6704.43	15113.7	4541.31	10956.6	24354.2	13685.9	14188	9897.82	16159.8	15045.4	18975.5	14640.4	14863.4	12397.4	28704.7	12802.1	12526.1	12384.8	14184.3	24622.2	14293.7	19151.4	10546.3	20192.6	12751.9	27206.6	16934.4	17308.3	8330.1	23412	14159	22049.6	11580.5	16754	9485.19	18708.4	12436	10603.4	17634.9	14486.9	20575.6	9562.07	13039.1	12659.8	10093.4	14445.2	17989.2	14107.2	22359.7	17355.3	10440.1	17376.8	13432.5	15949.7	13736.4	20246.8	8533.33	10528.1	13593.1	15181	14838.4	15294.4	13189.5	9180.42	17079.9	9807.19	13137.2	10552	9646.2	20989.2	22135.4	15784.4	17328.5	14714.3	12316	18926.1	17933.8	8376.56	9878.7	8501.87	9402.56	15605.5
HNRNPC	6373.89	8862.23000000001	14072.8	12259.5	11489.6	7565.7	8019.77	8058.43	7905.11	7383.59	8556.32	7033.88	8178.26	6806.47	8156.62	7029.84	7635.32	6268.04	11397.4	21078.6	10070.6	8741.66	8493.45	7593.74	10320.9	7356.48	9149.86	9878.34	16214.6	6658.65	15649.4	7795.9	9216.41	6202.86	6392.23	9749.17	6145.73	12371.4	8571.49	8833.13	7506.83	6946.94	7841.31	6835.62	8205	7226.66	10405.1	11733.5	6235.49	7455.89	9911.5	8523.04	8704.93	8955.05	9494.28	8847.60000000001	10346.5	10178	7703.04	8771.07000000001	12746.9	9346.8	8815.35	10338	13126	11894.5	9662.46	8244.3	8075.77	8553.28	15685.7	10715.6	8010.94	10394.8	12286.7	14099.3	18395.9	9038.43000000001	12565.4	13111.6	10867	10037.2	7584.91	9373.97	11192.5	14079.7	13760.4	7900.41	11879.8	18179.6	12852.2	8735.79	15118.7	12118.1	9064.74	8935.11	7997.13	6300.31	8052.89	7505.16	6677.93	8849.7	9078.49	9117.22	9880.97	8220.76	9158.79	12642.4	8784.45	8390.65	9318.3	10539.5	8249.31	8282.79	7390.51	14009	11570.1	8869.79	18439.4	10423.8	8195.01	7860.68	8030.55	9472.01	10524.5	10694.6	13673.9	12873.6	10270.8	9754.98	8960.34	8097.13	9189.38	6289.58	7089.36	7126.99	9743.23	7762.93	13245.2	11195.9	11504.1	8212.7	10721.8	8262.93000000001	10681.5	7645.45	6816.48	9346.85	7050.97	8064.23	8846.64	8948.41999999999	7736.24	12320.3	15888.4	7643.91	10700.1	7957.18	5814.27	9989.33	12370.3	9338.04	10382.3	9503.07	7195.42	9410.35	13783.1	5283.87	6296.24	5122.9	5374.36	7251.76
IGF2BP1	0.6146	163.7	0.8443	0.9524	0	2.0371	4.6814	25.1349	0	0.6031	42.1562	7.1869	2.1882	0.5443	0.4834	0	4.5872	9.1638	8.0686	0	0.4904	39.2974	43.5562	8.8693	3.8722	1.9427	1.8165	0.5336	1.3048	1.0025	9.2272	72.4336	2.091	2.0069	14.8988	11.0988	3.7096	1.0802	0	0.4538	0.5688	2.7281	5.2996	0	0.9213	0	0.5051	6.2959	0.5634	10.7479	0	0.4001	0.4252	2.5502	612.625	0.4857	16.7863	0.5114	0.4604	0	4.7037	0.7846	0	1.4892	0	0.4963	1.444	3.6463	0	4.5688	5.0914	0	10.0319	59.6097	0.6761	0	2.5707	1.4503	0.6439	1.2831	1.1274	150.719	0	3.1586	0	0	4728.43	1.8108	3.3201	0.7097	0	3.3445	0.7295	0.4822	0.5263	0	0	0	4.3621	5.4363	2.4423	0.8613	1.2458	1.8315	0.8252	2.0487	0	5.7014	20.081	0.4585	0	0.9682	419.865	8.1967	2.5316	6.0332	0.5667	3.6458	1.6505	1.3549	0.554	0.6698	1.1751	0	1.7623	0	3.5934	0	6.6635	0.4886	15.0054	1.5066	4.509	1.7271	2.387	0.4607	9.4575	0.54	0.4789	2.6714	1.3624	4.3089	3.4868	449.815	0.5718	0.9794	3.7138	1.6899	3.0238	0.3679	1.6579	129.572	1.9654	2.7972	1.5083	1.1776	0.6102	2.635	1.5349	0.6095	0.4286	0	28.1124	1.3146	2.2334	0	0.995	0.4498	0	0	0.4274	0
IGF2BP2	210.209	425.508	220.369	69.0476	661.585	765.94	223.147	364.663	240.846	26.538	162.405	103.183	1115.12	140.441	113.595	427.172	68.8073	161.283	310.64	92.2545	75.0368	289.693	299.931	599.229	723.136	366.197	610.808	456.243	8.4815	18.0451	477.509	867.81	55.4104	41.6434	244.858	739.179	270.27	587.081	150.191	488.712	11.3766	115.127	552.22	542.532	40.539	18.6896	136.364	30.4302	462.535	897.895	305.369	143.224	101.191	4.2503	2167.32	133.576	311.43	86.9343	74.1252	73.132	87.4882	826.991	359.304	322.413	15.2672	208.441	137.183	98.9061	17.8273	15.534	617.753	300.864	87.0953	53.9326	85.8688	152.397	48.2005	5.0761	279.459	1024.38	45.0958	810.61	720.61	483.891	221.16	70.3047	2587.86	567.376	217.796	264.017	199.55	722.408	67.8461	420.444	214.21	20.2794	101.433	119.003	106.87	749.61	3284.01	6.8906	389.535	755.495	532.646	23.0474	265.557	347.785	882.267	29.3443	25.6948	20.8157	773.514	502.049	62.6582	24.1327	1340.22	226.562	126.264	342.78	446.537	164.099	136.31	118.407	181.518	204.523	699.506	283.146	232.27	46.9036	190.782	5.5243	806.112	26.4824	310.906	107.81	161.773	80.4644	1489.94	405.61	9.5368	280.076	665.277	155.953	10.2916	78.8443	332.123	38.8678	652.268	19.8681	6.6317	350.717	422.563	30.7692	42.735	144.847	59.7978	154.809	685.341	525.979	858.551	327.213	886.747	1336.99	72.0268	493.647	637.313	13.9452	27.9916	9.0748	15.3846	23.1156
IGF2BP3	275.362	205.746	699.103000000001	514.286	58.5366	424.934	162.809	881.371	352.243	68.7575	589.495	101.643	516.858	751.739	598.912	263.789	20.6422	121.42	1039.84	215.26	76.9985	377.86	807.719	451.778	1108.91	550.267	1035.88	707.577	439.08	628.571	895.04	858.524	391.532	57.197	402.267	936.737	313.195	403.45	428.511	186.954	68.8282	152.776	435.628	156.283	47.9097	902.087	704.04	666.317	357.747	474.25	1874.22	942.959	1414.12	50.5791	2043.19	849.545	516.841	48.5809	267.035	724.43	605.362	528.05	247.431	411.765	108.779	271.47	941.986	169.097	288.802	42.0331	629.633	717.596	155.951	787.226	231.913	518.836	983.932999999999	503.988	267.869	337.896	77.7903	534.457	917.271	339.229	956.997000000001	568.675	2539.94	131.583	163.347	1020.58	334.584	561.873	176.546	249.277	633.684	94.6372	280.229	281.62	404.035	102.082	1065.64	166.667	350.083	82.4176	1103.25	156.21	198.127	1109.87	110.121	952.774	14.6827	90.0399	757.462	643.443	435.443	40.724	606.357	582.812	1485.45	28.0005	332.964	252.512	579.318	119.483	610.64	235.988	550.981	67.9775	328.891	80.6156	511.254	118.522	254.509	40.2994	229.748	135.454	388.256	209.531	875	995.102000000001	57.2207	297.312	396.795	175.286	175.529	435.847	90.1931	687.79	253.564	332.974	698.535	493.208	831.368	384.615	1900.96	551.125	883.542	328.722	34.5357	1325	649.807	628.531	358.233	712.971	351.2	551.529	1055.72	12.1458	7.931	5.5238	11.9658	8.5427
KIAA1429	936.107	1458.16	1606.75	1070	831.098000000001	967.203	1036.67	1222.55	1134.61	781.062	806.496	887.577	1052.1	987.439	868.157	884.73	711.008999999999	1131.27	1108.93	834.134	934.282	982.436	993.521999999999	1389.15	1211.52	1185.53	1110.81	895.944	726.146	1245.61	871.972	1212.33	755.358	988.404	845.992	1026.64	664.017	783.135	763.683	800	705.347	755.695	1099.14	829.285	1505.47	873.845	1023.23	1224.03	993.239	989.252	894.395	1038.58	1009.35	1022.21	1928.5	966.606	902.927	904.117	641.344	812.931	928.034	985.092	871.861	2035.74	1486.64	980.666	1294.33	1148.59	1056.71	987.778000000001	1130.28	1110.76	1029.18	1182.26	860.717	763.699	628.535	1118.93	896.973999999999	1021.81	515.22	878.036999999999	820.755	1095.39	849.829	813.607	1961.66	738.796	1069.72	947.481	917.478999999999	1234.11	895.13	959.981	835.789	1010.37	740.974	967.601	1181.03	1017.8	1498.73	873.385	781.977	763.736000000001	858.587	826.635	932.362	1105.59	1392.06	1668.5	851.599	1081.93	1275.65	922.131	821.519	992.458	958.837	1152.6	698.164	859.433	1228.81	957.133	764.982	975.242	1096.16	969.518	480.311	708.989	1099.95	824.234	899.25	944.657	917.335	698.906	879.606000000001	663.447	1269.3	847.307	1105.84	1183.88	839.237	1757.16	1013.95	2479.14	901.658	996.082	605.355	670.891	959.827	1007.75	859.353	1211.36	970.519	850.35	811.463	619.427	700.488	881.423	1019.19	1089.14	1222.46	1054.61	949.398	992.112	1249.02	1032.94	927.363	656.773	719.851	684.159	644.444	838.693
METTL14	219.429	216.959	245.699	205.238	359.756	229.782	276.203	357.246	271.274	173.703	139.599	221.766	217.072	219.915	191.903	265.551	211.009	343.184	222.39	135.307	211.869	235.281	199.587	179.048	276.863	262.749	183.015	225.187	105.04	278.697	213.956	184.334	203.868	227.784	206.64	159.822	183.36	185.252	158.252	240.499	144.482	205.702	243.782	273.613	327.076	233.413	257.071	642.183	280.563	283.027	220.413	289.649	282.738	270.322	126.018	238.008	333.959	223.984	226.519	192.369	298.213	213.809	253.71	200.298	456.107	265.018	275.809	241.112	214.373	209.709	217.232	249.804	229.366	310.822	139.959	99.3151	144.601	192.168	188.667	225.406	137.542	221.616	250.363	247.631	169.283	142.31	309.904	296.967	274.9	176.721	218.305	187.291	157.578	256.027	222.105	330.78	213.18	233.022	285.169	298.394	214.104	220.069	193.937	227.106	235.173	205.89	243.496	201.924	194.332	353.049	213.424	243.495	249.31	202.869	185.443	265.46	266.344	272.917	89.9525	213.165	319.668	208.305	168.038	259.957	216.323	254.081	146.13	168.539	271.299	219.372	180.064	237.043	208.918	165.803	190.959	175.537	234.945	260.294	272.51	241.763	264.305	254.223	269.179	167.553	271.584	231.636	159.164	187.579	255.292	221.124	200.608	381.115	261.793	181.818	233.283	120.706	147.054	263.505	240.982	259.637	294.471	277.307	211.245	207.274	318.258	236.235	186.07	152.048	196.874	190.57	166.667	234.171
METTL3	546.403	606.688	562.896	1222.55	457.982	1095.03	298.382	1487.77	631.016	376.267	689.108999999999	731.869	777.375	600.618	1035.18	844.694	541.399	446.763	791.155	1363.05	635.861	810.348	922.994	655.139	812.648	595.949	816.266999999999	761.66	604.495	676.301	1147.91	528.951	750.178	580.71	617.742	1232.35	900.095	1558.66	543.021	1303.95	612.378	638.325	452.121	697.768	1203.26	1005.35	930.045	946.443	518.428	843.148	1207.75	1051.56	1299.6	866.157	760.68	1298.7	448.777	636.814	534.553	674.346	1014.77	657.105	965.04	682.271	676.298	1019.64	853.756	714.781	560.316	934.976999999999	850.327	1128.37	964.463999999999	502.183	562.285	955.865	788.348000000001	607.056	407.553	916.335	467.035	679.638	972.242	373.38	972.586999999999	829.46	1120.89	446.501	1118.15	1060.94	628.777	559.431	546.124	684.209	1169.38	688.801	555.358	465.738	456.254	312.668	826.576	494.087	753.559	817.692	1513	514.9	414.697	939.052	571.615	644.136	1073.85	755.542	430.935	485.574	728.5	969.17	734.054	731.662	1014.14	619.975	578.681	982.331	760.364	387.863	804.458999999999	965.967	858.979	821.416	808.006	951.87	762.379	541.347	509.975	535.302	299.711	412.024	775.735	518.747	743.951	729.746	609.237	435.889	388.859	487.501	426.77	885.568	456.977	953.629	634.423	662.931	730.771	409.845	822.154	451.231	753.529	1045.07	909.609	459.216	563.062	872.168	1148.12	769.868	626.024	821.994	627.298	1187.35	859.657	308.157	381.61	376.477	424.829	641.814
