	TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8430-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01	TCGA-KL-8324-11	TCGA-KL-8326-11	TCGA-KL-8329-11	TCGA-KL-8332-11	TCGA-KL-8336-11	TCGA-KL-8339-11	TCGA-KN-8419-11	TCGA-KN-8422-11	TCGA-KN-8423-11	TCGA-KN-8424-11	TCGA-KN-8425-11	TCGA-KN-8426-11	TCGA-KN-8427-11	TCGA-KN-8428-11	TCGA-KN-8429-11	TCGA-KN-8430-11	TCGA-KN-8431-11	TCGA-KN-8432-11	TCGA-KN-8433-11	TCGA-KN-8434-11	TCGA-KN-8435-11	TCGA-KN-8436-11	TCGA-KN-8437-11	TCGA-KO-8403-11	TCGA-KO-8415-11
ALKBH5	2578.33	2391.74	1473.08	2519.34	2185.65	2493.31	2024.54	1650.11	2393.21	1800.82	2119.89	2185.17	1856.93	1980.27	2087.18	2170.52	1599.02	2003.08	1863.88	1996.79	2253.18	2134.61	1971.71	2717.98	1672.18	3349.94	1812.96	3064.45	1517.83	2079.48	2405.95	1580.47	3329.46	1868.83	1686.42	2103.42	1471.76	1412.88	1653.19	1806.8	2321.89	1650.13	2874.82	1845.84	1528.78	1533.64	1728.14	2010.94	2198.08	2184.18	2108.29	3172.85	1834.13	3156.54	1413.35	1661.29	1866.43	2723.72	1505.87	1125.23	1759.49	1940.42	2603.69	2199.74	2205.18	1908.94	2526.67	2692.94	2940.73	2110.69	1768.81	2208.34	2182.56	2899.36	2102.62	2248.62	2610.13	2235.86	2550.32	3139.05	1704.03	2829.89	2433.56	1569.83	2660.29	2861.33	2761.49	2669.71	2510.45	2509.95	2277.69
FTO	767.451	487.782	1029.79	654.06	570.755	537.834	853.761	576.936	579.244	612.556	1038.42	907.545	634.092	437.017	676.882	647.087	462.284	570.828	807.849	529.861	1016.13	1252.66	1006.98	514.628	540.939	648.53	688.842	860.764	731.962	619.087	663.091	707.232	1009.14	801.698	707.442	654.293	559.874	662.379	871.287	629.817	415.854	985.866	513.897	621.072	775.46	452.727	800.338000000001	550.164	666.254	758.848	1635.7	868.729	774.53	1014.25	614.018	735.329	683.865	326.923	387.812	574.932	952.076	595.697	469.346	516.926	817.046	720.255	1327.6	1213.1	1315.63	1091.46	1118.68	1053.72	970.515	1233.32	1376	1021.72	1052.94	1343.22	1057.01	1190.91	1014.88	1042.01	980.143	835.101	1341.19	1185.24	1181.84	1259.8	1188.31	1368.93	1037.87
HNRNPA2B1	10222.2	7433.74	11311.6	9194.91	9717.92	9151.34	9440.37	10329	11465.9	7184.66	10296.6	10532.4	9485.3	11578.3	8531.22	8880.17	11893.7	10153.9	10583.6	9694.21	10462.3	10526	9951.55	9189.79	8248.47	10795.1	9433.19	8437.14	9917.39999999999	9446.89	10502.2	10703.4	9897.52	11395.6	13290.2	8272.59	9233.62	11260.1	11368.7	9135.83	9026.42	9136.44	12435.6	11482.8	10853.6	8343.64	12675.1	6184.26	8380.78	10837.6	13637.7	9031.96	11175.9	16105.3	10047	10463.8	9988.63	7942.31	11388.5	8951.13	11629.4	9324.27	7476.25	7039.23	10399.1	12452.9	10577.8	11453.6	9898.31	7207.36	10464.6	8430.81	12427	11956.6	11333.4	12684	11006.1	13569.3	14366	11154.3	12451.7	12173.5	11768.2	8116.96	11612.8	11264.9	9415.73	13906.1	11171	13230.6	11372.9
HNRNPC	4792.98	3728.38	4325.77	4607.09	6482.08	5007.25	4814.37	4732.44	6491.88	3965.85	4041.31	4906.81	5216.41	5870.31	4908.53	5175.28	4992.1	4874.09	4760.48	4954.65	3473.52	4981.34	4542.25	4089.08	5768.89	8177.87	4200.72	5554.78	4946.73	4400	5163.52	3910.47	4606.59	4999.32	5300.93	5546.31	4432.44	4701.12	4945.17	3879.34	4657.32	8126.57	6807.25	5122.74	4826.99	3492.73	5888.89	3198.03	4136.97	5092.64	7286.31	5654.3	6407.04	6871.71	4482.96	4829.44	4680.37	3467.41	5097.65	6104.96	6176.98	4992.09	4382.46	4553.47	4904.91	4997.52	7401.24	7302.14	7133.37	9985.56	7778.93	9253.34	11980.8	7050.64	11302.8	9443.84	7647.81	8366.41000000001	9379.18	7067.28	12913.8	7984.66	7996.02	13054.5	8006.99	7663.68	6074.26	9243.88	6877.29	7267.24	8904.8
IGF2BP1	6.781	3.2895	6.6761	0	1.8868	5.8903	0.6621	5.8804	1.2307	2.6267	3.966	6.9502	8.8291	6.1121	2.2765	1.4098	21.5517	1.6801	4.4849	1.7961	1.0523	1.7227	1.938	9.8884	3.396	0.874	0.7603	0	14.8348	10.3734	1.3843	1.7996	0	10.1868	0.4651	1.8748	0.9038	7.0969	4.3265	1.0462	6.0976	5.2597	13.8973	6.2847	8.18	3.6364	1.692	5.2459	4.0774	1.7349	8.9179	0.3436	2.6078	207.785	3.3605	0	4.8098	2.6709	70.6371	1.0821	1.8868	8.0259	6.0901	1.0747	1.5783	2.8329	97.0406	67.2046	166.566	152.587	27.0123	120.728	51.0214	84.7316	16.8402	24.438	30.0919	40.2231	15.5028	59.1758	20.0762	39.199	40.4815	18.989	138.02	96.93	219.179	40.0589	4.4188	23.6224	25.269
IGF2BP2	358.995	228.383	508.384	321.839	618.868	437.245	395.266	803.332	569.809	271.605	336.776	333.242	608.809	359.469	416.981	710.526	911.997	574.189	465.592	466.996	488.951	387.884	408.915	409.295	389.573	2.1851	490.401	4.1311	716.453	470.125	477.591	336.07	8.6041	677.08	333.488	387.702	402.169	494.419	595.058	247.951	423.171	6323.48	6.9486	922.736	375.869	656.364	373.378	367.869	406.929	706.801	376.039	8.9347	612.409	307.566	641.863	464.707	605.16	358.44	394.044	231.56	584.528	176.569	209.907	221.924	692.884	696.884	279.766	321.215	380.809	246.776	428.161	292.758	134.948	283.654	273.117	183.285	92.5049	145.038	255.937	352.941	165.455	128.505	296.251	103.614	314.317	271.128	302.646	158.364	317.811	222.809	226.502
IGF2BP3	25.9274	17.8571	68.4298	22.2469	19.8113	22.6552	18.2074	126.103	11.8967	26.2674	13.5504	24.5085	45.751	17.9544	18.2121	16.9173	280.172	130.631	19.061	19.7575	446.51	32.4433	10.4651	39.5537	21.3465	3.0591	74.8907	4.1311	179.366	11.6183	15.9197	84.13	3.6875	14.601	66.9767	17.6228	24.8531	127.153	258.591	21.6216	360.976	1613.41	93.0514	410.721	30.2658	11.8182	25.9447	13.1148	13.4556	55.864	38.6443	4.811	16.5164	230.811	332.213	21.6058	44.5999	28.8462	96.9529	72.4977	37.3585	112.808	12.5863	15.583	18.9399	30.0992	7.2264	11.7703	6.3368	5.6514	11.488	9.9182	10.3522	7.5924	15.9216	12.5784	9.752	9.9824	8.7379	8.4537	11.7688	12.271	11.3471	15.6865	8.8333	12.4181	8.0376	11.6059	4.4188	16.9148	10.1076
KIAA1429	1301.16	856.203	1299.17	777.654	452.83	1096.51	1238.43	1285.85	1138.8	833.202	1216.23	1311.75	1168.66	1329.77	611.622	983.553	1856.68	1018.17	2659.57	1053.88	1051.21	1214.47	1474.81	840.517	852.889	680.87	1270.1	818.702	1204.32	1428.22	483.129	964.571000000001	623.185	1305.26	872.093	791.151	723.452	1401.94	1203.1	868.352	2067.89	3095.99	1272.81	1505.73	1147.24	780.909	655.95	456.393	1101.32	1674.53	783.662	869.416	1100.51	959.43	881.901	1372.52	1037.6	868.056	698.061	1121.73	687.924	1023.74	505.887	821.064	628.699	768.414	748.452	706.217	844.599	745.978	882.714	777.724	1000.09	1035.3	1093.08	894.861	857.342	1100.7	851.808	753.434	743.51	760.801	849.498	808.682	768.863	853.398	954.619	929.217	1215.84	1057.47	913.359999999999
METTL14	494.615	243.891	639.902	129.527	225.472	262.347	450.219	418.491	351.156	298.923	488.804	417.01	337.113	599.752	321.367	257.519	405.172	336.869	563.98	349.798	409.33	393.052	585.271	221.845	257.613	221.13	461.129	277.157	462.576	308.299	138.432	335.17	235.999	452.292	366.046	224.222	290.556	554.151	409.019	476.722	258.13	238.002	257.1	483.179	415.951	270	542.019	236.721	307.439	570.09	499.404	291.065	363.36	95.3947	268.843	413.44	308.701	201.923	150.277	533.814	450.943	417.345	220.869	188.608	299.356	476.629	288.025	320.835	298.431	265.99	266.708	258.215	431.833	349.252	437.538	341.772	333.798	485.614	329.223	274.04	349.948	309.502	325.385	394.64	332.352	305.623	313.157	306.994	349.082	343.837	382.711
METTL3	619.785	559.069	791.342	591.942	760.991	712.696	474.962	757.916	771.047	588.505	556.999	553.968	765.775	649.779	708.446	696.551	730.823	584.081	844.381	619.12	537.52	335.51	689.124	643.492	568.966	516.617	638.13	266.747	769.16	715.133	495.255	412.862	340.121	749.29	577.619	540.071	428.075	804.844	755.85	589.793	915.659	379.205	1091.59	798.203	532.024	575.527	733.063	535.947	580.265	810.007	944.854	344.663	669.986	544.967	695.55	732.561	732.96	820.972	811.517	654.38	729	732.128	515.92	762.665	750.888	923.113000000001	395.716	541.019	321.783	549.952	478.066	491.539	506.002	621.268	639.841	737.107	470.755	562.158	645.223	530.747	685.625	541.099	603.036	675.173	581.402	532.177	480.197	509.115	713.895	557.64	599.61
