	AGO1	CCAR2	FIP1L1	FUS	GTF2F1	HNRNPC	HNRNPH1	HNRNPK	HNRNPL	HNRNPLL	HNRNPUL1	NONO	PCBP1	PCBP2	POLR2G	PRPF4	PTBP1	RBFOX2	RBM22	RBM25	RBM39	SAFB	SAFB2	SFPQ	SNRNP70	SRSF1	SRSF3	SRSF4	SRSF7	SRSF9	TAF15	TARDBP	U2AF1	U2AF2	XRCC5
AGO1	1.0	0.006328385686342193	0.370498216545852	0.12679783684271084	0.3542745368772293	0.031066620642043494	0.01725923369002416	0.17385801403751006	0.24588654930387757	0.28512254055919917	0.031872051547577954	0.17949603037625128	0.24151421010240479	0.026694281440570705	0.9101369232539409	0.22114831434817628	0.09112875388332758	0.6934760096651709	0.3776320331377287	0.14877459440800828	0.04763548498446669	0.17800023012311586	0.001380738695201933	0.012426648256817397	0.034288344264181335	0.05384880911287539	0.09584627775860086	0.08088827522724658	0.009550109308480036	0.0	0.03866068346565413	0.18835577033713036	0.1441721320906685	0.00011506155793349442	0.18202738465078816
CCAR2	0.13953488372093023	1.0	0.17940199335548174	0.03322259136212625	0.30564784053156147	0.016611295681063124	0.019933554817275746	0.05647840531561462	0.15614617940199335	0.39867109634551495	0.15946843853820597	0.06976744186046512	0.13953488372093023	0.016611295681063124	0.44518272425249167	0.09634551495016612	0.2757475083056478	0.5348837209302325	0.18604651162790697	0.12624584717607973	0.292358803986711	0.07973421926910298	0.0	0.013289036544850499	0.09966777408637874	0.059800664451827246	0.11960132890365449	0.023255813953488372	0.009966777408637873	0.0	0.05647840531561462	0.39867109634551495	0.053156146179401995	0.0	0.4584717607973422
FIP1L1	0.3813765182186235	0.008502024291497975	1.0	0.20472334682861	0.694331983805668	0.05910931174089069	0.01835357624831309	0.3309041835357625	0.40431848852901486	0.5721997300944669	0.024831309041835357	0.41120107962213226	0.44426450742240214	0.048582995951417005	0.959919028340081	0.44709851551956814	0.10242914979757085	0.947638326585695	0.4417004048582996	0.28609986504723345	0.06626180836707153	0.33306342780026993	0.0020242914979757085	0.013090418353576248	0.023076923076923078	0.08421052631578947	0.18771929824561404	0.1067476383265857	0.01524966261808367	0.0	0.027530364372469637	0.35573549257759784	0.29554655870445345	0.0002699055330634278	0.33549257759784074
FUS	0.46111111111111114	0.006111111111111111	0.7116666666666667	1.0	0.7038888888888889	0.08555555555555555	0.050555555555555555	0.515	0.5694444444444444	0.6011111111111112	0.059444444444444446	0.6494444444444445	0.5077777777777778	0.10611111111111111	0.9494444444444444	0.5433333333333333	0.1711111111111111	0.9472222222222222	0.5122222222222222	0.39666666666666667	0.07277777777777777	0.42277777777777775	0.0077777777777777776	0.03722222222222222	0.03777777777777778	0.11222222222222222	0.2038888888888889	0.21	0.03888888888888889	0.0	0.04722222222222222	0.4038888888888889	0.5	0.0011111111111111111	0.34555555555555556
GTF2F1	0.2407792207792208	0.008398268398268398	0.44796536796536796	0.12588744588744588	1.0	0.03939393939393939	0.010303030303030303	0.22787878787878788	0.28103896103896103	0.5496103896103897	0.013333333333333334	0.3167099567099567	0.33316017316017316	0.030043290043290042	0.9121212121212121	0.3372294372294372	0.07584415584415584	0.90995670995671	0.298008658008658	0.27090909090909093	0.062424242424242424	0.24017316017316018	0.0006926406926406926	0.005714285714285714	0.014112554112554113	0.05922077922077922	0.14493506493506494	0.04683982683982684	0.00813852813852814	0.0	0.017142857142857144	0.3203463203463203	0.198008658008658	8.658008658008658e-05	0.3327272727272727
HNRNPC	0.4491017964071856	0.007984031936127744	0.7105788423153693	0.29740518962075846	0.7584830339321357	1.0	0.015968063872255488	0.45708582834331335	0.5469061876247505	0.624750499001996	0.003992015968063872	0.530938123752495	0.6087824351297405	0.12574850299401197	0.9461077844311377	0.6926147704590818	0.09780439121756487	0.9540918163672655	0.5968063872255489	0.3093812375249501	0.05189620758483034	0.39520958083832336	0.005988023952095809	0.001996007984031936	0.005988023952095809	0.1497005988023952	0.5748502994011976	0.2055888223552894	0.03592814371257485	0.001996007984031936	0.011976047904191617	0.47105788423153694	0.5409181636726547	0.0	0.3153692614770459
HNRNPH1	0.5285714285714286	0.02857142857142857	0.5476190476190477	0.40476190476190477	0.48095238095238096	0.03333333333333333	1.0	0.5047619047619047	0.580952380952381	0.47619047619047616	0.21904761904761905	0.5333333333333333	0.4380952380952381	0.3047619047619048	0.7238095238095238	0.5619047619047619	0.3142857142857143	0.7285714285714285	0.5571428571428572	0.2571428571428571	0.23333333333333334	0.24285714285714285	0.0	0.2619047619047619	0.22380952380952382	0.3047619047619048	0.19047619047619047	0.37142857142857144	0.06666666666666667	0.0	0.28095238095238095	0.49047619047619045	0.4	0.014285714285714285	0.2571428571428571
HNRNPK	0.1503397158739963	0.001976528721432983	0.2727609635577517	0.12118591723285979	0.29820877084620134	0.029153798641136503	0.01519456454601606	1.0	0.20148239654107475	0.2550957381099444	0.006300185299567634	0.21803582458307597	0.3358863495985176	0.17591105620753553	0.4627547869054972	0.21260037059913528	0.04014823965410747	0.4594193946880791	0.17195799876466955	0.1621988882025942	0.019641754169240272	0.16318715256331068	0.0007411982705373688	0.010006176652254478	0.007041383570105003	0.039159975293390985	0.07560222359481161	0.04916615194564546	0.010870907967881408	0.0	0.01531809759110562	0.14366893143915999	0.15911056207535515	0.00012353304508956145	0.13353922174181593
HNRNPL	0.2999662959218065	0.007583417593528817	0.46764408493427706	0.18503538928210314	0.5058982136838558	0.0502190765082575	0.022413211998651837	0.27906976744186046	1.0	0.42382878328277723	0.030502190765082576	0.3468149646107179	0.3446241995281429	0.04364678126053252	0.8368722615436468	0.35254465790360634	0.09487698011459386	0.844118638355241	0.3114256825075834	0.23542298618132795	0.05965621840242669	0.27148634984833164	0.0011796427367711494	0.014492753623188406	0.026457701381867205	0.06268958543983821	0.13110886417256487	0.09015840916750927	0.013987192450286484	0.0	0.027131782945736434	0.27435119649477585	0.25952140208965285	0.00016852039096730705	0.26457701381867205
HNRNPLL	0.19140747722274584	0.011074458058435438	0.3520263901979265	0.10021991831605404	0.5326735783851713	0.030552937480364434	0.010917373546968269	0.18457430097392397	0.22101790763430726	1.0	0.016965127238454288	0.25589066918001885	0.2515708451146717	0.02419101476594408	0.8206880301602262	0.26822180333019163	0.06998114985862394	0.839459629280553	0.23900408419729816	0.24528746465598492	0.06244109330819981	0.19737668865849828	0.0007854225573358467	0.008325479107759975	0.01515865535658184	0.05144517750549796	0.11702796104304115	0.040684888469996856	0.00604775369148602	0.0	0.020263901979264844	0.2785893810870248	0.15284322965755576	0.0	0.27584040213634936
