	AGO1	CCAR2	FIP1L1	FUS	GTF2F1	HNRNPC	HNRNPH1	HNRNPK	HNRNPL	HNRNPLL	HNRNPUL1	NONO	PCBP1	PCBP2	POLR2G	PRPF4	PTBP1	RBFOX2	RBM22	RBM25	RBM39	SAFB	SAFB2	SFPQ	SNRNP70	SRSF1	SRSF3	SRSF4	SRSF7	SRSF9	TAF15	TARDBP	U2AF1	U2AF2	XRCC5
HNRNPUL1	0.30618892508143325	0.0732899022801303	0.2719869706840391	0.16612377850162866	0.24104234527687296	0.003257328990228013	0.0749185667752443	0.07654723127035831	0.2736156351791531	0.28013029315960913	1.0	0.21335504885993486	0.11237785016286644	0.057003257328990226	0.6188925081433225	0.2280130293159609	0.2719869706840391	0.6514657980456026	0.2980456026058632	0.08794788273615635	0.33876221498371334	0.07003257328990228	0.0016286644951140066	0.08306188925081433	0.22312703583061888	0.06026058631921824	0.11237785016286644	0.16775244299674266	0.008143322475570033	0.0	0.11400651465798045	0.24267100977198697	0.12052117263843648	0.003257328990228013	0.2768729641693811
NONO	0.2713966253303517	0.0042691603984549705	0.5509249847529986	0.24374872941654807	0.6800162634681846	0.05732872535068103	0.02744460256149624	0.35251067290099614	0.41187233177475097	0.568814799756048	0.03069729619841431	1.0	0.4126855051839805	0.06220776580605814	0.9467371416954665	0.4702175238869689	0.09188859524293555	0.951209595446229	0.38300467574710306	0.3319780443179508	0.059158365521447445	0.29802805448261843	0.002236226875381175	0.020939215287660094	0.020939215287660094	0.07786135393372637	0.1630412685505184	0.1053059564952226	0.018906281764586298	0.0	0.02317544216304127	0.3220166700548892	0.33949989835332384	0.0008131734092295182	0.2575726773734499
PCBP1	0.2870987280436099	0.006662628709872804	0.4878861296184131	0.16020593579648698	0.568443367655966	0.055875227135069656	0.018170805572380374	0.43837068443367655	0.3276801938219261	0.4616898849182314	0.01196244700181708	0.33873410054512415	1.0	0.11553603876438522	0.8302543912780134	0.39521502119927315	0.09055118110236221	0.8173834039975773	0.3396426408237432	0.267565112053301	0.0514839491217444	0.27437916414294367	0.0013628104179285283	0.007571168988491823	0.014385221078134464	0.07450030284675954	0.1606602059357965	0.07995154451847365	0.014839491217443974	0.0	0.02150211992731678	0.29800121138703817	0.24485160508782555	0.0003028467595396729	0.257419745608722
PCBP2	0.10532276330690826	0.0033975084937712344	0.17667044167610418	0.10079275198187995	0.17723669309173273	0.037938844847112116	0.039071347678369193	0.7672706681766704	0.14439411098527746	0.144960362400906	0.020951302378255945	0.16477916194790487	0.4003397508493771	1.0	0.2434881087202718	0.18176670441676104	0.05549263873159683	0.25254813137032844	0.15118912797281994	0.10192525481313704	0.037938844847112116	0.10079275198187995	0.004530011325028313	0.014722536806342015	0.015288788221970554	0.050396375990939976	0.07134767836919592	0.0855039637599094	0.026047565118912798	0.0	0.022650056625141562	0.12004530011325028	0.1364665911664779	0.0022650056625141564	0.08493771234428087
POLR2G	0.21744277029873804	0.0046144894970206445	0.21852617218064724	0.06327869510262224	0.29972112433039744	0.019160162911542242	0.006821419256465301	0.12824268202154765	0.16664325983588468	0.27578596793932947	0.015568886302991393	0.15239853138856008	0.1724615292016933	0.01777581606243605	1.0	0.15673213891619686	0.05150171538631302	0.6898661798045864	0.22697269425997632	0.16006259655317698	0.034087033284513374	0.14361093834640773	0.0007423309190859298	0.005938647352687438	0.015328130329233794	0.027064984049916738	0.08105451116505828	0.037377364925867226	0.004474048512328712	0.0	0.015930020263627793	0.143350119374837	0.09020323816784703	4.0125995626266476e-05	0.15171638946291355
PRPF4	0.3513412117801538	0.005815044081785781	0.6297129994372538	0.22584880885387357	0.7400112549240293	0.0855374226223973	0.03113862314762709	0.36503470268242355	0.4305008441193022	0.6139561057962859	0.03413993622209717	0.48921403113862316	0.509848058525605	0.07934721440630275	0.9613580941661977	1.0	0.1146126430313262	0.9613580941661977	0.49765522416057023	0.3110110673419621	0.0864753329581692	0.3275182892515476	0.0031888951416244606	0.017820296379666103	0.03601575689364097	0.1052335396736072	0.26186456574751454	0.13374601388107296	0.019508534984055526	0.0	0.035828174826486585	0.4305008441193022	0.3329581691990246	0.00037516413430876007	0.3262052147814669
PTBP1	0.2025832766825289	0.028552005438477225	0.2416723317471108	0.10978925900747791	0.2804214819850442	0.01733514615907546	0.02141400407885792	0.10673011556764106	0.18558803535010196	0.25356900067980964	0.06084296397008838	0.14276002719238612	0.19000679809653298	0.03399048266485384	0.5	0.18422841604350781	1.0	0.5390890550645819	0.2087015635622026	0.5863358259687288	0.11488783140720599	0.10673011556764106	0.0020394289598912306	0.024813052345343305	0.05030591434398368	0.0557443915703603	0.08769544527532291	0.07341944255608429	0.01053704962610469	0.0	0.04656696125084976	0.2433718558803535	0.10842963970088375	0.0006798096532970768	0.260707002039429
RBFOX2	0.18642252476776996	0.006282053922679245	0.2522502111182056	0.07837119729768696	0.3588803526188956	0.02444851805318119	0.009165619657679553	0.15359106918498075	0.19536157854627093	0.3419702992729295	0.01911392144343062	0.19198368725669915	0.20222034561595023	0.023995386294824	0.7886964223187988	0.1882144549030916	0.06549813598072131	1.0	0.2090997095837367	0.21441370929538012	0.046754958703219295	0.17033634734608968	0.0007826821280715124	0.007744433688286544	0.018846161768037734	0.03427323845028939	0.1059504438631542	0.04490123787357624	0.005993697349179213	0.0	0.01699244093839468	0.18252971102551957	0.11130563737101193	6.179069432143519e-05	0.19268398179234209
RBM22	0.339861475997134	0.007165034631000717	0.3731788870312873	0.1259851922617626	0.3889419632194889	0.04143778361595414	0.01850967279675185	0.17554334845951755	0.22808693575352282	0.3238595653212324	0.025674707427752567	0.23429663243372342	0.25961308812992595	0.03678051110580368	0.8852400286601385	0.2975877716742298	0.07917363267255792	0.6750656794841176	1.0	0.15452591354191544	0.05851444948650585	0.17052782421781706	0.0017912586577501792	0.00979221399570098	0.027465966085502745	0.061141628851206116	0.13780749940291379	0.09541437783615954	0.011344638165751134	0.0	0.027943635060902795	0.24229758777167423	0.169930737998567	0.0002388344877000239	0.19656078337711966
RBM25	0.024163434435905465	0.0008190994724035751	0.04302681346214074	0.016044713194728853	0.0646365848370233	0.0035414006600978103	0.001252740369558409	0.02835529644173553	0.030547592088462742	0.0606374521188176	0.00118046688669927	0.03599219446385121	0.03628128839528777	0.00399913271820569	0.11464983497554747	0.03288443470090824	0.041147702907803126	0.12814088510925342	0.02806620251029897	1.0	0.005878243272543304	0.025078898552121226	0.0001686381266713243	0.0006745525066852972	0.0006745525066852972	0.005685513984918933	0.009756920185983762	0.0051314172829988675	0.0009154641162157605	0.0	0.0009877375990748993	0.028692572695078175	0.022380688525380037	7.227348285913898e-05	0.03425763087523188
RBM39	0.2122033898305085	0.06576271186440678	0.31457627118644066	0.0888135593220339	0.45966101694915257	0.018983050847457626	0.03525423728813559	0.11322033898305085	0.2305084745762712	0.44677966101694916	0.14915254237288136	0.19050847457627118	0.21627118644067797	0.04949152542372881	0.7003389830508474	0.27728813559322035	0.22576271186440677	0.7586440677966102	0.29694915254237286	0.1694915254237288	1.0	0.11254237288135593	0.002033898305084746	0.026440677966101694	0.12067796610169491	0.09423728813559322	0.16677966101694916	0.09220338983050848	0.010169491525423728	0.0	0.0711864406779661	0.3769491525423729	0.14508474576271185	0.002033898305084746	0.46915254237288134
SAFB	0.2545894694371596	0.004841638087552955	0.43494048819850717	0.15311680451886223	0.49425055477103086	0.039741779301997175	0.00968327617510591	0.25479120435747427	0.3046197296752068	0.42606415170466005	0.009078071414161792	0.28585838208593906	0.3235828121847892	0.034093201533185395	0.8388137986685495	0.2965503328626185	0.05951180149283841	0.8408311478716965	0.26225539640911844	0.2211014726649183	0.031874117409723624	1.0	0.0022190841234617713	0.004639903167238249	0.008674601573532378	0.050635464998991325	0.1093403268105709	0.05729271736937664	0.010086746015735323	0.0	0.012305830139197095	0.21726850917893886	0.2243292313899536	0.0	0.2241274964696389
SAFB2	0.17777777777777778	0.0	0.17777777777777778	0.17777777777777778	0.13333333333333333	0.06666666666666667	0.0	0.1111111111111111	0.1111111111111111	0.15555555555555556	0.022222222222222223	0.26666666666666666	0.1111111111111111	0.13333333333333333	0.2	0.2	0.06666666666666667	0.2222222222222222	0.13333333333333333	0.13333333333333333	0.044444444444444446	0.2	1.0	0.08888888888888889	0.0	0.1111111111111111	0.044444444444444446	0.13333333333333333	0.044444444444444446	0.0	0.0	0.08888888888888889	0.15555555555555556	0.0	0.044444444444444446
SFPQ	0.4514285714285714	0.02857142857142857	0.49142857142857144	0.4057142857142857	0.37142857142857144	0.005714285714285714	0.30857142857142855	0.4228571428571429	0.49714285714285716	0.4742857142857143	0.2914285714285714	0.5257142857142857	0.24571428571428572	0.13714285714285715	0.7371428571428571	0.4514285714285714	0.4228571428571429	0.7485714285714286	0.41714285714285715	0.17714285714285713	0.24	0.13142857142857142	0.017142857142857144	1.0	0.16	0.24571428571428572	0.10285714285714286	0.34285714285714286	0.04	0.0	0.38285714285714284	0.4514285714285714	0.2742857142857143	0.005714285714285714	0.25142857142857145
SNRNP70	0.36590038314176243	0.05938697318007663	0.3103448275862069	0.11494252873563218	0.2988505747126437	0.005747126436781609	0.08620689655172414	0.09195402298850575	0.27011494252873564	0.3103448275862069	0.2739463601532567	0.17049808429118773	0.18582375478927204	0.05555555555555555	0.6954022988505747	0.29310344827586204	0.2547892720306513	0.6800766283524904	0.38122605363984674	0.05172413793103448	0.32375478927203066	0.07662835249042145	0.0	0.04597701149425287	1.0	0.11302681992337164	0.20689655172413793	0.1743295019157088	0.009578544061302681	0.0	0.18773946360153257	0.27011494252873564	0.1111111111111111	0.0019157088122605363	0.23754789272030652
SRSF1	0.45513654096228867	0.022106631989596878	0.6840052015604682	0.2483745123537061	0.7685305591677504	0.08842652795838751	0.08192457737321196	0.3953185955786736	0.46553966189856955	0.6762028608582574	0.04291287386215865	0.459037711313394	0.5630689206762028	0.11443433029908973	0.9284785435630689	0.5838751625487646	0.18985695708712613	0.9258777633289987	0.5799739921976593	0.328998699609883	0.17815344603381014	0.3237971391417425	0.009102730819245773	0.054616384915474644	0.07672301690507152	1.0	0.29908972691807545	0.19375812743823148	0.03901170351105332	0.0	0.12873862158647595	0.5747724317295189	0.4226267880364109	0.0013003901170351106	0.4213263979193758
SRSF3	0.2710750193348801	0.013534416086620264	0.4729311678267595	0.13843774168600154	0.5738592420726991	0.11678267594740913	0.015467904098994586	0.22157772621809746	0.2803557617942769	0.4752513534416087	0.026295436968290797	0.29273008507347253	0.36736272235112144	0.04717710750193349	0.9037122969837587	0.4466357308584687	0.0951276102088167	0.9145398298530549	0.40216550657385924	0.15931941221964424	0.09048723897911833	0.20959010054137664	0.0007733952049497294	0.00580046403712297	0.04137664346481052	0.08739365815931942	1.0	0.0843000773395205	0.016241299303944315	0.0	0.03480278422273782	0.37587006960556846	0.23511214230471772	0.0	0.25560711523588553
SRSF4	0.5056876938986556	0.007238883143743537	0.6577042399172699	0.3650465356773526	0.4860392967942089	0.09927611168562564	0.07549120992761117	0.3826266804550155	0.5046535677352637	0.4250258531540848	0.10754912099276112	0.49120992761116855	0.45087900723888313	0.15718717683557393	0.9069286452947259	0.5677352637021716	0.2078593588417787	0.8738366080661841	0.6701137538779731	0.23061013443640124	0.13340227507755947	0.28852119958634953	0.010341261633919338	0.05997931747673216	0.09927611168562564	0.15822130299896586	0.2264736297828335	1.0	0.05997931747673216	0.0	0.08376421923474664	0.3557394002068252	0.4095139607032058	0.001034126163391934	0.26059979317476734
SRSF7	0.47058823529411764	0.022058823529411766	0.6911764705882353	0.4632352941176471	0.6102941176470589	0.11029411764705882	0.11764705882352941	0.5735294117647058	0.5367647058823529	0.49264705882352944	0.03676470588235294	0.5514705882352942	0.5808823529411765	0.3014705882352941	0.8088235294117647	0.5441176470588235	0.23529411764705882	0.7720588235294118	0.5514705882352942	0.3235294117647059	0.09558823529411764	0.40441176470588236	0.014705882352941176	0.051470588235294115	0.03676470588235294	0.21323529411764705	0.3235294117647059	0.4117647058823529	1.0	0.0	0.08823529411764706	0.4411764705882353	0.5220588235294118	0.0	0.2426470588235294
SRSF9	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.16666666666666666	0.0	0.0
TAF15	0.47072072072072074	0.036036036036036036	0.3783783783783784	0.17342342342342343	0.40315315315315314	0.013513513513513514	0.12837837837837837	0.25225225225225223	0.3400900900900901	0.44819819819819817	0.14864864864864866	0.21396396396396397	0.26126126126126126	0.07882882882882883	0.7927927927927928	0.30180180180180183	0.27702702702702703	0.7117117117117117	0.40765765765765766	0.0945945945945946	0.20945945945945946	0.1463963963963964	0.0	0.14189189189189189	0.21396396396396397	0.22297297297297297	0.20945945945945946	0.17342342342342343	0.02927927927927928	0.0	1.0	0.41216216216216217	0.15315315315315314	0.0022522522522522522	0.22072072072072071
TARDBP	0.2529522505562211	0.020879685093274	0.4288892692110217	0.1341776484682526	0.6085914769810029	0.04449768954304296	0.020879685093274	0.20776998117405443	0.2844429231559131	0.537737463631696	0.028238918363854185	0.28256032859832275	0.32431969878487077	0.039705630669176796	0.8066061954475441	0.3582064008214958	0.12887215471504365	0.8338182440527127	0.3517028923498203	0.23138798562382337	0.10200239602943693	0.19955502310456957	0.001198014718466541	0.014376176621598494	0.024816019168235497	0.08386103029265789	0.18158480232757146	0.06606195447544069	0.012493582064008215	0.0	0.03422899195618689	1.0	0.1986992983056649	0.0003422899195618689	0.38918363854184496
U2AF1	0.3560371517027864	0.005847953216374269	0.6625386996904025	0.3171654626762986	0.7003783969728242	0.09459924320605435	0.03439972480220158	0.4320605435156519	0.5084279325765394	0.5782593739250086	0.026487788097695218	0.5669074647402821	0.49501203990368076	0.08531131750945993	0.8837289301685587	0.52046783625731	0.108703130374957	0.890608875128999	0.4544203646370829	0.3495012039903681	0.07430340557275542	0.3849329205366357	0.004471964224286206	0.015479876160990712	0.022359821121431027	0.12211902304781562	0.21809425524595802	0.15135878912968695	0.026487788097695218	0.0006879944960440316	0.025799793601651185	0.38011695906432746	1.0	0.007567939456484348	0.34055727554179566
U2AF2	0.02702702702702703	0.0	0.05405405405405406	0.02702702702702703	0.02702702702702703	0.0	0.05405405405405406	0.02702702702702703	0.02702702702702703	0.0	0.02702702702702703	0.08108108108108109	0.02702702702702703	0.08108108108108109	0.02702702702702703	0.02702702702702703	0.02702702702702703	0.05405405405405406	0.02702702702702703	0.05405405405405406	0.08108108108108109	0.0	0.0	0.02702702702702703	0.02702702702702703	0.02702702702702703	0.0	0.02702702702702703	0.0	0.0	0.02702702702702703	0.02702702702702703	0.4864864864864865	1.0	0.02702702702702703
XRCC5	0.15363849765258217	0.01619718309859155	0.2707746478873239	0.07464788732394366	0.4240610328638498	0.018661971830985915	0.007394366197183098	0.12629107981220658	0.18157276995305163	0.3618544600938967	0.020892018779342724	0.1454225352112676	0.18615023474178405	0.01784037558685446	0.5860328638497653	0.18497652582159624	0.09049295774647888	0.6223004694835681	0.1865023474178404	0.17734741784037558	0.08380281690140845	0.13544600938967136	0.00023474178403755868	0.005164319248826291	0.01607981220657277	0.03931924882629108	0.08075117370892018	0.029460093896713616	0.004107981220657277	0.0	0.012206572769953052	0.26267605633802815	0.11514084507042253	0.00011737089201877934	1.0
