,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6
TCGA-UB-A7MA-01A-11R-A33R-07,3.55606524174094,10.5913816099698,13.7530042972933,11.5460474292003,10.059596365549,13.248023978964
TCGA-XR-A8TF-01A-11R-A36F-07,3.55606524174094,4.67135102410852,13.1145782811457,14.5804722979729,13.293377166985,14.2590611098627
TCGA-G3-AAV6-01A-21R-A37K-07,4.21248865611226,5.21491413365688,13.6259507963121,11.7649386595604,10.525824095443,13.4099281021595
TCGA-2Y-A9HA-01A-11R-A39D-07,4.01984274384188,8.69660813789114,13.4678163699578,13.79774132393,11.6570786545653,13.787145297887
TCGA-BC-A69I-01A-11R-A311-07,4.0163179230156,5.43511607639299,12.5430613354752,14.2926021065545,13.1862276401427,13.2905582829327
TCGA-DD-AADK-01A-11R-A41C-07,4.03057254407017,8.78292249196856,14.4346569677522,13.4424822742353,10.8671008603718,14.6347500645085
TCGA-DD-AAD2-01A-11R-A41C-07,3.55606524174094,7.50200771558656,14.6073148367244,11.7974114689194,11.0443290119477,13.0420526884137
TCGA-LG-A6GG-01A-11R-A311-07,3.55606524174094,7.22640407555659,12.7928237497731,14.5668933554828,12.2818304093329,13.0675805977985
TCGA-XR-A8TC-01A-11R-A36F-07,3.55606524174094,7.14710461758439,14.3574132557015,14.2496618323754,13.2574467521504,14.8810697334714
TCGA-BC-A3KF-01A-11R-A213-07,3.55606524174094,4.64238201400544,13.6318401088543,10.7217662459618,11.515587130759,15.1494795321171
TCGA-DD-AAE6-01A-11R-A41C-07,3.55606524174094,9.61341399446448,12.9651804766464,10.6402112636554,12.7472851623523,14.1328539275773
TCGA-RC-A7SH-01A-11R-A38B-07,5.35632045000119,5.97643329362924,13.9857513629443,12.6938830826359,13.1983822531814,13.705738725452
TCGA-DD-A1EF-01A-11R-A131-07,4.35938982954338,4.91474008887332,14.7975570741656,11.1579145456093,10.4542872471609,13.4262156963649
TCGA-DD-AADY-01A-11R-A41C-07,3.55606524174094,4.89167730573379,13.5785405231096,13.2936532661083,12.6491964516079,13.4368961807571
TCGA-ED-A82E-01A-11R-A352-07,3.55606524174094,9.07006707158552,13.926388648214,4.69246006769997,11.7893552234761,11.009968588748
TCGA-BC-A10T-11A-11R-A131-07,3.55606524174094,5.31008257883608,13.548991593534,13.4601470559229,10.8134710357548,14.4019537338794
TCGA-ED-A8O6-01A-11R-A36F-07,6.18554205267101,8.00079392134171,15.3806319657403,13.7631151772717,10.6188481114317,13.174580850986
TCGA-5R-AAAM-01A-12R-A41C-07,4.01077588581965,5.8795736088342,13.4315648932411,15.9250569055145,12.3887745130327,13.5777419365817
TCGA-ED-A7XO-01A-11R-A352-07,4.01224087131411,5.72592825134526,12.6916095672871,13.5609904402277,12.172832978961,14.4413014183931
TCGA-DD-A4NO-01A-11R-A28V-07,3.55606524174094,6.94796789055554,13.9608396482793,10.7319315031879,11.6746332883427,13.6234186185149
TCGA-ZP-A9CZ-01A-11R-A38B-07,5.80625301045554,7.12702540508272,13.2935435737779,12.3140047832922,10.8295166079504,14.0755672843273
