,TCGA.02.0001,TCGA.02.0003,TCGA.02.0006,TCGA.02.0007,TCGA.02.0009,TCGA.02.0010,TCGA.02.0011,TCGA.02.0014,TCGA.02.0021,TCGA.02.0024,TCGA.02.0027,TCGA.02.0028,TCGA.02.0033,TCGA.02.0034,TCGA.02.0037,TCGA.02.0038,TCGA.02.0043,TCGA.02.0046,TCGA.02.0047,TCGA.02.0052,TCGA.02.0054,TCGA.02.0055,TCGA.02.0057,TCGA.02.0058,TCGA.02.0060,TCGA.02.0064,TCGA.02.0069,TCGA.02.0071,TCGA.02.0074,TCGA.02.0075,TCGA.02.0080,TCGA.02.0083,TCGA.02.0085,TCGA.02.0086,TCGA.02.0089,TCGA.02.0099,TCGA.02.0102,TCGA.02.0107,TCGA.02.0113,TCGA.02.0114,TCGA.02.0115,TCGA.06.0122,TCGA.06.0124,TCGA.06.0125,TCGA.06.0126,TCGA.06.0128,TCGA.06.0129,TCGA.06.0130,TCGA.06.0132,TCGA.06.0133,TCGA.06.0137,TCGA.06.0138,TCGA.06.0139,TCGA.06.0143,TCGA.06.0145,TCGA.06.0147,TCGA.06.0148,TCGA.06.0154,TCGA.06.0156,TCGA.06.0157,TCGA.06.0158,TCGA.06.0166,TCGA.06.0168,TCGA.06.0171,TCGA.06.0173,TCGA.06.0174,TCGA.06.0176,TCGA.06.0178,TCGA.06.0184,TCGA.06.0185,TCGA.06.0187,TCGA.06.0188,TCGA.06.0189,TCGA.06.0190,TCGA.06.0195,TCGA.06.0197,TCGA.06.0208,TCGA.06.0210,TCGA.06.0211,TCGA.06.0214,TCGA.06.0219,TCGA.06.0221,TCGA.06.0237,TCGA.06.0241
RPS4Y1,-2.5,2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.78483,-2.5,2.5,-2.5,2.5,2.5,2.48031,-2.5,-2.5,-2.5,0.29306,2.39939,2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.5,-2.5,2.5,-2.5,2.5,2.5,-2.5,-2.5,-2.5,2.5,2.5,2.5,2.5,-2.5,-2.5,2.48928,-2.5,2.5,-2.5,2.19395,2.5,2.5,2.5,2.27895,2.31219,-2.5,2.5,2.5,2.27271,-2.5,-2.5,2.33905,2.5,2.5,-2.5,2.5,2.5,-2.5,2.5,-2.5,2.5,0.11747,2.5,2.5,2.5,2.24786,2.5,2.32469,1.05163,2.5,-2.5,-2.5,-2.5,2.5,1.85533,2.5,2.5,-2.5,-2.5
POSTN,1.90257,2.5,-0.55461,-2.15156,2.5,-0.2458,-2.5,-2.5,2.21843,-1.45585,1.86259,2.5,2.11926,2.5,0.90399,1.81637,2.5,1.16539,2.5,-1.04806,-2.5,2.5,-1.40784,-2.5,0.87844,2.5,-0.96474,1.5216,-0.56383,2.5,-2.5,2.5,2.5,2.5,1.46566,2.5,2.23805,2.5,-2.5,-2.5,0.34211,1.16966,2.5,2.5,2.5,-0.36865,-2.5,2.5,-0.54272,-0.31252,2.5,0.59779,2.30605,-0.51882,2.26578,2.08244,2.5,2.38428,0.02183,1.39736,-2.5,-1.67,-1.12952,-0.97166,0.97163,1.51723,2.5,-2.5,0.00215,-2.5,-2.24678,-2.5,2.5,2.5,-2.5,2.5,2.09609,2.40177,2.16176,0.59806,0.738,-2.5,-2.5,-2.45864
LTF,-0.86928,-2.5,-0.27295,-2.39063,-2.04966,-2.5,-2.5,-2.5,1.39814,-2.5,-1.86095,-2.5,0.94423,2.5,0.4311,2.5,-2.15719,-2.35091,-0.7554,-0.26379,2.0329,-2.03589,2.5,-2.5,0.10628,2.15477,-1.01454,2.30578,-1.35386,1.4357,-2.5,-0.27524,1.18582,-0.10583,2.5,2.02252,2.44561,2.5,-2.5,-2.5,-2.5,1.67746,0.26905,2.5,0.46073,-2.2802,-2.5,-2.5,2.5,0.49878,-1.38483,-1.15195,1.44974,2.5,-0.77128,0.94262,1.21729,0.21384,2.21125,-1.42743,2.5,-0.18918,2.5,-2.5,0.57585,-2.5,2.11899,-2.5,-0.83519,2.32704,2.5,-0.30187,2.10941,2.5,-2.5,2.01007,1.10409,1.87945,-1.48172,-1.58295,-1.30921,-2.5,2.07987,1.39224
EIF1AY,-2.5,2.31843,-2.30226,-2.42215,-2.5,-2.5,-2.5,2.39404,-2.5,-0.9714,-2.5,2.45555,2.07701,1.65411,-2.48781,-2.49878,-2.5,-0.52351,2.18291,2.17432,-2.5,-1.97094,-2.5,-2.4356,-2.31208,1.53054,-2.5,1.90844,-2.5,2.20462,1.69551,-2.5,-2.5,-2.42847,1.71518,1.78912,1.32603,1.83204,-2.5,-2.5,1.87567,-2.5,2.02232,-2.5,1.56928,2.38503,2.2588,2.16708,0.79309,2.2801,-2.5,2.01482,2.06164,1.56945,-2.5,-2.5,1.32534,2.10188,2.08675,-2.5,1.80494,1.66027,-2.5,2.13753,-2.34946,1.80357,-0.98467,1.58113,1.92596,1.53872,2.15579,2.5,1.37278,2.06169,2.30761,-2.1958,-2.05958,-2.42455,1.59041,1.92319,1.97474,1.61416,-2.45432,-2.5
TMSL8,-0.37612,2.5,1.22273,-2.5,0.6834,2.5,2.5,2.5,-0.46682,2.5,0.9733,2.5,-1.99729,0.40687,-1.08214,0.50691,-2.5,2.5,2.17715,2.5,-0.36763,-0.49426,-1.77982,-2.5,-0.32382,-1.36664,2.5,0.53534,2.21935,-1.46424,-1.2814,0.79571,0.27704,-0.27462,-1.11493,1.66523,-2.5,-2.5,0.15119,2.5,-2.49821,-2.5,-0.59876,0.73969,0.14371,2.5,2.5,-2.5,-2.02614,-1.77921,-2.5,2.24988,-1.40523,-0.02883,-2.5,-1.44093,-0.57581,-1.6856,2.5,1.80629,0.73687,2.5,1.1551,2.23319,1.64004,-0.10231,-0.11096,2.5,-2.0994,0.70349,-0.6932,2.5,-2.5,0.78194,-2.5,-1.62558,-0.36,0.07655,-2.5,1.18741,1.82944,2.5,1.30821,2.5
VSNL1,2.5,2.5,-1.85143,0.14688,-2.5,0.19429,-1.83273,0.38765,-2.5,2.28768,-0.69589,-2.02475,2.25584,-2.35365,-2.5,-1.50745,-2.5,0.795,2.44348,0.82737,-1.43432,2.5,-2.46276,2.5,2.5,-2.44842,-1.66715,-0.72912,-2.5,-0.48449,-2.5,2.5,2.5,-1.05016,2.5,-0.67994,0.63041,-0.36913,-0.87322,-2.5,2.5,0.09666,0.47297,-0.6497,2.05535,-1.11907,-1.792,0.11524,2.5,2.5,2.5,0.68465,-1.27574,-2.5,-2.5,-1.13607,-2.2121,0.39089,-0.17702,2.5,0.77516,-2.3564,2.5,0.84489,0.72547,0.27095,0.59032,-0.26219,0.82075,0.98992,-2.5,-1.36736,-1.26735,0.14915,2.5,1.4782,1.25561,-2.31822,0.59335,1.448,2.47857,2.5,-1.43006,-0.74197
AGXT2L1,-0.22722,0.69635,1.5563,0.69372,-0.57234,-0.12387,2.29547,-1.40642,-1.93162,1.20307,-1.07625,-2.02806,-2.34021,-2.38895,-1.46923,1.38548,-2.5,1.08765,0.83823,-0.76903,2.17312,-1.45611,2.40068,2.5,0.74457,-2.5,-2.5,-0.93828,-1.6764,-1.53179,2.5,-0.71317,0.44985,-2.42715,1.6723,0.84869,-1.63868,2.34291,1.33248,-1.94187,2.5,-1.63773,-0.57407,-1.37263,0.0473,0.69118,-0.47917,-2.374,2.5,2.5,0.66725,1.71094,-2.29598,-2.41219,-1.06203,-2.5,-2.24522,-2.31472,1.8068,2.41916,1.6329,1.48521,2.5,2.5,1.70416,-1.26044,-2.49139,-0.38325,1.84846,1.52198,0.93304,2.5,-1.61591,-2.36025,2.07937,-2.1931,2.5,-1.5189,-0.9066,1.25508,2.10564,1.36765,2.5,-0.77974
EGFR,-0.9129,2.5,-0.68121,-0.11339,2.5,-2.35243,-0.73802,-1.98289,2.5,-2.5,-2.5,-2.49914,-1.98228,-1.13846,-0.84686,2.5,-0.03455,2.28639,-2.18009,-2.5,0.65787,-2.3046,-0.66739,-0.31727,-1.88623,0.79017,-1.37256,2.3169,-2.11437,-1.33713,-0.54462,2.00497,-2.09334,-2.14021,1.71399,-1.70276,2.5,-1.72949,-1.14826,-0.49387,-0.85202,1.44023,0.46085,2.5,2.5,-1.61122,0.41426,-2.21344,1.63273,2.45673,2.5,0.3748,-2.48566,2.44438,2.5,-2.5,2.5,2.15542,0.14363,2.15447,2.5,-1.95646,-0.75095,-1.63539,2.5,-1.12712,-0.90524,-1.63865,-0.38489,2.11908,2.5,-0.35997,-1.11158,-1.69502,0.34617,-1.54154,2.34575,-1.33566,1.68275,1.12052,0.42491,-2.13569,1.47624,-2.5
NEFL,1.93817,2.5,0.37611,0.12576,-2.27415,0.32527,-2.25732,0.87108,-1.93366,2.5,2.5,-2.02339,-2.15221,0.80815,-0.06015,-1.52776,-2.33695,1.621,1.82714,-0.66978,-1.49573,2.5,-1.27836,1.57751,2.1718,-2.44842,-2.18469,-0.67669,-2.14146,-1.78547,-2.21542,1.02845,2.5,-1.81158,1.58551,-0.94364,-0.5153,-0.8515,2.5,-1.99814,2.00876,-0.75648,0.26577,-1.18118,1.38293,-1.64667,-2.05795,1.52005,2.5,0.91906,1.81581,2.5,-2.13271,2.5,-2.26676,-2.14046,0.44283,-1.92367,1.54472,-1.92539,-0.0901,1.91672,1.81032,0.01489,0.72606,-0.54216,-2.03379,-0.77351,-1.10198,0.02491,-2.00439,-1.19625,-1.95472,0.06412,2.5,-1.9811,0.42935,-1.96192,-0.16538,0.17162,1.24184,1.97389,-0.01123,2.05765
PI3,-0.81358,-1.40447,1.52237,-1.21948,-1.38948,-0.15495,-1.2341,-1.30437,-1.22755,-0.9759,-0.88782,-1.07532,2.5,2.5,2.5,-0.67157,1.39722,-1.36928,-0.87264,-1.25139,-1.13828,1.84053,-1.17592,-1.40475,-1.33806,2.04426,-1.5138,0.48903,-1.34143,0.0584,-1.26073,1.27785,-1.37565,2.5,0.95535,0.45897,1.99239,2.5,-1.48519,-1.23948,-0.30658,2.157,1.90828,-0.61131,-0.45769,-1.39309,-1.67764,-1.22144,2.5,-1.59527,-1.22936,0.90204,2.5,2.3022,-0.9175,0.30259,-0.65255,2.5,2.5,-1.13422,-1.18732,2.5,1.50775,-0.09045,-0.92238,-1.1561,-0.43069,-1.10817,-1.17721,-0.5434,2.5,-1.30087,0.85128,0.96754,-1.22348,2.5,-0.32113,2.5,-1.01928,-1.13705,-1.11875,-1.12436,-1.30441,-1.03523
PTX3,0.91497,-0.39073,2.21407,-0.84705,-0.72606,-0.44594,-2.01,-2.5,-0.55027,-1.44375,1.22378,-0.09497,2.5,2.5,2.45864,0.59096,0.89457,-0.40668,0.5726,-0.74968,-0.37515,2.43506,-1.21235,-2.11506,-1.93885,1.03942,-2.5,2.11657,-1.23021,0.22219,-2.5,1.25504,-1.16806,2.42224,1.52325,0.66084,1.43616,0.57152,-1.35418,-2.5,0.10436,2.04302,2.5,0.54363,-0.39587,-2.5,-2.44788,-0.78519,1.50793,-2.5,1.12496,0.54971,2.5,2.5,0.66827,0.83428,0.1395,2.5,1.40777,-0.56152,-0.10897,2.5,2.15299,-0.60304,0.55927,-0.28574,0.91659,-2.5,-2.06241,-0.7469,2.47638,-1.89041,0.03046,1.79711,-1.54723,2.5,-0.06358,2.49768,-0.28681,-0.35132,-0.46334,-2.5,-2.09222,-0.61121
DDX3Y,-2.08737,1.22754,-2.152,-2.15051,-2.46024,-2.30413,-2.21311,2.11106,-2.17839,1.59218,-2.15295,2.46236,1.7928,1.76972,-2.15554,-2.21856,-2.29213,-0.43142,1.84622,0.95902,-2.02075,-1.70867,-2.13691,-2.17641,-2.27609,1.66225,-2.31579,1.9398,-2.34837,2.5,1.52748,-2.3769,-2.23024,-2.13904,1.22389,2.03124,1.85388,1.70796,-2.30418,-2.20321,1.16591,-2.47037,1.87848,-2.43135,1.44117,1.27371,1.81262,1.64545,0.65616,0.7196,-2.5,0.56135,1.55307,2.21828,-2.5,-2.39772,1.70995,1.75551,1.80082,-2.25571,1.96196,1.15344,-2.31188,0.89089,-2.15297,1.37705,-0.36211,0.36147,1.29316,1.384,1.41244,1.86034,0.91448,1.82726,1.27793,-1.89117,-2.13772,-2.14559,0.69121,1.45086,0.74436,0.56843,-2.12312,-2.30253
GPR17,-1.55267,1.57336,-1.78698,-1.55952,-1.52736,0.57511,2.5,2.5,-1.63231,2.5,0.33413,-1.63777,-1.6991,0.98158,-1.54437,-0.36576,-1.28821,1.60184,2.40053,2.5,-1.27157,-1.61346,-1.27907,0.57968,1.42827,-1.66671,2.5,-0.07281,2.5,-1.7237,2.5,-1.41969,1.72127,-1.55639,-0.96298,-1.62892,-1.72236,-1.62937,-1.57502,0.59633,-1.44432,-1.5328,-1.83583,0.19753,-0.50236,2.5,2.5,-1.5243,-0.34328,0.5646,-1.32635,0.78827,-1.478,2.20707,-1.73145,-1.44268,-1.32281,-1.35348,2.5,-1.34931,0.51894,2.5,0.43973,0.61426,-1.41755,2.5,-1.45603,1.52581,-1.27087,-0.91,-0.73115,2.1448,-1.38207,-0.84537,-1.52292,-1.43959,1.02684,-1.23081,-1.05176,0.63472,-0.71834,-0.90559,2.30218,2.5
DCX,-2.26095,2.5,1.43028,0.90855,-1.82618,2.5,2.27189,2.5,-2.5,2.5,2.5,1.85238,-2.5,0.75142,1.83229,-1.71465,0.53111,2.5,2.00264,2.21613,0.68373,-2.49007,-1.50618,-0.97468,0.04703,-1.45681,2.09448,0.76299,2.5,-2.27091,0.60082,-1.08868,0.275,-2.31307,-1.65391,0.25406,0.08252,-2.39956,-0.69456,1.37909,-2.3491,0.41299,-2.33268,1.04455,0.24032,0.79858,2.43197,-1.94171,-1.41504,-0.21271,0.178,0.84149,-2.40935,1.1139,-1.93529,-2.42422,-1.6562,-1.8372,2.5,2.5,0.89545,2.48623,-0.50479,0.99803,1.28807,2.5,0.09289,1.05701,-2.2621,-0.2724,-2.43778,2.5,-2.27228,-0.09649,0.916,-2.45668,-0.09525,-1.80619,1.95512,0.11746,0.45426,0.61902,0.91311,2.15119
MMP7,0.55745,-0.04971,1.58288,-1.6433,1.28225,1.77345,-1.76488,-1.86157,-1.47079,-0.13406,-2.00309,-1.18544,2.5,0.17177,1.67727,0.38078,-0.46186,-1.89019,-0.21329,0.18276,2.43371,2.5,-0.88659,0.45623,-1.74021,2.5,-2.30449,2.5,-1.42237,0.74703,-1.42353,0.29613,-0.55056,0.03253,-1.10352,-0.04389,2.5,2.5,-1.77917,1.4563,0.00792,-0.0889,2.5,-1.37092,-1.81356,-1.30679,-1.72036,0.78362,-0.16338,-1.56933,-1.60882,-0.29818,2.5,0.25635,1.7088,1.19157,-1.13243,2.5,1.35003,-0.90704,-1.79505,0.02577,2.5,-1.34879,-0.17323,-0.98802,1.51311,2.44263,-0.57745,-1.40585,-1.29109,-1.02948,0.7964,2.5,-1.59659,2.5,-0.79601,0.55668,-1.08673,-0.86485,-1.13443,-0.09048,-1.50813,-0.42261
MOXD1,1.31829,-1.37965,1.84005,-1.08872,0.37229,-2.5,-2.5,-2.5,1.47199,-2.5,-0.62869,-2.5,1.21812,-0.2117,0.69246,1.65686,0.09674,1.11298,-2.5,1.21288,-0.10152,1.73069,1.04011,-2.5,-0.31576,1.2805,-2.5,1.88716,-1.73468,2.39229,-2.5,-0.69497,0.68496,1.98521,0.01932,0.44976,1.58762,2.30783,2.10671,-2.5,2.5,0.83257,2.5,0.35321,-1.1119,-2.34717,-2.5,1.30866,0.39246,0.95027,-1.1044,-0.31559,0.70184,-0.87409,2.5,-0.33884,1.46609,-0.60404,-1.35684,-0.63605,1.05031,-0.81784,-0.13698,-1.98854,1.18956,-0.22132,1.31999,-2.5,0.04612,-0.59194,-1.85944,1.132,1.65653,2.42128,-0.55521,1.71073,0.85923,0.68904,0.86645,0.73503,0.22084,-2.46588,0.80514,-2.39099
ADM,-1.14933,-1.00974,1.72964,0.11994,-2.5,-1.98347,-0.78847,-2.5,-0.57587,-1.1526,0.03779,0.89796,1.19019,1.49631,2.5,0.91097,1.65321,2.5,-0.20032,-0.56446,0.25097,1.62521,1.93808,-2.21782,-1.26576,0.78372,-2.5,1.46413,-1.87123,2.5,-1.02413,1.2236,-1.31409,1.59397,-0.69983,-0.73965,0.56587,0.25788,0.78681,-2.1604,1.74478,0.44397,1.79914,1.00586,-1.94368,-2.5,-2.5,-2.24754,-0.3023,-2.5,0.77023,1.12574,0.48328,1.53365,-0.64135,1.45078,1.1391,2.40749,0.68256,-0.86722,-0.02171,0.18153,-0.50583,-1.53853,0.51984,1.39254,1.77596,-2.5,-0.51193,0.15558,1.46149,1.55559,1.37967,0.94477,-2.5,0.91837,-0.85934,2.5,-1.8186,1.09143,-1.04633,-2.5,-2.5,-1.41149
DKK1,0.08961,-1.10882,1.52031,0.58903,-1.8817,-1.16262,-0.45589,-1.32557,-1.18795,-1.31421,0.4702,2.5,2.5,1.88468,-1.02829,-0.60306,-1.59791,-1.49595,0.06034,-0.47752,-1.14603,2.5,0.19979,0.47542,-0.74185,-1.44743,-1.79818,-0.97154,-0.39697,1.11529,-1.93764,-0.72093,1.798,2.5,-1.33617,-1.21639,-1.75654,1.14075,1.7727,-1.26828,1.51669,-0.00083,1.85684,-1.86081,-1.80677,-1.21795,-1.95424,2.42783,-0.38046,-1.42727,-1.85047,-0.13664,2.5,-1.6452,-1.48479,2.5,-0.79716,-1.12134,0.00178,-1.48032,-1.55035,1.90248,-1.29205,-1.32317,-0.02373,-1.55333,2.5,0.42637,2.5,-1.5544,-1.48038,-1.31239,2.5,-0.3653,-1.35208,0.23861,-1.17498,0.63206,-1.49798,-0.53761,-0.52915,0.8933,-1.12763,-0.69721
FABP5,-1.35562,0.86929,-0.92546,2.41182,0.68513,-2.5,1.57433,-2.5,-1.0379,-0.7139,-1.15335,-2.5,0.82729,0.69217,2.32385,2.2038,-2.5,-0.83168,-2.34105,0.79207,2.25291,0.02029,0.12396,-2.5,1.02821,1.83801,1.40026,0.81763,1.35933,1.44565,-2.5,2.32159,1.80755,1.85627,-1.00881,0.45749,2.4713,1.96322,0.79642,-2.5,2.20284,1.75401,2.26321,0.62388,-0.29911,-2.5,-1.80045,-0.03819,1.07025,-1.25027,1.97381,1.16314,1.3034,1.47607,1.6501,1.51585,1.62452,2.48069,0.14058,1.29993,1.12854,-0.8136,0.70062,-1.07932,-0.07694,1.24152,1.97069,-1.67103,-0.45944,1.27915,-2.5,-0.9844,0.94064,1.1074,0.2006,2.12544,0.0972,0.18713,-1.37101,1.54709,0.70347,-2.2588,1.46796,-1.10795
NNMT,-0.34724,-0.40309,0.73487,-0.56432,-0.39688,-1.20598,-0.88823,-2.5,1.35506,-2.5,-1.01011,-2.5,2.02852,2.5,2.5,0.42327,1.13829,-1.12817,-1.37035,-0.36049,1.61883,2.5,-1.76907,-2.29479,-0.756,1.99467,-2.5,0.29044,-1.05111,2.05411,-2.5,1.72158,0.92844,2.46693,0.93511,2.33451,2.5,2.07791,-2.40926,-2.5,0.18885,2.5,1.82791,0.62619,0.41604,1.19061,-2.27457,0.79285,1.1108,0.7354,-1.09175,1.86415,2.22767,0.71246,-2.24503,0.94909,1.99395,2.33346,2.37686,-0.03338,1.25459,1.06366,1.15443,-0.01568,2.06109,-0.0084,2.16543,-0.41518,0.02025,-0.96446,-0.07814,-2.26048,1.95538,0.97008,-1.40384,0.86257,0.24527,0.57555,-0.4419,-0.71973,0.60508,-1.42908,-2.31031,-0.33319
IL13RA2,-0.26742,-2.11844,2.40856,2.47951,-0.22094,-2.5,1.43962,0.33952,0.63454,-0.50461,0.47236,0.11667,-2.21495,1.74463,1.18186,1.82992,-0.15761,1.62091,0.81176,-0.36309,2.5,-0.56407,0.1987,-2.5,-0.60081,1.19549,-2.49408,-2.5,-0.92431,2.16234,-2.5,-0.3733,0.92244,-1.79247,1.49484,2.5,0.96906,1.58055,2.5,-1.61153,0.25578,-2.5,0.80408,-0.42038,-0.45326,1.2967,-0.20931,-2.5,1.42681,1.78477,-2.5,1.49824,0.19554,0.87036,-2.02148,1.99878,-0.43043,-0.42213,2.17137,0.62322,-1.27291,1.76594,2.47477,0.90907,0.80602,-2.33548,1.38172,0.96269,-2.32198,1.42376,2.5,2.24784,1.82182,1.15312,0.64358,1.40294,1.58272,1.26832,-2.5,1.54597,2.31649,-1.58149,1.7173,1.0875
F13A1,1.53375,-2.43816,0.57957,-0.02534,-2.5,-0.62553,-2.04702,-2.5,-2.5,-0.4767,1.649,-1.84374,2.5,2.5,1.25663,0.1104,-0.25269,-2.44226,0.7817,-0.26782,0.73961,2.46968,-0.52953,-0.96817,-1.7635,2.5,-1.06007,0.30498,0.19457,1.4592,-1.99657,0.43871,1.0246,1.81137,2.38773,2.18837,0.29503,2.5,-0.89552,-1.47775,-1.4321,1.04375,2.5,-0.18322,-0.92013,-0.22492,-2.5,1.45128,2.39251,-0.32925,-2.19265,-0.4175,2.5,2.12866,-2.16067,2.17081,0.30494,1.54679,2.28274,0.48096,-2.00782,0.63284,1.68639,0.39226,-1.30927,-1.23665,2.07962,-0.60497,1.07973,-0.89189,0.93357,-0.73899,2.44471,1.96202,-2.10184,2.5,0.54057,1.4265,-1.36192,-1.46319,-1.78534,0.01823,-2.04354,-0.6577
CXCL14,1.12895,-0.37738,0.968,0.20694,-1.99768,-2.10864,-2.5,-2.04644,0.30217,-0.39633,1.04168,-2.5,2.10739,0.95796,-1.58502,0.13029,-1.28292,-1.76304,-0.96749,-1.04814,-1.28653,1.47143,0.31741,-0.65407,-0.90816,0.17951,-2.5,0.67775,-1.95648,2.28445,-2.5,0.2314,1.5079,1.86847,1.10121,-1.28551,-0.40769,1.79055,0.40785,-2.5,2.5,0.69716,2.24168,-1.61294,-2.30397,-2.49082,-2.5,0.38153,1.16157,-0.38675,1.25268,-1.5559,1.32181,0.9973,0.14766,2.25621,1.40582,1.49235,-1.99008,-2.5,-1.55361,0.74777,0.72202,-1.07879,-0.76772,-1.81352,1.79379,-1.56054,2.5,-0.28343,-0.75231,-2.23735,1.13755,2.18406,0.05376,2.46383,1.03299,1.0045,-0.49223,-1.35862,0.3177,-0.28152,-2.22034,-0.81427
PCDH11Y,-0.16176,-0.10992,-0.885,-1.574,-1.58443,2.5,2.12559,2.5,-1.29202,2.5,-1.37931,-1.68464,-1.49152,-0.91469,-0.89298,-0.88726,-1.64876,2.5,1.30801,2.5,-1.40457,-0.85499,-1.29198,0.33406,-0.98836,-1.30776,2.36049,-0.50421,2.5,-0.53579,1.66052,-0.91151,-0.37046,-0.67537,-1.11069,-1.15953,-0.88071,-1.09143,1.02182,1.28516,-0.04468,-1.19093,-0.43545,-1.46813,-0.95436,1.12963,2.5,-0.79453,0.93834,0.50928,-0.10954,-0.15377,-1.59579,-0.47869,-1.87345,-0.83534,-0.78781,-0.45204,2.41556,-0.68089,-0.78002,2.5,-0.23082,-0.71138,-0.81191,1.63308,-1.27662,1.14878,0.08058,-0.70909,-1.39649,2.5,-1.4416,-1.30504,0.53177,-0.59901,-0.81327,-1.46087,-1.23703,0.34146,-0.82174,1.65106,0.05059,2.5
CHI3L1,1.29208,-0.31311,1.00991,0.96956,0.30077,-0.71037,-2.5,-1.90759,-0.07618,-0.38767,-0.07194,-2.5,1.81547,0.48213,1.48916,1.12423,1.21783,0.93121,-0.22338,-0.08565,1.14213,0.77547,0.92651,-2.5,-1.22775,1.43907,-2.5,1.90058,-0.38816,1.50894,-2.5,0.58847,0.22298,1.5924,1.31392,0.76898,1.25626,1.80054,-0.59491,-2.5,1.25095,0.95103,1.67993,0.35512,-0.30205,-2.5,-1.75701,0.00961,0.59955,0.19319,1.26663,0.63381,1.37711,1.34967,1.13262,1.29873,0.81842,1.5437,0.65511,-0.4184,1.09659,1.18503,1.6864,0.15303,0.57546,-0.16035,0.92812,-1.89115,1.55031,0.60314,1.07381,0.03093,0.53564,1.35903,-1.3152,1.60106,0.62951,1.32079,-0.66237,0.92103,0.57429,-2.5,-2.18478,-0.59162
CD163,1.12198,-2.43779,1.31176,-1.11789,-2.3584,-0.55491,-0.80108,-2.5,-1.535,-0.65235,1.00914,-0.88737,2.18742,1.36535,0.98518,-1.51134,-0.57629,-0.17658,0.36847,-0.2701,-0.34908,1.84727,1.03694,-1.31762,-0.36339,2.5,-0.71126,1.44871,0.73173,2.13683,-2.5,-0.44698,1.19121,1.63826,0.77036,1.24606,0.07821,1.52635,-0.19553,-1.91362,-0.24806,1.60967,1.3887,-0.44516,-0.78494,-1.09748,-1.48642,1.49048,1.90865,-1.86023,-1.48206,0.45279,2.5,2.04804,-0.30173,2.5,-0.47767,1.29911,1.3777,-0.57968,-2.5,0.17366,1.93167,0.68893,1.01556,-0.52072,1.66449,-1.73828,1.24156,-1.33698,0.80638,-0.29057,2.21597,1.80277,-2.5,1.76645,-1.15615,1.26297,-2.5,-0.16005,-1.8981,-1.74205,-2.5,-0.39986
GPNMB,1.86274,0.34338,2.44062,0.32011,-2.5,-1.91993,-2.11743,-2.11197,-0.4717,-0.09405,-1.11831,0.41792,1.0765,1.2881,-0.08519,-0.43871,-1.22003,-0.77758,-0.16842,2.0486,2.5,1.18197,2.01274,0.56524,2.5,1.58091,-1.36128,1.15712,1.26586,0.59995,-2.5,0.33602,1.03724,0.3448,0.69046,0.38454,-0.60461,2.5,-2.5,-0.5899,1.0546,2.13195,0.79606,-1.13178,-1.24022,-2.5,0.54267,2.29809,1.58944,0.05588,-2.26618,0.73678,2.19333,1.53645,-0.13895,2.4412,-0.80729,0.67987,0.09808,-0.21128,0.06459,-0.34914,-0.37713,-0.67764,2.5,-0.22307,2.5,-0.4517,1.53841,-2.36019,-0.66453,0.28237,0.93249,1.95852,1.15825,1.17438,-0.38847,1.25119,-1.79422,1.94566,0.6929,-2.3405,0.02832,0.25442
ATP1A2,0.82628,0.67341,0.32118,-0.54679,1.33883,-1.08384,-1.46175,-1.44759,1.81405,0.37909,1.63215,-2.5,-2.5,-2.5,-1.17457,0.23371,-2.5,0.81311,0.95525,-0.93277,-0.44695,-2.5,2.1824,1.65296,1.42833,-2.5,0.25577,-0.24788,-1.12092,-1.24796,1.4111,0.84944,0.54648,0.55803,1.20853,-0.51356,0.52495,1.47656,2.37842,-2.5,2.16029,-0.65075,-1.24332,1.37707,1.82776,0.6351,-0.45875,-2.5,1.24251,2.07269,0.90876,1.25757,-2.5,0.50635,1.14523,-1.98,-0.85721,-2.25243,1.2127,1.60858,-0.71604,0.91186,1.71772,0.26454,0.59093,-0.1105,-2.5,-1.1063,-0.9451,0.89913,1.70795,2.11468,-0.61872,-2.04402,0.75038,-2.5,1.58608,0.79023,-1.15633,1.85381,0.89446,-0.8014,1.48115,0.67787
PLA2G2A,-0.50771,-1.66917,2.5,-0.78202,-1.76313,-1.70914,-1.5566,-1.7442,-0.64897,-1.64922,-1.30299,-1.81507,0.35368,2.5,1.52938,1.72287,1.61209,-0.95713,-1.28535,1.11293,1.73767,-1.03625,0.76666,-1.67576,-1.16619,2.5,-1.61998,2.20341,-0.45343,-0.85328,-1.81486,0.92265,-0.89912,-1.52609,2.12581,1.28756,2.5,2.5,-1.57435,-1.78012,0.45392,1.12337,2.5,-0.01205,-0.65529,-1.82372,-2.13051,-1.4237,0.61414,-1.25353,0.57206,0.82309,0.79553,2.5,1.03427,2.5,1.30555,2.5,1.49802,-0.75047,-0.32562,-1.39097,0.86349,1.23585,1.8748,-0.73983,1.57618,-1.31286,-0.0092,-0.56563,-0.31142,-0.88451,-0.53936,-0.021,-1.48211,1.18345,0.93094,0.66405,0.90147,0.53838,-0.63567,-0.96726,-1.28288,-0.09849
