,TCGA.02.0001,TCGA.02.0003,TCGA.02.0006,TCGA.02.0007,TCGA.02.0009,TCGA.02.0010,TCGA.02.0011,TCGA.02.0014,TCGA.02.0021,TCGA.02.0024,TCGA.02.0027,TCGA.02.0028,TCGA.02.0033,TCGA.02.0034,TCGA.02.0037,TCGA.02.0038,TCGA.02.0043,TCGA.02.0046,TCGA.02.0047,TCGA.02.0052,TCGA.02.0054,TCGA.02.0055,TCGA.02.0057,TCGA.02.0058,TCGA.02.0060,TCGA.02.0064,TCGA.02.0069,TCGA.02.0071,TCGA.02.0074,TCGA.02.0075,TCGA.02.0080,TCGA.02.0083,TCGA.02.0085,TCGA.02.0086,TCGA.02.0089,TCGA.02.0099,TCGA.02.0102,TCGA.02.0107,TCGA.02.0113,TCGA.02.0114,TCGA.02.0115,TCGA.06.0122,TCGA.06.0124,TCGA.06.0125,TCGA.06.0126,TCGA.06.0128,TCGA.06.0129,TCGA.06.0130,TCGA.06.0132,TCGA.06.0133,TCGA.06.0137,TCGA.06.0138,TCGA.06.0139,TCGA.06.0143,TCGA.06.0145,TCGA.06.0147,TCGA.06.0148,TCGA.06.0154,TCGA.06.0156,TCGA.06.0157,TCGA.06.0158,TCGA.06.0166,TCGA.06.0168,TCGA.06.0171,TCGA.06.0173,TCGA.06.0174,TCGA.06.0176,TCGA.06.0178,TCGA.06.0184,TCGA.06.0185,TCGA.06.0187,TCGA.06.0188,TCGA.06.0189,TCGA.06.0190,TCGA.06.0195,TCGA.06.0197,TCGA.06.0208,TCGA.06.0210,TCGA.06.0211,TCGA.06.0214,TCGA.06.0219,TCGA.06.0221,TCGA.06.0237,TCGA.06.0241
TGFB2,0.65836,-0.23427,0.35202,0.86238,-0.25268,-0.46819,-0.38837,-2.42338,-0.63071,-1.29274,-0.13819,-2.5,-0.03339,-0.17002,0.80005,0.67488,0.11591,0.60289,1.11394,-0.98989,1.07539,-0.48426,0.42793,-1.25302,-2.18624,2.5,-1.6133,1.6428,-0.50834,0.53269,-1.86806,0.35112,0.06156,-0.94454,1.17124,1.5655,2.5,0.30833,1.03152,-1.24015,1.47379,2.12078,1.65337,1.18844,-0.48384,-0.19727,-0.46185,-0.4502,-0.62453,0.84066,0.42032,-0.37895,-1.21569,1.64634,0.47965,1.31809,1.15493,0.46622,0.27846,0.52613,1.85649,0.57375,2.06095,-0.92996,1.09886,-0.27412,-0.3863,-1.58542,0.62084,0.75893,0.10551,0.34165,0.3924,-0.74411,-0.18284,1.21412,-0.14947,0.11465,-0.87304,0.12293,-0.74022,-0.96885,-0.73062,-1.24105
EDNRB,-0.70647,0.82664,-0.20574,-1.62481,1.96462,0.0944,-0.44612,-2.22596,1.20335,-1.65695,0.55403,-1.53302,-2.39756,-1.4709,0.0301,1.70878,0.59255,1.4423,1.71335,-0.67937,0.89181,-1.57395,0.521,1.47423,-0.53516,-0.98411,-0.06781,0.98737,-0.5536,-0.48351,2.22279,0.93949,-0.20933,-0.28234,1.26689,-0.10618,1.12692,-0.26857,-0.08665,0.53966,0.64575,-0.80078,-0.41881,0.37872,1.32064,-1.14189,0.76513,-2.5,0.03215,1.42303,0.88164,1.02375,-0.27878,-1.26761,1.75081,-2.06012,-1.4957,-0.32877,0.85204,1.98756,1.02814,-0.39631,0.30544,1.25238,1.18618,0.85172,-0.29465,0.32812,-0.47577,0.14433,1.28605,1.13068,-0.73665,0.06234,-0.3941,-1.49416,1.11488,-0.48769,1.06218,1.13012,0.20666,-0.36754,1.58844,-0.39834
SPRY4,0.90653,0.63951,-0.70272,-1.55968,2.2084,-0.1307,-1.10926,-1.46851,1.82513,2.02343,2.13299,2.46897,-0.02116,-0.52049,0.15733,0.10659,1.37565,1.02228,0.43861,-0.72232,-0.80488,-0.32969,-0.28375,-2.5,1.19474,-0.23625,0.42806,1.31569,-0.64093,1.05173,-1.89765,0.30265,0.08769,0.80922,0.31502,-0.89797,0.48766,-0.25278,0.63121,-1.70249,0.45253,0.0474,1.18709,1.50553,1.42966,-1.9196,-2.5,-0.75562,-1.22757,-0.92815,0.96751,0.17857,-0.67823,0.44888,0.94764,0.50713,0.17605,-0.34735,-0.71191,0.60253,0.53627,0.71816,-0.71355,0.04336,-0.68269,0.82058,-0.8752,-2.24252,0.38818,0.10696,0.01294,-0.74317,0.23865,0.89371,-0.95749,0.48133,0.03045,-0.32905,1.28031,0.66664,-0.68013,-2.5,-1.24408,0.87705
FCGBP,0.64318,-1.02896,0.75548,-0.21343,0.43639,-0.12317,1.03938,-2.5,-0.28889,-1.29381,-0.02555,-2.09893,1.81267,0.85994,1.49275,0.53473,0.56389,-0.75627,1.41143,-1.10858,0.38781,-0.26069,-0.3089,-1.15151,-0.1368,1.13936,-2.5,1.53664,0.56521,1.65945,-0.43561,-0.44604,0.94562,1.91867,0.9342,0.72881,0.91586,-0.01199,0.42632,-1.1516,-1.10205,0.89596,1.68148,-0.28576,-0.11088,0.64866,-1.69187,-0.1662,1.50255,-0.15357,-0.26815,-0.20193,1.32798,0.30672,-0.13374,1.45005,-0.75112,1.18068,0.89978,0.68403,-0.31724,0.60214,2.08309,-0.3415,-1.00427,-0.84439,-0.24558,-2.13877,0.9523,-0.75301,1.10317,0.4636,-0.48508,0.30802,-1.72432,1.30273,-1.08158,1.1193,-0.33183,0.1849,-0.97833,-2.5,-1.0755,-0.94264
ICAM1,2.5,-1.10414,1.62504,-1.52871,-0.88454,-1.05635,-1.54068,-1.54113,-0.67301,-0.56509,-0.33794,-1.3945,2.30931,2.44011,1.32815,0.52868,1.16051,-0.84775,-0.10151,-0.52203,1.3122,1.58093,0.40964,0.46876,0.58047,0.97774,-1.40508,0.87048,-1.08125,0.19076,-1.51486,-0.80511,0.50503,0.21696,0.46902,1.13539,0.91306,1.20243,-1.44142,-1.03634,0.35118,0.81746,1.42679,-0.31924,0.21211,-0.46897,-1.05019,1.48792,0.16363,-1.00471,-0.28282,-0.21687,0.53223,2.5,1.46922,2.2257,-0.51752,1.13649,0.42935,-0.81741,0.07075,1.15275,0.62833,-0.40364,0.00323,-1.18798,0.69173,-0.92902,-0.67725,-0.6525,1.04315,-0.43863,-0.31657,0.62705,-0.78908,1.79924,-1.30792,0.0392,-0.98956,-0.04336,-1.21307,-1.12519,-1.37595,-0.65789
FGF14,-0.70294,1.94947,-0.69123,0.24691,0.31307,0.29987,1.00251,1.45917,0.90554,0.94751,1.8486,1.91048,-1.42666,-0.20226,-1.43829,0.17091,-1.52036,1.4808,1.01101,0.13892,-1.63436,-0.96664,-2.0188,0.39696,1.47195,0.37687,-0.3855,0.00039,1.44023,-1.1904,0.46315,-0.28182,0.11874,1.61665,-0.48077,-1.73676,-0.97985,-0.53957,-1.40014,-0.7654,0.60943,-0.73125,0.38463,2.4703,0.13005,0.60963,0.30232,-1.85757,0.65337,0.4673,0.10337,0.22547,-0.49454,2.22463,-0.84721,-1.08575,-1.04347,0.06662,0.29537,-1.70925,-1.33886,0.47178,-0.39272,1.11281,-1.01841,1.68724,-1.55843,0.32933,-1.0024,-0.95121,-0.87241,-0.28225,-0.85517,-0.18457,0.65555,-1.39533,0.67951,-0.08161,2.14893,-0.79755,-0.78607,0.38954,-1.10453,2.5
GOLGA8A,-0.86234,0.18309,-0.966,1.20071,-0.38654,2.11515,-0.73771,0.2335,1.41267,0.44355,1.89451,2.34647,-1.08099,-0.51396,0.74418,-1.74563,1.28631,-0.61535,-0.39378,-1.69281,-1.04918,-0.25564,0.69438,0.90791,1.06723,1.02675,1.17367,1.27387,2.00064,1.17869,2.33192,-0.09619,-0.55615,-0.61853,0.95907,0.67301,1.86155,-0.52947,0.38685,0.84966,-0.11894,1.80583,0.00417,2.46739,1.76601,1.11259,2.11793,0.5862,-1.49623,0.17717,-0.12773,0.68194,0.2621,0.88928,1.20359,0.62476,-0.53414,0.27719,1.33528,0.4464,1.35751,-0.71701,-2.01277,-1.31434,-2.03941,-0.01535,1.069,0.36171,-0.24339,0.88084,-2.33056,-0.30363,0.0504,-1.20811,-0.2338,-0.98919,-1.08646,0.59703,-1.29141,-0.06416,-0.22638,0.54385,-0.73941,0.15719
TTYH1,-0.42496,0.74348,0.30343,-1.31306,1.15688,0.11066,0.48109,0.1356,1.0203,0.40183,0.27036,-1.27867,-1.6653,-2.27729,0.44538,1.96683,0.54034,0.76931,0.95141,0.02655,-0.49099,-2.5,0.48768,0.29575,0.24997,-2.05159,1.49828,-0.11811,0.35527,-1.09539,2.04276,0.12858,-0.00744,-0.50293,0.73651,-0.35494,0.41849,-0.5473,0.69886,-0.72001,-0.12666,-0.68656,-0.56825,1.26958,0.5282,0.61024,0.22616,-2.5,-0.33476,0.61929,0.68509,0.67626,-2.5,-0.23536,2.10428,-1.27389,0.11118,-0.7094,0.42932,1.59422,1.02008,0.59132,0.14837,0.53511,0.89711,0.42933,-1.38289,0.22431,-0.01089,1.19437,0.754,0.94601,-0.88526,-0.13719,-0.67171,-1.90251,0.75256,-0.38214,1.13035,0.19321,0.2293,-0.96024,1.32597,0.00793
FZD7,1.39517,-0.55268,1.21087,0.77164,1.70486,-2.11414,-2.5,-2.5,1.12148,-0.65096,0.15708,-0.65761,1.66285,-0.24143,0.77081,0.81264,-0.15717,0.39734,0.47256,-1.38564,0.49458,0.8078,-0.66683,0.45767,-1.34101,1.13476,-0.73129,0.54428,-0.90707,1.55132,-0.74672,-0.21363,-0.07011,1.4183,0.70489,2.09071,0.54086,0.32225,-0.0573,-1.66844,0.55161,1.29814,1.26539,0.32935,0.16798,-1.34283,-2.20032,0.11267,-1.02954,0.1902,1.10347,-0.67891,-0.28187,-0.61116,1.24122,0.9202,-0.28259,1.13522,-0.63143,0.06266,0.47614,0.57595,1.36508,-0.70655,-0.0238,-0.6032,1.05862,-1.27529,1.45557,0.78481,0.64629,0.6309,0.34323,1.25117,-0.83754,1.97381,0.26213,1.33698,1.03746,0.44324,-0.44384,-2.14078,-1.08718,-1.9548
MFAP4,1.07967,1.14115,0.31407,-0.23036,1.36727,-0.07672,-0.5275,-0.95799,0.0653,-0.51958,-0.15554,-1.01467,0.91635,1.95542,-1.10269,0.20623,-0.69429,2.16278,-0.43703,0.33568,2.5,2.5,0.34001,-0.04334,-1.39039,0.37827,0.01277,-0.61932,-0.96656,0.58713,-0.81637,2.5,2.5,0.34916,0.41885,0.66757,2.44899,0.81914,-1.6169,1.22459,-0.53294,1.25168,-0.59002,-0.30132,-0.39573,0.23298,-0.83009,2.27397,0.77065,1.76521,-1.07886,0.2354,-0.08579,-1.05119,-1.22927,-0.13977,0.10476,-0.24988,1.14016,0.71421,-0.33945,-0.68118,-0.07499,-0.01151,-0.62253,-0.14752,1.38477,-0.84842,-0.46764,-0.31932,1.24732,0.39577,-0.3085,-0.0167,0.0427,-1.00882,-1.16461,-0.70609,0.30221,0.64896,-1.16456,-0.85538,0.81433,-1.09172
