,MMRd_C110_T,MMRd_C111_T,MMRd_C114_T,MMRd_C116_T,MMRd_C118_T,MMRd_C122_T,MMRd_C123_T,MMRd_C130_TA,MMRd_C130_TB,MMRd_C132_T,MMRd_C137_T,MMRd_C138_T,MMRd_C139_T,MMRd_C142_T,MMRd_C143_T,MMRd_C144_T,MMRd_C146_T,MMRd_C147_T,MMRd_C154_T,MMRd_C156_T,MMRd_C158_T,MMRd_C163_T,MMRd_C164_T,MMRd_C165_T,MMRd_C167_T,MMRd_C168_T,MMRd_C169_T,MMRd_C170_T,MMRd_C173_T,MMRp_C103_T,MMRp_C105_T,MMRp_C107_T,MMRp_C112_T,MMRp_C113_T,MMRp_C124_T,MMRp_C125_T,MMRp_C126_T,MMRp_C129_T,MMRp_C133_T,MMRp_C134_T,MMRp_C135_T,MMRp_C136_T,MMRp_C140_T,MMRp_C149_T,MMRp_C153_T,MMRp_C155_T,MMRp_C157_T,MMRp_C159_T,MMRp_C160_T,MMRp_C161_T,MMRp_C162_T,MMRp_C171_TA,MMRp_C171_TB,MMRp_C172_T,Normal_C110_N,Normal_C111_N,Normal_C112_N,Normal_C114_N,Normal_C123_N,Normal_C124_N,Normal_C125_N,Normal_C126_N,Normal_C129_N,Normal_C130_N,Normal_C134_N,Normal_C137_N,Normal_C139_N,Normal_C162_N,Normal_C165_N,Normal_C170_N
cTNI01,1,15,7,65,43,10,40,16,7,5,5,73,123,13,22,25,14,2,9,324,53,62,21,10,12,10,10,81,20,12,37,8,31,74,43,22,25,108,40,2,16,2,9,24,26,242,12,109,33,0,84,124,52,39,98,16,23,11,95,4,41,22,335,34,8,45,55,182,10,15
cTNI02,7,9,1,10,2,53,48,7,4,0,13,24,64,8,63,17,51,5,1,247,7,6,16,7,9,14,3,95,6,18,125,58,16,88,165,20,13,328,10,2,37,6,14,133,14,91,4,12,35,17,172,22,12,0,509,109,30,12,42,7,35,28,161,31,3,60,9,604,34,146
cTNI03,13,4,1,0,0,3,0,0,0,161,6,13,20,0,1,116,50,0,22,12,1,8,2,1,1,0,30,5,12,18,3,116,31,93,4,39,0,2,323,8,4,27,1,8,0,36,0,0,2,15,5,0,0,19,0,3,0,0,1,0,1,0,0,0,6,0,0,0,0,0
cTNI04,25,76,22,19,24,28,112,17,22,2,22,19,61,32,264,39,207,22,34,72,17,138,94,8,31,68,16,96,126,142,106,93,155,140,95,168,19,181,39,7,155,118,250,244,62,95,43,31,42,75,187,212,180,8,32,42,56,17,119,44,67,103,42,71,81,56,38,268,37,19
cTNI05,0,77,10,9,25,8,30,5,9,12,17,7,42,21,9,57,8,75,26,26,6,60,8,2,1,6,5,192,4,124,75,17,39,27,12,207,13,13,95,59,118,237,108,14,66,68,28,36,4,13,19,164,59,6,6,13,2,2,1,9,1,79,0,8,59,36,10,9,1,1
cTNI06,1,7,5,15,2,6,24,3,2,5,2,23,62,21,20,19,5,0,1,56,0,3,1,0,0,1,6,42,1,10,107,20,4,15,32,10,9,30,8,1,11,2,18,13,11,10,0,0,7,2,18,61,10,0,63,31,8,6,18,7,8,3,33,12,4,21,45,83,37,221
cTNI07,64,3,58,24,23,14,379,10,54,93,106,75,33,25,56,111,70,2,10,30,3,112,60,0,28,50,22,83,64,8,7,41,1,7,5,7,6,31,10,3,40,50,5,7,23,9,0,20,22,1,55,14,2,15,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2
cTNI08,82,65,45,119,149,49,516,76,196,331,158,97,141,159,279,233,195,59,83,143,70,262,187,19,105,191,121,343,166,155,88,267,259,64,334,268,176,157,156,42,313,212,206,108,288,184,54,193,92,76,259,238,175,75,26,18,9,26,14,5,3,8,9,30,59,17,10,70,5,17
cTNI09,19,17,34,24,35,13,110,13,26,58,18,12,19,17,43,32,15,17,16,43,8,53,37,2,24,16,10,113,18,44,17,57,21,8,24,89,40,12,10,5,50,39,35,11,73,23,15,20,14,15,46,75,17,17,9,9,2,1,3,1,3,2,0,2,2,2,6,13,0,2
cTNI10,2,5,34,34,8,9,34,10,13,7,3,2,125,32,7,67,10,17,6,6,1,26,9,0,1,3,0,2,5,27,24,30,6,100,25,25,1,65,16,13,21,8,7,31,11,30,14,12,26,26,14,45,21,2,11,103,4,61,159,61,154,204,36,22,107,48,36,116,10,50
