"Cell","Pvalue","FDR","label"
"cTNI01",0.190061929827144,0.28181596491611,"01"
"cTNI02",0.0275014069238563,0.0656978054292122,"02"
"cTNI03",0.348656469098545,0.452593132473799,"03"
"cTNI04",0.00300157143019788,0.0117334155907735,"*04"
"cTNI05",0.00136456835385161,0.00651960435729101,"*05"
"cTNI06",0.172181333848679,0.274214716870119,"06"
"cTNI07",0.000338201781939563,0.00484755887446707,"*07"
"cTNI08",0.297922994693561,0.41324802489752,"08"
"cTNI09",0.807921781009701,0.84733259959554,"09"
"cTNI10",0.0150751402546327,0.0432154020632804,"*10"
"cTNI11",0.227886320241508,0.326637059012829,"11"
"cTNI12",0.18540718168272,0.28181596491611,"12"
"cTNI13",0.000928444778068475,0.00570330363670635,"*13"
"cTNI14",3.90489511526016e-05,0.00167910489956187,"*14"
"cTNI15",0.0512659523013677,0.10497314042661,"15"
"cTNI16",0.00086002834322672,0.00570330363670635,"*16"
"cTNI17",0.923883388107122,0.945880611633481,"17"
"cTNI18",0.000115417791472741,0.00248148251666393,"*18"
"cTNI19",0.0221083658352272,0.0594162331821732,"19"
"cTNI20",0.131045296885902,0.225397910643752,"20"
"cTNI21",0.00340415039072264,0.0121982055667561,"*21"
"cTNI22",0.339276254323179,0.452593132473799,"22"
"cTNI23",0.578498135375907,0.672308643815243,"23"
"cTNI24",0.37553714999807,0.461374212854771,"24"
"cTNI25",0.728133706905744,0.78977109270816,"25"
"cTNI26",0.00662969128539312,0.0203626232337075,"*26"
"cB1",0.0780986720765607,0.152647404513278,"1"
"cB2",0.032842523773782,0.0743278169617172,"2"
"cB3",0.158802128025087,0.262634288656875,"3"
"cP1",0.000575727855558177,0.00570330363670635,"*1"
"cP2",0.0257629739387182,0.0651651693744049,"2"
"cP3",0.0383355678994019,0.0824214709837142,"3"
"cMA01",0.00627637973066849,0.0203626232337075,"*01"
"cM01",0.357864337304864,0.452593132473799,"01"
"cM02",0.124668284571607,0.223364009857462,"02"
"cM03",0.642412688592515,0.726940673933635,"03"
"cM04",0.00289906151916029,0.0117334155907735,"*04"
"cM05",0.00119984829531476,0.00644918458731684,"*05"
"cM06",0.000870047754117504,0.00570330363670635,"*06"
"cM07",0.734670783914568,0.78977109270816,"07"
"cM08",0.949813977341099,0.949813977341099,"08"
"cM09",0.0840649975883122,0.157164995491192,"09"
"cM10",0.519782530036184,0.620851355320998,"10"
