,MMRd_C110_T,MMRd_C111_T,MMRd_C114_T,MMRd_C116_T,MMRd_C118_T,MMRd_C122_T,MMRd_C123_T,MMRd_C130_TA,MMRd_C130_TB,MMRd_C132_T,MMRd_C137_T,MMRd_C138_T,MMRd_C139_T,MMRd_C142_T,MMRd_C143_T,MMRd_C144_T,MMRd_C146_T,MMRd_C147_T,MMRd_C154_T,MMRd_C156_T,MMRd_C158_T,MMRd_C163_T,MMRd_C164_T,MMRd_C165_T,MMRd_C167_T,MMRd_C168_T,MMRd_C169_T,MMRd_C170_T,MMRd_C173_T,MMRp_C103_T,MMRp_C105_T,MMRp_C107_T,MMRp_C112_T,MMRp_C113_T,MMRp_C124_T,MMRp_C125_T,MMRp_C126_T,MMRp_C129_T,MMRp_C133_T,MMRp_C134_T,MMRp_C135_T,MMRp_C136_T,MMRp_C140_T,MMRp_C149_T,MMRp_C153_T,MMRp_C155_T,MMRp_C157_T,MMRp_C159_T,MMRp_C160_T,MMRp_C161_T,MMRp_C162_T,MMRp_C171_TA,MMRp_C171_TB,MMRp_C172_T,Normal_C110_N,Normal_C111_N,Normal_C112_N,Normal_C114_N,Normal_C123_N,Normal_C124_N,Normal_C125_N,Normal_C126_N,Normal_C129_N,Normal_C130_N,Normal_C134_N,Normal_C137_N,Normal_C139_N,Normal_C162_N,Normal_C165_N,Normal_C170_N
cTNI01,-6.047981072,-2.907972278,-4.194124009,0.662998541,-0.892852439,-3.030812715,-7.399581967,-2.739278559,-6.229741022,-9.545624494,-5.909322398,6.50058228,5.252070402,-4.193123581,-3.839454924,-5.451552819,-6.329591653,-5.610839016,-3.181893748,26.02326646,2.696456995,0.352990992,-4.203751678,-4.632429272,-2.751303318,-4.601143562,-4.191688485,-4.98885302,-2.201825292,-3.496460991,-1.269805402,-7.558142468,-3.055210832,5.465699428,-7.665230319,-7.23940874,-2.220328608,0.697875864,-1.304982955,-5.005207365,-7.407296316,-6.143468953,-5.136652849,-4.724490124,-3.326464535,22.6659325,-3.444645087,11.78028694,-0.171015306,-4.828375302,-5.048187389,-5.772295799,-1.836709456,1.856391892,7.26563947,-4.586327129,-1.608542515,-2.955019638,2.895116058,-5.958395494,-1.507683542,-9.806161033,22.14123967,-2.803483129,-7.632942334,-1.065069136,-0.997534024,4.352056798,-2.774483933,-5.170802741
cTNI02,-4.612302477,-3.32631966,-4.704601216,-5.526365975,-5.897469431,5.622583681,-5.636515917,-3.668539659,-6.032022768,-9.308974679,-4.167956698,-0.728219174,-0.19813595,-4.351171797,2.771580488,-5.611080571,-0.995470565,-4.625084192,-4.15629172,20.2308829,-3.963104652,-6.023675431,-4.175900269,-4.507748077,-2.735531061,-3.379254882,-4.762488132,-2.475622053,-3.927026378,-1.873771654,12.76622353,-0.93626152,-4.310116299,9.004049737,4.480495599,-6.621817635,-3.391754761,24.99228225,-4.74392371,-4.528351518,-4.29422227,-5.013704235,-3.787655248,10.1925628,-4.271878641,5.239835927,-4.235270889,-3.012060326,0.996969749,-1.21188976,3.905530768,-11.68228765,-5.83924558,-4.469379286,70.21859311,9.496391798,0.32090497,-2.203936409,-2.290663028,-4.960046558,-1.443102359,-8.338153377,7.246532169,-2.363128812,-7.536072295,1.986719284,-5.913622712,44.88022523,2.435478433,13.58119589
cTNI03,2.600176345,0.429474568,-0.636566197,-2.277563257,-1.860416432,0.53363076,-4.183628071,-0.9997077,-2.108599978,30.09288541,0.0258558,3.645846461,2.053365459,-1.484024788,-1.610759635,26.147465,10.29809858,-1.367578207,7.955072635,-0.199366191,-0.82591561,-0.05688973,-1.429792801,-1.161233786,-0.284547789,-1.467685836,8.92174305,-3.666037137,3.201995641,5.3175855,-0.77458224,25.54470933,6.778791614,29.92174216,-3.642156527,5.230570707,-1.393595102,-3.166713537,94.45275818,1.87631256,-2.28568173,6.66635255,-1.362881826,-0.262802578,-1.916016436,7.587654717,-1.028078964,-1.11137559,-0.366925193,5.139920595,-3.781749238,-5.870924473,-2.573831818,6.551846904,-1.699905385,-0.987524068,-1.002708905,-0.685139355,-2.399293443,-1.740287692,-1.692432689,-4.55044741,-3.678518992,-2.126814299,-1.43882192,-2.012764188,-2.413315915,-4.350129873,-0.492121393,-2.094359945
cTNI04,-4.10349807,4.482830072,-3.17690616,-6.574782898,-5.006087584,-1.39198537,-3.964191751,-3.898950018,-5.840423807,-11.409899,-5.074540883,-3.628082493,-3.841511836,-3.059118905,23.04496973,-5.748560047,11.93062712,-4.062806801,-0.427791827,-3.398688475,-4.280068332,6.473475834,2.67444126,-6.135377644,-1.030384093,1.614809826,-4.597196975,-6.513085042,11.32638752,13.55107406,5.430541025,-0.755635667,9.325098312,11.82881822,-5.974612966,3.845562153,-4.516901048,4.074578923,-3.235352593,-5.310189674,3.632485318,6.968210986,23.28919091,17.02512793,-0.692143769,1.69380814,-0.285673214,-2.203040024,-0.558994979,5.757347073,-0.365765009,-3.67979987,9.259782344,-4.619291781,-3.632920382,-2.927679919,1.639293214,-3.205613466,2.648509545,-2.282638048,-0.340716482,-5.916440695,-7.981244796,-0.387045889,-2.055660022,-1.705739644,-4.881137309,7.141943654,0.398052623,-6.144878846
cTNI05,-2.864808147,18.8929259,0.495215809,-1.808412032,2.500737362,0.521577887,-1.503615218,-0.887233688,-1.548251036,-3.466212675,0.805772581,-0.346387978,3.532630632,2.404164766,-1.23409144,6.632179149,-2.483144557,16.37807218,5.926979991,0.128411806,-0.860833287,8.991394376,-1.615395433,-2.302632267,-1.608644675,-1.288276044,-1.239176628,20.39692082,-1.229604539,31.36713515,14.71254224,-1.187103179,5.080261741,4.363447435,-4.498246012,30.15303488,0.5859774,-3.120640512,18.51486299,13.98862216,16.01240372,53.24008448,22.69840228,-0.972930551,11.65225755,10.59946107,5.358367765,7.276481788,-1.258923725,1.965505569,-3.961163294,10.94230242,7.663381507,-0.185279682,-1.620674009,-0.279322372,-1.715763842,-1.331535042,-3.944570479,-0.9741006,-3.139999973,4.674082525,-5.358755472,-1.793218112,6.581865357,4.591595711,-1.811260395,-4.869489778,-1.406730203,-3.272272985
cTNI06,-3.975268397,-1.956326479,-2.382146507,-2.634591025,-4.220020563,-1.611987516,-5.014153814,-2.825982353,-4.568899623,-6.524873152,-4.122184343,1.531869871,3.341479983,0.042743542,-1.038761663,-2.926074314,-4.785738829,-3.943844662,-2.77963588,1.887602777,-3.695294646,-4.613337687,-4.604358151,-4.092993286,-3.079597743,-3.874360366,-2.556620908,-3.770278098,-3.328221411,-1.390004998,15.76276059,-2.958743937,-4.171417747,-0.785619864,-4.502039408,-5.373090411,-2.17014389,-3.073048166,-3.131512255,-3.255445384,-4.8924789,-3.977271658,-0.931537671,-3.192014468,-2.678356061,-3.472422268,-3.51689262,-3.620534563,-2.06560574,-2.591614223,-6.621287665,-4.781935284,-3.971221113,-3.12457974,7.482633015,1.012021601,-1.737877083,-1.692659466,-2.863430486,-3.119637289,-3.327424301,-8.064749936,-2.863310551,-2.870910857,-5.406619214,-1.081877779,1.997915773,1.462864834,6.17749121,33.45000138
cTNI07,18.23173954,-0.070481842,19.1749523,4.0115441,4.708978629,4.5586072,67.37773704,2.379054205,12.70016473,15.18400247,29.37845965,25.05003262,4.90703198,6.267149267,14.1102467,24.08299868,14.8760502,-0.83993399,3.068944005,3.749425841,-0.277554646,27.67095031,14.80110676,-1.6027069,9.735623376,14.20818107,5.90677806,10.00975985,20.95101458,1.591671216,0.285127218,6.797084261,-1.919736845,0.874466823,-3.636445816,-2.037591305,0.413920139,2.737865574,0.923283384,-0.059352856,5.617513011,13.27764177,-0.280909829,-0.704722029,4.576614994,0.000274581,-1.143527965,5.592978336,6.378411667,-0.392812088,4.77804907,-3.997254033,-2.199694616,4.767844061,-1.820471356,-2.001355993,-1.118008994,-0.424456605,-2.785235619,-1.861230068,-2.106681684,-4.71194786,-3.824954657,-2.25172416,-2.557958044,-2.13643642,-2.541568313,-4.508022551,-0.60515248,-1.664224255
cTNI08,13.06529169,11.87416826,7.272740939,16.3194065,24.50119156,9.57256365,57.35076201,14.43438841,31.37559131,38.22089629,26.77061743,19.25987689,16.82764633,29.41500027,48.99855455,32.1261262,27.31193046,9.008605865,18.18853117,16.10543911,12.24657334,41.85394633,30.55825009,0.212150233,23.36596841,36.24863291,23.05184009,32.48320143,34.79001758,32.23176784,13.51954339,36.72009297,43.2995696,10.35981372,32.8475528,32.08738915,33.78623744,15.21104256,25.83421607,6.582475197,40.46982422,38.37629022,37.30412573,13.74148305,50.59485494,27.82571241,9.22976812,40.31602423,17.71789343,16.22037354,21.97125202,13.44762352,24.09688041,15.70061422,1.161786606,-0.790247406,-1.082772617,3.660112875,-2.9506692,-3.083094818,-3.816047942,-6.920331763,-5.415820732,0.912856592,3.689923304,-1.241254505,-3.212657215,0.96089077,-1.272542061,-1.398329183
cTNI09,3.599016862,4.182662402,9.793052159,3.316842865,7.294495036,3.609653802,14.85453237,2.874554099,4.221432921,6.945452525,2.786297947,2.534551247,0.955494349,3.138588028,9.325837249,4.088193648,0.50154256,3.384973497,4.710719459,5.821731377,0.959365565,10.68156673,7.38483289,-1.303641879,7.42000484,2.875748764,1.453575945,13.74438288,4.401552491,12.83608433,2.691848808,9.477257374,2.99522824,0.757465375,-0.818774264,14.18038858,10.27339007,-1.744371722,0.448410295,0.253189475,6.846935883,8.964232744,7.869093041,-0.150088123,17.40997855,3.063241639,3.472542615,4.903384941,3.056886791,4.26925196,2.315463635,3.85619962,1.005031971,4.858526896,0.427983883,0.149435931,-0.744742817,-0.725675578,-2.411448502,-1.880038525,-1.612000719,-4.781891369,-4.191619123,-2.043410216,-2.921807497,-1.91266727,-1.391668098,-2.65166891,-0.881998909,-2.006227187
cTNI10,-8.269336534,-6.808688596,-3.185434355,-6.807278878,-8.317040039,-5.53344021,-12.23089621,-6.181141259,-8.394456323,-12.85415327,-8.683107133,-7.187157923,-0.693967329,-4.786809887,-8.523970752,-5.339063623,-9.841183225,-6.185834623,-5.910251293,-11.27247402,-7.632310977,-7.516240935,-8.555246088,-8.370196259,-6.680965772,-8.000211381,-7.911049345,-15.37740764,-6.905358995,-4.212479103,-6.242489606,-8.798902088,-9.004259602,3.642663096,-13.41316663,-10.70936409,-8.074907415,-8.248355039,-7.494468816,-5.794773926,-10.47618858,-7.923187085,-8.001958104,-7.439008716,-8.136722078,-7.190308785,-5.748468557,-6.181198665,-4.381020441,-3.304651285,-14.88904428,-16.48059993,-8.813885212,-6.617124597,-7.633523663,1.434670514,-6.932899839,1.282036288,3.167255058,-2.421757236,6.135639119,-2.487636508,-10.64351804,-7.556329208,-2.410065531,-4.652940008,-7.00702971,-7.333368542,-5.108649172,-4.70972053
