cancer,infiltrates,rho,p,adj.p
ACC (n=79),T cell follicular helper_CIBERSORT,-0.155520694928525,0.188898260908859,0.228967588980435
ACC (n=79),T cell follicular helper_CIBERSORT-ABS,-0.012540901946086,0.916134392829828,0.92773103071375
BLCA (n=408),T cell follicular helper_CIBERSORT,0.0382707570281026,0.464210723737953,0.508724080808716
BLCA (n=408),T cell follicular helper_CIBERSORT-ABS,0.25515421261917,7.03492512317029e-07,1.70543639349583e-06
BRCA (n=1100),T cell follicular helper_CIBERSORT,0.166636206176125,1.26363776001018e-07,3.15909440002545e-07
BRCA (n=1100),T cell follicular helper_CIBERSORT-ABS,0.629141126543117,1.15660164322508e-110,9.25281314580062e-109
BRCA-Basal (n=191),T cell follicular helper_CIBERSORT,0.230009570308984,0.00226407980993253,0.00385375286797026
BRCA-Basal (n=191),T cell follicular helper_CIBERSORT-ABS,0.690583810614787,5.48895165994668e-26,3.13654380568382e-25
BRCA-Her2 (n=82),T cell follicular helper_CIBERSORT,0.147281379747216,0.21698028480873,0.259080937085051
BRCA-Her2 (n=82),T cell follicular helper_CIBERSORT-ABS,0.731536033676127,2.91489849808857e-13,1.01387773846559e-12
BRCA-LumA (n=568),T cell follicular helper_CIBERSORT,0.121502282721813,0.00567063044350434,0.00925817215266015
BRCA-LumA (n=568),T cell follicular helper_CIBERSORT-ABS,0.558482511625374,9.81334094420774e-44,1.12152467933803e-42
BRCA-LumB (n=219),T cell follicular helper_CIBERSORT,0.147688674977989,0.0409243876011113,0.054565850134815
BRCA-LumB (n=219),T cell follicular helper_CIBERSORT-ABS,0.633024412637948,6.79340057730179e-23,3.40738459570631e-22
CESC (n=306),T cell follicular helper_CIBERSORT,0.242540947357351,4.51309526255916e-05,9.02619052511833e-05
CESC (n=306),T cell follicular helper_CIBERSORT-ABS,0.651849707473917,6.75324671560764e-35,6.00288596942901e-34
CHOL (n=36),T cell follicular helper_CIBERSORT,0.244628263820413,0.156686391381759,0.192844789392934
CHOL (n=36),T cell follicular helper_CIBERSORT-ABS,0.680793082105142,6.77904227237274e-06,1.42716679418373e-05
COAD (n=458),T cell follicular helper_CIBERSORT,0.249461225793881,2.85989629246203e-05,5.86645393325544e-05
COAD (n=458),T cell follicular helper_CIBERSORT-ABS,0.663622469969238,2.78878627783319e-36,2.78878627783319e-35
DLBC (n=48),T cell follicular helper_CIBERSORT,-0.104870660808494,0.514055088257116,0.548325427474257
DLBC (n=48),T cell follicular helper_CIBERSORT-ABS,0.35839760658324,0.0213960552393622,0.0300295512131399
ESCA (n=185),T cell follicular helper_CIBERSORT,0.246531175982604,0.000849430103356585,0.00154441836973925
ESCA (n=185),T cell follicular helper_CIBERSORT-ABS,0.585543962537695,5.96353054782014e-18,2.51096023066111e-17
GBM (n=153),T cell follicular helper_CIBERSORT,-0.0985331797419127,0.25199214659024,0.28799102467456
GBM (n=153),T cell follicular helper_CIBERSORT-ABS,0.141675278981482,0.098654187049291,0.12527515815783
HNSC (n=522),T cell follicular helper_CIBERSORT,0.220313949472149,8.00948437738526e-07,1.88458455938477e-06
HNSC (n=522),T cell follicular helper_CIBERSORT-ABS,0.699540601669851,1.58357596755768e-73,6.33430387023073e-72
HNSC-HPV- (n=422),T cell follicular helper_CIBERSORT,0.162679289267865,0.00109394429252463,0.00194478985337712
HNSC-HPV- (n=422),T cell follicular helper_CIBERSORT-ABS,0.659006559913371,3.52910311467056e-51,5.64656498347289e-50
HNSC-HPV+ (n=98),T cell follicular helper_CIBERSORT,0.234288738509157,0.0271131308415572,0.0373974218504237
HNSC-HPV+ (n=98),T cell follicular helper_CIBERSORT-ABS,0.77422372080772,5.69814864164646e-19,2.53251050739842e-18
KICH (n=66),T cell follicular helper_CIBERSORT,0.0267138552658892,0.832705702136308,0.854057130396213
KICH (n=66),T cell follicular helper_CIBERSORT-ABS,0.341473137486128,0.00537203313418537,0.00895338855697562
KIRC (n=533),T cell follicular helper_CIBERSORT,0.308380809665895,1.2975996212124e-11,4.15231878787967e-11
KIRC (n=533),T cell follicular helper_CIBERSORT-ABS,0.510597674191647,5.66359967051505e-32,3.7757331136767e-31
KIRP (n=290),T cell follicular helper_CIBERSORT,0.11756220744874,0.0593349316441198,0.0765612021214448
KIRP (n=290),T cell follicular helper_CIBERSORT-ABS,0.346990266235306,1.03254859694807e-08,2.84840992261537e-08
LGG (n=516),T cell follicular helper_CIBERSORT,-0.125061838304364,0.00618420960011448,0.00989473536018316
LGG (n=516),T cell follicular helper_CIBERSORT-ABS,0.108666476091483,0.0174721091058603,0.0254139768812514
LIHC (n=371),T cell follicular helper_CIBERSORT,0.164451200434327,0.002181443338325,0.00379381450143477
LIHC (n=371),T cell follicular helper_CIBERSORT-ABS,0.42438540975836,1.62324365066335e-16,6.49297460265339e-16
LUAD (n=515),T cell follicular helper_CIBERSORT,-0.000374746614705465,0.993377950423597,0.993377950423597
LUAD (n=515),T cell follicular helper_CIBERSORT-ABS,0.423656850345741,6.81476919141262e-23,3.40738459570631e-22
LUSC (n=501),T cell follicular helper_CIBERSORT,0.0531553588353665,0.246576896097322,0.285886256344721
LUSC (n=501),T cell follicular helper_CIBERSORT-ABS,0.512522005155513,2.62786710052841e-33,1.91117607311157e-32
MESO (n=87),T cell follicular helper_CIBERSORT,0.231866077671401,0.0327414911125007,0.0443952421864417
MESO (n=87),T cell follicular helper_CIBERSORT-ABS,0.605350158883213,8.40608134695277e-10,2.58648656829316e-09
OV (n=303),T cell follicular helper_CIBERSORT,0.154735335397964,0.0145199916189615,0.0219169684814514
OV (n=303),T cell follicular helper_CIBERSORT-ABS,0.488468416982689,2.45475315061061e-16,9.35144057375471e-16
PAAD (n=179),T cell follicular helper_CIBERSORT,0.0524457510879238,0.495709512895052,0.535902176102759
PAAD (n=179),T cell follicular helper_CIBERSORT-ABS,0.411738966944943,2.20793684200892e-08,5.88783157869046e-08
PCPG (n=181),T cell follicular helper_CIBERSORT,-0.119284160230534,0.124685530731392,0.15585691341424
PCPG (n=181),T cell follicular helper_CIBERSORT-ABS,0.30289319481753,6.92884183620033e-05,0.00013519691387708
PRAD (n=498),T cell follicular helper_CIBERSORT,-0.0400843016522558,0.41482605135741,0.460917834841566
PRAD (n=498),T cell follicular helper_CIBERSORT-ABS,0.53161124147346,1.01451676893457e-31,6.24318011652041e-31
READ (n=166),T cell follicular helper_CIBERSORT,0.113707432639371,0.285922174998997,0.322165830984786
READ (n=166),T cell follicular helper_CIBERSORT-ABS,0.559695338939242,9.75875458886021e-09,2.7882155968172e-08
SARC (n=260),T cell follicular helper_CIBERSORT,0.287910431226821,4.84533973401495e-06,1.1075062249177e-05
SARC (n=260),T cell follicular helper_CIBERSORT-ABS,0.546286695549131,2.20155627360786e-20,1.03602648169781e-19
SKCM (n=471),T cell follicular helper_CIBERSORT,0.0550787788051333,0.239947777122134,0.282291502496629
SKCM (n=471),T cell follicular helper_CIBERSORT-ABS,0.668071299182603,2.17880828915868e-60,5.81015543775647e-59
SKCM-Metastasis (n=368),T cell follicular helper_CIBERSORT,0.101192466987199,0.0571612052884029,0.0749655151323317
SKCM-Metastasis (n=368),T cell follicular helper_CIBERSORT-ABS,0.672427656809752,6.34519109756474e-48,8.46025479675298e-47
SKCM-Primary (n=103),T cell follicular helper_CIBERSORT,0.240230272071807,0.0150143604738017,0.0222434969982248
SKCM-Primary (n=103),T cell follicular helper_CIBERSORT-ABS,0.663412950254353,3.01081444699082e-14,1.09484161708757e-13
STAD (n=415),T cell follicular helper_CIBERSORT,0.131248075908607,0.0105348569389422,0.0162074722137572
STAD (n=415),T cell follicular helper_CIBERSORT-ABS,0.573500991257968,1.59081969897239e-34,1.27265575917791e-33
TGCT (n=150),T cell follicular helper_CIBERSORT,-0.190664073048389,0.0207112647467439,0.029587521066777
TGCT (n=150),T cell follicular helper_CIBERSORT-ABS,0.36310147286794,6.18298568112169e-06,1.33686176889118e-05
THCA (n=509),T cell follicular helper_CIBERSORT,0.261546959719559,4.481938342766e-09,1.32798173118993e-08
THCA (n=509),T cell follicular helper_CIBERSORT-ABS,0.643118185733694,2.62910256442403e-58,5.25820512884806e-57
THYM (n=120),T cell follicular helper_CIBERSORT,0.247339072382192,0.00769925843736375,0.0120772681370412
THYM (n=120),T cell follicular helper_CIBERSORT-ABS,0.47776134071502,6.69136194131648e-08,1.72680308163006e-07
UCEC (n=545),T cell follicular helper_CIBERSORT,0.0381853599608567,0.723925382646299,0.752130267684466
