,ALKBH5,CARM1,COPRS,CTCF,DNMT1,FTO,HELLS,IGF2BP1,IGF2BP2,IGF2BP3,METTL14,METTL3,PRDM4,PRMT1,PRMT2,PRMT5,PRMT6,PRMT7,UHRF1,UHRF2,USP7,YTHDF1,YTHDF2,YTHDF3,ZNF445,CTL
TCGA-Z2-AA3V-06A-11R-A39D-07,98.59880747532,69.5555340389601,110.042632613411,23.1399380661934,24.6736693050575,5.77370394504929,0.887330648698398,0.0520285398653276,9.89226631436962,0.705332818157673,1.68059563699213,10.7881465771159,10.8470011889868,164.761447324171,29.5455032742934,62.6755044927967,4.61971071317268,23.3172427435681,4.92811396992073,0.907816455589184,40.1630512599993,53.9348502247716,38.6036171170266,8.99717222894287,2.32124409855613,74.1666019363854
TCGA-D3-A1Q3-06A-11R-A18T-07,153.656429359268,67.2613666286567,119.220211128737,96.7202593668922,54.3135514687191,23.0443811688765,6.83521094317642,0.00517313567174387,24.7502945887179,24.2392812156188,17.7308720047486,29.0935350902824,43.9359015032879,84.5171481558064,142.211202093428,65.3756176899486,76.4833356925631,12.9438779004281,9.71750058242417,12.68909264634,75.3279383370612,76.1290884831762,122.952151527132,72.6596216451468,9.15355689275006,21.5136305730555
TCGA-FS-A1Z0-06A-11R-A18T-07,125.508681091336,80.7519039117931,78.6543142883227,119.01402951906,121.647295619296,24.1973963190261,16.8557301289597,43.2446007910996,93.7379138781492,27.8704090937022,15.1884361749282,37.9774807827023,37.3321223773672,115.200646729723,75.1447511457078,118.773050992351,55.9433420595675,22.055009026139,35.5667725992373,27.8052847006048,78.782308911268,110.210396588127,152.395522877154,142.867034533476,18.673279977972,55.5980933344495
TCGA-EE-A2ME-06A-11R-A18T-07,141.619810234823,42.4982761310328,60.3615270081978,90.6791672151568,62.1278857134066,17.7866984662156,4.98747755441592,0.0571642415586939,23.7095832867858,1.32150347190226,17.2709684901175,32.7232171501788,33.6602392253708,50.1166200264507,65.0448693069657,37.4273728954766,45.9004254620617,11.0440093801762,9.93850948461035,23.8122428708827,75.7834592497121,73.0980266538778,112.588663724544,64.7358906871916,10.4998355476609,142.767347706628
TCGA-EE-A2MT-06A-11R-A18S-07,346.578906367317,47.6854426807213,148.581012141341,71.715354838845,90.8889837791311,19.5577438547425,26.4190841856979,0.0903947314829817,75.802007391363,0.89006363571061,15.5753494693271,20.4244825326831,34.1290162440831,85.4137386400525,123.536473463123,62.0582306467684,17.4690410183492,28.8078786259779,47.2117890531866,41.1827323988941,65.8497169868023,131.779819229486,142.597037716783,51.5313229632287,8.0506712356236,9.60016708202266
TCGA-D9-A1JW-06A-11R-A18S-07,90.5370246444892,87.4920944209466,160.934126910205,73.5106138883662,51.2370892359089,16.1769006250756,2.91477198035323,0.189817767141251,30.0738376398518,2.44511247536698,10.8799053765688,25.0192174708221,34.6699378694293,88.8422292544299,68.902722559108,95.7713757247791,25.0217486257887,19.5610440236054,9.7218557067803,18.888488989593,46.3467736343147,79.6543804270011,106.26940104342,73.0941566507065,4.63951603115369,38.4816918995439
TCGA-D9-A1JX-06A-11R-A18S-07,243.817498996083,96.9867631600478,121.111226407264,87.2987409908919,75.9890656518049,21.5793445455929,9.11028386163255,0.494728508110162,61.387135741212,1.92541501602648,15.8809279931917,32.1011135300917,38.0492861368257,81.7053987081708,89.0590604297965,65.916717747069,38.7859803473533,19.8602624810704,24.8568505735598,8.81809844110885,63.9188133825221,146.736907864875,130.774216577517,65.9091186930191,12.0457053212439,70.7937961945477
TCGA-GN-A4U8-11A-11R-A32P-07,118.571679010345,41.7686690904768,86.5617058958503,57.2634523366218,46.2847695075196,9.67893218974456,6.55570601123868,0.0699809805041284,18.7498078748994,1.17794103880848,11.6627510360229,25.63238040119,24.4807072591957,95.3116016213754,68.889865472786,52.2341124935375,31.5228300409903,14.7725660590938,13.4823876922125,17.4687302305169,49.936863436089,68.7823401183706,107.251433922609,39.9156831788158,5.54282277483957,111.061511979284
TCGA-FS-A1ZM-06A-12R-A18S-07,163.450151746186,78.6312059787179,120.783256757063,62.0876417528666,70.1039121622106,26.3179768124443,4.86408549007867,12.0832679540821,40.717804141407,8.972293165488,16.0786750384954,16.4343089353788,24.8047546492689,126.340620526849,72.4665723012726,50.0602046140523,34.694216170066,18.2242036324538,17.6017559301715,13.6315428098594,67.0111117179428,122.761511333571,152.547264896654,73.6760875910806,9.56458043337361,83.6817510625174
TCGA-EE-A2A6-06A-11R-A18T-07,163.63606655349,65.0354185869732,171.487408728561,79.4656657186295,75.1001705565417,16.7949554718604,5.39253990675694,0.0828119322226975,45.9247915359029,5.76098024789627,13.6312157441318,20.0003078317977,58.1968445875859,84.6473696343098,49.3803883749724,40.1723295445046,31.7189327093153,24.4198902669019,20.3528200541985,9.61679093242598,62.8790853044673,145.835254113397,193.377026494747,56.180310853625,7.82655236793945,80.3090851026074
