"Custom pathway"$"Custom pathway"$"Diff"$"Direction of change"$"Interactions"$"P-value"$"FDR corrected p-value"$"Cross-species regulation"
"alanine and aspartate metabolism"$"alanine and aspartate metabolism"$0.0182383457154383$"UP"$"organ + species + age + organ:age + species:age"$0.885270841861842$0.932371469130489$FALSE
"arachidonic acid metabolism"$"arachidonic acid metabolism"$0.128511921491481$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00131696096262001$0.00772218018990826$TRUE
"arginine and proline metabolism"$"arginine and proline metabolism"$-0.103876227357192$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0189775345520613$0.0627718450568181$FALSE
"beta-alanine metabolism"$"beta-alanine metabolism"$-0.000926562755512506$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.999072523245653$0.999072523245653$FALSE
"bile acid synthesis"$"bile acid synthesis"$-0.00328666885551665$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.91365665582541$0.942510754114916$FALSE
"butanoate metabolism"$"butanoate metabolism"$-0.0815937224828881$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0497944070178576$0.12677918102573$FALSE
"cholesterol metabolism"$"cholesterol metabolism"$-0.0541202836117337$"DOWN"$"organ + age + organ:age"$0.0950059938989402$0.20201823977412$FALSE
"chondroitin sulfate degradation"$"chondroitin sulfate degradation"$0.18206652984784$"UP"$"species + age + species:age"$6.37751258983268e-07$1.23404868613262e-05$TRUE
"chondroitin synthesis"$"chondroitin synthesis"$0.0348270955786235$"UP"$"organ + species + age + organ:age + species:age"$0.454494246334496$0.60444001025569$FALSE
"citric acid cycle"$"citric acid cycle"$-0.0947546513092188$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0106357308023902$0.0407527506982673$FALSE
"eicosanoid metabolism"$"eicosanoid metabolism"$-0.0476952828998325$"DOWN"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.398867946719775$0.541620685545799$FALSE
"fatty acid oxidation"$"fatty acid oxidation"$-0.133039257494572$"DOWN"$"species + age + species:age"$0.000423180508412515$0.00334226238276823$TRUE
"fructose and mannose metabolism"$"fructose and mannose metabolism"$0.0336601772063879$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.0648200967381387$0.149317722843212$FALSE
"galactose metabolism"$"galactose metabolism"$0.111238224738403$"UP"$"organ + species + age + organ:species + organ:age + species:age + organ:species:age"$0.00476390999446807$0.021948013903085$FALSE
