,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000000003,16.0782384542,11.6428687839,10.5974457682,16.7661176569
ENSG00000000005,0.0805132492917,0.0226174383958,0.0419249568695,0.00887545580842
ENSG00000000419,13.7466200613,26.8203093634,10.6067477875,13.5436367243
ENSG00000000457,2.38235230524,3.14780983747,0.993740660091,1.05878784895
ENSG00000000460,0.515941908797,1.28154112982,0.358215862421,0.349633759398
ENSG00000000938,0.541042545974,1.43601853396,0.725379794926,1.83040308404
ENSG00000000971,215.992162386,392.055980936,58.3142091926,108.359726224
ENSG00000001036,22.6602421362,30.5732215509,6.94406177857,20.7000543012
ENSG00000001084,6.7432343591,9.92211495152,4.87852992743,9.69854605262
ENSG00000001167,2.94218778867,4.19464163836,1.995515003,2.10723954987
ENSG00000001460,0.251302369573,0.637492338947,0.396540832804,0.162857470756
ENSG00000001461,0.63751784617,0.851881824735,0.715378384639,0.592609389845
ENSG00000001497,5.47357563086,3.49872226049,5.56353954398,3.30327663915
ENSG00000001561,10.4305857904,5.71538923815,0.928821233248,1.45629226954
ENSG00000001617,4.33117404305,4.29332970163,1.77163203569,0.991914026165
ENSG00000001626,0.0228295757942,0.012826374011,0.0845357824711,0.233208671524
ENSG00000001629,3.05885417269,2.51783160981,0.978248993622,1.29066305756
ENSG00000001630,5.69541318443,1.34072444099,0.668254037617,1.91157798211
ENSG00000001631,2.70054856999,2.27147765011,0.609276936067,1.41881399945
ENSG00000002016,0.843035209917,0.825617470798,0.531616457871,0.33080666673
ENSG00000002079,0.00510661563818,0.00573811468914,0.0248184821893,0
ENSG00000002330,13.8885355028,16.5227803035,41.5612635961,14.3647797267
ENSG00000002549,21.4731069386,19.2412553856,14.8195030503,29.7568591065
ENSG00000002586,43.6462594095,20.8682371158,50.1859010964,33.1347197106
ENSG00000002587,0.0436532465392,0.15607306559,0.107456447132,0.052496266905
ENSG00000002726,1.44914374101,0.00952250936645,0.0235352791353,1.76002795347
ENSG00000002745,0.0397504849309,0.0111665365892,0.00689964024941,0.00438193310382
ENSG00000002746,0.00696167193124,0.0182526695826,0.00322230244945,0.00818588405388
ENSG00000002822,7.9739019187,2.65424867991,12.451093657,3.16028833729
ENSG00000002834,46.7075192695,26.5950133111,15.5882543218,13.7653404841
ENSG00000002919,3.84637200651,3.33240294501,6.80108216032,3.25337388855
ENSG00000002933,196.293164756,472.535172995,120.194717898,171.420410619
ENSG00000003056,7.21576281927,5.66891092946,1.12587989814,6.76073805738
ENSG00000003096,0.227398332974,0.469320753767,0.273876096596,0.249651586695
ENSG00000003137,0.122776684737,0.0363051603363,0.0628108027809,0.0427402308621
ENSG00000003147,3.06110023963,2.37499288197,1.02585137769,1.30010638191
ENSG00000003249,6.50701997328,16.0674924395,2.09922310654,0.411594400233
ENSG00000003393,2.50289671009,2.07599507741,1.34556340292,2.90633569862
ENSG00000003400,1.76577063645,1.29399848258,1.49544117675,0.79177055824
ENSG00000003402,2.08717438416,2.10121614641,2.29101928188,1.78674046828
ENSG00000003436,21.0695351638,15.9470897168,29.6987174839,12.6048520265
ENSG00000003509,1.22489959789,2.36377320425,1.58995604715,1.69078527085
ENSG00000003756,2.34735182415,2.82377671268,2.34589165976,1.20732907542
ENSG00000003987,0.250507667772,0.326268072151,0.130444656739,0.123012071104
ENSG00000003989,54.8800663476,8.64632767983,32.7149728592,54.3831905976
ENSG00000004059,50.9221558254,34.8765493664,52.6236262481,27.3722662341
ENSG00000004139,0.113482691098,0.111168050443,0.113135018747,0.0859652885027
ENSG00000004142,73.7666110095,73.2573604491,100.670630758,79.5522042995
ENSG00000004399,4.32287442073,4.68170290853,5.31185788003,2.94212519227
