	GSM995558	GSM995559	GSM995560	GSM995561	GSM995562	GSM995563	GSM995564	GSM995565	GSM995619	GSM995620	GSM995621	GSM995622	GSM995623	GSM995624	GSM995625
hsa-miR-302a-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART2-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-199a-5p	10.68085245	8.895433311	9.40575168	10.09217486	8.663262748	10.31289274	10.46669945	8.399233617	10.4949054	9.261647946	9.454660103	10.51151172	10.00915842	10.09107745	9.522647018
hsa-miR-146b-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-146b-5p	8.584825691	9.497456924	9.031474149	8.67532685	8.912100688	9.395639929	6.919764545	10.36328784	7.800286834	7.158739919	6.743334006	6.69002256	4.52591467	7.662337137	8.214081113
hsa-miR-576-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-576-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
kshv-miR-K12-4-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
kshv-miR-K12-4-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.363930781	2.321928095	2.321928095	2.321928095
hsa-miR-551b-5p	3.953705126	5.317920255	2.321928095	2.321928095	3.563092879	2.321928095	4.638521857	5.285786118	5.060561012	4.22974185	4.007217221	2.321928095	4.644310272	4.335665175	4.353080503
hsa-miR-767-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-767-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.379537281	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-362-5p	4.987253136	5.648903126	6.622512327	5.371813393	4.833159072	5.318003377	5.580864869	4.681045561	4.205817044	3.509890272	4.155080211	4.599923564	2.321928095	4.324615204	3.258424593
hsa-miR-337-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	4.433275348	2.321928095	2.385868168	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	4.300058101
hsa-miR-497-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-337-5p	3.223449746	2.321928095	3.607293686	5.056127261	2.321928095	3.523434508	5.087288287	2.321928095	4.962780499	3.534631021	5.286332064	2.321928095	2.321928095	4.341817843	6.544550771
hsa-miR-362-3p	5.240580313	6.03713469	6.545176697	5.699810515	4.968213493	4.668747043	3.919588478	4.962712703	4.760679001	3.453511937	4.28123649	2.321928095	2.321928095	4.34507397	4.2051847
hsa-miR-493-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	5.560918822	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-487b-3p	3.125688656	2.321928095	5.035177684	6.129106902	3.685621469	4.800233814	4.535175791	2.321928095	3.694230192	2.456884292	3.997558128	4.431914461	2.321928095	3.651805856	4.923307927
hsa-miR-487a-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.141950132	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-488-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-875-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-875-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7g-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7e-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7i-3p	2.577288765	3.090211616	2.676213781	3.65522887	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7d-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7a-3p	2.321928095	2.321928095	2.667536912	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7b-3p	2.981153065	3.91020598	3.792601363	4.247920877	4.3140093	2.840930925	3.295137795	3.753241483	3.152277088	3.669625899	3.568612773	4.474285361	4.917419226	2.321928095	2.882372872
hsa-miR-92b-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-518d-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-518d-5p	4.170282759	4.304128809	2.321928095	2.321928095	3.094317555	2.321928095	4.407585633	4.811403795	5.165499026	3.956288011	3.617955544	2.321928095	4.305320223	4.019526319	4.118516672
ebv-miR-BART6-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
